Nome: FEIRA DE SANTANA
Codigo Estacao: A413
Latitude: -12.1961111
Longitude: -38.96749999
Altitude: 229.64
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;1;985.1625;20.591667;33.8;26.179167;20.9;75.083333;37;10.5;2.570833;
2020-01-02;18.8;985.429167;21.679167;31.6;24.854167;21.3;83.666667;50;7.5;1.791667;
2020-01-03;8.8;986.058333;22.283333;30.8;25.979167;23.2;81;56;6.9;1.6875;
2020-01-04;0;985.808333;21.666667;33.1;27.166667;23.8;74.041667;48;8.5;2.075;
2020-01-05;1.4;986.125;21.154167;32.2;26.3375;22.2;75.541667;44;6.8;1.633333;
2020-01-06;0;985.833333;21.320833;32.8;26.675;22.7;74.166667;46;8;2.316667;
2020-01-07;0;986.558333;21.120833;31.8;26.5;22.2;74;48;7.7;2.025;
2020-01-08;0;986.595833;19.475;32.4;25.745833;20.1;71.083333;40;7.9;1.966667;
2020-01-09;0;986.525;16.7875;32.9;25.204167;18.5;64.083333;29;9.6;2.05;
2020-01-10;0;987.004167;17.804167;34.6;25.7125;18.6;65.875;27;10.7;2.220833;
2020-01-11;0;986.975;20.1;34.6;27.033333;21.8;68.958333;34;10.1;2.854167;
2020-01-12;0;987.35;20.6125;34.9;27.575;23.7;68;36;9.3;3.020833;
2020-01-13;0;986.545833;19.991667;34.7;27.525;22.2;67.583333;31;8.4;2.708333;
2020-01-14;0;986.341667;19.325;34.5;27;21.7;67.125;30;9.6;2.8625;
2020-01-15;0;986.825;18.966667;35;27.125;20.8;65.583333;27;10.2;2.808333;
2020-01-16;0;988.1625;19.045833;34.7;27.0375;21.5;65.375;32;9.4;2.479167;
2020-01-17;0;988.004167;19.208333;35.3;26.733333;20.6;67.125;30;10.4;2.408333;
2020-01-18;0;988.408333;19.3875;34.5;27.175;21.4;65.75;33;9.8;2.629167;
2020-01-19;0;987.291667;19.225;34.3;26.720833;19.7;66.625;37;9.5;2.633333;
2020-01-20;0;985.454167;18.283333;35.8;27.258333;20.6;62.25;27;8.7;2.5125;
2020-01-21;0;983.670833;19.025;34.1;26.95;20.4;65.666667;34;9.3;2.391667;
2020-01-22;0;984.1875;20.854167;29.4;26.041667;24.7;73.583333;54;8.8;2.525;
2020-01-23;2;985.083333;21.654167;28.9;24.970833;22.7;82.583333;60;9;1.833333;
2020-01-24;66.8;985.654167;22.216667;31.5;25.975;21.7;81.583333;50;7.1;1.958333;
2020-01-25;2.6;985.441667;21.945833;34.1;28.0375;24.1;72.041667;41;8;2.6;
2020-01-26;0;986.641667;22.3125;32;25.5875;25.1;83;56;13.3;2.133333;
2020-01-27;44.2;986.779167;21.095833;33.6;26.133333;20.8;76.833333;42;7.5;1.929167;
2020-01-28;.2;987.620833;21.816667;33.5;26.9;23;75.875;45;9.4;2.408333;
2020-01-29;.6;988.179167;21.066667;31.8;26.491667;22.8;74.041667;49;8.6;2.45;
2020-01-30;.4;988.533333;20.641667;31.1;25.766667;21.3;74.75;50;9.3;2.4125;
2020-01-31;.2;988.279167;20.608333;31.5;25.5875;21.1;75.541667;44;8.9;1.9;
2020-02-01;0;987.979167;21.325;32.3;26.395833;22;75.458333;50;6.4;1.6375;
2020-02-02;0;987.016667;21.395833;34;27.583333;23;71.875;38;8.7;1.975;
2020-02-03;0;987.208333;21.841667;34.3;27.591667;23.7;72.875;41;9.5;2.4375;
2020-02-04;0;987.791667;22.425;30.6;26.245833;24;80.375;55;9.6;2.041667;
2020-02-05;9.4;987.116667;21.054167;32.6;26.366667;22.2;74.916667;42;9.5;1.895833;
2020-02-06;0;987.220833;21.925;31.1;25.029167;22.2;83.833333;55;8.3;1.604167;
2020-02-07;5.8;986.008333;21.3375;32.2;25.358333;21.7;80.041667;43;11.1;1.654167;
2020-02-08;0;986.695833;21.879167;32.1;25.5625;21.9;81.375;50;10.3;1.658333;
2020-02-09;.4;988.375;21.45;31.2;26.804167;23.6;74.916667;47;6.6;1.958333;
2020-02-10;0;989.166667;22.354167;33;27.070833;23.8;77.041667;45;10.1;2.204167;
2020-02-11;0;987.429167;21.058333;34.1;27.733333;22.8;70.291667;37;9.2;2.2875;
2020-02-12;0;986.770833;19.933333;33.4;26.0375;20.5;72.125;34;11.1;2.354167;
2020-02-13;0;986.520833;21.004167;33.7;26.808333;21.5;72.5;44;9.7;2.254167;
2020-02-14;0;986.829167;21.1875;33.5;27.020833;22.6;72.791667;40;11.7;2.291667;
2020-02-15;0;986.625;20.620833;33.8;27.425;22.9;69.708333;37;9.9;2.570833;
2020-02-16;0;986.683333;20.0375;33.9;26.795833;21.3;69.166667;37;9.5;2.6375;
2020-02-17;0;986.883333;21.2125;32.5;25.691667;20.8;77.833333;47;11.6;2.5875;
2020-02-18;0;987.2375;21.979167;31;25.870833;23;80.041667;57;8.6;2.483333;
2020-02-19;1.6;985.95;21.645833;30.1;24.904167;21.8;83.041667;59;9.1;2.091667;
2020-02-20;.4;985.504167;21.154167;33.6;26.504167;21.4;75.25;43;9.4;2.083333;
2020-02-21;0;985.804167;21.283333;32.7;26.591667;21.5;75.291667;45;7.7;1.795833;
2020-02-22;0;986.170833;21.366667;34.5;27.575;22.5;72.166667;38;8.5;1.958333;
2020-02-23;0;986.9125;21.804167;35.3;27.8375;23.7;72.375;39;9.9;2.170833;
2020-02-24;0;986.9;21.1875;34.5;28;23.5;69.791667;38;10.1;3.020833;
2020-02-25;0;986.7;21.291667;33.3;26.566667;22.2;74.416667;48;9.7;2.620833;
2020-02-26;0;985.354167;20.170833;34.8;27.266667;21.2;70.083333;29;9.1;2.0375;
2020-02-27;0;985.233333;20.658333;36.4;27.7875;21.2;69.583333;30;11.1;1.9;
2020-02-28;0;986.729167;21.041667;36.4;28.345833;23.9;69;30;10.4;2.441667;
2020-02-29;0;988.033333;21.3625;31.1;26.016667;22.8;76.875;48;9.1;2.7;
2020-03-01;0;987.183333;19.5;35.2;27.204167;21.5;67.416667;28;9.2;2.125;
2020-03-02;0;986.095833;19.1625;35.2;27.016667;20;66.875;26;9.6;2.275;
2020-03-03;0;986.3875;19.375;33.8;26.908333;21.2;67.041667;34;8.2;1.8125;
2020-03-04;0;986.666667;19.429167;36.2;27.9375;21.7;64.833333;29;8.5;2.05;
2020-03-05;0;986.629167;20.4875;37.8;28.995833;23.3;64.208333;28;7.2;1.816667;
2020-03-06;1;986.1375;22.375;32.8;26.933333;24.2;77.041667;50;7.8;1.629167;
2020-03-07;70.8;985.7875;22.679167;31.5;26.566667;23;80.791667;54;7.4;1.904167;
2020-03-08;0;985.554167;22.291667;33.5;27.020833;23.4;77.458333;44;8.9;2.1875;
2020-03-09;8.2;986.5625;23.0875;31.6;26.879167;24;80.875;57;9.6;2.533333;
2020-03-10;12;986.408333;22.8875;31.2;25.633333;23;85.625;58;8.3;2.195833;
2020-03-11;.4;985.408333;21.9;33.7;26.820833;22.3;76.958333;41;9.5;1.754167;
2020-03-12;0;985.991667;22.016667;31.3;26.25;22.5;79.208333;48;9.9;2.1875;
2020-03-13;.2;986.941667;20.2375;32.9;26.604167;22.7;70.541667;35;9.3;2.383333;
2020-03-14;0;988.033333;21.183333;28.7;25.1875;22.6;79.083333;59;8.7;2.15;
2020-03-15;.2;987.295833;20.383333;31.6;25.95;21.2;73.75;46;9.3;2.254167;
2020-03-16;0;987.191667;20.970833;31.6;25.633333;21.8;77.083333;48;8.9;1.75;
2020-03-17;0;986.929167;21.041667;33.6;26.458333;22.1;74.625;40;8.8;1.916667;
2020-03-18;0;985.9625;21.345833;34.3;27.0375;22.5;74.416667;35;8.6;2.079167;
2020-03-19;5.8;984.304167;22.8375;34.3;27.183333;23.7;78.916667;45;8.7;2.266667;
2020-03-20;2;984.15;23.35;31.3;26.708333;24.4;82.666667;60;8.8;1.525;
2020-03-21;1.6;984.925;22.408333;32.5;26.741667;23.6;78.5;51;12.5;2.070833;
2020-03-22;0;985.658333;21.8625;34.8;27.783333;22.9;72.416667;41;7.8;1.8;
2020-03-23;13.6;987.491667;22.35;28.9;25.5;20.8;83.208333;63;14.1;2.3375;
2020-03-24;.4;987.341667;20.733333;28.8;25.333333;23.1;76.208333;62;10.4;2.941667;
2020-03-25;0;986.808333;20.220833;30.1;25.375;21.5;73.833333;56;9.4;3.004167;
2020-03-26;0;986.608333;21.275;29.1;24.841667;22.8;81.083333;60;10.3;3.1875;
2020-03-27;0;986.316667;20.8375;30.3;25.258333;22.8;77.625;54;11.1;3.225;
2020-03-28;3.8;987.366667;22.479167;29.9;25.445833;23.6;84.458333;62;9.7;2.866667;
2020-03-29;4.4;987.795833;22.320833;30.8;25.525;23.4;83.25;58;11.6;2.616667;
2020-03-30;2.6;986.845833;21.045833;31.1;25.333333;21.1;78.833333;50;8.4;2.170833;
2020-03-31;null;null;null;null;null;23.1;null;78;7.6;null;
2020-04-01;null;null;null;null;null;null;null;null;null;null;
2020-04-02;null;null;null;null;null;null;65.4;43;8.3;null;
2020-04-03;0;985.9;19.866667;32.9;26.095833;21;71.958333;36;7.9;1.395833;
2020-04-04;0;984.25;20.8;36.3;28.075;21.3;69;31;7.3;1.895833;
2020-04-05;0;986.283333;22.408333;34.5;28.366667;23.6;72.666667;40;8.8;2.566667;
2020-04-06;0;988.2375;22.691667;31.4;26.491667;24;81.041667;52;10;2.041667;
2020-04-07;2.6;987.6625;22.025;32.8;26.933333;23.6;76.333333;49;7.2;2.25;
2020-04-08;0;985.8375;21.466667;34.6;27.5;23.5;72.833333;35;8.3;1.808333;
2020-04-09;0;985.2875;21.254167;33.4;27.1125;21.5;73.375;43;7.7;1.858333;
2020-04-10;0;985.975;21.625;33.9;27.220833;22.4;74.166667;42;9.4;1.883333;
2020-04-11;7;986.4625;22.945833;32.2;26.045833;24.1;84.375;50;8.2;1.8625;
2020-04-12;.2;986.7375;22.979167;31.8;26.225;24.1;83.666667;53;7.1;1.945833;
2020-04-13;26.6;986.45;23.075;26.4;24.191667;22.9;93.541667;81;7.2;1.5125;
2020-04-14;null;null;null;null;null;22.7;null;95;4.1;null;
2020-04-15;null;null;null;null;null;null;null;null;null;null;
2020-04-16;null;null;null;null;null;null;68.666667;44;8.6;null;
2020-04-17;0;988.858333;22.504167;31.3;25.9375;22.5;82.583333;56;8.6;2.129167;
2020-04-18;0;988.791667;22.05;31.3;25.891667;22.8;80.958333;52;8.6;2.329167;
2020-04-19;2.8;989.1375;22.020833;29.4;24.75;22.7;85.5;58;8.8;2.775;
2020-04-20;.4;988.6625;22.220833;28;24.029167;22.1;89.833333;69;7.7;2.216667;
2020-04-21;28.4;988.3875;21.575;28.5;23.266667;21.4;90.416667;66;8.2;2.504167;
2020-04-22;6.8;987.845833;21.816667;26.9;23.479167;21.9;90.583333;72;7.3;2.104167;
2020-04-23;4.6;987.6875;22.166667;25.3;23.4125;22.4;92.75;81;7.3;2.258333;
2020-04-24;27.8;988.7625;21.695833;24.3;22.583333;21.9;94.833333;88;9.5;2.508333;
2020-04-25;11.4;989.208333;20.195833;28.2;23.8125;20.2;81;61;9.9;2.9375;
2020-04-26;36.2;989.225;22.1375;29.3;24.291667;22.3;88.333333;63;9.7;2.5;
2020-04-27;5.4;990.258333;20.829167;25;23.05;21.5;87.708333;71;11;3.241667;
2020-04-28;4.4;990.279167;20.45;28.7;24.041667;21.2;81.916667;52;8.1;2.85;
2020-04-29;15.4;990.85;21.175;25.4;22.4625;21.2;92.541667;80;11;2.570833;
2020-04-30;5.6;990.004167;21.479167;28.6;23.5125;21.4;88.958333;63;7.7;2.016667;
2020-05-01;.2;990.433333;21.995833;29.7;24.85;22.5;85.041667;59;5.9;1.645833;
2020-05-02;.8;989.3125;22.054167;30.1;25.579167;23.1;81.958333;58;7.5;1.75;
2020-05-03;0;987.845833;21.395833;32.2;25.720833;21.4;79.291667;50;4.7;1.308333;
2020-05-04;0;988.229167;22.033333;27.9;23.6;22.5;91.083333;67;10.4;2.066667;
2020-05-05;5.4;988.720833;21.404167;27.5;23.220833;21.3;89.916667;67;7.8;2.016667;
2020-05-06;11.2;988.7875;22.204167;27.3;23.8375;22.1;90.875;70;6.3;1.891667;
2020-05-07;3.4;987.704167;21.866667;30.2;25.225;22.8;83.458333;51;4;1.183333;
2020-05-08;.2;989.2625;21.7125;30.6;24.95;21.7;83.375;55;10;1.991667;
2020-05-09;0;991.329167;19.804167;24.2;22.191667;20.8;86.5;77;10.6;3.804167;
2020-05-10;12.2;991.766667;20.129167;23.6;21.216667;20;93.5;84;9.5;2.758333;
2020-05-11;9.4;991.133333;20.445833;26.9;22.004167;19.4;91.166667;72;9.2;2.445833;
2020-05-12;2.2;989.504167;21.645833;29.2;24.116667;21.9;87.041667;60;10;2.654167;
2020-05-13;3.6;989.325;21.4;26.9;23.1625;21.5;90.125;67;8.4;2.35;
2020-05-14;2.2;989.025;21.491667;28.7;23.9375;21.7;86.75;65;6.5;1.479167;
2020-05-15;3.4;988.970833;21.808333;30;25.1375;21.7;83.25;56;7.4;1.666667;
2020-05-16;0;988.770833;20.783333;29.9;24.266667;20;82.625;52;6.1;1.2875;
2020-05-17;0;989.1125;20.591667;30.1;24.283333;19.5;81.875;50;7;1.55;
2020-05-18;0;990.3125;21.691667;27.8;24.116667;22;86.916667;69;7.6;2.179167;
2020-05-19;0;991.104167;21.775;28.5;23.5125;22.4;90.25;64;11;2.866667;
2020-05-20;32.2;991.466667;20.875;26.6;22.8625;21.7;89.166667;66;11.3;2.954167;
2020-05-21;6.8;991.0625;21.925;24.9;22.683333;21.8;95.541667;89;9.2;2.225;
2020-05-22;13.6;990.541667;22.129167;29.9;24.15;21.9;89.166667;58;6.5;1.65;
2020-05-23;5;990.1375;21.95;29.6;24.716667;22.5;85.875;60;9.5;1.895833;
2020-05-24;.2;989.354167;21.804167;29.2;24.291667;21.5;86.875;61;5.9;1.445833;
2020-05-25;1.8;988.245833;20.820833;30.8;24.4125;20.2;82.583333;52;5.7;1.191667;
2020-05-26;0;987.833333;22.2375;28.1;24.454167;21.3;88.125;68;5.7;1.354167;
2020-05-27;0;986.8625;22.520833;30.9;25.595833;21.7;84.25;61;3.8;.970833;
2020-05-28;0;989.108333;21.595833;25.9;23.658333;23.5;88.666667;73;11;2.729167;
2020-05-29;null;null;null;null;null;20.5;null;67;9.7;null;
2020-05-30;null;990.766667;19.416667;24.6;21.475;19.4;88.5;73;8.8;2.241667;
2020-05-31;.2;990.45;19.195833;25.9;22.504167;19.2;82.208333;65;7.2;2.204167;
2020-06-01;0;989.641667;21.058333;25.7;22.925;20.7;89.25;80;7.3;2.054167;
2020-06-02;.2;989.391667;22.125;29.9;24.708333;22.4;86.375;61;4.5;1.354167;
2020-06-03;1.6;989.991667;22.3875;30.1;24.8375;21.3;87.125;60;7.5;1.820833;
2020-06-04;.6;990.766667;22.6125;26;23.829167;22.5;93.083333;79;9.9;2.408333;
2020-06-05;21.2;992.141667;20.641667;26.9;22.820833;19.9;88.166667;64;8.2;2.608333;
2020-06-06;3.6;991.75;21.3125;26;22.891667;21.6;91.125;73;9.3;2.520833;
2020-06-07;2.8;991.475;21.5625;27.2;23.170833;21.5;91;69;8;2.145833;
2020-06-08;7.8;990.708333;19.741667;27.7;22.85;19.4;84;57;8.3;2.2125;
2020-06-09;0;989.8625;20.5125;26.3;21.641667;18.3;93.458333;76;5.9;1.420833;
2020-06-10;3.2;990.133333;21.154167;29.1;23.675;19.9;87;57;6.6;1.55;
2020-06-11;0;990.845833;20.916667;29.4;22.983333;18.8;89.291667;57;9.9;1.541667;
