Nome: CORRENTINA
Codigo Estacao: A416
Latitude: -13.33249999
Longitude: -44.61749999
Altitude: 551.71
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;0;948.391667;22.558333;30.4;24.720833;21.5;88.458333;62;7.1;1.258333;
2020-01-02;3.2;949.1875;21.9875;26.5;23.65;22.1;90.583333;76;7.7;1.670833;
2020-01-03;16;949.879167;21.879167;30.3;23.641667;20.9;90.708333;62;10.8;1.629167;
2020-01-04;8.2;949.658333;null;30.9;23.9875;21.5;88.875;62;11.6;1.883333;
2020-01-05;7.2;950.216667;21.5875;28.9;23.466667;20.8;90.333333;66;9.2;2.1375;
2020-01-06;1.2;949.879167;null;30.7;24.258333;21.3;88.0625;65;9.7;1.408333;
2020-01-07;58.4;950.879167;null;31.4;24.083333;20.3;83.375;54;6.7;1.233333;
2020-01-08;.2;949.554167;22.48;34.1;26.583333;20.1;75.5;49;6.6;1.1875;
2020-01-09;0;949.325;22.804167;34.7;26.441667;21.1;82.375;50;10;1.254167;
2020-01-10;13.8;949.541667;22.17;33.4;26.504167;21.1;76;46;5.8;1.345833;
2020-01-11;0;949.391667;20.475;34;25.65;18.3;77.166667;40;5.2;1.1125;
2020-01-12;0;949.808333;20.791667;34.9;26.425;19.1;75.375;39;6.6;1.0875;
2020-01-13;0;949.508333;20.366667;35.6;27.354167;20.5;70.458333;29;5.7;1.108333;
2020-01-14;0;948.8875;19.904167;35.5;26.8375;18.5;69.958333;37;6;1.258333;
2020-01-15;0;949.008333;19.579167;34.9;26.416667;18.8;70.708333;34;5.9;1.504167;
2020-01-16;0;950.483333;18.466667;35.5;25.4375;16.5;70.083333;34;5.5;1.220833;
2020-01-17;0;950.379167;19.425;36.5;26.866667;18.5;68.375;36;5.2;1.170833;
2020-01-18;0;950.525;21.2;35.9;27.358333;20.2;71.666667;42;6.3;1.404167;
2020-01-19;0;949.883333;20.8625;34.5;26.495833;19.9;74.208333;40;6.1;1.329167;
2020-01-20;0;948.041667;20.033333;36.1;26.416667;18;71.583333;37;8.6;1.541667;
