Nome: ITABAIANINHA
Codigo Estacao: A417
Latitude: -11.2725
Longitude: -37.795
Altitude: 204.8
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-2.635;
2020-01-01;0100;-2.556;
2020-01-01;0200;-2.668;
2020-01-01;0300;-2.859;
2020-01-01;0400;-2.999;
2020-01-01;0500;-1.562;
2020-01-01;0600;-2.462;
2020-01-01;0700;-1.393;
2020-01-01;0800;-2.732;
2020-01-01;0900;88.821;
2020-01-01;1000;496.278;
2020-01-01;1100;921.263;
2020-01-01;1200;1630.42;
2020-01-01;1300;1792.018;
2020-01-01;1400;2226.82;
2020-01-01;1500;1274.213;
2020-01-01;1600;1218.433;
2020-01-01;1700;1304.085;
2020-01-01;1800;931.619;
2020-01-01;1900;727.199;
2020-01-01;2000;353.651;
2020-01-01;2100;18.523;
2020-01-01;2200;-3.425;
2020-01-01;2300;-3.438;
2020-01-02;0000;-3.539;
2020-01-02;0100;-3.26;
2020-01-02;0200;-3.339;
2020-01-02;0300;-3.402;
2020-01-02;0400;-3.477;
2020-01-02;0500;-3.341;
2020-01-02;0600;-3.261;
2020-01-02;0700;-2.867;
2020-01-02;0800;-2.887;
2020-01-02;0900;80.701;
2020-01-02;1000;533.079;
2020-01-02;1100;1111.538;
2020-01-02;1200;2092.605;
2020-01-02;1300;2444.245;
2020-01-02;1400;3083.268;
2020-01-02;1500;3010.897;
2020-01-02;1600;2052.568;
2020-01-02;1700;2530.613;
2020-01-02;1800;695.762;
2020-01-02;1900;473.005;
2020-01-02;2000;369.46;
2020-01-02;2100;91.108;
2020-01-02;2200;-3.539;
2020-01-02;2300;-3.484;
2020-01-03;0000;-3.535;
2020-01-03;0100;-3.54;
2020-01-03;0200;-3.516;
2020-01-03;0300;-3.505;
2020-01-03;0400;-3.494;
2020-01-03;0500;-3.533;
2020-01-03;0600;-3.535;
2020-01-03;0700;-3.209;
2020-01-03;0800;-3.002;
2020-01-03;0900;90.932;
2020-01-03;1000;476.425;
2020-01-03;1100;959.211;
2020-01-03;1200;1687.757;
2020-01-03;1300;2542.544;
2020-01-03;1400;2263.131;
2020-01-03;1500;2709.768;
2020-01-03;1600;1891.531;
2020-01-03;1700;1656.829;
2020-01-03;1800;1003.709;
2020-01-03;1900;601.856;
2020-01-03;2000;223.944;
2020-01-03;2100;69.386;
2020-01-03;2200;-3.523;
2020-01-03;2300;-3.54;
2020-01-04;0000;-3.54;
2020-01-04;0100;-3.54;
2020-01-04;0200;-3.54;
2020-01-04;0300;-3.54;
2020-01-04;0400;-3.498;
2020-01-04;0500;-3.54;
2020-01-04;0600;-3.54;
2020-01-04;0700;-3.436;
2020-01-04;0800;-3.54;
2020-01-04;0900;105.121;
2020-01-04;1000;481.65;
2020-01-04;1100;1504.716;
2020-01-04;1200;2407.79;
2020-01-04;1300;2439.489;
2020-01-04;1400;2892.1;
2020-01-04;1500;3629.286;
2020-01-04;1600;2275.136;
2020-01-04;1700;2236.612;
2020-01-04;1800;2592.554;
2020-01-04;1900;1935.154;
2020-01-04;2000;1064.816;
2020-01-04;2100;134.634;
2020-01-04;2200;-3.54;
2020-01-04;2300;-3.54;
2020-01-05;0000;-3.54;
2020-01-05;0100;-3.54;
2020-01-05;0200;-3.54;
2020-01-05;0300;-3.54;
2020-01-05;0400;-3.505;
2020-01-05;0500;-3.52;
2020-01-05;0600;-3.509;
2020-01-05;0700;-3.285;
2020-01-05;0800;-2.866;
2020-01-05;0900;60.782;
2020-01-05;1000;403.974;
2020-01-05;1100;743.956;
2020-01-05;1200;1812.265;
2020-01-05;1300;2248.274;
2020-01-05;1400;1443.731;
2020-01-05;1500;2767.499;
2020-01-05;1600;2076.014;
2020-01-05;1700;2154.955;
2020-01-05;1800;2002.581;
2020-01-05;1900;1662.695;
2020-01-05;2000;420.89;
2020-01-05;2100;83.344;
2020-01-05;2200;-3.54;
2020-01-05;2300;-3.54;
2020-01-06;0000;-3.54;
2020-01-06;0100;-3.54;
2020-01-06;0200;-3.54;
2020-01-06;0300;-3.522;
2020-01-06;0400;-3.539;
2020-01-06;0500;-3.539;
2020-01-06;0600;-3.54;
2020-01-06;0700;-3.54;
2020-01-06;0800;-3.159;
2020-01-06;0900;88.611;
2020-01-06;1000;336.964;
2020-01-06;1100;586.361;
2020-01-06;1200;1560.5;
