Nome: BREJO GRANDE
Codigo Estacao: A421
Latitude: -10.47388888
Longitude: -36.48194443
Altitude: 6.11
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;1.6;1011.325;23.925;31.2;26.945833;24.3;84.416667;61;8.8;1.620833;
2020-01-02;0;1011.245833;23.433333;33.1;28.170833;25.1;76.333333;55;10.1;2.641667;
2020-01-03;0;1011.591667;24.054167;33.7;28.2875;25.4;78.541667;58;10.5;2.7875;
2020-01-04;0;1011.65;23.179167;32.9;27.979167;24.4;76.291667;55;11.3;2.783333;
2020-01-05;0;1011.975;23.1625;33.1;27.641667;23.7;77.5;55;8.4;2.1875;
2020-01-06;.2;1011.654167;23.220833;33.3;27.929167;23.8;76.583333;57;9.5;2.441667;
2020-01-07;0;1012.395833;22.708333;33.7;28.029167;24.2;74.041667;47;8.4;2.066667;
2020-01-08;0;1012.025;22.4875;34;27.529167;21.5;75.666667;46;7.5;1.416667;
2020-01-09;0;1011.933333;22.8;32.8;26.808333;22;80.125;52;8.9;1.879167;
2020-01-10;0;1012.758333;22.4125;33.2;27.816667;23.1;73.666667;52;9.1;2.220833;
2020-01-11;0;1012.656522;23.056522;33.3;28.578261;25.9;73;52;9;2.726087;
2020-01-12;.4;1013.031818;23.5;33.7;28.463636;24.9;75.5;57;8.7;2.404545;
2020-01-13;0;1012.127273;23.068182;33;28.209091;22.8;74.636364;55;7.4;2.086364;
2020-01-14;0;1011.963636;21.845455;33.5;28.259091;23.5;69.772727;43;8.1;1.922727;
2020-01-15;0;1012.481818;22.154545;33.7;28.136364;22;71.181818;46;8.8;1.772727;
2020-01-16;null;1013.77619;22.557143;32.5;null;22.6;71.619048;55;8.8;2.128571;
2020-01-17;null;1013.978947;22.905263;33;null;26.2;70.578947;52;9.5;3.005263;
2020-01-18;null;1013.885714;23.609524;33.1;null;23;75.619048;60;8.9;1.942857;
2020-01-19;null;1012.833333;23.542857;31.7;null;24.6;80.190476;63;7.7;1.504762;
2020-01-20;null;1011.142105;21.847368;32.4;null;23.9;69.473684;50;8.9;2.226316;
2020-01-21;null;1009.478947;23.468421;33.5;null;25.3;73.315789;57;10.2;2.852632;
2020-01-22;null;1009.857895;24.678947;33.6;null;25.9;76.578947;56;10.4;3.221053;
2020-01-23;null;null;null;31.8;null;25.9;82.058824;67;10.1;null;
2020-01-24;null;null;null;31.5;null;26.4;79.866667;69;10;null;
2020-01-25;null;1011.816667;24.383333;33.6;null;25.7;74.222222;59;10;3.211111;
2020-01-26;null;1011.577778;25.3;34;null;27.1;78.444444;62;11.3;3.561111;
2020-01-27;null;null;null;33;null;27;74.823529;60;8.7;null;
2020-01-28;null;null;null;32.9;null;26.5;69.625;44;8.9;null;
2020-01-29;null;null;null;33.7;null;25.6;68.125;49;9.6;null;
2020-01-30;null;null;null;33.9;null;26;68.4375;51;9.4;null;
2020-01-31;null;null;null;33.4;null;25.3;69.4375;52;8.7;null;
2020-02-01;null;null;null;33.8;null;26.5;72.866667;56;7.6;null;
2020-02-02;null;null;null;33.8;null;27.2;75.2;59;8.5;null;
2020-02-03;null;null;null;34.2;null;24.8;74.533333;57;10.1;null;
2020-02-04;null;null;null;null;null;null;78.571429;62;8.8;null;
2020-02-05;null;null;null;31.6;null;24.2;79.8;65;9.3;null;
2020-02-06;null;null;null;null;null;null;74.928571;56;7.2;null;
2020-02-07;null;null;null;null;null;null;71.428571;56;7.8;null;
2020-02-08;null;null;null;null;null;null;73.571429;62;9.2;null;
2020-02-09;null;null;null;null;null;null;74.615385;62;7.4;null;
2020-02-10;null;null;null;null;null;null;79.714286;65;7.2;null;
2020-02-11;null;null;null;null;null;null;65.928571;54;9.4;null;
2020-02-12;5.6;1012.166667;24.0375;31.8;26.816667;23.4;85.416667;60;7.7;1.095833;
2020-02-13;null;1011.805263;24.784211;31.6;null;24.4;83.684211;68;6.4;1.221053;
2020-02-14;null;null;null;null;null;null;81.285714;67;10.7;null;
2020-02-15;8;1012.004167;23.1;32.6;27.4875;22.1;78.041667;57;7.3;1.354167;
2020-02-16;0;1012.104167;23.391667;32.8;27.370833;22.6;80.125;56;7.6;1.216667;
2020-02-17;.2;1011.870833;24.375;32.6;28.05;23.7;81.208333;62;9.1;1.670833;
2020-02-18;.2;1012.058333;23.995833;32.7;28.583333;26.7;76.75;60;10.1;2.354167;
2020-02-19;0;1010.933333;22.941667;32.5;27.341667;22.4;77.791667;53;7.9;1.454167;
2020-02-20;0;1010.958333;23.925;33;26.458333;22.8;87.083333;61;6.9;1.179167;
2020-02-21;41;1011.154167;24.354167;32.2;27.2;23.6;85.416667;66;6.7;1.158333;
2020-02-22;0;1011.833333;24.016667;32.8;28.208333;24.6;79.125;57;7.3;1.416667;
2020-02-23;0;1012.520833;24.875;32.5;28.4625;25.1;81.583333;64;7.5;1.658333;
2020-02-24;6.8;1012.3;24.5;31.9;28.179167;25;81;60;8.6;1.854167;
2020-02-25;3.4;1011.7125;24.608333;32.3;28.166667;24.9;81.625;63;8.9;1.466667;
2020-02-26;5.8;1010.8125;24.508333;32.6;27.666667;24.5;84;57;8.6;1.483333;
2020-02-27;0;1011.079167;24.358333;32.3;28.116667;23.2;80.75;65;9.1;2.079167;
2020-02-28;0;1012.3;24.925;33;28.791667;25.5;80.041667;64;10;2.633333;
2020-02-29;0;1012.883333;24.0625;33.2;28.604167;25.4;77.083333;56;8.5;1.825;
2020-03-01;0;1012.7125;22.7375;33.3;27.895833;22.9;74.958333;52;6.8;1.041667;
2020-03-02;0;1011.733333;23.070833;33.4;27.316667;21.7;78.916667;57;7.3;1.0875;
2020-03-03;0;1011.779167;23.666667;33.3;27.908333;23.1;78.666667;57;8;1.3625;
2020-03-04;0;1012.3125;24.3125;33.8;28.9;24.2;77.5;54;8.6;1.95;
2020-03-05;0;1012.395833;25.075;35;29.125;24.9;79.791667;53;9.6;1.945833;
2020-03-06;0;1011.095833;24.816667;34.9;29.316667;25.8;78;51;10.6;2.225;
2020-03-07;0;1011.020833;24.470833;31.9;28.141667;24.4;81.208333;63;6.5;.925;
2020-03-08;0;1010.933333;23.845833;34;27.245833;22;83;58;8.2;1.175;
2020-03-09;0;1011.675;23.6;33.7;27.916667;23;79.041667;55;7.7;1.183333;
2020-03-10;0;1011.533333;23.4875;33.8;27.716667;21.6;78.666667;59;6.3;1.2125;
2020-03-11;18.6;1010.729167;24.883333;31.7;27.808333;24.5;84.625;68;9.5;1.804167;
2020-03-12;.8;1011.170833;24.254167;32.7;28.233333;24.7;79.916667;56;8.6;1.7;
2020-03-13;2.2;1012.25;23.325;31.8;26.916667;23;81.833333;58;9.6;1.166667;
2020-03-14;10.8;1012.770833;23.65;32;27.858333;23.8;78.5;61;8.6;1.691667;
2020-03-15;.2;1012.05;23.554167;32.2;27.741667;23.7;78.416667;61;9.8;1.3625;
2020-03-16;2.2;1012.075;24.354167;30.4;25.554167;24.6;93.25;72;6.2;.6625;
2020-03-17;5.6;1012.208333;24.2125;32.7;27.254167;23.7;84.708333;57;6.6;1.033333;
2020-03-18;9;1011.595833;24.6875;32;27.020833;24.3;87.625;67;6.7;.945833;
2020-03-19;0;1010.1;24.816667;32.7;28.254167;24.8;82.375;63;9.6;1.883333;
2020-03-20;0;1009.675;24.608333;33;28.566667;24.9;80.125;58;9.4;1.770833;
2020-03-21;0;1010.458333;25.204167;34.6;28.920833;25.4;81.166667;57;7.2;1.345833;
2020-03-22;0;1011.133333;25.1125;35.6;29.354167;25.5;79.375;53;6.6;1.308333;
2020-03-23;0;1012.375;24.8;33.1;28.441667;26.3;81.333333;58;10.3;1.775;
2020-03-24;0;1011.666667;24.179167;33;27.395833;23.1;83.333333;65;8.5;1.483333;
2020-03-25;4.6;1011.308333;24.579167;30.9;26.616667;24.2;89.166667;72;8.4;1.395833;
2020-03-26;18.8;1010.95;24.716667;29.4;26.129167;24.3;92.333333;75;7.5;1.654167;
2020-03-27;0;1010.816667;24.795833;32.6;26.875;23.6;89.083333;65;8.3;.725;
2020-03-28;4.4;1011.9875;24.391667;31.2;25.866667;22.9;92;70;8.2;.541667;
2020-03-29;15;1012.379167;24.5875;29.5;25.5125;24.5;94.958333;75;10.4;1.329167;
