Nome: REMANSO
Codigo Estacao: A423
Latitude: -9.62555554
Longitude: -42.07722221
Altitude: 397.4
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-2.998;
2020-01-01;0100;-2.74;
2020-01-01;0200;-2.539;
2020-01-01;0300;-3.479;
2020-01-01;0400;-3.54;
2020-01-01;0500;-2.711;
2020-01-01;0600;-3.289;
2020-01-01;0700;-3.045;
2020-01-01;0800;-3.512;
2020-01-01;0900;1.967;
2020-01-01;1000;93.062;
2020-01-01;1100;183.636;
2020-01-01;1200;224.797;
2020-01-01;1300;345.134;
2020-01-01;1400;1007.345;
2020-01-01;1500;1443.93;
2020-01-01;1600;2259.355;
2020-01-01;1700;2971.683;
2020-01-01;1800;2703.486;
2020-01-01;1900;2119.405;
2020-01-01;2000;1010.886;
2020-01-01;2100;39.517;
2020-01-01;2200;-1.979;
2020-01-01;2300;-3.534;
2020-01-02;0000;-3.54;
2020-01-02;0100;-3.54;
2020-01-02;0200;-3.499;
2020-01-02;0300;-3.54;
2020-01-02;0400;-3.538;
2020-01-02;0500;-3.538;
2020-01-02;0600;-3.532;
2020-01-02;0700;-3.54;
2020-01-02;0800;-3.54;
2020-01-02;0900;20.065;
2020-01-02;1000;249.94;
2020-01-02;1100;1253.681;
2020-01-02;1200;2018.683;
2020-01-02;1300;2988.959;
2020-01-02;1400;3722.449;
2020-01-02;1500;4013.062;
2020-01-02;1600;3838.183;
2020-01-02;1700;793.122;
2020-01-02;1800;630.758;
2020-01-02;1900;1867.479;
2020-01-02;2000;1008.769;
2020-01-02;2100;204.536;
2020-01-02;2200;-.523;
2020-01-02;2300;-3.326;
2020-01-03;0000;-2.562;
2020-01-03;0100;-2.788;
2020-01-03;0200;-2.305;
2020-01-03;0300;-1.217;
2020-01-03;0400;-1.378;
2020-01-03;0500;-3.398;
2020-01-03;0600;-3.524;
2020-01-03;0700;-3.337;
2020-01-03;0800;-3.471;
2020-01-03;0900;-.485;
2020-01-03;1000;53.504;
2020-01-03;1100;242.952;
2020-01-03;1200;507.67;
2020-01-03;1300;962.431;
2020-01-03;1400;990.792;
2020-01-03;1500;1521.307;
2020-01-03;1600;1886.063;
2020-01-03;1700;1249.266;
2020-01-03;1800;1706.212;
2020-01-03;1900;1253.188;
2020-01-03;2000;1142.258;
2020-01-03;2100;384.142;
2020-01-03;2200;.582;
2020-01-03;2300;-3.536;
2020-01-04;0000;-2.405;
2020-01-04;0100;-3.295;
2020-01-04;0200;-3.479;
2020-01-04;0300;-3.54;
2020-01-04;0400;-3.538;
2020-01-04;0500;-3.52;
2020-01-04;0600;-2.133;
2020-01-04;0700;-3.431;
2020-01-04;0800;-3.497;
2020-01-04;0900;8.535;
2020-01-04;1000;146.298;
2020-01-04;1100;295.157;
2020-01-04;1200;1009.804;
2020-01-04;1300;1394.907;
2020-01-04;1400;2385.452;
2020-01-04;1500;3032.674;
2020-01-04;1600;3303.107;
2020-01-04;1700;876.315;
2020-01-04;1800;2304.92;
2020-01-04;1900;1233.417;
2020-01-04;2000;571.293;
2020-01-04;2100;13.496;
2020-01-04;2200;-1.262;
2020-01-04;2300;-1.946;
2020-01-05;0000;-2.331;
2020-01-05;0100;-1.78;
2020-01-05;0200;-2.66;
2020-01-05;0300;-2.595;
2020-01-05;0400;-1.879;
2020-01-05;0500;-1.626;
2020-01-05;0600;-2.581;
2020-01-05;0700;-2.662;
2020-01-05;0800;-2.186;
2020-01-05;0900;18.247;
2020-01-05;1000;322.655;
2020-01-05;1100;807.855;
2020-01-05;1200;1417.318;
2020-01-05;1300;2176.334;
2020-01-05;1400;3249.196;
2020-01-05;1500;1609.389;
2020-01-05;1600;1422.462;
