Nome: IRECE
Codigo Estacao: A424
Latitude: -11.328998
Longitude: -41.864504
Altitude: 768.42
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;38.4;926.3;19.770833;27.3;23.454167;19.6;80.875;60;10.1;2.220833;
2020-01-02;0;926.270833;19.554167;31.2;23.870833;21.2;78.583333;47;12.9;1.570833;
2020-01-03;32;927.491667;null;26.9;22.645833;20.2;82.071429;66;6.9;1.879167;
2020-01-04;2.4;927.233333;19.779167;28.1;23.783333;20.4;79.625;53;10.1;2.25;
2020-01-05;19.4;927.9125;null;23.7;21.2875;19.3;82.583333;73;11;1.4125;
2020-01-06;.8;926.729167;19.72381;30.1;24.179167;20.4;76.047619;46;11.6;1.783333;
2020-01-07;0;927.125;19.620833;32.8;26.0875;21.1;70.458333;41;6.1;1.633333;
2020-01-08;0;926.808333;19.3125;33;27.108333;22.2;64.708333;36;8.8;1.520833;
2020-01-09;0;926.7875;18.733333;33.6;26.204167;20.7;67.041667;27;7.2;1.775;
2020-01-10;0;927.125;15.033333;32.4;25.7875;19.6;53.875;29;9.7;2.154167;
2020-01-11;0;926.875;15.966667;32.7;26.058333;20;56.875;29;7.7;2.433333;
2020-01-12;0;927.5;16.0875;32.9;26.483333;21;56.291667;29;8.8;3.1375;
2020-01-13;0;926.745833;15.729167;34.3;27.354167;20.3;53.083333;27;13.2;2.304167;
2020-01-14;0;926.170833;15.883333;34.7;27.591667;21.4;52.708333;23;8.2;2.408333;
2020-01-15;0;926.516667;14.354167;33.9;26.958333;20.4;48.791667;27;8.7;3.2;
2020-01-16;0;928.033333;15.245833;34.2;26.816667;20.3;52.583333;28;15;3.533333;
2020-01-17;0;927.858333;15.679167;34.2;27.304167;20.7;52.541667;28;7.9;2.6125;
2020-01-18;0;927.954167;15.783333;34.6;27.383333;21.2;52.875;25;9.8;2.633333;
2020-01-19;0;927.408333;15.120833;32.3;26.079167;19.9;53.208333;31;10.6;3.6625;
2020-01-20;0;925.704167;15.4625;33.5;26.754167;20.6;53.625;28;7.6;2.120833;
2020-01-21;0;924.745833;17.075;30.4;26.170833;23.3;57.958333;40;9;2.308333;
2020-01-22;4.4;925.35;19.8625;27.2;22.441667;20.9;85.916667;65;10.4;2.020833;
2020-01-23;12.4;926.283333;null;26.6;21.029167;19.7;null;67;20.4;1.354167;
2020-01-24;13;927.241667;null;22.9;20.791667;19;null;83;10.1;2.095833;
2020-01-25;2.6;926.820833;null;31.6;24.591667;20;63.615385;47;6.7;1.604167;
2020-01-26;17.4;927.733333;null;25.6;21.554167;20.9;null;71;11.1;2.458333;
2020-01-27;12;927.833333;20.15;28.9;23.408333;19.6;78.166667;57;9;1.958333;
2020-01-28;0;928.3125;19.880952;30.5;24.841667;20.9;73.904762;45;8.6;2.458333;
2020-01-29;0;928.508333;18.870833;31.6;24.845833;20;71.958333;41;10.1;2.595833;
2020-01-30;0;928.720833;16.9875;30.7;24.308333;18.7;66.875;36;10.4;2.658333;
2020-01-31;0;928.55;16.975;31.9;24.979167;18.5;64.791667;34;8.6;2.2375;
2020-02-01;0;928.375;17.0625;32.8;25.720833;19.6;61.833333;32;5.9;1.266667;
2020-02-02;0;927.954167;18.825;29.6;25.1375;21.2;69;52;6.4;1.670833;
2020-02-03;0;928.083333;20.291667;30;25.2375;21.9;74.666667;55;10.2;2.716667;
2020-02-04;0;928.225;19.833333;30.6;24.3875;20.2;77.375;50;7;1.508333;
2020-02-05;0;927.770833;19.675;31.5;25.0125;20.7;74.75;45;9.3;2.025;
2020-02-06;.2;927.983333;19.779167;28.4;23.820833;20.7;79.5;53;7.3;1.3125;
2020-02-07;.8;926.491667;19.233333;29.9;23.8125;20.4;77.625;48;10.9;1.879167;
2020-02-08;2.4;927.45;19.833333;26.7;23.141667;20.6;82.291667;62;9.2;1.733333;
2020-02-09;3.8;929.179167;20.595833;27.7;23.245833;20.4;85.791667;61;10.1;1.8625;
2020-02-10;8;929.495833;18.975;32;25.141667;20.8;71.291667;36;7.5;2.15;
2020-02-11;.2;927.758333;18.608333;33.6;25.879167;19.6;67.416667;38;8.8;2.6375;
2020-02-12;0;926.916667;14.820833;33.2;25.954167;19.6;55.25;23;11.2;3.4875;
2020-02-13;0;926.970833;16.504167;33.5;25.770833;18.4;60.416667;30;8.6;2.516667;
2020-02-14;0;927.0125;17.5125;33.6;26.766667;21.6;59.458333;32;8.7;2.4125;
2020-02-15;0;926.970833;18.0125;33;25.941667;20.4;64.041667;33;15.1;2.591667;
2020-02-16;0;926.9625;16.3875;32.7;25.979167;20.6;59.625;28;10.9;2.545833;
2020-02-17;0;926.904167;14.925;33.7;26.316667;20.2;53.625;23;10.6;3.516667;
2020-02-18;0;927.008333;18.220833;33.9;25.470833;19.7;66.708333;33;9.2;3.241667;
2020-02-19;5;925.833333;17.3625;33;26.041667;20.8;62.625;30;14.9;3.15;
2020-02-20;0;925.991667;17.545833;32.7;26.166667;20.2;62;35;11.3;3.108333;
2020-02-21;0;926.633333;18.766667;34.1;24.720833;20.7;71.791667;33;11.3;2.341667;
2020-02-22;5.8;927.470833;20.645833;30.7;24.170833;21.1;81.833333;53;9.9;1.2;
2020-02-23;4.6;927.858333;20.366667;33;25.491667;20.7;76.458333;40;9.4;1.591667;
2020-02-24;.2;927.358333;18.116667;32.9;26.041667;21.2;65.166667;32;10.2;2.9375;
2020-02-25;0;927;17.2125;33.4;26.516667;21;60.125;30;10.6;3.379167;
2020-02-26;0;926.016667;16.916667;34.3;26.754167;19.7;59.166667;27;8.6;2.2875;
2020-02-27;0;926.145833;16.408333;34.6;27.970833;20.7;51.541667;31;8.4;1.7625;
2020-02-28;0;927.6375;19.633333;33;26.979167;21.9;65.541667;43;7.4;1.9;
2020-02-29;0;928.029167;17.545833;33.7;27.0375;21.4;59.416667;28;9.2;2.345833;
2020-03-01;0;927.795833;17.129167;32.4;26.129167;19.9;59.833333;37;6.5;1.554167;
2020-03-02;0;926.541667;17.204167;33.3;26.583333;20.1;58.375;34;7.4;1.616667;
2020-03-03;0;927.295833;19.154167;30.9;25.091667;21.8;71;45;10.1;2.416667;
2020-03-04;0;927.733333;19.108333;33.7;25.9375;20.5;69.208333;36;9.3;1.820833;
2020-03-05;63.4;928.958333;null;26.8;22.9375;19.9;null;61;10.6;1.8625;
2020-03-06;.4;927.65;null;29.7;24.616667;21.6;77.4375;58;10;1.4625;
2020-03-07;3;926.741667;null;28.9;23.495833;20.4;81;62;7.1;1.670833;
2020-03-08;20.2;926.720833;null;29.3;23.8125;20.4;82.733333;58;6.7;1.854167;
2020-03-09;96.4;927.725;null;29.1;22.808333;19.3;null;64;7.3;2.095833;
2020-03-10;2.2;927.0375;21.710526;30.2;24.441667;20.6;82.105263;56;8.1;2;
2020-03-11;7.4;926.391667;21.566667;29.1;24.654167;22;80.833333;58;7.1;1.4125;
2020-03-12;.2;926.604167;20.282609;30.8;24.533333;20.1;79.086957;41;11.5;1.879167;
2020-03-13;10.2;927.458333;19.741667;29.9;23.833333;20.3;80.083333;48;10.7;2.691667;
2020-03-14;0;928.175;18.758333;28.1;23.541667;20.2;76.208333;50;8.7;2.8125;
2020-03-15;0;927.854167;18.629167;28;22.879167;18.9;77.958333;55;9.8;2.404167;
2020-03-16;0;928.104167;18.533333;28.6;23.204167;18;76.666667;52;7.8;1.9;
2020-03-17;0;928.05;19.616667;29.9;24.520833;21.4;76.25;40;6.5;1.675;
2020-03-18;0;927.195833;19.554167;31.5;25.025;20.4;73.083333;44;4.6;1.166667;
2020-03-19;0;925.929167;20.379167;30.1;24.725;19.9;78.291667;51;7;1.608333;
2020-03-20;0;926.091667;20.754167;27.1;23.508333;21.3;85;68;8.8;2;
2020-03-21;.6;927.3125;20.811111;28;23.120833;20.3;84.777778;61;11.1;1.695833;
2020-03-22;5.6;927.858333;20.041667;30.3;25.145833;20.8;74.958333;50;7.3;1.3875;
2020-03-23;0;928.041667;20.704167;31.3;24.35;21.2;81.125;50;9.3;1.783333;
2020-03-24;0;927.958333;20.617391;29;23.879167;21.5;82.521739;57;9.8;1.904167;
2020-03-25;16.2;927.425;null;29.4;22.520833;19.1;77.538462;49;8;2.116667;
2020-03-26;4.2;926.970833;null;28.7;23.391667;20.2;74.266667;56;5.3;1.670833;
2020-03-27;0;926.591667;17.966667;29.9;23.325;18.6;73.75;48;10.9;2.7625;
2020-03-28;0;927.879167;18.9875;29.4;23.308333;19.3;77.75;54;9.7;3.033333;
2020-03-29;0;928.358333;18.916667;29.9;23.866667;18.5;75.541667;50;11;3.254167;
2020-03-30;0;927.3125;17.904167;29.3;23.308333;18.5;73.75;48;10.4;3.045833;
2020-03-31;0;926.670833;18.308333;29.8;22.983333;17.2;76.583333;51;10.5;2.5875;
2020-04-01;0;927.404167;18.954167;30.3;23.533333;18.9;77.041667;50;12;2.758333;
2020-04-02;0;928.625;17.9875;30.8;24.229167;18.3;71.291667;39;10.3;2.6625;
2020-04-03;0;927.129167;17.133333;31.6;24.3;17.9;67.666667;31;5.6;1.475;
2020-04-04;0;926.216667;17.9875;32.7;25.65;19.1;65.416667;35;6.8;1.108333;
2020-04-05;0;927.083333;19.695833;33.9;26.670833;21.1;67.958333;38;7.5;1.85;
2020-04-06;0;928.633333;19.891667;30.8;25.579167;21.1;72.25;50;8.1;2.445833;
2020-04-07;0;928.1625;19.545833;32.1;25.304167;20.2;72.625;44;8.1;2.154167;
2020-04-08;0;926.770833;19.354545;32;25.233333;19.5;70.772727;42;5.9;1.479167;
2020-04-09;0;926.320833;18.7875;32.1;25.675;20.3;67.375;39;6.8;1.666667;
2020-04-10;0;926.9125;20.6625;30.8;25.104167;21.8;77.541667;50;8.4;1.433333;
2020-04-11;20;927.741667;null;29.2;22.775;20.4;null;60;10.1;1.591667;
2020-04-12;48;927.979167;null;29.7;23.425;20.6;null;59;7.9;1.85;
2020-04-13;9.8;927.204167;null;26.9;22.775;21;null;72;10.9;2.383333;
2020-04-14;6.6;926.2625;null;27;21.908333;20.7;null;73;8;1.875;
2020-04-15;6.8;927.741667;null;27.8;23.045833;20.1;77.666667;62;7;1.4375;
2020-04-16;2.4;929.5375;null;28.6;23.695833;19.8;76.529412;57;6.8;1.808333;
2020-04-17;0;929.583333;19.6125;28.6;23.5375;19.8;80.125;56;8.1;2.166667;
2020-04-18;0;929.508333;20.5625;28.3;23.270833;19.8;85.333333;63;8.2;2.2;
2020-04-19;0;929.4875;20.173913;26.8;22.608333;19.8;86.217391;67;9.8;3.129167;
2020-04-20;0;929.05;20.263158;28.4;22.733333;19.5;83;62;9.1;2.475;
2020-04-21;0;928.804167;19.680952;27;22.445833;19.3;83.285714;63;8.5;2.8125;
