Nome: IRECE
Codigo Estacao: A424
Latitude: -11.328998
Longitude: -41.864504
Altitude: 768.42
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.485;
2020-01-01;0100;-3.46;
2020-01-01;0200;-3.334;
2020-01-01;0300;-2.862;
2020-01-01;0400;-2.599;
2020-01-01;0500;-3.165;
2020-01-01;0600;-3.521;
2020-01-01;0700;-3.433;
2020-01-01;0800;-3.364;
2020-01-01;0900;125.308;
2020-01-01;1000;775.058;
2020-01-01;1100;1378.99;
2020-01-01;1200;2226.008;
2020-01-01;1300;1707.822;
2020-01-01;1400;2970.822;
2020-01-01;1500;3046.504;
2020-01-01;1600;3088.017;
2020-01-01;1700;1449.729;
2020-01-01;1800;2297.286;
2020-01-01;1900;1935.767;
2020-01-01;2000;731.504;
2020-01-01;2100;130.127;
2020-01-01;2200;-3.479;
2020-01-01;2300;-3.537;
2020-01-02;0000;-3.54;
2020-01-02;0100;-3.48;
2020-01-02;0200;-3.54;
2020-01-02;0300;-3.54;
2020-01-02;0400;-3.201;
2020-01-02;0500;-3.509;
2020-01-02;0600;-3.123;
2020-01-02;0700;-3.407;
2020-01-02;0800;-3.107;
2020-01-02;0900;97.655;
2020-01-02;1000;733.627;
2020-01-02;1100;1294.959;
2020-01-02;1200;1454.02;
2020-01-02;1300;2914.871;
2020-01-02;1400;2975.627;
2020-01-02;1500;2985.459;
2020-01-02;1600;3534.706;
2020-01-02;1700;1450.789;
2020-01-02;1800;1159.1;
2020-01-02;1900;452.363;
2020-01-02;2000;102.469;
2020-01-02;2100;29.027;
2020-01-02;2200;-1.188;
2020-01-02;2300;-2.733;
2020-01-03;0000;-1.835;
2020-01-03;0100;-2.266;
2020-01-03;0200;-1.106;
2020-01-03;0300;-.801;
2020-01-03;0400;-.443;
2020-01-03;0500;-1.791;
2020-01-03;0600;-.53;
2020-01-03;0700;-.46;
2020-01-03;0800;.014;
2020-01-03;0900;2.14;
2020-01-03;1000;80.522;
2020-01-03;1100;156.674;
2020-01-03;1200;157.031;
2020-01-03;1300;514.276;
2020-01-03;1400;1852.892;
2020-01-03;1500;2641.18;
2020-01-03;1600;2585.388;
2020-01-03;1700;2938.711;
2020-01-03;1800;1407.616;
2020-01-03;1900;1119.676;
2020-01-03;2000;656.343;
2020-01-03;2100;226.216;
2020-01-03;2200;-3.504;
2020-01-03;2300;-3.54;
2020-01-04;0000;-3.54;
2020-01-04;0100;-3.54;
2020-01-04;0200;-3.538;
2020-01-04;0300;-3.311;
2020-01-04;0400;-2.847;
2020-01-04;0500;-1.395;
2020-01-04;0600;-1.776;
2020-01-04;0700;-2.095;
2020-01-04;0800;-.501;
2020-01-04;0900;51.78;
2020-01-04;1000;415.072;
2020-01-04;1100;758.106;
2020-01-04;1200;1475.954;
2020-01-04;1300;1958.719;
2020-01-04;1400;1859.056;
2020-01-04;1500;2052.632;
2020-01-04;1600;2175.827;
2020-01-04;1700;1960.05;
2020-01-04;1800;2557.255;
2020-01-04;1900;1956.095;
2020-01-04;2000;1033.127;
2020-01-04;2100;204.554;
2020-01-04;2200;-3.001;
2020-01-04;2300;-2.989;
2020-01-05;0000;-2.679;
2020-01-05;0100;-1.912;
2020-01-05;0200;-1.105;
2020-01-05;0300;-.072;
2020-01-05;0400;-.806;
2020-01-05;0500;-.941;
2020-01-05;0600;-1.379;
2020-01-05;0700;-.979;
2020-01-05;0800;-1.067;
2020-01-05;0900;33.112;
2020-01-05;1000;180.408;
2020-01-05;1100;314.778;
2020-01-05;1200;484.885;
2020-01-05;1300;1029.937;
2020-01-05;1400;1202.712;
2020-01-05;1500;1222.265;
2020-01-05;1600;695.054;
2020-01-05;1700;540.942;
2020-01-05;1800;450.888;
2020-01-05;1900;528.497;
2020-01-05;2000;414.294;
2020-01-05;2100;88.563;
2020-01-05;2200;-3.52;
2020-01-05;2300;-3.537;
2020-01-06;0000;-3.039;
2020-01-06;0100;-3.491;
2020-01-06;0200;-3.396;
2020-01-06;0300;-3.235;
2020-01-06;0400;-3.388;
2020-01-06;0500;-3.043;
2020-01-06;0600;-1.466;
2020-01-06;0700;-2.771;
2020-01-06;0800;-3.097;
2020-01-06;0900;63.724;
2020-01-06;1000;290.173;
2020-01-06;1100;969.286;
2020-01-06;1200;1862.634;
2020-01-06;1300;2725.033;
2020-01-06;1400;3101.721;
2020-01-06;1500;2635.112;
2020-01-06;1600;1725.855;
2020-01-06;1700;1992.675;
2020-01-06;1800;1591.351;
2020-01-06;1900;1015.303;
2020-01-06;2000;226.579;
2020-01-06;2100;13.711;
2020-01-06;2200;-2.849;
2020-01-06;2300;-3.105;
2020-01-07;0000;-3.331;
2020-01-07;0100;-3.199;
2020-01-07;0200;-3.515;
2020-01-07;0300;-3.283;
2020-01-07;0400;-3.54;
2020-01-07;0500;-3.483;
2020-01-07;0600;-3.479;
2020-01-07;0700;-3.54;
2020-01-07;0800;-2.707;
2020-01-07;0900;99.557;
2020-01-07;1000;943.858;
2020-01-07;1100;1090.001;
2020-01-07;1200;2025.132;
2020-01-07;1300;2269.521;
2020-01-07;1400;2315.871;
2020-01-07;1500;2825.2;
2020-01-07;1600;3252.734;
2020-01-07;1700;3301.358;
2020-01-07;1800;1861.145;
2020-01-07;1900;1992.98;
2020-01-07;2000;1068.376;
2020-01-07;2100;173.239;
2020-01-07;2200;-3.287;
2020-01-07;2300;-3.538;
2020-01-08;0000;-3.54;
2020-01-08;0100;-3.48;
2020-01-08;0200;-3.3;
2020-01-08;0300;-3.532;
2020-01-08;0400;-3.496;
2020-01-08;0500;-3.333;
2020-01-08;0600;-2.813;
2020-01-08;0700;-2.956;
2020-01-08;0800;-3.527;
2020-01-08;0900;68.083;
2020-01-08;1000;659.41;
2020-01-08;1100;550.249;
2020-01-08;1200;2237.023;
2020-01-08;1300;2287.801;
2020-01-08;1400;2560.281;
2020-01-08;1500;3456.516;
2020-01-08;1600;3193.693;
2020-01-08;1700;2958.418;
2020-01-08;1800;2686.302;
2020-01-08;1900;1752.186;
2020-01-08;2000;1116.702;
2020-01-08;2100;201.802;
2020-01-08;2200;-3.532;
2020-01-08;2300;-3.487;
2020-01-09;0000;-3.498;
2020-01-09;0100;-3.364;
2020-01-09;0200;-3.338;
2020-01-09;0300;-3.314;
2020-01-09;0400;-3.488;
2020-01-09;0500;-3.54;
2020-01-09;0600;-3.54;
2020-01-09;0700;-3.54;
2020-01-09;0800;-3.491;
2020-01-09;0900;87.112;
2020-01-09;1000;833.475;
2020-01-09;1100;1641.728;
2020-01-09;1200;2156.048;
2020-01-09;1300;3101.23;
2020-01-09;1400;3740.933;
2020-01-09;1500;3034.031;
2020-01-09;1600;2391.392;
2020-01-09;1700;2859.376;
2020-01-09;1800;2805.164;
2020-01-09;1900;2078.466;
2020-01-09;2000;1159.838;
2020-01-09;2100;239.131;
2020-01-09;2200;-3.531;
2020-01-09;2300;-3.538;
2020-01-10;0000;-3.54;
2020-01-10;0100;-3.54;
2020-01-10;0200;-3.54;
2020-01-10;0300;-2.881;
2020-01-10;0400;-3.52;
2020-01-10;0500;-3.515;
2020-01-10;0600;-3.54;
2020-01-10;0700;-3.54;
2020-01-10;0800;-3.473;
2020-01-10;0900;133.743;
2020-01-10;1000;884.792;
2020-01-10;1100;1850.333;
2020-01-10;1200;2719.754;
2020-01-10;1300;3402.959;
2020-01-10;1400;3901.048;
2020-01-10;1500;3191.408;
2020-01-10;1600;3361.916;
2020-01-10;1700;3515.994;
2020-01-10;1800;2843.744;
2020-01-10;1900;2261.244;
2020-01-10;2000;1174.828;
2020-01-10;2100;222.919;
2020-01-10;2200;-3.493;
2020-01-10;2300;-3.54;
2020-01-11;0000;-3.54;
2020-01-11;0100;-3.54;
2020-01-11;0200;-3.54;
2020-01-11;0300;-3.54;
2020-01-11;0400;-3.54;
2020-01-11;0500;-3.54;
2020-01-11;0600;-3.54;
2020-01-11;0700;-3.54;
2020-01-11;0800;-3.54;
2020-01-11;0900;82.434;
2020-01-11;1000;880.117;
2020-01-11;1100;1626.247;
2020-01-11;1200;1942.833;
2020-01-11;1300;3262.284;
2020-01-11;1400;3646.004;
2020-01-11;1500;4388.787;
2020-01-11;1600;3028.484;
2020-01-11;1700;3424.402;
2020-01-11;1800;1674.974;
2020-01-11;1900;1574.251;
2020-01-11;2000;998.238;
2020-01-11;2100;251.737;
2020-01-11;2200;-3.282;
2020-01-11;2300;-3.54;
2020-01-12;0000;-3.54;
2020-01-12;0100;-3.54;
2020-01-12;0200;-3.54;
2020-01-12;0300;-3.54;
2020-01-12;0400;-3.54;
2020-01-12;0500;-3.535;
2020-01-12;0600;-3.54;
2020-01-12;0700;-3.54;
2020-01-12;0800;-3.54;
2020-01-12;0900;79.581;
2020-01-12;1000;759.708;
2020-01-12;1100;1379.33;
2020-01-12;1200;2673.407;
2020-01-12;1300;3242.543;
2020-01-12;1400;3760.705;
2020-01-12;1500;3768.427;
2020-01-12;1600;4026.365;
2020-01-12;1700;3421.099;
2020-01-12;1800;2331.002;
2020-01-12;1900;2154.319;
2020-01-12;2000;1194.38;
2020-01-12;2100;299.27;
2020-01-12;2200;-3.459;
2020-01-12;2300;-3.54;
2020-01-13;0000;-3.54;
2020-01-13;0100;-3.54;
2020-01-13;0200;-3.54;
2020-01-13;0300;-3.54;
2020-01-13;0400;-3.54;
2020-01-13;0500;-3.54;
2020-01-13;0600;-3.54;
2020-01-13;0700;-3.54;
2020-01-13;0800;-3.54;
2020-01-13;0900;117.236;
2020-01-13;1000;860.863;
2020-01-13;1100;1836.063;
2020-01-13;1200;2696.507;
2020-01-13;1300;3380.821;
2020-01-13;1400;3622.74;
2020-01-13;1500;3941.171;
2020-01-13;1600;3176.668;
2020-01-13;1700;3675.642;
2020-01-13;1800;2652.884;
2020-01-13;1900;1220.677;
2020-01-13;2000;1146.47;
2020-01-13;2100;222.607;
2020-01-13;2200;-3.529;
2020-01-13;2300;-3.54;
2020-01-14;0000;-3.54;
2020-01-14;0100;-3.54;
2020-01-14;0200;-3.54;
2020-01-14;0300;-3.54;
2020-01-14;0400;-3.54;
2020-01-14;0500;-3.54;
2020-01-14;0600;-3.54;
2020-01-14;0700;-3.54;
2020-01-14;0800;-3.54;
2020-01-14;0900;144.155;
2020-01-14;1000;828.546;
2020-01-14;1100;1794.008;
2020-01-14;1200;2663.95;
2020-01-14;1300;3333.919;
2020-01-14;1400;3557.771;
2020-01-14;1500;2895.294;
2020-01-14;1600;3774.762;
2020-01-14;1700;2747.038;
2020-01-14;1800;2690.542;
2020-01-14;1900;2071.89;
2020-01-14;2000;1004.711;
2020-01-14;2100;236.808;
2020-01-14;2200;-3.488;
2020-01-14;2300;-3.54;
2020-01-15;0000;-3.54;
2020-01-15;0100;-3.54;
2020-01-15;0200;-3.54;
2020-01-15;0300;-3.54;
2020-01-15;0400;-3.54;
2020-01-15;0500;-3.54;
2020-01-15;0600;-3.54;
2020-01-15;0700;-3.54;
2020-01-15;0800;-3.54;
2020-01-15;0900;106.943;
2020-01-15;1000;831.582;
2020-01-15;1100;1810.984;
2020-01-15;1200;2689.602;
2020-01-15;1300;3376.752;
2020-01-15;1400;3820.014;
2020-01-15;1500;3936.043;
2020-01-15;1600;3625.151;
2020-01-15;1700;3403.889;
2020-01-15;1800;2298.407;
2020-01-15;1900;1821.258;
2020-01-15;2000;484.906;
2020-01-15;2100;182.247;
2020-01-15;2200;-3.217;
2020-01-15;2300;-3.54;
2020-01-16;0000;-3.54;
2020-01-16;0100;-3.54;
2020-01-16;0200;-3.54;
2020-01-16;0300;-3.54;
2020-01-16;0400;-3.54;
2020-01-16;0500;-3.54;
2020-01-16;0600;-3.54;
2020-01-16;0700;-3.54;
2020-01-16;0800;-3.54;
2020-01-16;0900;108.51;
2020-01-16;1000;849.148;
2020-01-16;1100;1843.071;
2020-01-16;1200;2734.274;
2020-01-16;1300;3431.287;
2020-01-16;1400;3877.262;
2020-01-16;1500;3870.625;
2020-01-16;1600;3817.641;
2020-01-16;1700;3096.287;
2020-01-16;1800;2968.997;
2020-01-16;1900;2220.28;
2020-01-16;2000;693.534;
2020-01-16;2100;152.458;
2020-01-16;2200;-3.482;
2020-01-16;2300;-3.54;
2020-01-17;0000;-3.54;
2020-01-17;0100;-3.54;
2020-01-17;0200;-3.54;
2020-01-17;0300;-3.54;
2020-01-17;0400;-3.54;
2020-01-17;0500;-3.54;
2020-01-17;0600;-3.54;
2020-01-17;0700;-3.54;
2020-01-17;0800;-3.54;
2020-01-17;0900;100.351;
2020-01-17;1000;787.328;
2020-01-17;1100;1733.066;
2020-01-17;1200;2619.72;
2020-01-17;1300;3303.451;
2020-01-17;1400;3718.276;
2020-01-17;1500;3728.533;
2020-01-17;1600;2844.591;
2020-01-17;1700;2966.057;
2020-01-17;1800;1754.419;
2020-01-17;1900;706.463;
