Nome: PORTO SEGURO
Codigo Estacao: A427
Latitude: -16.38888888
Longitude: -39.18249999
Altitude: 86.36
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.535;
2020-01-01;0100;-3.155;
2020-01-01;0200;-1.469;
2020-01-01;0300;-2.967;
2020-01-01;0400;-3.521;
2020-01-01;0500;-2.72;
2020-01-01;0600;-3.476;
2020-01-01;0700;-3.383;
2020-01-01;0800;null;
2020-01-01;0900;null;
2020-01-01;1000;null;
2020-01-01;1100;null;
2020-01-01;1200;660.597;
2020-01-01;1300;2486.813;
2020-01-01;1400;2445.554;
2020-01-01;1500;2690.199;
2020-01-01;1600;2085.068;
2020-01-01;1700;3394.15;
2020-01-01;1800;2789.169;
2020-01-01;1900;2091.216;
2020-01-01;2000;1251.943;
2020-01-01;2100;354.304;
2020-01-01;2200;2.217;
2020-01-01;2300;-3.54;
2020-01-02;0000;-3.317;
2020-01-02;0100;-3.54;
2020-01-02;0200;-3.54;
2020-01-02;0300;-2.689;
2020-01-02;0400;-3.54;
2020-01-02;0500;-3.54;
2020-01-02;0600;-3.203;
2020-01-02;0700;-3.379;
2020-01-02;0800;-3.21;
2020-01-02;0900;49.049;
2020-01-02;1000;421.786;
2020-01-02;1100;1678.561;
2020-01-02;1200;2571.563;
2020-01-02;1300;2859.575;
2020-01-02;1400;2741.345;
2020-01-02;1500;2769.402;
2020-01-02;1600;2472.85;
2020-01-02;1700;2651.008;
2020-01-02;1800;2068.34;
2020-01-02;1900;1148.905;
2020-01-02;2000;580.158;
2020-01-02;2100;67.421;
2020-01-02;2200;.121;
2020-01-02;2300;-3.54;
2020-01-03;0000;-3.485;
2020-01-03;0100;-2.472;
2020-01-03;0200;-3.433;
2020-01-03;0300;-3.54;
2020-01-03;0400;-3.417;
2020-01-03;0500;-3.514;
2020-01-03;0600;-3.258;
2020-01-03;0700;-3.414;
2020-01-03;0800;-3.362;
2020-01-03;0900;82.782;
2020-01-03;1000;943.441;
2020-01-03;1100;1845.986;
2020-01-03;1200;2334.499;
2020-01-03;1300;2643.971;
2020-01-03;1400;2890.4;
2020-01-03;1500;1383.893;
2020-01-03;1600;2964.445;
2020-01-03;1700;3099.374;
2020-01-03;1800;1607.535;
2020-01-03;1900;306.963;
2020-01-03;2000;169.545;
2020-01-03;2100;74.177;
2020-01-03;2200;-.768;
2020-01-03;2300;-3.495;
2020-01-04;0000;-1.93;
2020-01-04;0100;-2.906;
2020-01-04;0200;-2.465;
2020-01-04;0300;-2.014;
2020-01-04;0400;-3.037;
2020-01-04;0500;-3.239;
2020-01-04;0600;null;
2020-01-04;0700;null;
2020-01-04;0800;null;
2020-01-04;0900;null;
2020-01-04;1000;null;
2020-01-04;1100;null;
2020-01-04;1200;1161.021;
2020-01-04;1300;2128.034;
2020-01-04;1400;2252.718;
2020-01-04;1500;2562.377;
2020-01-04;1600;818.904;
2020-01-04;1700;1390.144;
2020-01-04;1800;1131.976;
2020-01-04;1900;189.399;
2020-01-04;2000;74.3;
2020-01-04;2100;39.748;
2020-01-04;2200;-2.301;
2020-01-04;2300;-3.521;
2020-01-05;0000;-3.526;
2020-01-05;0100;-3.182;
2020-01-05;0200;-2.138;
2020-01-05;0300;-2.11;
2020-01-05;0400;-3.296;
2020-01-05;0500;-3.436;
2020-01-05;0600;-2.945;
2020-01-05;0700;null;
2020-01-05;0800;null;
2020-01-05;0900;null;
2020-01-05;1000;null;
2020-01-05;1100;null;
2020-01-05;1200;919.708;
2020-01-05;1300;2242.605;
2020-01-05;1400;2531.49;
2020-01-05;1500;3079.276;
2020-01-05;1600;3108.022;
2020-01-05;1700;3051.794;
2020-01-05;1800;2232.163;
2020-01-05;1900;1628.422;
2020-01-05;2000;870.378;
2020-01-05;2100;301.873;
2020-01-05;2200;6.12;
2020-01-05;2300;-3.54;
2020-01-06;0000;-3.54;
2020-01-06;0100;-3.54;
2020-01-06;0200;-3.526;
2020-01-06;0300;-3.364;
2020-01-06;0400;-3.54;
2020-01-06;0500;-3.538;
2020-01-06;0600;-3.54;
2020-01-06;0700;-3.54;
2020-01-06;0800;-3.254;
2020-01-06;0900;61.953;
2020-01-06;1000;518.392;
2020-01-06;1100;1728.953;
2020-01-06;1200;1428.121;
2020-01-06;1300;1591.67;
