Nome: SENHOR DO BONFIM
Codigo Estacao: A428
Latitude: -10.44305555
Longitude: -40.14833333
Altitude: 532.09
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-2.98;
2020-01-01;0100;-3.517;
2020-01-01;0200;-3.533;
2020-01-01;0300;-3.267;
2020-01-01;0400;-3.478;
2020-01-01;0500;-3.13;
2020-01-01;0600;-3.302;
2020-01-01;0700;-3.041;
2020-01-01;0800;-3.507;
2020-01-01;0900;31.529;
2020-01-01;1000;177.262;
2020-01-01;1100;495.888;
2020-01-01;1200;557.485;
2020-01-01;1300;1193.643;
2020-01-01;1400;1196.133;
2020-01-01;1500;1942.955;
2020-01-01;1600;1344.963;
2020-01-01;1700;2455.996;
2020-01-01;1800;1139.899;
2020-01-01;1900;466.216;
2020-01-01;2000;287.925;
2020-01-01;2100;90.03;
2020-01-01;2200;-2.44;
2020-01-01;2300;-3.433;
2020-01-02;0000;-3.067;
2020-01-02;0100;-3.182;
2020-01-02;0200;-3.416;
2020-01-02;0300;-2.899;
2020-01-02;0400;-2.351;
2020-01-02;0500;-2.476;
2020-01-02;0600;-1.932;
2020-01-02;0700;-3.155;
2020-01-02;0800;-2.901;
2020-01-02;0900;35.124;
2020-01-02;1000;323.403;
2020-01-02;1100;540.6;
2020-01-02;1200;956.428;
2020-01-02;1300;1506.896;
2020-01-02;1400;2083.294;
2020-01-02;1500;2583.568;
2020-01-02;1600;2746.604;
2020-01-02;1700;1265.159;
2020-01-02;1800;306.984;
2020-01-02;1900;253.67;
2020-01-02;2000;156.112;
2020-01-02;2100;64.357;
2020-01-02;2200;-2.438;
2020-01-02;2300;-3.408;
2020-01-03;0000;-2.61;
2020-01-03;0100;-3.168;
2020-01-03;0200;-2.799;
2020-01-03;0300;-3.462;
2020-01-03;0400;-3.051;
2020-01-03;0500;-3.437;
2020-01-03;0600;-3.034;
2020-01-03;0700;-3.416;
2020-01-03;0800;-3.414;
2020-01-03;0900;32.822;
2020-01-03;1000;173.331;
2020-01-03;1100;525.621;
2020-01-03;1200;866.386;
2020-01-03;1300;848.791;
2020-01-03;1400;1316.597;
2020-01-03;1500;2442.536;
2020-01-03;1600;1885.938;
2020-01-03;1700;1485.754;
2020-01-03;1800;1095.879;
2020-01-03;1900;223.682;
2020-01-03;2000;235.308;
2020-01-03;2100;64.357;
2020-01-03;2200;-.643;
2020-01-03;2300;-3.517;
2020-01-04;0000;-2.999;
2020-01-04;0100;-1.302;
2020-01-04;0200;-2.656;
2020-01-04;0300;-2.325;
2020-01-04;0400;-2.667;
2020-01-04;0500;-2.384;
2020-01-04;0600;-2.311;
2020-01-04;0700;-2.069;
2020-01-04;0800;-3.167;
2020-01-04;0900;20.041;
2020-01-04;1000;176.811;
2020-01-04;1100;416.955;
2020-01-04;1200;1191.694;
2020-01-04;1300;1557.242;
2020-01-04;1400;1608.291;
2020-01-04;1500;1388.141;
2020-01-04;1600;1372.125;
2020-01-04;1700;279.367;
2020-01-04;1800;204.947;
2020-01-04;1900;120.124;
2020-01-04;2000;102.341;
2020-01-04;2100;72.404;
2020-01-04;2200;-2.129;
2020-01-04;2300;-2.99;
2020-01-05;0000;-1.721;
2020-01-05;0100;-2.723;
2020-01-05;0200;-2.647;
2020-01-05;0300;-2.944;
2020-01-05;0400;-2.941;
2020-01-05;0500;-3.32;
2020-01-05;0600;-2.812;
2020-01-05;0700;-2.76;
2020-01-05;0800;-2.95;
2020-01-05;0900;23.582;
2020-01-05;1000;254.208;
2020-01-05;1100;495.257;
2020-01-05;1200;537.605;
2020-01-05;1300;898.922;
2020-01-05;1400;1048.613;
2020-01-05;1500;1643.243;
2020-01-05;1600;1990.089;
2020-01-05;1700;2140.496;
2020-01-05;1800;1593.801;
2020-01-05;1900;1212.428;
2020-01-05;2000;435.236;
2020-01-05;2100;119.827;
2020-01-05;2200;-2.463;
2020-01-05;2300;-3.42;
2020-01-06;0000;-3.213;
2020-01-06;0100;-3.222;
2020-01-06;0200;-3.191;
2020-01-06;0300;-3.534;
2020-01-06;0400;-3.364;
2020-01-06;0500;-3.454;
2020-01-06;0600;-3.537;
2020-01-06;0700;-3.54;
2020-01-06;0800;-3.438;
2020-01-06;0900;55.248;
2020-01-06;1000;375.54;
2020-01-06;1100;456.625;
2020-01-06;1200;896.96;
2020-01-06;1300;1489.715;
2020-01-06;1400;1373.496;
2020-01-06;1500;1259.894;
2020-01-06;1600;2399.966;
2020-01-06;1700;1516.51;
2020-01-06;1800;1963.557;
2020-01-06;1900;1754.445;
2020-01-06;2000;923.28;
2020-01-06;2100;216.251;
2020-01-06;2200;-2.415;
2020-01-06;2300;-3.54;
2020-01-07;0000;-3.535;
2020-01-07;0100;-3.515;
2020-01-07;0200;-3.538;
2020-01-07;0300;-3.231;
2020-01-07;0400;-3.28;
2020-01-07;0500;-2.219;
2020-01-07;0600;-2.312;
2020-01-07;0700;-3.267;
2020-01-07;0800;-3.54;
2020-01-07;0900;9.697;
2020-01-07;1000;170.294;
2020-01-07;1100;1100.558;
2020-01-07;1200;1419.045;
2020-01-07;1300;1366.655;
2020-01-07;1400;1334.008;
2020-01-07;1500;2612.12;
2020-01-07;1600;2356.876;
2020-01-07;1700;1418.82;
2020-01-07;1800;1903.799;
2020-01-07;1900;1694.078;
2020-01-07;2000;975.3;
2020-01-07;2100;273.542;
2020-01-07;2200;-1.33;
2020-01-07;2300;-3.54;
2020-01-08;0000;-3.54;
2020-01-08;0100;-3.54;
2020-01-08;0200;-3.54;
2020-01-08;0300;-3.54;
2020-01-08;0400;-3.54;
2020-01-08;0500;-3.54;
2020-01-08;0600;-3.54;
2020-01-08;0700;-3.526;
2020-01-08;0800;-2.962;
2020-01-08;0900;29.681;
2020-01-08;1000;250.034;
2020-01-08;1100;852.184;
2020-01-08;1200;788.61;
2020-01-08;1300;1310.983;
2020-01-08;1400;2410.799;
2020-01-08;1500;3105.448;
2020-01-08;1600;3007.087;
2020-01-08;1700;2601.216;
2020-01-08;1800;2057.373;
2020-01-08;1900;1128.799;
2020-01-08;2000;931.387;
2020-01-08;2100;280.313;
2020-01-08;2200;-.759;
2020-01-08;2300;-3.54;
2020-01-09;0000;-3.54;
2020-01-09;0100;-3.54;
2020-01-09;0200;-3.54;
2020-01-09;0300;-3.54;
2020-01-09;0400;-3.54;
2020-01-09;0500;-3.535;
2020-01-09;0600;-3.54;
2020-01-09;0700;-3.54;
2020-01-09;0800;-3.54;
2020-01-09;0900;22.515;
2020-01-09;1000;384.607;
2020-01-09;1100;1271.331;
2020-01-09;1200;1975.011;
2020-01-09;1300;2418.823;
2020-01-09;1400;2607.477;
2020-01-09;1500;2712.402;
2020-01-09;1600;3175.207;
2020-01-09;1700;2352.816;
2020-01-09;1800;2106.628;
2020-01-09;1900;1667.182;
2020-01-09;2000;1021.447;
2020-01-09;2100;293.993;
2020-01-09;2200;-.992;
2020-01-09;2300;-3.54;
2020-01-10;0000;-3.54;
2020-01-10;0100;-3.54;
2020-01-10;0200;-3.54;
2020-01-10;0300;-3.54;
2020-01-10;0400;-3.54;
2020-01-10;0500;-3.54;
2020-01-10;0600;-3.54;
2020-01-10;0700;-3.54;
2020-01-10;0800;-3.526;
2020-01-10;0900;18.82;
2020-01-10;1000;257.994;
2020-01-10;1100;684.696;
2020-01-10;1200;1164.515;
2020-01-10;1300;1413.441;
2020-01-10;1400;2147.269;
2020-01-10;1500;3457.465;
2020-01-10;1600;2787.443;
2020-01-10;1700;2135.72;
2020-01-10;1800;2232.067;
2020-01-10;1900;1578.894;
2020-01-10;2000;957.116;
2020-01-10;2100;295.012;
2020-01-10;2200;-.944;
2020-01-10;2300;-3.54;
2020-01-11;0000;-3.54;
2020-01-11;0100;-3.54;
2020-01-11;0200;-3.54;
2020-01-11;0300;-3.54;
2020-01-11;0400;-3.54;
2020-01-11;0500;-3.54;
2020-01-11;0600;-2.649;
2020-01-11;0700;-3.153;
2020-01-11;0800;-3.295;
2020-01-11;0900;9.982;
2020-01-11;1000;98.282;
2020-01-11;1100;250.968;
2020-01-11;1200;1431.388;
2020-01-11;1300;1199.571;
2020-01-11;1400;1603.84;
2020-01-11;1500;1816.724;
2020-01-11;1600;2481.535;
2020-01-11;1700;2230.467;
2020-01-11;1800;1918.205;
2020-01-11;1900;1388.078;
