Nome: BARRA
Codigo Estacao: A429
Latitude: -11.08472221
Longitude: -43.13888888
Altitude: 407.5
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.022;
2020-01-01;0100;-2.633;
2020-01-01;0200;-2.84;
2020-01-01;0300;-2.154;
2020-01-01;0400;-1.555;
2020-01-01;0500;-2.809;
2020-01-01;0600;-2.234;
2020-01-01;0700;-2.171;
2020-01-01;0800;-2.511;
2020-01-01;0900;63.891;
2020-01-01;1000;332.37;
2020-01-01;1100;1175.109;
2020-01-01;1200;1964.485;
2020-01-01;1300;3043.691;
2020-01-01;1400;2034.129;
2020-01-01;1500;2736.897;
2020-01-01;1600;2959.706;
2020-01-01;1700;2293.261;
2020-01-01;1800;2107.174;
2020-01-01;1900;2071.221;
2020-01-01;2000;654.497;
2020-01-01;2100;145.341;
2020-01-01;2200;-1.709;
2020-01-01;2300;-3.54;
2020-01-02;0000;-3.54;
2020-01-02;0100;-3.54;
2020-01-02;0200;-3.54;
2020-01-02;0300;-3.101;
2020-01-02;0400;-3.225;
2020-01-02;0500;-2.696;
2020-01-02;0600;-2.45;
2020-01-02;0700;-2.454;
2020-01-02;0800;-3.278;
2020-01-02;0900;53.049;
2020-01-02;1000;529.064;
2020-01-02;1100;1470.591;
2020-01-02;1200;2301.145;
2020-01-02;1300;3239.4;
2020-01-02;1400;3464.29;
2020-01-02;1500;1097.458;
2020-01-02;1600;2244.18;
2020-01-02;1700;1999.313;
2020-01-02;1800;1117.509;
2020-01-02;1900;776.852;
2020-01-02;2000;455.967;
2020-01-02;2100;171.537;
2020-01-02;2200;-.635;
2020-01-02;2300;-.784;
2020-01-03;0000;.141;
2020-01-03;0100;-.646;
2020-01-03;0200;.224;
2020-01-03;0300;-.267;
2020-01-03;0400;-.565;
2020-01-03;0500;-.052;
2020-01-03;0600;-.623;
2020-01-03;0700;-.195;
2020-01-03;0800;-.631;
2020-01-03;0900;13.732;
2020-01-03;1000;54.696;
2020-01-03;1100;135.819;
2020-01-03;1200;615.344;
2020-01-03;1300;1131.247;
2020-01-03;1400;711.497;
2020-01-03;1500;1829.271;
2020-01-03;1600;1642.624;
2020-01-03;1700;1794.351;
2020-01-03;1800;1865.209;
2020-01-03;1900;1328.633;
2020-01-03;2000;681.89;
2020-01-03;2100;119.025;
2020-01-03;2200;-1.711;
2020-01-03;2300;-3.5;
2020-01-04;0000;-3.538;
2020-01-04;0100;-3.071;
2020-01-04;0200;-3.529;
2020-01-04;0300;-2.907;
2020-01-04;0400;-2.226;
2020-01-04;0500;-2.246;
2020-01-04;0600;-1.158;
2020-01-04;0700;-1.449;
2020-01-04;0800;-.852;
2020-01-04;0900;27.071;
2020-01-04;1000;212.857;
2020-01-04;1100;499.484;
2020-01-04;1200;1396.372;
2020-01-04;1300;1433.355;
2020-01-04;1400;1056.001;
2020-01-04;1500;1965.205;
2020-01-04;1600;3264.626;
2020-01-04;1700;2838.037;
2020-01-04;1800;2587.362;
2020-01-04;1900;1809.572;
2020-01-04;2000;791.189;
2020-01-04;2100;160.411;
2020-01-04;2200;-.262;
2020-01-04;2300;-1.191;
2020-01-05;0000;-.486;
2020-01-05;0100;.519;
2020-01-05;0200;1.119;
2020-01-05;0300;.804;
2020-01-05;0400;-.023;
2020-01-05;0500;.011;
2020-01-05;0600;1.36;
2020-01-05;0700;-.442;
2020-01-05;0800;-.284;
2020-01-05;0900;6.87;
2020-01-05;1000;80.171;
2020-01-05;1100;291.254;
2020-01-05;1200;779.558;
2020-01-05;1300;2194.97;
2020-01-05;1400;2538.518;
2020-01-05;1500;3661.082;
2020-01-05;1600;3423.165;
2020-01-05;1700;3614.922;
2020-01-05;1800;2822.388;
2020-01-05;1900;1180.461;
2020-01-05;2000;713.888;
2020-01-05;2100;126.343;
2020-01-05;2200;-1.128;
2020-01-05;2300;-3.079;
2020-01-06;0000;-2.854;
2020-01-06;0100;-3.389;
2020-01-06;0200;-3.51;
2020-01-06;0300;-3.408;
2020-01-06;0400;-3.461;
2020-01-06;0500;-1.607;
2020-01-06;0600;-1.875;
2020-01-06;0700;-2.246;
2020-01-06;0800;-2.661;
2020-01-06;0900;51.78;
2020-01-06;1000;498.239;
2020-01-06;1100;799.182;
2020-01-06;1200;1548.032;
2020-01-06;1300;2263.456;
2020-01-06;1400;3189.772;
2020-01-06;1500;2703.205;
2020-01-06;1600;3066.884;
2020-01-06;1700;1698.789;
2020-01-06;1800;2392.066;
2020-01-06;1900;400.574;
2020-01-06;2000;96.271;
2020-01-06;2100;42.533;
2020-01-06;2200;5.346;
2020-01-06;2300;3.484;
2020-01-07;0000;1.788;
2020-01-07;0100;-.494;
2020-01-07;0200;.003;
2020-01-07;0300;-2.149;
2020-01-07;0400;-3.052;
2020-01-07;0500;-3.052;
2020-01-07;0600;-3.267;
2020-01-07;0700;-.85;
2020-01-07;0800;-1.59;
2020-01-07;0900;82.154;
2020-01-07;1000;252.764;
2020-01-07;1100;462.283;
2020-01-07;1200;1579.953;
2020-01-07;1300;2623.074;
2020-01-07;1400;2635.323;
2020-01-07;1500;3657.89;
2020-01-07;1600;3506.614;
2020-01-07;1700;3425.783;
2020-01-07;1800;2963.875;
2020-01-07;1900;2108.701;
2020-01-07;2000;972.768;
2020-01-07;2100;161.12;
2020-01-07;2200;-.329;
2020-01-07;2300;-3.54;
2020-01-08;0000;-3.534;
2020-01-08;0100;-2.927;
2020-01-08;0200;-3.465;
2020-01-08;0300;-3.054;
2020-01-08;0400;-2.401;
2020-01-08;0500;-2.383;
2020-01-08;0600;1.837;
2020-01-08;0700;.703;
2020-01-08;0800;1.102;
2020-01-08;0900;70.735;
2020-01-08;1000;601.308;
2020-01-08;1100;360.35;
2020-01-08;1200;1640.038;
2020-01-08;1300;2350.19;
2020-01-08;1400;3759.033;
2020-01-08;1500;3648.853;
2020-01-08;1600;1064.59;
2020-01-08;1700;3010.498;
2020-01-08;1800;2959.401;
2020-01-08;1900;2227.62;
2020-01-08;2000;718.477;
2020-01-08;2100;75.772;
2020-01-08;2200;-1.509;
2020-01-08;2300;-3.529;
2020-01-09;0000;-3.485;
2020-01-09;0100;-3.54;
2020-01-09;0200;-3.402;
2020-01-09;0300;-3.527;
2020-01-09;0400;-2.123;
2020-01-09;0500;-.055;
2020-01-09;0600;.408;
2020-01-09;0700;1.624;
2020-01-09;0800;1.581;
2020-01-09;0900;69.736;
2020-01-09;1000;666.473;
2020-01-09;1100;708.607;
2020-01-09;1200;1735.947;
2020-01-09;1300;1472.892;
2020-01-09;1400;3518.01;
2020-01-09;1500;3241.859;
2020-01-09;1600;3461.377;
2020-01-09;1700;3259.779;
2020-01-09;1800;585.105;
2020-01-09;1900;699.651;
2020-01-09;2000;173.265;
2020-01-09;2100;57.39;
2020-01-09;2200;-1.288;
2020-01-09;2300;-3.433;
2020-01-10;0000;-1.989;
2020-01-10;0100;.79;
2020-01-10;0200;6.121;
2020-01-10;0300;2.867;
2020-01-10;0400;1.906;
2020-01-10;0500;.498;
2020-01-10;0600;.062;
2020-01-10;0700;.723;
2020-01-10;0800;.792;
2020-01-10;0900;79.626;
2020-01-10;1000;592.55;
2020-01-10;1100;1432.27;
2020-01-10;1200;2178.644;
2020-01-10;1300;3169.598;
2020-01-10;1400;3255.376;
2020-01-10;1500;3174.844;
2020-01-10;1600;3382.451;
2020-01-10;1700;3523.425;
2020-01-10;1800;3057.385;
2020-01-10;1900;2205.425;
2020-01-10;2000;780.155;
2020-01-10;2100;120.744;
2020-01-10;2200;.764;
2020-01-10;2300;-3.538;
2020-01-11;0000;-3.497;
2020-01-11;0100;-3.54;
2020-01-11;0200;-3.54;
2020-01-11;0300;-3.54;
2020-01-11;0400;-3.54;
2020-01-11;0500;-3.54;
2020-01-11;0600;-3.519;
2020-01-11;0700;-3.54;
2020-01-11;0800;-3.54;
2020-01-11;0900;42.314;
2020-01-11;1000;561.53;
2020-01-11;1100;1532.751;
2020-01-11;1200;2590.117;
2020-01-11;1300;3301.244;
2020-01-11;1400;3338.165;
2020-01-11;1500;3285.779;
2020-01-11;1600;3296.38;
2020-01-11;1700;3477.784;
2020-01-11;1800;3099.055;
2020-01-11;1900;2204.998;
2020-01-11;2000;785.211;
2020-01-11;2100;128.674;
2020-01-11;2200;.421;
2020-01-11;2300;-3.54;
2020-01-12;0000;-3.378;
2020-01-12;0100;-1.901;
2020-01-12;0200;-1.818;
2020-01-12;0300;-2.061;
2020-01-12;0400;-2.484;
2020-01-12;0500;-3.54;
2020-01-12;0600;-3.529;
2020-01-12;0700;-3.54;
2020-01-12;0800;-3.54;
2020-01-12;0900;46.587;
2020-01-12;1000;689.446;
2020-01-12;1100;1606.396;
2020-01-12;1200;2537.347;
2020-01-12;1300;3237.185;
2020-01-12;1400;3320.243;
2020-01-12;1500;3232.794;
2020-01-12;1600;3469.298;
2020-01-12;1700;2100.706;
2020-01-12;1800;706.205;
2020-01-12;1900;1559.882;
2020-01-12;2000;832.735;
2020-01-12;2100;159.613;
2020-01-12;2200;.387;
2020-01-12;2300;-3.54;
2020-01-13;0000;-3.54;
2020-01-13;0100;-3.54;
2020-01-13;0200;-3.177;
2020-01-13;0300;-3.497;
2020-01-13;0400;-3.54;
2020-01-13;0500;-3.54;
2020-01-13;0600;-3.54;
2020-01-13;0700;-3.54;
2020-01-13;0800;-3.54;
2020-01-13;0900;35.347;
2020-01-13;1000;741.693;
2020-01-13;1100;1631.36;
2020-01-13;1200;2518.903;
2020-01-13;1300;3287.469;
2020-01-13;1400;3417.598;
2020-01-13;1500;3245.874;
2020-01-13;1600;3500.659;
2020-01-13;1700;3635.376;
2020-01-13;1800;3093.628;
2020-01-13;1900;2066.107;
2020-01-13;2000;757.314;
2020-01-13;2100;155.093;
2020-01-13;2200;1.922;
2020-01-13;2300;-3.54;
2020-01-14;0000;-3.538;
2020-01-14;0100;-3.112;
2020-01-14;0200;-3.54;
2020-01-14;0300;-3.54;
2020-01-14;0400;-3.201;
2020-01-14;0500;-2.634;
2020-01-14;0600;-3.538;
2020-01-14;0700;-3.54;
2020-01-14;0800;-3.54;
2020-01-14;0900;35.116;
2020-01-14;1000;705.184;
2020-01-14;1100;1598.268;
2020-01-14;1200;2469.924;
2020-01-14;1300;3222.029;
2020-01-14;1400;3459.824;
2020-01-14;1500;3372.703;
2020-01-14;1600;3457.704;
2020-01-14;1700;2949.185;
2020-01-14;1800;2098.998;
2020-01-14;1900;1282.343;
2020-01-14;2000;846.183;
2020-01-14;2100;125.468;
2020-01-14;2200;.906;
2020-01-14;2300;-2.786;
2020-01-15;0000;-2.945;
2020-01-15;0100;-3.163;
2020-01-15;0200;-3.389;
2020-01-15;0300;-3.54;
2020-01-15;0400;-3.54;
2020-01-15;0500;-3.54;
2020-01-15;0600;-3.527;
2020-01-15;0700;-3.393;
2020-01-15;0800;-3.51;
2020-01-15;0900;34.066;
2020-01-15;1000;694.804;
2020-01-15;1100;1599.795;
2020-01-15;1200;2457.879;
2020-01-15;1300;3163.913;
2020-01-15;1400;3193.541;
2020-01-15;1500;3862.921;
2020-01-15;1600;3810.882;
2020-01-15;1700;3465.007;
2020-01-15;1800;2897.035;
2020-01-15;1900;2131.384;
2020-01-15;2000;770.865;
2020-01-15;2100;164.334;
2020-01-15;2200;1.561;
2020-01-15;2300;-3.527;
2020-01-16;0000;-2.816;
2020-01-16;0100;-3.012;
2020-01-16;0200;-3.265;
2020-01-16;0300;-3.531;
2020-01-16;0400;-3.54;
2020-01-16;0500;-3.54;
2020-01-16;0600;-3.54;
2020-01-16;0700;-3.54;
2020-01-16;0800;-3.54;
2020-01-16;0900;30.962;
2020-01-16;1000;701.757;
2020-01-16;1100;1604.745;
2020-01-16;1200;2461.834;
2020-01-16;1300;3150.347;
2020-01-16;1400;3633.812;
2020-01-16;1500;3899.313;
2020-01-16;1600;3851.964;
2020-01-16;1700;3167.795;
2020-01-16;1800;2918.4;
2020-01-16;1900;2114.091;
2020-01-16;2000;797.675;
2020-01-16;2100;172.444;
2020-01-16;2200;.418;
2020-01-16;2300;-3.54;
2020-01-17;0000;-3.54;
2020-01-17;0100;-3.54;
2020-01-17;0200;-3.54;
2020-01-17;0300;-3.54;
2020-01-17;0400;-3.54;
2020-01-17;0500;-3.536;
2020-01-17;0600;-3.534;
2020-01-17;0700;-3.534;
2020-01-17;0800;-3.384;
2020-01-17;0900;37.378;
2020-01-17;1000;639.195;
2020-01-17;1100;1505.648;
2020-01-17;1200;2350.144;
2020-01-17;1300;3042.967;
2020-01-17;1400;3556.712;
2020-01-17;1500;3836.22;
2020-01-17;1600;3816.608;
2020-01-17;1700;3457.135;
2020-01-17;1800;2942.088;
2020-01-17;1900;2085.915;
2020-01-17;2000;780.895;
2020-01-17;2100;212.191;
2020-01-17;2200;2.01;
2020-01-17;2300;-3.538;
2020-01-18;0000;-3.529;
2020-01-18;0100;-3.54;
2020-01-18;0200;-3.137;
2020-01-18;0300;-3.192;
2020-01-18;0400;-3.54;
2020-01-18;0500;-3.54;
2020-01-18;0600;-3.54;
2020-01-18;0700;-3.54;
2020-01-18;0800;-3.54;
2020-01-18;0900;37.342;
2020-01-18;1000;666.252;
2020-01-18;1100;1551.123;
2020-01-18;1200;2388.926;
2020-01-18;1300;3078.533;
2020-01-18;1400;3476.162;
2020-01-18;1500;3711.593;
2020-01-18;1600;3508.241;
2020-01-18;1700;3285.782;
2020-01-18;1800;2699.936;
2020-01-18;1900;1794.029;
2020-01-18;2000;814.113;
2020-01-18;2100;163.017;
2020-01-18;2200;.5;
2020-01-18;2300;-3.538;
2020-01-19;0000;-3.538;
2020-01-19;0100;-3.425;
2020-01-19;0200;-3.54;
2020-01-19;0300;-3.54;
2020-01-19;0400;-3.54;
2020-01-19;0500;-3.54;
2020-01-19;0600;-3.54;
2020-01-19;0700;-3.54;
2020-01-19;0800;-3.54;
2020-01-19;0900;43.142;
2020-01-19;1000;626.35;
2020-01-19;1100;1253.995;
2020-01-19;1200;2148.253;
2020-01-19;1300;2418.965;
2020-01-19;1400;2981.665;
2020-01-19;1500;3460.711;
2020-01-19;1600;3438.68;
2020-01-19;1700;2892.159;
2020-01-19;1800;2563.31;
2020-01-19;1900;1729.307;
2020-01-19;2000;805.136;
2020-01-19;2100;285.457;
2020-01-19;2200;.787;
2020-01-19;2300;-3.536;
2020-01-20;0000;-3.54;
2020-01-20;0100;-3.423;
2020-01-20;0200;-3.495;
2020-01-20;0300;-3.54;
2020-01-20;0400;-3.54;
2020-01-20;0500;-3.54;
2020-01-20;0600;-3.536;
2020-01-20;0700;-3.54;
2020-01-20;0800;-3.54;
2020-01-20;0900;33.241;
2020-01-20;1000;659.318;
2020-01-20;1100;1570.463;
2020-01-20;1200;2445.295;
2020-01-20;1300;2700.143;
2020-01-20;1400;3525.222;
2020-01-20;1500;3956.554;
2020-01-20;1600;3871.906;
2020-01-20;1700;3528.114;
2020-01-20;1800;2983.78;
2020-01-20;1900;2203.703;
2020-01-20;2000;848.585;
2020-01-20;2100;181.808;
2020-01-20;2200;-.031;
2020-01-20;2300;-3.54;
2020-01-21;0000;-3.54;
2020-01-21;0100;-3.54;
2020-01-21;0200;-3.54;
2020-01-21;0300;-3.54;
2020-01-21;0400;-3.538;
2020-01-21;0500;-3.476;
2020-01-21;0600;-3.21;
2020-01-21;0700;-3.106;
2020-01-21;0800;-3.059;
2020-01-21;0900;15.975;
2020-01-21;1000;467.73;
2020-01-21;1100;1378.926;
2020-01-21;1200;1960.016;
2020-01-21;1300;3111.372;
2020-01-21;1400;1818.153;
2020-01-21;1500;1972.577;
2020-01-21;1600;758.608;
2020-01-21;1700;586.933;
2020-01-21;1800;685.233;
2020-01-21;1900;605.558;
2020-01-21;2000;253.513;
