Nome: PIATA
Codigo Estacao: A430
Latitude: -13.155681
Longitude: -41.774125
Altitude: 1283.95
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.088;
2020-01-01;0100;-3.504;
2020-01-01;0200;-3.238;
2020-01-01;0300;-2.81;
2020-01-01;0400;-2.909;
2020-01-01;0500;-2.959;
2020-01-01;0600;-3.27;
2020-01-01;0700;-2.47;
2020-01-01;0800;-2.884;
2020-01-01;0900;57.532;
2020-01-01;1000;462.776;
2020-01-01;1100;1428.914;
2020-01-01;1200;2637.885;
2020-01-01;1300;2795.373;
2020-01-01;1400;2539.472;
2020-01-01;1500;2701.232;
2020-01-01;1600;1250.657;
2020-01-01;1700;412.268;
2020-01-01;1800;1037.252;
2020-01-01;1900;957.293;
2020-01-01;2000;270.471;
2020-01-01;2100;34.674;
2020-01-01;2200;-1.316;
2020-01-01;2300;.529;
2020-01-02;0000;-2.152;
2020-01-02;0100;-.626;
2020-01-02;0200;-1.499;
2020-01-02;0300;-.643;
2020-01-02;0400;-.687;
2020-01-02;0500;-1.896;
2020-01-02;0600;-2.03;
2020-01-02;0700;-.63;
2020-01-02;0800;-2.452;
2020-01-02;0900;37.015;
2020-01-02;1000;282.184;
2020-01-02;1100;589.455;
2020-01-02;1200;1000.469;
2020-01-02;1300;1538.837;
2020-01-02;1400;1974.844;
2020-01-02;1500;3163.64;
2020-01-02;1600;1451.666;
2020-01-02;1700;939.47;
2020-01-02;1800;1878.564;
2020-01-02;1900;1660.593;
2020-01-02;2000;258.569;
2020-01-02;2100;42.898;
2020-01-02;2200;-.825;
2020-01-02;2300;-2.163;
2020-01-03;0000;-1.972;
2020-01-03;0100;-1.695;
2020-01-03;0200;-.503;
2020-01-03;0300;.349;
2020-01-03;0400;-.617;
2020-01-03;0500;.007;
2020-01-03;0600;1.29;
2020-01-03;0700;-1.713;
2020-01-03;0800;-1.904;
2020-01-03;0900;26.454;
2020-01-03;1000;207.081;
2020-01-03;1100;426.927;
2020-01-03;1200;675.815;
2020-01-03;1300;1301.149;
2020-01-03;1400;3186.836;
2020-01-03;1500;2319.764;
2020-01-03;1600;2236.287;
2020-01-03;1700;899.414;
2020-01-03;1800;964.518;
2020-01-03;1900;1100.423;
2020-01-03;2000;789.677;
2020-01-03;2100;217.994;
2020-01-03;2200;2.019;
2020-01-03;2300;-1.452;
2020-01-04;0000;-3.257;
2020-01-04;0100;-3.516;
2020-01-04;0200;-3.301;
2020-01-04;0300;-.194;
2020-01-04;0400;-.018;
2020-01-04;0500;-.577;
2020-01-04;0600;-2.283;
2020-01-04;0700;-2.459;
2020-01-04;0800;-2.165;
2020-01-04;0900;35.836;
2020-01-04;1000;359.575;
2020-01-04;1100;953.122;
2020-01-04;1200;2085.008;
2020-01-04;1300;2762.401;
2020-01-04;1400;3101.978;
2020-01-04;1500;3613.431;
2020-01-04;1600;2861.761;
2020-01-04;1700;3288.521;
2020-01-04;1800;3034.149;
2020-01-04;1900;2216.256;
2020-01-04;2000;843.288;
2020-01-04;2100;181.096;
2020-01-04;2200;5.755;
2020-01-04;2300;-.827;
2020-01-05;0000;-1.501;
2020-01-05;0100;-.985;
2020-01-05;0200;-1.034;
2020-01-05;0300;-.794;
2020-01-05;0400;-.758;
2020-01-05;0500;-.728;
2020-01-05;0600;-.692;
2020-01-05;0700;-.666;
2020-01-05;0800;.314;
2020-01-05;0900;14.642;
2020-01-05;1000;119.013;
2020-01-05;1100;335.553;
2020-01-05;1200;707.102;
2020-01-05;1300;811.42;
2020-01-05;1400;916.469;
2020-01-05;1500;974.48;
2020-01-05;1600;1361.21;
2020-01-05;1700;1366.531;
2020-01-05;1800;1065.89;
2020-01-05;1900;1101.72;
2020-01-05;2000;826.003;
2020-01-05;2100;224.127;
2020-01-05;2200;4.024;
2020-01-05;2300;-3.472;
2020-01-06;0000;-3.212;
2020-01-06;0100;-3.323;
2020-01-06;0200;-2.902;
2020-01-06;0300;-2.677;
2020-01-06;0400;-2.655;
2020-01-06;0500;-1.063;
2020-01-06;0600;-1.396;
2020-01-06;0700;-2.632;
2020-01-06;0800;-2.571;
2020-01-06;0900;54.326;
2020-01-06;1000;365.448;
2020-01-06;1100;966.282;
2020-01-06;1200;876.407;
2020-01-06;1300;1932.639;
2020-01-06;1400;1777.41;
2020-01-06;1500;634.341;
2020-01-06;1600;332.887;
2020-01-06;1700;272.597;
2020-01-06;1800;340.2;
2020-01-06;1900;207.398;
2020-01-06;2000;188.67;
2020-01-06;2100;81.024;
2020-01-06;2200;-.144;
2020-01-06;2300;-2.205;
2020-01-07;0000;-2.279;
2020-01-07;0100;-2.668;
2020-01-07;0200;-2.481;
2020-01-07;0300;-2.994;
2020-01-07;0400;-2.856;
2020-01-07;0500;-2.471;
2020-01-07;0600;-3.076;
2020-01-07;0700;-2.961;
2020-01-07;0800;-1.256;
2020-01-07;0900;57.907;
2020-01-07;1000;664.566;
2020-01-07;1100;899.12;
2020-01-07;1200;1316.571;
2020-01-07;1300;2708.849;
2020-01-07;1400;3104.979;
2020-01-07;1500;2000.588;
2020-01-07;1600;3633.19;
2020-01-07;1700;2799.325;
2020-01-07;1800;2019.812;
2020-01-07;1900;1839.024;
2020-01-07;2000;1057.182;
2020-01-07;2100;187.377;
2020-01-07;2200;7.203;
2020-01-07;2300;-3.54;
2020-01-08;0000;-3.524;
2020-01-08;0100;-3.54;
2020-01-08;0200;-3.537;
2020-01-08;0300;-3.53;
2020-01-08;0400;-3.54;
2020-01-08;0500;-3.54;
2020-01-08;0600;-3.521;
2020-01-08;0700;-3.524;
2020-01-08;0800;-3.315;
2020-01-08;0900;76.62;
2020-01-08;1000;695.419;
2020-01-08;1100;1488.251;
2020-01-08;1200;2727.616;
2020-01-08;1300;3309.376;
2020-01-08;1400;3540.317;
2020-01-08;1500;4015.145;
2020-01-08;1600;3889.339;
2020-01-08;1700;3497.902;
2020-01-08;1800;3068.111;
2020-01-08;1900;2290.277;
2020-01-08;2000;1064.485;
2020-01-08;2100;209.054;
2020-01-08;2200;2.272;
2020-01-08;2300;-3.523;
2020-01-09;0000;-3.533;
2020-01-09;0100;-3.54;
2020-01-09;0200;-3.538;
2020-01-09;0300;-3.531;
2020-01-09;0400;-3.54;
2020-01-09;0500;-3.54;
2020-01-09;0600;-3.54;
2020-01-09;0700;-3.538;
2020-01-09;0800;-3.391;
2020-01-09;0900;50.586;
2020-01-09;1000;609.839;
2020-01-09;1100;1823;
2020-01-09;1200;1633.265;
2020-01-09;1300;1761.364;
2020-01-09;1400;3328.463;
2020-01-09;1500;3815.305;
2020-01-09;1600;3962.759;
2020-01-09;1700;3629.607;
2020-01-09;1800;3038.5;
2020-01-09;1900;2100.49;
2020-01-09;2000;1004.003;
2020-01-09;2100;444.692;
2020-01-09;2200;2.261;
2020-01-09;2300;-3.54;
2020-01-10;0000;-3.54;
2020-01-10;0100;-3.54;
2020-01-10;0200;-3.54;
2020-01-10;0300;-3.54;
2020-01-10;0400;-3.54;
2020-01-10;0500;-3.54;
2020-01-10;0600;-3.54;
2020-01-10;0700;-3.54;
2020-01-10;0800;-3.54;
2020-01-10;0900;68.342;
2020-01-10;1000;781.028;
2020-01-10;1100;1607.24;
2020-01-10;1200;1802.384;
2020-01-10;1300;3330.612;
2020-01-10;1400;3699.911;
2020-01-10;1500;3235.469;
2020-01-10;1600;3823.242;
2020-01-10;1700;3598.556;
2020-01-10;1800;3081.881;
2020-01-10;1900;2271.327;
2020-01-10;2000;1389.897;
2020-01-10;2100;332.094;
2020-01-10;2200;3.514;
2020-01-10;2300;-3.54;
2020-01-11;0000;-3.54;
2020-01-11;0100;-3.54;
2020-01-11;0200;-3.54;
2020-01-11;0300;-3.54;
2020-01-11;0400;-3.54;
2020-01-11;0500;-3.54;
2020-01-11;0600;-3.54;
2020-01-11;0700;-3.538;
2020-01-11;0800;-3.465;
2020-01-11;0900;66.421;
2020-01-11;1000;739.162;
2020-01-11;1100;1675.869;
2020-01-11;1200;2756.48;
2020-01-11;1300;3401.629;
2020-01-11;1400;3561.018;
2020-01-11;1500;2118.055;
2020-01-11;1600;3116.339;
2020-01-11;1700;2418.925;
2020-01-11;1800;2528.936;
2020-01-11;1900;2141.183;
2020-01-11;2000;1423.94;
2020-01-11;2100;364.772;
2020-01-11;2200;3.335;
2020-01-11;2300;-3.54;
2020-01-12;0000;-3.54;
2020-01-12;0100;-3.54;
2020-01-12;0200;-3.54;
2020-01-12;0300;-3.538;
2020-01-12;0400;-3.54;
2020-01-12;0500;-3.54;
2020-01-12;0600;-3.54;
2020-01-12;0700;-3.502;
2020-01-12;0800;-3.493;
2020-01-12;0900;21.531;
2020-01-12;1000;226.522;
2020-01-12;1100;1432.693;
2020-01-12;1200;2528.942;
2020-01-12;1300;3285.624;
2020-01-12;1400;3101.292;
2020-01-12;1500;3238.01;
2020-01-12;1600;3940.249;
2020-01-12;1700;3407.393;
2020-01-12;1800;1800.483;
2020-01-12;1900;1412.946;
2020-01-12;2000;967.637;
2020-01-12;2100;423.481;
2020-01-12;2200;2.227;
2020-01-12;2300;-3.54;
2020-01-13;0000;-3.54;
2020-01-13;0100;-3.54;
2020-01-13;0200;-3.54;
2020-01-13;0300;-3.54;
2020-01-13;0400;-3.54;
2020-01-13;0500;-3.54;
2020-01-13;0600;-3.54;
2020-01-13;0700;-3.54;
2020-01-13;0800;-3.497;
2020-01-13;0900;60.637;
2020-01-13;1000;739.427;
2020-01-13;1100;1655.857;
2020-01-13;1200;2524.118;
2020-01-13;1300;3165.616;
2020-01-13;1400;3810.255;
2020-01-13;1500;3875.628;
2020-01-13;1600;4105.85;
2020-01-13;1700;1971.695;
2020-01-13;1800;2198.772;
2020-01-13;1900;2156.903;
2020-01-13;2000;984.941;
2020-01-13;2100;257.05;
2020-01-13;2200;5.051;
2020-01-13;2300;-3.54;
2020-01-14;0000;-3.54;
2020-01-14;0100;-3.54;
2020-01-14;0200;-3.54;
2020-01-14;0300;-3.342;
2020-01-14;0400;-3.495;
2020-01-14;0500;-3.54;
2020-01-14;0600;-3.535;
2020-01-14;0700;-3.54;
2020-01-14;0800;-3.54;
2020-01-14;0900;56.161;
2020-01-14;1000;712.249;
2020-01-14;1100;1632.726;
2020-01-14;1200;2456.639;
2020-01-14;1300;3184.595;
2020-01-14;1400;3818.133;
2020-01-14;1500;3732.543;
2020-01-14;1600;2906.844;
2020-01-14;1700;3227.127;
2020-01-14;1800;2809.186;
2020-01-14;1900;1751.749;
2020-01-14;2000;1071.338;
2020-01-14;2100;232.793;
2020-01-14;2200;3.112;
2020-01-14;2300;-3.54;
2020-01-15;0000;-3.54;
2020-01-15;0100;-3.54;
2020-01-15;0200;-3.54;
2020-01-15;0300;-3.54;
2020-01-15;0400;-3.54;
