Nome: UAUA
Codigo Estacao: A435
Latitude: -9.8336111
Longitude: -39.49555555
Altitude: 450.6
Situacao: Fechada
Data Inicial: 2020-01-01
Data Final: 2022-09-08
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.54;
2020-01-01;0100;-3.514;
2020-01-01;0200;-3.314;
2020-01-01;0300;-3.531;
2020-01-01;0400;-3.535;
2020-01-01;0500;-3.423;
2020-01-01;0600;-3.406;
2020-01-01;0700;-3.446;
2020-01-01;0800;-1.861;
2020-01-01;0900;30.831;
2020-01-01;1000;217.121;
2020-01-01;1100;253.494;
2020-01-01;1200;796.868;
2020-01-01;1300;1027.727;
2020-01-01;1400;1103.1;
2020-01-01;1500;1453.201;
2020-01-01;1600;1896.298;
2020-01-01;1700;2115.467;
2020-01-01;1800;1936.506;
2020-01-01;1900;126.73;
2020-01-01;2000;255.683;
2020-01-01;2100;197.327;
2020-01-01;2200;-.458;
2020-01-01;2300;-3.514;
2020-01-02;0000;-3.538;
2020-01-02;0100;-3.471;
2020-01-02;0200;-3.54;
2020-01-02;0300;-3.54;
2020-01-02;0400;-3.54;
2020-01-02;0500;-3.277;
2020-01-02;0600;-3.54;
2020-01-02;0700;-3.46;
2020-01-02;0800;-2.941;
2020-01-02;0900;33.764;
2020-01-02;1000;314.875;
2020-01-02;1100;849.948;
2020-01-02;1200;917.616;
2020-01-02;1300;1397.372;
2020-01-02;1400;2255.113;
2020-01-02;1500;2538.55;
2020-01-02;1600;2011.667;
2020-01-02;1700;2411.211;
2020-01-02;1800;2370.729;
2020-01-02;1900;1296.798;
2020-01-02;2000;744.963;
2020-01-02;2100;69.704;
2020-01-02;2200;-1.499;
2020-01-02;2300;-3.199;
2020-01-03;0000;-2.901;
2020-01-03;0100;-3.275;
2020-01-03;0200;-3.54;
2020-01-03;0300;-3.533;
2020-01-03;0400;-3.418;
2020-01-03;0500;-2.934;
2020-01-03;0600;-3.521;
2020-01-03;0700;-3.514;
2020-01-03;0800;-3.533;
2020-01-03;0900;61.005;
2020-01-03;1000;607.038;
2020-01-03;1100;809.639;
2020-01-03;1200;1868.679;
2020-01-03;1300;1959.436;
2020-01-03;1400;2722.468;
2020-01-03;1500;2034.608;
2020-01-03;1600;2111.751;
2020-01-03;1700;2179.947;
2020-01-03;1800;2916.211;
2020-01-03;1900;298.603;
2020-01-03;2000;57.392;
2020-01-03;2100;16.868;
2020-01-03;2200;.327;
2020-01-03;2300;-1.812;
2020-01-04;0000;-2.418;
2020-01-04;0100;-2.201;
2020-01-04;0200;-1.465;
2020-01-04;0300;-2.228;
2020-01-04;0400;-3.54;
2020-01-04;0500;-2.133;
2020-01-04;0600;-2.395;
2020-01-04;0700;-2.922;
2020-01-04;0800;-2.454;
2020-01-04;0900;38.57;
2020-01-04;1000;208.191;
2020-01-04;1100;589.875;
