Nome: QUEIMADAS
Codigo Estacao: A436
Latitude: -10.98472221
Longitude: -39.61694443
Altitude: 310.11
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;null;
2020-01-01;0100;-3.48;
2020-01-01;0200;-3.273;
2020-01-01;0300;-3.526;
2020-01-01;0400;-3.538;
2020-01-01;0500;-3.54;
2020-01-01;0600;-3.534;
2020-01-01;0700;-3.461;
2020-01-01;0800;-3.54;
2020-01-01;0900;131.237;
2020-01-01;1000;494.319;
2020-01-01;1100;537.754;
2020-01-01;1200;1275.775;
2020-01-01;1300;1925.932;
2020-01-01;1400;1979.597;
2020-01-01;1500;2847.646;
2020-01-01;1600;2259.338;
2020-01-01;1700;1140.702;
2020-01-01;1800;403.23;
2020-01-01;1900;351.244;
2020-01-01;2000;210.916;
2020-01-01;2100;29.446;
2020-01-01;2200;-3.481;
2020-01-01;2300;-3.54;
2020-01-02;0000;null;
2020-01-02;0100;-2.504;
2020-01-02;0200;-3.187;
2020-01-02;0300;-2.922;
2020-01-02;0400;-3.54;
2020-01-02;0500;-3.209;
2020-01-02;0600;-3.292;
2020-01-02;0700;-3.034;
2020-01-02;0800;-3.505;
2020-01-02;0900;74.188;
2020-01-02;1000;514.427;
2020-01-02;1100;1315.952;
2020-01-02;1200;1356.782;
2020-01-02;1300;1734.547;
2020-01-02;1400;2258.54;
2020-01-02;1500;2606.594;
2020-01-02;1600;2587.185;
2020-01-02;1700;2253.964;
2020-01-02;1800;1170.354;
2020-01-02;1900;617.588;
2020-01-02;2000;251.546;
2020-01-02;2100;10.258;
2020-01-02;2200;-3.532;
2020-01-02;2300;-3.512;
2020-01-03;0000;-3.266;
2020-01-03;0100;-3.536;
2020-01-03;0200;-3.54;
2020-01-03;0300;-3.538;
2020-01-03;0400;-3.536;
2020-01-03;0500;-3.54;
2020-01-03;0600;-3.54;
2020-01-03;0700;-3.53;
2020-01-03;0800;-3.53;
2020-01-03;0900;211.937;
2020-01-03;1000;570.02;
2020-01-03;1100;774.202;
2020-01-03;1200;1072.636;
2020-01-03;1300;1719.176;
2020-01-03;1400;2691.486;
2020-01-03;1500;2837.73;
2020-01-03;1600;3890.859;
2020-01-03;1700;2052.43;
2020-01-03;1800;2396.924;
2020-01-03;1900;1807.133;
2020-01-03;2000;359.932;
2020-01-03;2100;150.283;
2020-01-03;2200;-3.509;
2020-01-03;2300;-3.481;
2020-01-04;0000;-3.54;
2020-01-04;0100;-3.538;
2020-01-04;0200;-3.507;
2020-01-04;0300;-3.54;
2020-01-04;0400;-2.021;
2020-01-04;0500;-3.121;
2020-01-04;0600;-3.374;
2020-01-04;0700;-3.509;
2020-01-04;0800;-2.961;
2020-01-04;0900;65.03;
2020-01-04;1000;366.66;
2020-01-04;1100;807.008;
