Nome: IBOTIRAMA
Codigo Estacao: A439
Latitude: -12.19305555
Longitude: -43.21333333
Altitude: 425.12
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;1.4;962.591667;19.804167;34;27.091667;22.6;66.458333;36;10.3;1.916667;
2020-01-02;.2;962.891304;19.717391;33.6;27.243478;23.3;64.782609;38;9.5;1.765217;
2020-01-03;8.8;964.682609;20.482609;28.9;23.978261;21.6;81.73913;57;10.1;1.326087;
2020-01-04;13;964.147826;19.83913;32.3;25.378261;21.9;73.173913;43;13.4;1.965217;
2020-01-05;null;null;null;31.1;null;21.4;72.857143;49;6.9;null;
2020-01-06;null;963.966667;21.4125;31.8;25.633333;23.5;78.458333;47;7.7;1.170833;
2020-01-07;1;964.433333;20.645833;33.8;27.083333;22.5;70.875;40;6.4;1.354167;
2020-01-08;0;963.358333;21.404167;34.6;28.483333;24;67.416667;41;7.6;1.620833;
2020-01-09;.4;963.2;20.75;35.3;28.195833;24;65.708333;33;12.8;1.675;
2020-01-10;null;963.347619;18.804762;35.1;null;23.6;56.047619;30;6.3;1.147619;
2020-01-11;0;963.016667;17.2375;35.9;28.7375;20.5;53.833333;27;6.4;.970833;
2020-01-12;0;963.417391;18.452174;35.6;29.313043;23.2;54.304348;31;7.6;.847826;
2020-01-13;0;963.008696;16.782609;36.8;28.721739;20.6;54.217391;19;9.2;.878261;
2020-01-14;0;962.254167;17.8375;37.1;29.508333;21.9;52.375;28;5.9;.833333;
2020-01-15;.2;962.286957;15.73913;37.7;30.313043;23.8;45.956522;14;8.8;1.452174;
2020-01-16;0;963.894737;15.142105;37.1;null;20.8;47.368421;20;8;1.468421;
2020-01-17;null;964.238095;16.995238;37;null;21.5;50.52381;27;6.1;1.052381;
2020-01-18;null;963.742857;19.62381;36.2;null;23.5;60.285714;29;11.2;1.642857;
2020-01-19;null;962.885;17.815;35.4;null;25;50.35;32;5.6;1.345;
2020-01-20;null;962.190909;17.777273;35.2;29.095455;23.1;52.909091;28;9.9;1.272727;
2020-01-21;17.8;961.538095;20.47619;29.7;null;21.5;79.333333;48;6.5;1.133333;
2020-01-22;null;962.008333;21.7;30.1;24.379167;22.7;85.541667;55;8.1;1.191667;
2020-01-23;26.8;963.425;20.4;26.3;22.975;21.3;85.625;71;10.2;1.395833;
2020-01-24;4.4;964.116667;20.383333;23.8;null;21.1;89.333333;82;5.1;.438889;
2020-01-25;null;963.717391;21.317391;32.3;26.234783;22;76.434783;47;8;.730435;
2020-01-26;29.4;964.758333;21.541667;28.1;24.5375;20.9;83.75;65;5.9;1.2;
2020-01-27;1.2;964.7625;21.204167;31.9;25.458333;22.2;78.916667;47;10.8;.804167;
2020-01-28;9;965.525;21.758333;31.4;24.920833;21.7;83.291667;59;13.6;1.141667;
2020-01-29;26.2;965.141667;21.116667;33.6;27.491667;20.9;71.166667;41;6.3;1.041667;
2020-01-30;0;965.154545;20.122727;33.5;27.413636;21.2;66.863636;37;8.6;1.013636;
2020-01-31;0;964.995833;18.145833;33.2;27.3875;20.8;59.458333;32;5.9;1.129167;
2020-02-01;0;964.829167;19.041667;34.2;27.533333;20.5;63.458333;32;6.2;.708333;
2020-02-02;0;964.204167;20.854167;33.9;26.416667;22.1;73.291667;40;8.7;1.029167;
2020-02-03;0;964.666667;21.466667;33.1;25.8875;22.7;77.791667;46;12.7;.775;
2020-02-04;20.6;965.273913;21.543478;31.8;25;21.8;82.086957;52;12.2;1.017391;
2020-02-05;18.8;null;null;28.2;null;22.1;87.375;70;8.5;null;
2020-02-06;null;965.090476;20.828571;29.6;null;null;80.380952;61;8.4;.87619;
2020-02-07;.8;963.791667;21.45;24.2;23.333333;23;89.208333;81;4.3;.591667;
2020-02-08;14.8;964.695833;21.258333;28.7;23.454167;22.1;87.791667;63;14.8;1.575;
2020-02-09;22.4;966.508333;21.845833;29.5;24.866667;19.9;83.958333;63;4.5;.870833;
2020-02-10;null;null;null;33.4;null;22.7;71.25;49;6;null;
2020-02-11;0;964.133333;21.220833;34.4;27.983333;21.6;69.083333;41;5.2;.895833;
2020-02-12;0;963.068182;20.463636;34.4;27.977273;23.2;66;33;6.5;1.177273;
