Nome: JACOBINA
Codigo Estacao: A440
Latitude: -11.205
Longitude: -40.465
Altitude: 440.78
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;2.2;961.820833;21.143478;29.2;23.391667;20.9;88.086957;56;7;.854167;
2020-01-02;23.4;961.891667;21.591667;31.2;24.258333;21.5;86.208333;51;6.7;1.058333;
2020-01-03;.4;962.675;20.966667;30.9;24.720833;21.3;81.416667;51;8.7;.866667;
2020-01-04;.4;962.616667;20.7375;29.6;23.841667;21.4;83.833333;57;8.9;1.366667;
2020-01-05;2.6;962.65;20.566667;30.6;24.620833;21.6;79.916667;49;9.2;1.791667;
2020-01-06;9;961.958333;21.065217;32.7;25.470833;20.9;79.304348;40;7.4;1.358333;
2020-01-07;.4;962.741667;20.475;32.3;26.695833;23;70.916667;44;6.6;1.633333;
2020-01-08;0;962.904167;19.683333;31.3;24.995833;21;74.791667;44;5.9;1.375;
2020-01-09;0;962.708333;18.191667;31.8;24.4125;19.7;71.75;36;6.6;1.333333;
2020-01-10;0;963.4125;16.875;31.7;24.058333;18.5;68;31;9;1.466667;
2020-01-11;0;963.066667;18.233333;32.4;25.554167;18;66.416667;32;7.2;1.8875;
2020-01-12;7.8;963.758333;18.875;33.1;24.875;20.2;74.541667;29;9.2;1.795833;
2020-01-13;0;962.833333;19.216667;32.7;25.854167;20.5;69.541667;35;5.4;1.404167;
2020-01-14;0;962.279167;17.333333;33.7;25.595833;20.2;65.541667;24;8.4;1.795833;
2020-01-15;0;962.758333;15.995833;33.4;26.0625;19.5;58;24;9;2.241667;
