Nome: ITAPETINGA
Codigo Estacao: A446
Latitude: -15.24472221
Longitude: -40.22944443
Altitude: 271.48
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.255;
2020-01-01;0100;-3.293;
2020-01-01;0200;-1.564;
2020-01-01;0300;-2.462;
2020-01-01;0400;-3.253;
2020-01-01;0500;-3.527;
2020-01-01;0600;-2.385;
2020-01-01;0700;-2.084;
2020-01-01;0800;-2.837;
2020-01-01;0900;104.644;
2020-01-01;1000;856.727;
2020-01-01;1100;1762.795;
2020-01-01;1200;2274.462;
2020-01-01;1300;3166.956;
2020-01-01;1400;2956.7;
2020-01-01;1500;2973.846;
2020-01-01;1600;2325.12;
2020-01-01;1700;292.835;
2020-01-01;1800;1212;
2020-01-01;1900;706.251;
2020-01-01;2000;562.169;
2020-01-01;2100;null;
2020-01-01;2200;4.217;
2020-01-01;2300;-3.525;
2020-01-02;0000;-3.533;
2020-01-02;0100;-3.47;
2020-01-02;0200;null;
2020-01-02;0300;-3.54;
2020-01-02;0400;-3.241;
2020-01-02;0500;-2.847;
2020-01-02;0600;-2.29;
2020-01-02;0700;-3.394;
2020-01-02;0800;-3.539;
2020-01-02;0900;136.294;
2020-01-02;1000;682.573;
2020-01-02;1100;1945.676;
2020-01-02;1200;1921.202;
2020-01-02;1300;2109.621;
2020-01-02;1400;2686.697;
2020-01-02;1500;1298.924;
2020-01-02;1600;1372.763;
2020-01-02;1700;1134.266;
2020-01-02;1800;739.091;
2020-01-02;1900;1163.856;
2020-01-02;2000;835.691;
2020-01-02;2100;302.255;
2020-01-02;2200;3.749;
2020-01-02;2300;-3.116;
2020-01-03;0000;-1.916;
2020-01-03;0100;-2.487;
2020-01-03;0200;-3.069;
2020-01-03;0300;-3.45;
2020-01-03;0400;-2.847;
2020-01-03;0500;-2.175;
2020-01-03;0600;-2.673;
2020-01-03;0700;-2.202;
2020-01-03;0800;null;
2020-01-03;0900;31.64;
2020-01-03;1000;416.502;
2020-01-03;1100;1360.096;
2020-01-03;1200;2057.54;
2020-01-03;1300;1956.361;
2020-01-03;1400;2932.715;
2020-01-03;1500;2286.853;
2020-01-03;1600;3150.656;
2020-01-03;1700;2704.165;
2020-01-03;1800;2560.944;
2020-01-03;1900;1967.594;
2020-01-03;2000;254.294;
2020-01-03;2100;56.596;
2020-01-03;2200;7.12;
2020-01-03;2300;3.147;
2020-01-04;0000;2.148;
2020-01-04;0100;.955;
2020-01-04;0200;.777;
2020-01-04;0300;-1.48;
2020-01-04;0400;-2.084;
2020-01-04;0500;-2.248;
2020-01-04;0600;-2.148;
2020-01-04;0700;-.96;
2020-01-04;0800;-1.285;
2020-01-04;0900;64.051;
2020-01-04;1000;391.73;
2020-01-04;1100;964.836;
2020-01-04;1200;2042.303;
2020-01-04;1300;2116.145;
2020-01-04;1400;2399.545;
2020-01-04;1500;127.227;
2020-01-04;1600;292.791;
2020-01-04;1700;1092.539;
2020-01-04;1800;939.443;
2020-01-04;1900;66.817;
2020-01-04;2000;102.706;
2020-01-04;2100;62.88;
2020-01-04;2200;1.806;
2020-01-04;2300;-1.046;
2020-01-05;0000;-.626;
2020-01-05;0100;-2.097;
2020-01-05;0200;-2.004;
2020-01-05;0300;-1.85;
2020-01-05;0400;-2.192;
2020-01-05;0500;-2.021;
2020-01-05;0600;-1.75;
2020-01-05;0700;-1.327;
2020-01-05;0800;2.133;
2020-01-05;0900;36.591;
2020-01-05;1000;695.971;
2020-01-05;1100;1056.918;
2020-01-05;1200;2206.382;
2020-01-05;1300;2932.874;
2020-01-05;1400;3135.577;
2020-01-05;1500;3200.207;
2020-01-05;1600;2377.461;
2020-01-05;1700;3157.209;
2020-01-05;1800;2665.466;
2020-01-05;1900;1430.075;
2020-01-05;2000;880.668;
2020-01-05;2100;206.603;
2020-01-05;2200;null;
2020-01-05;2300;-3.501;
2020-01-06;0000;-3.457;
2020-01-06;0100;-3.54;
2020-01-06;0200;-3.54;
2020-01-06;0300;-3.538;
2020-01-06;0400;-3.523;
2020-01-06;0500;-3.517;
2020-01-06;0600;-3.539;
2020-01-06;0700;-3.5;
2020-01-06;0800;-3.519;
2020-01-06;0900;121.755;
2020-01-06;1000;969.896;
2020-01-06;1100;964.76;
2020-01-06;1200;2313.521;
2020-01-06;1300;2888.056;
2020-01-06;1400;1306.406;
2020-01-06;1500;3891.235;
2020-01-06;1600;3669.338;
2020-01-06;1700;2357.493;
2020-01-06;1800;597.431;
2020-01-06;1900;265.126;
2020-01-06;2000;140.79;
2020-01-06;2100;9.329;
2020-01-06;2200;1.178;
2020-01-06;2300;-.833;
2020-01-07;0000;-3.13;
2020-01-07;0100;-2.875;
2020-01-07;0200;-3.105;
2020-01-07;0300;-2.96;
2020-01-07;0400;-3.423;
2020-01-07;0500;-2.179;
2020-01-07;0600;-1.222;
2020-01-07;0700;-2.297;
2020-01-07;0800;-2.283;
2020-01-07;0900;38.983;
2020-01-07;1000;552.999;
2020-01-07;1100;1773.265;
2020-01-07;1200;2483.862;
2020-01-07;1300;3080.79;
2020-01-07;1400;3671.686;
2020-01-07;1500;3797.203;
2020-01-07;1600;2786.513;
2020-01-07;1700;3498.425;
2020-01-07;1800;2889.346;
2020-01-07;1900;2214.133;
2020-01-07;2000;1339.029;
2020-01-07;2100;339.921;
2020-01-07;2200;13.622;
2020-01-07;2300;-3.495;
2020-01-08;0000;-3.534;
2020-01-08;0100;-3.535;
2020-01-08;0200;-3.029;
2020-01-08;0300;-1.29;
2020-01-08;0400;-1.588;
2020-01-08;0500;-.911;
2020-01-08;0600;-.814;
2020-01-08;0700;-2.062;
2020-01-08;0800;-3.339;
2020-01-08;0900;57.619;
2020-01-08;1000;424.052;
2020-01-08;1100;1534.037;
2020-01-08;1200;2023.562;
2020-01-08;1300;2162.69;
2020-01-08;1400;3076.499;
2020-01-08;1500;3975.525;
2020-01-08;1600;3957.487;
2020-01-08;1700;3378.485;
2020-01-08;1800;2857.32;
2020-01-08;1900;2038.462;
2020-01-08;2000;1500.239;
2020-01-08;2100;286.731;
2020-01-08;2200;10.674;
2020-01-08;2300;-3.54;
2020-01-09;0000;-3.54;
2020-01-09;0100;-3.54;
2020-01-09;0200;-3.54;
2020-01-09;0300;-3.54;
2020-01-09;0400;-3.54;
2020-01-09;0500;-2.945;
2020-01-09;0600;-1.864;
2020-01-09;0700;-3.074;
2020-01-09;0800;-3.464;
2020-01-09;0900;74.416;
2020-01-09;1000;837.594;
2020-01-09;1100;1755.635;
2020-01-09;1200;2922.937;
2020-01-09;1300;2541.484;
2020-01-09;1400;3671.914;
2020-01-09;1500;3306.632;
2020-01-09;1600;3514.078;
2020-01-09;1700;3160.95;
2020-01-09;1800;2373.132;
2020-01-09;1900;2314.491;
2020-01-09;2000;1202.837;
2020-01-09;2100;296.495;
2020-01-09;2200;9.752;
2020-01-09;2300;-3.54;
2020-01-10;0000;-3.54;
2020-01-10;0100;-3.48;
2020-01-10;0200;-3.54;
2020-01-10;0300;-3.54;
2020-01-10;0400;-3.54;
2020-01-10;0500;-3.54;
2020-01-10;0600;-3.54;
2020-01-10;0700;-3.54;
2020-01-10;0800;-3.54;
2020-01-10;0900;75.809;
2020-01-10;1000;709.124;
2020-01-10;1100;1555.417;
2020-01-10;1200;2500.495;
2020-01-10;1300;3371.435;
2020-01-10;1400;3970.208;
2020-01-10;1500;4092.875;
2020-01-10;1600;3705.23;
