Nome: FORMOSA DO RIO PRETO
Codigo Estacao: A452
Latitude: -11.05222222
Longitude: -45.20083333
Altitude: 488
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;2.4;956.120833;22.121739;30.1;24.208333;21.8;89.869565;67;7.2;1.0875;
2020-01-02;1.2;956.225;22.0375;30.3;24.129167;21.5;88.916667;59;8.1;1.5125;
2020-01-03;9.8;957.366667;21.983333;30.7;24.308333;21;88;58;8.1;1.195833;
2020-01-04;10.2;957.791667;22.566667;27.8;22.9875;21.4;97.583333;78;6.6;.9375;
2020-01-05;49.2;957.470833;21.804167;32;25.225;20.9;83.541667;51;4.7;.85;
2020-01-06;6.6;957.341667;22.1;29;24.645833;21.3;86.833333;62;6.6;1.625;
2020-01-07;.6;957.591667;22.254167;33.5;26.275;21.7;80.916667;49;7.3;1.191667;
2020-01-08;0;957.175;22.175;32.1;25.308333;22.4;84.708333;49;7.9;1.279167;
2020-01-09;0;957.058333;22.079167;31.2;24.75;21.1;86.208333;63;11.3;1.679167;
2020-01-10;.6;956.654167;21.441667;35;26.433333;21.6;77.458333;42;8.6;1.3125;
2020-01-11;.2;956.058333;21.133333;34.6;26.7;19.8;75.458333;43;7.1;1.1125;
2020-01-12;0;956.995833;21.595833;34.1;25.633333;20.1;81.166667;45;10.5;1.079167;
2020-01-13;.8;956.433333;21.208333;36.3;27.7125;20.7;72.375;32;6.4;1.120833;
2020-01-14;0;955.691667;21.179167;37.1;28.808333;21.8;66.375;36;6.6;1.666667;
2020-01-15;0;955.595833;21.479167;35.6;27.9;22.7;71.5;36;7;1.341667;
2020-01-16;0;957.0625;19.85;36.5;27.608333;21.2;67.958333;33;6.7;1.070833;
2020-01-17;0;957.470833;20.145833;36.8;27.375;20.2;68.208333;37;5.5;1.133333;
2020-01-18;0;957;21.156522;36.8;28.358333;21.8;70.130435;37;6.7;1.145833;
2020-01-19;4;956.5875;22.465217;33.9;26.579167;21.9;80.434783;47;6.2;1.1625;
2020-01-20;.6;955.520833;21.741667;35;27.4125;22.2;74.958333;41;7.3;1.145833;
2020-01-21;0;954.275;21.545833;33.8;26.3875;21;76.916667;45;7.9;1.620833;
2020-01-22;47.2;955.4125;22.495833;27.1;23.191667;20.2;96.25;77;6.1;1.304167;
2020-01-23;11.6;956.291667;22.054167;27.4;22.879167;21.1;95.5;77;7;1.3375;
2020-01-24;7.2;957.0375;22.608333;26.8;22.995833;21.2;97.791667;84;5.5;.85;
2020-01-25;1.8;956.679167;23.029167;33.5;26.433333;21.8;84.333333;51;6.2;.883333;
2020-01-26;.6;957.458333;22.766667;31.3;25.220833;21.4;87.166667;58;9.9;1.775;
2020-01-27;.2;957.983333;22.95;30.4;25.2375;22.5;88.166667;61;4.7;.933333;
2020-01-28;57.6;958.75;22.1625;30.9;23.0375;21.1;95.5;62;10.5;1.320833;
2020-01-29;30.4;958.3375;21.983333;33.6;25.4625;19.7;83.75;49;5.6;.933333;
2020-01-30;0;958.0875;21.808333;34.6;26.604167;20.8;78.833333;44;5.9;.9125;
2020-01-31;0;958.083333;21.133333;34.2;26.079167;20.2;78.375;41;6.1;.8625;
2020-02-01;0;957.983333;21.15;34.3;26.079167;19.5;77.75;45;6.4;.958333;
2020-02-02;0;957.35;21.779167;34.1;26.129167;19.7;79.666667;48;6;1.091667;
2020-02-03;0;957.933333;21.320833;33.4;24.925;20.3;81.958333;51;6.7;1.458333;
2020-02-04;4.8;958.3375;22.158333;31.8;25.308333;21.1;84.375;56;10.5;1.479167;
2020-02-05;23.4;958.391667;22.816667;29.7;24.229167;21.1;92.375;65;6.8;1.054167;
2020-02-06;15.8;958.408333;22.9625;26.8;23.808333;21.1;95.333333;76;4.4;.875;
2020-02-07;8;956.320833;22.625;32.3;24.991667;21;88.875;52;6.7;1.025;
2020-02-08;34;957.925;21.354167;29.6;22.504167;19.8;93.875;66;9.1;1.279167;
2020-02-09;4;959.854167;22.033333;25.4;22.6625;20.6;96.375;81;4.4;1.25;
2020-02-10;2.6;959.570833;22.7;32.6;25.254167;20.1;87.291667;59;6.4;1.120833;
2020-02-11;0;957.291667;22.517391;35.2;26.808333;21.2;81.956522;44;6.9;.9375;
2020-02-12;0;956.3125;22.354167;33.1;26.391667;20.6;81.208333;49;7.9;1.029167;
2020-02-13;0;956.6625;21.881818;34.3;26.8625;21.1;80.727273;38;5.7;1;
2020-02-14;0;956.820833;21.204167;33.1;25.133333;19;81.208333;51;9.1;1.0125;
2020-02-15;0;956.983333;22.7625;30.5;24.9;20.6;89.166667;65;6.8;.895833;
2020-02-16;0;956.741667;22.043478;34;25.904167;20.7;83.478261;45;6;.983333;
2020-02-17;.4;956.429167;22.408333;33.7;26.241667;21.8;82.125;47;5.6;1.0375;
2020-02-18;0;956.441667;21.9375;34.2;26.454167;20.8;79.208333;46;7.7;1;
2020-02-19;0;955.333333;21.9875;34.3;25.533333;20.9;82.833333;51;9.3;1.125;
2020-02-20;11.6;956;22.35;31.3;24.629167;20.2;88.375;63;7.6;1.433333;
2020-02-21;12.8;956.65;22.591667;33.3;25.9125;19.9;83.625;53;10.6;1.145833;
2020-02-22;.2;957.925;22.483333;32.7;24.375;21.6;90;56;12.9;1.120833;
2020-02-23;8.4;958.445833;23.070833;30.8;24.233333;21.1;93.875;69;5.1;.891667;
2020-02-24;2.6;957.245833;22.775;33.4;24.775;20.3;90.083333;58;7.1;1.020833;
2020-02-25;.8;956.545833;22.778261;34;26.216667;21.2;85;49;6.7;.883333;
