Nome: NOSSA SENHORA DA GLORIA
Codigo Estacao: A453
Latitude: -10.20777777
Longitude: -37.43194443
Altitude: 271
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;24.2;980.641667;21.470833;31.7;25.725;20.9;79.541667;48;null;null;
2020-01-02;0;980.433333;21.008333;34;27.254167;23.4;70.958333;44;null;null;
2020-01-03;0;980.7125;21.616667;35;27.775;23.3;71.625;41;null;null;
2020-01-04;0;980.579167;20.658333;36;28.204167;23;66.875;37;null;null;
2020-01-05;0;981.075;20.716667;34.8;27.491667;23.5;68.375;42;null;null;
2020-01-06;0;980.7375;20.566667;34.6;27.45;22.7;68.5;41;null;null;
2020-01-07;0;981.558333;20.666667;34;27;22.7;70.75;43;null;null;
2020-01-08;0;981.245833;20.195833;35.3;26.970833;22.1;69.875;36;null;null;
2020-01-09;0;980.970833;19.870833;36.3;27.395833;22.2;68.666667;26;null;null;
2020-01-10;0;981.733333;20.229167;35.8;27.491667;22.8;68.208333;33;null;null;
2020-01-11;0;981.566667;20.508333;35.6;27.658333;23;68.458333;34;null;null;
2020-01-12;0;981.979167;20.958333;36.5;27.65;23.3;70.291667;36;null;null;
2020-01-13;0;981.191667;20.75;37.6;27.658333;22.5;70.208333;32;null;null;
2020-01-14;0;980.954167;19.783333;37.1;27.695833;22.5;66.541667;30;null;null;
2020-01-15;0;981.425;19.225;35.5;27.2;22.1;65.625;33;null;null;
2020-01-16;0;982.741667;19.625;36.1;27.4;22;66.583333;31;null;null;
2020-01-17;0;982.825;20.766667;35.4;27.229167;22.5;70.166667;42;null;null;
2020-01-18;0;982.941667;21.1375;34.8;27.254167;22.7;71.458333;42;null;null;
2020-01-19;0;982.245833;21.979167;29.6;25.375;23.1;82.083333;59;null;null;
2020-01-20;1.8;980.283333;19.95;34.6;26.904167;22.2;68.916667;39;null;null;
2020-01-21;0;978.75;19.85;36.8;27.8375;21.9;65.958333;33;null;null;
2020-01-22;0;979.016667;20.741667;33.7;27.3;24.3;69.666667;43;null;null;
2020-01-23;1.8;980.2;22.429167;33.1;25.308333;22.4;85.333333;53;null;null;
2020-01-24;19.2;980.975;22.720833;31.5;26.408333;23;81.666667;54;null;null;
2020-01-25;0;980.716667;22.1625;35;27.9625;23.8;73.25;42;null;null;
2020-01-26;0;980.691667;22.729167;36.2;28.354167;24.5;73.666667;38;null;null;
2020-01-27;0;981.641667;22.175;36.8;28.216667;24.1;72.583333;41;null;null;
2020-01-28;0;982.295833;21.658333;35.4;27.4375;23.5;73.291667;41;null;null;
2020-01-29;0;982.570833;20.645833;35;27.179167;22.3;70.708333;40;null;null;
2020-01-30;0;982.766667;20.679167;34.3;26.670833;22.2;72.333333;44;null;null;
2020-01-31;0;982.570833;21.270833;35.9;27.1875;22.2;73.041667;41;null;null;
2020-02-01;0;982.6625;21.933333;35.5;27.483333;23.7;74.625;41;null;null;
2020-02-02;4.4;982.025;23.020833;35.1;27.0125;23.4;80.708333;45;null;null;
2020-02-03;8.4;982.1375;22.508333;35.5;27.466667;23.9;77;39;null;null;
2020-02-04;2;982.295833;23.1875;34.1;26.429167;24.3;83.416667;48;null;null;
2020-02-05;1.6;981.666667;22.5125;32.6;26.7625;23.7;79.125;53;null;null;
2020-02-06;1.2;981.7875;22.183333;31.7;26.445833;23.8;78.958333;52;null;null;
2020-02-07;0;980.554167;21.9625;35.3;27.129167;23.1;76;41;null;null;
2020-02-08;0;981.308333;21.6625;35.3;27.541667;23.2;72.625;41;null;null;
2020-02-09;0;982.9625;21.825;34.8;27.520833;23.1;73.791667;39;null;null;
2020-02-10;0;983.779167;23.220833;32.3;27.1125;24.5;80.416667;57;null;null;
2020-02-11;0;982.320833;20.983333;36.1;28.075;23.8;69.708333;30;null;null;
2020-02-12;0;981.479167;21.5375;32.1;26.079167;22.7;77.958333;43;null;null;
2020-02-13;9.4;981.2125;23;31.9;26.545833;23.3;81.958333;57;null;null;
2020-02-14;.8;981.4;22.475;34.9;27.7125;24.2;75.25;42;null;null;
2020-02-15;0;981.295833;20.795833;34.4;27.258333;22.8;71;38;null;null;
2020-02-16;0;981.441667;20.9125;34;26.85;22.5;72.583333;43;null;null;
2020-02-17;.6;981.104167;21.85;36.1;27.395833;23;74.166667;39;null;null;
2020-02-18;.4;981.308333;21.895833;35.4;27.629167;23.7;73.458333;43;null;null;
2020-02-19;0;980.3375;21.208333;32.4;26.858333;22.6;73.333333;46;null;null;
