Nome: ITAMARAJU
Codigo Estacao: A455
Latitude: -17.00694444
Longitude: -39.55805555
Altitude: 110
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;5.4;998.691667;22.191667;33.2;25.5875;19.7;83.291667;52;10.1;2.975;
2020-01-02;0;997.9875;23.070833;33.5;26.991667;23;80.625;54;17.4;3.791667;
2020-01-03;2;998.258333;23.633333;33.1;26.241667;23.4;86.708333;56;9.9;3.366667;
2020-01-04;10.4;998.829167;23.375;32.2;24.870833;22.9;92.291667;62;22.9;2.875;
2020-01-05;13.4;998.4625;23.033333;33;26.920833;22;81.083333;50;9.6;3.504167;
2020-01-06;0;999.229167;23.779167;32.7;26.866667;23.9;83.791667;59;10;3.925;
2020-01-07;0;999.941667;23.570833;33.4;27.2;23.1;81.75;56;9.7;3.745833;
2020-01-08;0;1000.3875;23.179167;33.8;27.333333;23.9;79.583333;54;9.2;3.420833;
2020-01-09;0;1000.631818;21.590909;32.5;26.054545;21;78.681818;49;9.3;3.127273;
2020-01-10;null;null;null;null;null;null;65.083333;48;10.5;null;
2020-01-11;0;1001.140909;21.745455;34.7;26.868182;21.1;76.318182;41;8.9;2.886364;
2020-01-12;null;null;null;null;null;null;59.461538;39;11.5;null;
2020-01-13;0;1000.0375;22.729167;36.4;27.958333;23.4;75.875;39;8.8;3.825;
2020-01-14;0;1001.1625;21.379167;35.1;26.808333;20.8;75.958333;30;8.5;2.004167;
2020-01-15;0;1001.329167;20.904167;35;27.0875;21.4;73.208333;34;8.3;1.579167;
2020-01-16;0;1002.166667;22.7125;34.1;27.129167;21.9;79.083333;50;9.1;2.8375;
2020-01-17;0;1002.029167;22.3125;35.1;27.65;23.1;75.541667;40;9.6;3.691667;
2020-01-18;0;1003.4625;21.4625;35.2;27.233333;21.8;74.625;36;8.6;2.329167;
2020-01-19;0;1002.7125;22.9125;30.5;25.533333;22.3;86.291667;61;9.7;1.95;
2020-01-20;2.6;999.533333;22.425;35.1;27.125;22.3;78.416667;39;10.2;2.7875;
2020-01-21;0;997.054167;22.6125;32.6;27.075;23.5;78.458333;50;10.6;3.054167;
2020-01-22;.2;997.220833;23.079167;30.1;25.341667;23.6;87.791667;68;10.6;3.358333;
2020-01-23;12.4;998.054167;22.883333;28.6;24.358333;22;91.666667;74;12.4;3;
2020-01-24;8.4;998.079167;23.054167;26.4;24.345833;22.3;92.583333;80;10.8;3.4625;
2020-01-25;2.6;998.195833;23.745833;30.1;26.325;23.3;86.208333;69;10.6;3.95;
2020-01-26;0;999.516667;24.529167;27.5;25.5875;24.9;94.041667;83;10;2.5;
2020-01-27;4.6;1000.216667;24.329167;33.7;26.925;23.7;87.291667;54;10.6;2.6375;
2020-01-28;7.4;1001.608333;23.541667;34.4;26.933333;22.2;83.75;47;8.5;2.4;
2020-01-29;0;1002.675;23.666667;32.7;27.258333;23.8;82.25;58;7.1;2.5625;
2020-01-30;0;1003.25;22.683333;33.6;26.95;22.2;79.833333;45;7.6;2.195833;
2020-01-31;0;1002.545833;22.091667;33.9;26.641667;21.2;79.083333;43;8.8;2.416667;
2020-02-01;0;1001.6125;22.066667;34.2;26.95;21.9;78;39;8.5;3.116667;
2020-02-02;0;1001.079167;22.8125;34.9;27.441667;23.1;78.5;41;8.1;2.925;
2020-02-03;0;1001.7125;23.479167;33.9;27.2125;23;81.833333;53;9.4;2.841667;
2020-02-04;0;1002.1125;22.958333;33.5;27.216667;22.6;79.458333;50;8.6;2.8625;
2020-02-05;0;1001.779167;22.408333;34.3;27.154167;22.5;78.083333;44;8.9;2.516667;
2020-02-06;.8;1001.925;22.916667;32.5;26.233333;22.3;83.708333;48;7.6;1.866667;
2020-02-07;0;1000.704167;22.5375;32.6;26.204167;21.8;81.958333;51;8.4;1.6125;
2020-02-08;0;1001.1375;22.341667;33.3;26.558333;21.2;79.875;46;7;1.941667;
2020-02-09;0;1002.195833;22.533333;36.2;27.654167;22.4;76.666667;37;10.9;3.129167;
2020-02-10;0;1002.6375;22.954167;36.9;28.733333;23.7;73.625;39;8.1;2.7125;
2020-02-11;0;1000.958333;23.033333;37.1;29.375;24.9;71.916667;36;10.7;4;
2020-02-12;0;1001.083333;22.825;34.6;28.408333;24.1;74.5;44;9.9;3.004167;
2020-02-13;0;1001.195833;21.708333;35.2;26.908333;20.6;76.625;37;10.4;2.341667;
2020-02-14;0;1001.5375;22.820833;34.5;27.054167;21.7;80.125;44;11.8;2.054167;
2020-02-15;0;1001.458333;22.904167;34.8;27.679167;23.5;78.333333;40;9.3;2.370833;
2020-02-16;0;1001.425;22.5875;34.9;27.791667;22.2;76.291667;45;9.5;2.720833;
2020-02-17;0;1001.991667;23.0375;32.8;26.254167;21.8;83.75;53;8.8;2.158333;
2020-02-18;.8;1002.558333;22.3375;34;27.245833;21.5;77.666667;46;9.5;2.2625;
2020-02-19;2.8;1000.725;22.795833;32.4;26.775;22.2;80.791667;51;9.2;2.066667;
2020-02-20;0;999.825;21.845833;35.9;27.1375;20.9;76.291667;39;8.5;2.2375;
2020-02-21;0;999.316667;23.320833;37.1;28.3875;23.9;76.75;38;10.5;3.333333;
2020-02-22;0;999.404167;23.625;38;28.9875;24.6;74.958333;39;9.1;3.333333;
2020-02-23;1.2;1001.95;23.78;28.9;null;22.5;92.1;73;8.6;1.615;
2020-02-24;null;null;null;null;null;null;null;57;7.7;null;
2020-02-25;1.2;1001.516667;23.991667;32.8;26.779167;23.7;85.875;60;6.7;2.375;
2020-02-26;1.4;999.2;22.9875;35.5;27.716667;22.7;78.333333;42;9.2;3.0625;
2020-02-27;0;998.270833;23.183333;36.8;28.5125;23.7;75.541667;43;10.5;4.0625;
2020-02-28;0;1001.816667;22.433333;33.2;27.3875;22.1;76.791667;48;8.8;2.2125;
2020-02-29;0;1002.708333;21.8875;34.7;27.241667;22;76.458333;40;9.3;2.120833;
2020-03-01;0;1001.445833;21.254167;36.1;27.058333;19.9;74.75;35;8.9;2.233333;
2020-03-02;0;1000.375;21.795833;34.6;27.358333;21.7;75.125;41;9.4;2.645833;
2020-03-03;0;1000.454167;22.341667;33.8;27.2;21.7;77.291667;46;8.6;2.645833;
2020-03-04;0;1000.325;22.35;36.5;28.141667;23;73.75;40;9.6;3.483333;
2020-03-05;0;1000.820833;23.6;33.5;27.179167;25.1;82.291667;52;9.8;2.795833;
2020-03-06;3.6;1001.495833;23.2;26.8;23.879167;23;96.083333;84;7.3;2.229167;
2020-03-07;10;1001.033333;22.004167;26.3;22.9625;21.9;94.583333;80;8.5;3.279167;
2020-03-08;18.8;1001.720833;22.045833;27.2;23.029167;20.8;94.541667;74;6.3;2.658333;
2020-03-09;1.4;1002.483333;22.870833;28.5;24.641667;22.4;90.333333;73;8.7;3.170833;
2020-03-10;0;1001.679167;23.529167;30.7;25.3125;23.5;90.541667;63;7.5;2.845833;
2020-03-11;43;1000.734783;23.056522;31.2;25.021739;21.9;90.043478;59;6;1.717391;
2020-03-12;null;null;null;null;null;null;94.142857;80;7.7;null;
2020-03-13;26.4;1002.770833;22.675;30.3;24.954167;21.5;88.25;60;6.9;1.458333;
2020-03-14;0;1003.483333;22.120833;31.4;25.816667;21.8;82.708333;44;8;1.791667;
2020-03-15;.8;1003.125;22.525;29.6;25.016667;21.9;87.208333;62;7.3;1.720833;
2020-03-16;2.2;1002.279167;23.183333;30.2;24.925;22.1;90.583333;67;9.3;1.516667;
2020-03-17;6.6;1001.691667;22.608333;31.3;25.8125;21.9;84.208333;57;6.5;1.320833;
2020-03-18;0;1001.1125;23.1125;32.1;26.3125;21.8;84.208333;58;7;1.5;
2020-03-19;.2;999.608333;23.520833;29.4;24.179167;22.1;96.416667;68;7.4;1.454167;
2020-03-20;19.6;996.841667;24.041667;33.7;27.5;22.6;83.416667;55;8.9;2.45;
2020-03-21;.2;996.670833;24.395833;34.9;28.3;24.4;81.375;49;7.8;2.920833;
2020-03-22;32;1000.404167;23.7625;28.6;24.554167;22.9;95.5;79;16.4;2.216667;
2020-03-23;10.6;1003.0625;21.783333;28.8;24.329167;21.9;86.5;62;17;3.433333;
2020-03-24;.2;1003.347826;20.9;27.8;23.769565;21.4;84.565217;63;8.6;3.018182;
2020-03-25;0;1002.595833;20.508333;28.5;24.191667;21.3;81;59;8;2.983333;
2020-03-26;0;1002.370833;20.4875;28.5;24.016667;21.4;81.416667;58;7.7;2.25;
2020-03-27;0;1002.454167;20.8;30.1;24.104167;20.1;82.791667;59;8;2.4875;
2020-03-28;0;1003.566667;21.733333;31.4;25.054167;21.3;83.166667;58;8.6;2.854167;
2020-03-29;3;1003.979167;23.525;28.6;24.3;21.9;95.625;80;8.3;2.225;
2020-03-30;7.4;1002.441667;23.645833;30.8;25.7125;22.8;89.25;66;6.6;1.983333;
2020-03-31;2.2;1001.3375;23.8375;31;25.7875;23;89.833333;64;7.3;1.5625;
2020-04-01;null;null;null;31;null;23.1;84.266667;65;6.6;null;
2020-04-02;1.4;1002.116667;23.808333;32.8;26.520833;22.3;86.375;57;7.3;1.591667;
2020-04-03;.2;997.408333;23.241667;35.4;28.216667;23.1;77.291667;46;8.4;3.416667;
2020-04-04;0;997.354167;24.229167;34.1;27.691667;24.2;82.708333;54;9.5;3.895833;
2020-04-05;1.6;1002.391667;24.170833;27.9;24.920833;24;95.541667;84;7.2;1.8;
2020-04-06;1.8;1003.729167;23.6;29;25.183333;23;91.208333;73;6.9;1.6625;
2020-04-07;.2;1001.6;23.033333;32.6;26.4875;21.3;83.125;55;6.9;1.833333;
2020-04-08;0;999.679167;23.945833;33.7;26.7875;23;85.833333;54;9.3;2.491667;
2020-04-09;null;1000.505263;23.584211;25.8;null;23;98.210526;91;7.6;3.073684;
2020-04-10;21.6;1001.675;22.691667;25.3;22.916667;21.4;98.458333;91;7.2;2.641667;
2020-04-11;87;1001.3625;23.8125;29.4;24.8375;22.6;94.25;74;8.2;1.6;
2020-04-12;3.6;1001.991667;23.495833;28.8;24.816667;22.2;92.541667;77;10.7;2.470833;
2020-04-13;4.2;1002.995833;22.325;24.7;23.045833;21.9;95.666667;91;9.8;3.354167;
2020-04-14;6.8;1001.166667;22.3375;27.1;23.379167;21.9;93.875;78;6.9;2.591667;
2020-04-15;2.8;1001.645833;22.9125;30.2;24.695833;21;90.5;64;5.5;1.458333;
2020-04-16;0;1003.95;23.375;31.1;25.045833;21.4;90.958333;65;8.8;1.258333;
2020-04-17;18.6;1004.704167;23.658333;27.5;24.104167;22.3;97.291667;81;8.4;2.2625;
2020-04-18;44.4;1005.216667;22.3875;26.8;23.508333;22;93.708333;77;10.7;3.533333;
2020-04-19;null;null;null;27.6;null;22.2;83.058824;68;9.4;null;
2020-04-20;null;null;null;28.3;null;20.8;80.882353;61;7.9;null;
2020-04-21;0;1003.820833;21.129167;30;24.2125;20.9;84.291667;52;6.9;2.45;
2020-04-22;0;1003.191667;21.991667;27.8;23.458333;20.7;91.75;70;8.3;2.125;
2020-04-23;.4;1003.4;21.183333;29.3;23.966667;20.8;85.5;57;9.2;2.2125;
2020-04-24;0;1005.079167;19.695833;28.7;23.358333;20.1;81.791667;53;8.5;3.020833;
2020-04-25;0;1005.429167;21.65;29;23.033333;19.8;92.291667;67;9.5;2.970833;
2020-04-26;4.6;1006.216667;21.270833;29;24.2875;21.8;84.916667;50;9.7;2.8125;
2020-04-27;0;1006.979167;19.7;29.2;22.808333;18.2;84.375;56;9.8;3.366667;
2020-04-28;2;1007.295833;21.104167;27.9;22.504167;20.7;92.333333;65;9.3;2.841667;
2020-04-29;1.8;1006.804167;20.583333;29.1;23.479167;19.9;85.333333;53;5.8;2.2625;
2020-04-30;0;1005.326087;20.673913;29.5;23.834783;18.7;84.434783;50;5.6;1.908696;
2020-05-01;null;null;null;null;null;null;75.5;54;7;null;
2020-05-02;0;1003.530435;22.273913;31.7;25.33913;20.2;84.73913;53;6;1.752174;
2020-05-03;.4;1002.2625;22.5125;32.3;24.7625;20.6;88.25;53;13.5;2.55;
2020-05-04;4.2;1004.329167;20.6125;26.5;22.9625;19.8;87.166667;71;7.7;2.2375;
2020-05-05;.4;1003.933333;19.733333;29.1;22.495833;17.5;85.916667;59;6.4;1.3625;
2020-05-06;0;1002.883333;21.0625;30.7;24.233333;18.9;84.208333;53;7.6;2.420833;
2020-05-07;0;1001.6125;21.454167;32.7;25.116667;19.3;82.291667;47;9;2.6375;
2020-05-08;null;null;null;23.6;null;19.4;98.294118;90;9;null;
2020-05-09;null;null;null;null;null;null;80.583333;66;10.1;null;
2020-05-10;null;null;null;null;null;null;72;51;7.9;null;
2020-05-11;3;1008.004167;19.033333;26.4;20.941667;16.7;89.833333;65;6.8;2.266667;
2020-05-12;0;1006.0875;20.016667;29;22.345833;17.1;88.291667;57;6.2;1.6;
2020-05-13;0;1004.4875;21.070833;29.5;23.820833;20.4;85.958333;59;4.8;1.541667;
2020-05-14;0;1003.295833;21.166667;31;24.475;18.6;83.875;54;6.3;2.0125;
2020-05-15;0;1003.158333;22.083333;31.6;24.941667;19.6;85.958333;55;5.9;1.875;
2020-05-16;33.4;1003.6625;22.458333;27.6;23.6;21.6;93.875;74;10.4;2.291667;
2020-05-17;null;null;null;25.3;null;21.6;92.625;75;10.5;null;
2020-05-18;0;1006.754167;21.579167;28;23.133333;20.3;91.458333;67;6.9;2.370833;
2020-05-19;0;1008.629167;21.2375;27.9;23.3125;21;89.166667;65;8.7;2.3875;
2020-05-20;3.2;1009.133333;20.608333;27.4;21.908333;19.1;92.875;61;11.1;2.358333;
2020-05-21;2.4;1008.220833;20.7625;27.5;21.925;19;93.708333;70;8.6;2.041667;
2020-05-22;4.2;1007.016667;22.016667;27.7;22.425;20;97.916667;75;5.9;1.525;
2020-05-23;13.2;1005.75;22.95;28.7;24.170833;21.6;93.375;72;5.6;1.5625;
2020-05-24;.2;1003.516667;22.733333;31.1;24.675;20.2;90.208333;61;8.9;1.954167;
2020-05-25;.2;1002.0125;22.579167;30.7;24.075;21.9;92.291667;59;9.7;2.145833;
2020-05-26;null;1000.47;22.91;30.2;null;21.8;90.1;69;7.4;2.145;
2020-05-27;0;1001.583333;20.179167;28.8;23.166667;20;85.083333;52;6.3;1.883333;
2020-05-28;0;1005.733333;16.579167;27.1;20.004167;15.5;82.833333;48;8;2.4125;
2020-05-29;0;1007.304167;17.791667;26.5;20.295833;14.8;86.666667;59;7.6;2.7125;
2020-05-30;.4;1006.479167;18.658333;27.4;21.329167;16.2;86.291667;55;5.8;1.904167;
2020-05-31;.2;1005.508333;19.829167;28.6;22.729167;17.6;85.416667;53;5.7;1.283333;
2020-06-01;0;1004.4625;19.195833;29.5;22.8375;16.8;82.75;48;4.3;1.025;
2020-06-02;0;1004.069565;20.669565;29.3;22.556522;17;90.086957;66;5.5;1.491304;
2020-06-03;0;1005.109091;23.05;29.7;24.568182;21.2;91.909091;65;7.2;1.657143;
2020-06-04;.2;1007.613043;20.773913;27.9;23.447826;20.2;86.347826;53;8.3;2.352174;
2020-06-05;0;1008.654167;20.2;28.1;22.370833;19;88.833333;54;7.3;2.5375;
2020-06-06;0;1007.96087;19.708696;28.4;22.169565;16.6;87.652174;57;7.4;1.86087;
2020-06-07;1.4;1007.595455;20.722727;27.3;22.677273;20.4;89.636364;64;6.5;1.572727;
2020-06-08;0;1005.895455;19.686364;28.4;22.540909;17.1;85.545455;57;5.6;1.286364;
2020-06-09;null;null;null;null;null;null;78.2;58;5.8;null;
2020-06-10;.2;1004.865217;21.256522;30.2;23.652174;18;87.826087;56;5.5;1.656522;
2020-06-11;0;1005.531818;21.468182;30.1;24.568182;19.2;84.772727;55;7.1;2.286364;
2020-06-12;null;1004.37;21.765;29.8;null;21.6;84.8;57;6.4;2.165;
2020-06-13;.2;1005.552174;20.278261;30.6;23.03913;17.4;86.652174;51;5.2;1.447826;
2020-06-14;0;1007.572727;19.713636;29.8;22.759091;17.3;85.181818;47;6;1.504545;
2020-06-15;null;1009.58;20.85;26.1;null;18.6;93.35;74;11.4;2.185;
2020-06-16;null;1010.233333;21.383333;27.5;null;21.1;91.277778;64;10;2.972222;
2020-06-17;32.4;1010.079167;19.9625;24.9;21.1;19.8;93.666667;69;11.6;2.6125;
