Nome: SALVADOR (RADIO FAROL)
Codigo Estacao: A456
Latitude: -12.80833333
Longitude: -38.49583333
Altitude: 31
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;0;1006.656522;23.395652;32.9;26.417391;24;84.304348;60;9.6;1.973913;
2020-01-02;1.4;1006.847619;23.07619;30;null;22.5;89;66;8.2;1.485714;
2020-01-03;null;1007.268182;24.486364;29;25.377273;24.2;94.863636;80;8.5;1.066667;
2020-01-04;null;1006.959091;24.35;32.6;27.718182;23.8;82.772727;61;null;null;
2020-01-05;.2;1007.443478;23.191304;31.4;26.830435;24.7;81.391304;56;null;null;
2020-01-06;null;1007.18;23.825;32.6;null;24.2;81.85;60;null;null;
2020-01-07;0;1007.970833;23.825;32.3;27.333333;24.1;82.083333;62;null;null;
2020-01-08;0;1007.970833;22.516667;33.5;26.8625;23.1;78.291667;50;null;null;
2020-01-09;0;1008.166667;21.442857;29.8;null;22.5;79.857143;64;null;null;
2020-01-10;null;1008.547826;22.373913;33.6;26.591304;22.5;78.652174;55;null;null;
2020-01-11;0;1008.527273;23.504545;32.9;27.245455;23.7;81.090909;56;null;null;
2020-01-12;.8;1008.777273;23.959091;34.4;27.627273;24.2;81.727273;57;null;null;
2020-01-13;0;1008.071429;23.65;33.9;null;23.7;80.2;53;null;null;
2020-01-14;0;1007.781818;22.531818;33.8;27.331818;22.7;76.5;50;null;null;
2020-01-15;0;1008.272727;22.859091;33.7;27.131818;23.3;78.590909;52;null;null;
2020-01-16;null;1009.642857;23.085714;33.4;null;23.1;77.380952;49;null;null;
2020-01-17;0;1009.682609;23.013043;33.2;26.773913;23.7;80.695652;57;null;null;
2020-01-18;0;1010.065217;22.630435;34.2;27.213043;23.6;77.608696;49;null;null;
2020-01-19;0;1008.854167;22.729167;33.4;27.004167;23.3;78.541667;52;null;null;
2020-01-20;.4;1007.056522;22.534783;34.4;27.647826;23.7;75.608696;45;null;null;
2020-01-21;null;1005.031818;22.759091;32.4;27.272727;23.5;77.318182;57;null;null;
2020-01-22;0;null;null;29.3;null;24.6;90;75;7.2;null;
2020-01-23;null;null;null;null;null;null;null;76;6.4;null;
2020-01-24;null;null;null;null;null;null;null;62;6.7;null;
2020-01-25;null;null;null;null;null;null;null;64;5.6;null;
2020-01-26;null;null;null;null;null;null;null;76;11.1;null;
2020-01-27;null;null;null;null;null;null;77.615385;59;6.8;null;
2020-01-28;null;null;null;33.7;null;null;79.333333;63;6.3;null;
2020-01-29;null;1009.683333;23.35;32.5;null;24.1;78.444444;60;6.9;1.45;
2020-01-30;null;null;null;null;null;null;75.4;59;7.1;null;
2020-01-31;null;null;null;31.3;null;24.1;84.4375;65;7;null;
2020-02-01;4.6;1009.594737;24.036842;32.2;null;23.9;84.315789;65;6.2;1.242105;
2020-02-02;null;null;null;null;null;null;73.916667;59;8.3;null;
2020-02-03;null;null;null;null;null;null;78.666667;65;9.2;null;
2020-02-04;null;null;null;null;null;null;null;64;7.9;null;
2020-02-05;null;null;null;null;null;null;null;60;7.5;null;
2020-02-06;null;null;null;null;null;null;78.416667;70;5.3;null;
2020-02-07;null;null;null;null;null;null;null;68;6.8;null;
2020-02-08;null;null;null;null;null;null;null;75;7;null;
2020-02-09;null;null;null;null;null;null;null;57;5.9;null;
2020-02-10;null;null;null;null;null;null;81.714286;64;6.2;null;
2020-02-11;0;1008.95;24.513636;33.9;28.045455;25.1;82.727273;57;7.6;1.322727;
2020-02-12;null;1008.280952;23.3;32.4;null;24.3;81.619048;57;7.5;1.447619;
2020-02-13;null;1007.98;24.32;32;null;24.3;83.4;64;6.7;1.265;
2020-02-14;0;1008.2;24.369565;33.8;27.495652;24.7;84.043478;59;7.8;1.126087;
2020-02-15;0;1008.22;23.485;34.2;null;24.4;78.9;50;7.9;1.255;
2020-02-16;null;1008.272727;23.486364;33.9;28.081818;23.9;77.545455;53;6.7;1.231818;
2020-02-17;4.4;1008.395;23.915;31.5;null;23.7;87.35;67;6.9;1.04;
2020-02-18;null;1008.65;24.394444;29.7;null;23.2;91;78;7.8;1.105556;
2020-02-19;null;1007.356522;23.895652;28.9;25.530435;23.5;90.869565;74;7.6;.947826;
2020-02-20;null;1006.880952;24.552381;32.1;null;23.9;85.285714;67;7.7;1.238095;
2020-02-21;0;1007.081818;24.681818;31.3;27.390909;24.6;85.636364;70;5.6;1.286364;
2020-02-22;0;1007.642857;24.67619;33.1;null;24.7;84.285714;67;6.3;1.509524;
2020-02-23;null;1008.225;24.78;33.9;null;24.4;83;65;6.7;1.47;
2020-02-24;null;1008.318182;24.222727;34.7;28.768182;25.1;77.772727;53;6.5;1.336364;
2020-02-25;0;1008.075;23.9625;34;27.6125;24.3;81.208333;59;5;null;
2020-02-26;0;1006.890476;23.990476;33.7;null;24.5;82;58;null;null;
2020-02-27;null;1006.627273;23.895455;34.2;27.968182;23.9;79.590909;60;null;null;
2020-02-28;null;1008.218182;24.745455;34.7;28.490909;24.9;81.181818;55;null;null;
2020-02-29;0;1009.540909;23.777273;29.1;25.513636;24.6;90.272727;69;null;null;
2020-03-01;null;1008.631818;23.572727;32.8;27.313636;23.6;81;61;null;null;
2020-03-02;0;1007.552174;23.426087;33.5;27.126087;23.4;81.173913;57;null;null;
2020-03-03;0;1007.686957;23.191304;33.1;27.508696;23.9;78.347826;58;null;null;
2020-03-04;0;1008.052174;23.852174;34.3;28.186957;24.4;78.565217;52;null;null;
2020-03-05;0;1008.029167;24.941667;35;28.5875;24.9;81.625;60;null;null;
2020-03-06;0;1007.285714;25.452381;32.2;null;26;84.190476;67;null;null;
2020-03-07;21.4;1007.142857;24.865;30.9;null;24.3;92.15;71;null;null;
2020-03-08;null;1006.913043;25.343478;31.9;27.369565;24.8;89.086957;70;null;null;
2020-03-09;3.8;1007.917391;25.526087;29.8;26.617391;25.3;93.956522;81;null;null;
2020-03-10;30.8;1007.647619;25.035;29.8;null;23.8;94;80;null;null;
2020-03-11;0;1006.9;24.75;31;26.581818;25;90.045455;73;null;null;
2020-03-12;null;1007.386957;24.408696;30.5;26.386957;25.1;89.217391;71;null;null;
2020-03-13;.2;1008.409091;23.604545;32.8;27.495455;24.3;80.272727;55;6.8;null;
2020-03-14;4.2;1009.426316;24.057895;29.2;null;22.9;90.631579;77;8.3;1.121053;
2020-03-15;null;1008.708696;23.447826;32.5;27.13913;23.7;81.130435;58;6.6;1.086957;
2020-03-16;2.8;1008.442857;23.819048;29.9;null;22.6;89.619048;69;7.6;1.090476;
2020-03-17;1.8;1008.213636;23.872727;30.1;26.540909;24.1;85.545455;74;7.7;1.113636;
2020-03-18;0;1007.145833;24.979167;30.8;27.470833;24.8;86.666667;73;9.3;1.525;
2020-03-19;.2;1005.3;25.509091;31;27.077273;25.5;91.272727;76;6.6;1.663636;
2020-03-20;6.6;1005.134783;25.16087;33.1;26.847826;25.3;90.73913;62;7;1.53913;
2020-03-21;null;1005.838095;24.37619;34;null;25;85.047619;62;9.4;1.566667;
2020-03-22;null;1006.671429;24.847619;32;null;24.3;85.809524;64;5.5;1.195238;
2020-03-23;.2;1008.608696;24.965217;28.5;26.786957;26;89.782609;83;9.3;1.847826;
2020-03-24;40.8;1008.404545;24.245455;27.6;25.677273;24.2;91.909091;81;13;2.868182;
2020-03-25;null;1008.257143;24.152381;29.4;null;24.1;90.761905;78;10.9;1.97619;
2020-03-26;16.6;1007.770833;23.875;28.1;25.391667;23.9;91.541667;75;10.4;1.904167;
2020-03-27;13.8;1007.7;24.111111;29.1;null;23.9;87.444444;77;11.2;1.977778;
2020-03-28;null;1008.726316;25.136842;29;null;24.7;93.684211;78;9.1;1.568421;
2020-03-29;null;1008.995238;24.761905;29.9;null;24.2;92.52381;75;6.4;1.066667;
2020-03-30;null;1007.995;23.78;32.1;null;23.5;87.2;62;7.1;.975;
2020-03-31;null;1007.4;24.74;31.6;null;24;89.75;68;6.9;1.085;
2020-04-01;null;1008.143478;24.852174;32.8;27.291304;24.5;87.304348;66;6.9;.926087;
2020-04-02;0;1009.405;24.205;32.2;null;23.5;86.05;66;6.4;.985;
2020-04-03;null;1006.904762;23.971429;31.7;null;23.8;83.809524;64;7.4;1.585714;
2020-04-04;0;1005.373913;25.047826;34.5;28.478261;23.7;82.695652;58;8.8;2;
2020-04-05;0;1007.629167;25.975;33;28.433333;26.5;86.875;67;8.2;1.691667;
2020-04-06;29.4;1009.604545;24.727273;28.6;25.490909;23.8;95.818182;83;6.8;.972727;
2020-04-07;null;1008.96;24.795;30.8;null;23.9;88.4;70;8.2;1.295;
2020-04-08;.2;1007.2;25.095455;32.5;27.254545;24.7;88.5;71;6.7;1.304545;
2020-04-09;null;1006.661905;24.642857;32.8;null;24.1;85.761905;63;7;1.52381;
2020-04-10;0;1007.286957;24.782609;33;27.630435;24.9;85.043478;67;6.8;1.278261;
2020-04-11;0;1007.64;24.755;31.2;null;24.8;91.75;72;7.2;.855;
2020-04-12;1.8;1008.143478;25.365217;30.4;26.708696;25.1;92.608696;79;4.9;.83913;
2020-04-13;null;1007.885;24.245;27;null;24;95.4;85;3.2;null;
2020-04-14;3;1007.073913;24.217391;31.5;26.069565;23.8;89.956522;65;null;null;
2020-04-15;.8;1008.1;24.3;30.3;26.265217;24.2;89.26087;73;null;null;
2020-04-16;1.6;1010.3;24.714286;31.4;null;23.8;90;71;null;null;
2020-04-17;null;1010.136364;24.927273;31.6;26.827273;24.1;89.909091;70;null;null;
2020-04-18;null;1010.184211;24.568421;31.4;null;24.3;89.210526;67;null;null;
2020-04-19;null;1010.414286;24.409524;28.1;null;24.4;93.619048;83;null;null;
2020-04-20;23.4;1009.986364;24.163636;27.2;25.009091;23.6;95.090909;86;8.3;null;
2020-04-21;null;1009.689474;23.752632;26.1;null;23.7;94.052632;83;8.5;1.715789;
2020-04-22;null;1008.908696;24.252174;28.1;25.582609;23.9;92.565217;79;10.5;2.03913;
2020-04-23;39;1008.879167;23.854167;25.2;24.295833;23.2;97.333333;92;7.9;1.208333;
2020-04-24;62.2;1010.018182;23.8;26.1;24.836364;23;94.181818;80;15.9;null;
2020-04-25;null;1010.518182;23.040909;27.3;25.759091;24.2;85.181818;77;null;null;
2020-04-26;null;1010.61;24.415;29.7;null;23.3;94.3;79;null;null;
2020-04-27;71.4;1011.413636;23.131818;25.9;24.481818;22.3;92.454545;75;null;null;
2020-04-28;null;1011.535;23.745;30.2;null;22.6;92.8;59;null;null;
2020-04-29;null;1011.995238;23.342857;28.6;null;22.8;95.190476;75;null;null;
2020-04-30;null;1011.32;23.635;26.6;null;22.4;94.25;88;null;null;
2020-05-01;null;1011.75;24.2;28.5;null;23.9;92;76;null;null;
2020-05-02;null;1010.8;24.585714;28;null;24.1;95.142857;87;null;null;
2020-05-03;null;1009.195;24.435;30.7;null;23.9;91.7;69;null;null;
2020-05-04;3.4;1009.517391;23.895652;27.1;24.5;22.9;96.391304;82;null;null;
2020-05-05;18.2;1010.016667;23.641667;29.8;25.029167;22.8;92.375;73;null;null;
2020-05-06;17.6;1010.133333;24.0625;27.3;24.783333;22.8;95.916667;83;null;null;
2020-05-07;17.4;1008.956522;24.56087;30.6;25.947826;23.9;92.652174;75;null;null;
2020-05-08;null;1010.83;24.535;29;null;24.5;94.8;83;null;null;
2020-05-09;null;1012.5;22.922222;25.3;null;23.2;94;83;null;null;
2020-05-10;null;1013.005;22.605;25;null;22.1;95.95;79;null;null;
2020-05-11;null;1012.488889;22.772222;26;null;22.1;96.666667;89;null;null;
