Nome: BARBACENA
Codigo Estacao: A502
Latitude: -21.22833332
Longitude: -43.76777777
Altitude: 1168.76
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;0;884.054167;15.566667;29.6;22.283333;17.1;67.625;42;0;0;
2020-01-02;5.6;883.570833;17.308333;26.7;20.491667;17.3;82.916667;58;0;0;
2020-01-03;6.6;884.191667;17.425;26.4;19.579167;17.5;88.041667;61;0;0;
2020-01-04;18;883.333333;17.804167;24.4;19.225;17.5;91.958333;69;0;0;
2020-01-05;23;882.966667;17.2;28.1;20.908333;15.9;81.166667;51;0;0;
2020-01-06;2.6;884.391667;18.008333;30.2;21.391667;17.9;82.458333;47;0;0;
2020-01-07;8;885.916667;18.279167;31.7;22.033333;17.1;81.25;43;0;0;
2020-01-08;3.6;886.7625;19.108333;30.6;21.5375;19.5;86.541667;53;0;0;
2020-01-09;2.8;886.745833;18.266667;29.3;22.229167;17.8;79.791667;51;0;0;
2020-01-10;.2;886.541667;19.2375;31.4;23.1375;19.4;80.375;47;0;0;
2020-01-11;5.4;886.2125;17.225;31.3;22.741667;18.5;71.791667;48;0;0;
2020-01-12;0;887.066667;18.379167;29.9;23.566667;19.5;73.708333;49;0;0;
2020-01-13;0;887.733333;19.166667;29.2;21.541667;19.4;87.208333;56;0;0;
2020-01-14;9;888.066667;18.4375;26.7;20.591667;18.1;88.25;65;0;0;
2020-01-15;0;887.4375;17.575;29.5;20.6625;15.4;84.041667;51;0;0;
2020-01-16;.2;887.754167;18.2875;31.3;22.991667;18;77.125;42;0;0;
2020-01-17;0;889.170833;18.4625;27.4;21.241667;19.7;84.833333;62;0;0;
2020-01-18;0;890.608333;15.870833;23.5;18.583333;16.2;84.583333;66;0;0;
2020-01-19;0;888.8375;17.479167;24.8;19.679167;16.8;87.708333;68;0;0;
2020-01-20;4.4;886.191667;17.433333;22.1;18.3625;17;94.416667;79;0;0;
2020-01-21;18.8;883.666667;16.5375;22.4;17.775;16.2;92.5;77;0;0;
2020-01-22;0;883.220833;16.254167;26.2;19.7625;15.8;81.333333;56;0;0;
2020-01-23;.2;882.179167;17.141667;20.3;18.308333;16.4;92.958333;83;0;0;
2020-01-24;41.2;879.25;17.470833;22.7;18.354167;17.5;94.791667;80;0;0;
2020-01-25;42.6;882.2625;16.475;28.1;20.3375;16.1;81.041667;39;0;0;
