Nome: UBERLANDIA
Codigo Estacao: A507
Latitude: -18.91694443
Longitude: -48.25555555
Altitude: 874.77
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;29;913.070833;18.1;31.7;24.941667;19.1;67.958333;34;8.8;1.754167;
2020-01-02;5.8;913.404167;18.525;25.5;21.983333;19.9;81.041667;69;8.4;1.733333;
2020-01-03;22.6;913.525;18.6;29.2;23.7;19.4;74.125;50;10.4;1.6125;
2020-01-04;1.4;912.5625;19.041667;27.3;22.9;21;79.375;61;10.2;1.875;
2020-01-05;.2;912.225;19.170833;27.4;22.95;20.5;79.875;58;8.6;2.008333;
2020-01-06;11.6;913.733333;18.654167;30.5;24.029167;19.8;73.25;42;8.4;1.716667;
2020-01-07;0;915.204167;19.495833;31.4;25.1625;22.7;72.208333;44;12.3;1.6875;
2020-01-08;18.6;915.7375;19.641667;28.5;23.779167;20.6;78.708333;55;9.8;1.304167;
2020-01-09;0;916.466667;20.1625;28.3;23.0625;21.7;84.083333;59;9.8;.954167;
2020-01-10;31.8;915.958333;19.358333;31.1;24.641667;20.6;74.25;44;6.1;1.3125;
2020-01-11;0;915.275;20.233333;30.7;25.591667;22.9;73.083333;51;12.8;.870833;
2020-01-12;18.8;916.254167;17.65;32.8;27.016667;20.3;59.791667;32;6.3;1.125;
2020-01-13;0;916.316667;18.504167;32.7;26.75;21.7;63.333333;34;7.9;1.541667;
2020-01-14;0;916.05;17.033333;34.1;27.341667;21.6;56.375;30;7.1;1.695833;
2020-01-15;0;915.583333;17.495833;32.9;27.220833;23.9;56.333333;34;8.4;2.054167;
2020-01-16;.4;917.075;18.691667;33.1;26.404167;23.9;64.75;34;11.6;1.308333;
2020-01-17;30.4;917.816667;19.266667;30.3;24.429167;20;74.125;47;9.7;1.945833;
2020-01-18;31.4;917.975;19.4875;30.5;23.879167;20.7;78.208333;50;10;1.904167;
2020-01-19;.4;916.4125;19.495833;30.5;24.454167;21.2;75.208333;46;7.4;1.695833;
2020-01-20;1.2;914.3625;19.4;30.6;24.1875;21.7;75.625;47;14.3;1.425;
2020-01-21;1.8;911.7125;18.9625;29.8;23.8625;20.6;75.25;52;10.8;1.2;
2020-01-22;2.2;910.7875;19.520833;28.9;24.208333;20.9;76;56;9;1.745833;
2020-01-23;52.6;910.079167;19.658333;26.6;21.995833;19.2;86.75;70;9.9;1.441667;
2020-01-24;31;909.183333;20.1;28.3;22.870833;21.2;85.166667;54;13.3;2.775;
2020-01-25;30.6;912.470833;18.429167;28.4;22.995833;19.9;77.125;49;10.8;1.141667;
2020-01-26;0;914.504167;17.766667;30.1;24.629167;20.4;68.083333;40;5.1;.920833;
2020-01-27;0;914.683333;17.8625;30.5;25.0125;20.7;65.5;47;9;1.295833;
2020-01-28;9.6;915.579167;19.379167;29;23.370833;20.8;79;51;10.7;1.754167;
2020-01-29;33;917.420833;19.170833;29.5;22.708333;18.6;81.458333;50;8.7;1.8;
2020-01-30;16;918.229167;18.779167;31;25.054167;20.4;69.5;46;8.9;1.679167;
2020-01-31;.2;918.233333;19.2375;29.7;25.008333;20.9;72;47;6.6;.954167;
2020-02-01;0;917.616667;18.475;32.1;25.325;22.2;67.458333;39;8.6;1.279167;
2020-02-02;0;917.191667;17.954167;31.9;24.883333;21;66.333333;40;8.1;1.195833;
