Nome: ALMENARA
Codigo Estacao: A508
Latitude: -16.16666666
Longitude: -40.68777777
Altitude: 189.11
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;0;989.229167;19.391667;36.7;27.558333;23.7;62.875;32;14.6;2.195833;
2020-01-02;0;988.679167;20.166667;37;28.270833;22.7;64.416667;31;11.4;1.845833;
2020-01-03;2;989.291667;21.55;35.3;26.679167;23.6;74.708333;38;13.4;1.266667;
2020-01-04;4.6;989.720833;22.4875;31.1;25.670833;23.7;83.333333;61;8.8;1.629167;
2020-01-05;1.2;989.920833;21.645833;29.9;25.883333;22.7;78.5;59;4.2;.554167;
2020-01-06;.6;990.179167;22.095833;34.8;26.729167;23.9;77.166667;42;9.2;.908333;
2020-01-07;.6;990.358333;21.795833;35.8;28.808333;23.7;68.875;41;9.8;1.366667;
2020-01-08;.4;990.658333;20.833333;35.7;29.616667;25.5;62.125;32;11.7;1.970833;
2020-01-09;.8;991.145833;18.558333;33.8;27.941667;22.9;60.166667;30;8.3;1.533333;
2020-01-10;1;991.7625;17.9625;34.2;27.729167;21.4;59.041667;30;8;2.025;
2020-01-11;.8;991.775;17.85;35.3;28.070833;20.6;57.375;30;9.4;1.408333;
2020-01-12;.8;991.579167;18.470833;36.3;29.3375;23.4;55.958333;23;7.6;1.908333;
2020-01-13;.8;990.679167;17.658333;38.3;29.941667;23.2;53.625;16;9.2;1.766667;
2020-01-14;0;990.991667;18.554167;37.1;30.0625;24.7;55.083333;23;11.3;2.533333;
2020-01-15;0;991.791667;17.0625;35.3;29.058333;22.5;52.5;26;10.3;1.820833;
2020-01-16;0;992.579167;18.9625;36.7;29.745833;23.5;55.875;26;10.1;2.033333;
2020-01-17;0;992.316667;18.508333;36.9;29.854167;23.7;53.916667;29;10.7;2.279167;
2020-01-18;0;993.3375;17.95;36.7;29.966667;25.2;52.333333;26;11.8;2.766667;
2020-01-19;0;992.925;18.491667;33.8;28.1375;24.3;56.833333;37;11.7;2.054167;
2020-01-20;0;989.8125;18.283333;37.2;29.445833;24.3;55.375;26;9.7;2.191667;
2020-01-21;0;987.870833;18.6125;32.9;28.195833;24.6;57.583333;36;8.3;2.045833;
2020-01-22;0;987.945833;22.066667;30.6;25.620833;24.4;81.291667;57;8.3;1.416667;
2020-01-23;.2;989.170833;21.5125;28.7;24.691667;21.9;83.041667;62;6.3;1.429167;
2020-01-24;9.2;989.183333;21.8625;27;24.620833;22.3;84.833333;73;5.3;.9625;
2020-01-25;4;989.383333;21.975;32;26.8375;23.1;76.166667;52;6.4;1.154167;
2020-01-26;55.2;990.525;22.6125;30.6;26.516667;22.8;79.75;58;6.7;.908333;
2020-01-27;7.4;991.258333;22.183333;33.6;26.025;22.9;80.458333;47;10.5;.983333;
2020-01-28;25;992.8625;22.183333;32.5;25.8;22.9;81.458333;50;11.2;.841667;
2020-01-29;.4;993.204167;21.270833;34.1;27.916667;23.1;70.375;38;4.9;1.058333;
