Nome: TIMOTEO
Codigo Estacao: A511
Latitude: -19.57388888
Longitude: -42.62249999
Altitude: 493.42
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;0;955.066667;17.641667;32.7;26.108333;21.2;61.25;40;7.5;1.166667;
2020-01-02;0;954.420833;18.095833;31.2;24.691667;22.3;67.583333;43;12.6;.5625;
2020-01-03;1;954.95;20.275;30.4;23.279167;20.9;84.125;56;8.1;.3875;
2020-01-04;13.4;954.266667;20.2125;29.9;24.133333;21.3;80;52;7.3;.8625;
2020-01-05;5.2;954.379167;20.454167;28.8;23.9875;21.1;81.375;61;8;.829167;
2020-01-06;.2;955.2;20.679167;31.9;25.570833;21.3;75.5;46;6.5;.766667;
2020-01-07;.2;956.004167;21;33.6;27.120833;22.6;70.791667;44;6.7;.55;
2020-01-08;0;956.720833;20.933333;33;26.770833;24.3;71.625;39;10;.95;
2020-01-09;3;956.9875;19.6875;32.7;25.9375;21.1;69.583333;49;6.2;.5875;
2020-01-10;0;957.245833;17.491667;32.9;26.808333;22.3;58.083333;32;8.8;1.358333;
2020-01-11;0;957.133333;17.5125;33.1;26.683333;21.1;58.458333;42;7.7;1.454167;
2020-01-12;0;956.929167;16.4;36.1;28.525;21.8;49.375;29;5.3;.904167;
2020-01-13;0;957.016667;18.658333;35.5;28.354167;22.3;57.583333;33;6.4;.704167;
2020-01-14;1.8;958.229167;20.595833;31.9;25.6625;22.1;74.875;51;5.7;.745833;
2020-01-15;1;958.466667;18.6625;31.2;25.133333;22;69.958333;42;6.6;1;
2020-01-16;0;958.658333;19.4;33.1;26.654167;22;65.583333;46;7;1.15;
2020-01-17;22.6;959.166667;20.625;30.5;25.004167;21.4;77.625;58;7.3;.533333;
2020-01-18;9.8;961.15;20.533333;26.7;23.229167;21.1;85.083333;68;6.3;.4625;
2020-01-19;3.4;959.525;20.295833;29.5;23.945833;20.8;80.916667;56;5;.8625;
2020-01-20;5.8;956.645833;19.845833;28.6;24.079167;21;78.083333;55;7.8;1.108333;
2020-01-21;17.8;954.341667;19.708333;24.6;21.55;20;89.458333;78;7.7;.645833;
2020-01-22;1.4;953.6375;19.15;28.4;23.7625;20.5;76.125;54;5.8;1.045833;
2020-01-23;10.6;952.945833;20.304167;23.6;22.2625;21;88.625;77;7;1.254167;
2020-01-24;26.4;950.895833;20.2375;23.4;21.966667;21.3;89.875;85;7.9;2.0875;
2020-01-25;137.2;953.375;20.033333;23.8;21.529167;20.4;91.333333;85;11.4;.725;
2020-01-26;64.4;956.070833;19.925;28.7;23.195833;20.2;82.541667;60;7.1;.758333;
2020-01-27;.2;957.104167;20.233333;28;23.8625;21.6;80.625;65;6.8;.8125;
2020-01-28;.4;957.958333;20.220833;31.3;24.625;21.8;77.333333;53;7.4;1.125;
2020-01-29;.2;959.333333;20.2375;31.4;24.570833;21.3;78.291667;51;6.6;.520833;
2020-01-30;3.4;959.783333;20.6375;32.3;26.4875;21.2;71.875;47;7.5;.9375;
2020-01-31;0;959.233333;19.870833;31.2;26.191667;22.5;68.708333;52;6.3;1.116667;
2020-02-01;0;958.229167;19.7875;33.3;27.104167;22.2;65.583333;42;6.4;.725;
2020-02-02;0;958.05;20.016667;33.3;27.3;22.5;65.541667;42;5.6;.795833;
2020-02-03;0;958.575;18.941667;31.9;26.654167;22.7;64.541667;38;6.2;1.054167;
2020-02-04;0;958.904167;18.791667;30.4;25.4875;22.5;67.083333;52;6.2;1.0875;
2020-02-05;0;958.625;20.1875;30.1;25.333333;23.1;73.708333;54;5.9;.858333;
2020-02-06;19.8;959.416667;19.329167;27.5;22.929167;20.3;80.708333;61;6.6;.833333;
2020-02-07;6;958.575;18.729167;28;22.225;19.4;81.833333;55;5.3;.595833;
2020-02-08;.2;958.604167;18;31;24.154167;19.6;70.916667;41;6.6;.816667;
2020-02-09;9.4;959.25;19.379167;32.3;24.454167;19.5;75;39;6.9;.633333;
2020-02-10;0;959.466667;18.408333;33.8;25.879167;20.1;66.875;32;8.1;1.029167;
2020-02-11;0;958.541667;20.758333;28.8;24.275;21.4;81.25;54;6.2;.533333;
2020-02-12;5;958.745833;20.4125;25.1;22.691667;20.9;87.166667;73;7.1;.558333;
2020-02-13;20;958.733333;19.579167;23.1;21.129167;21.4;90.833333;84;9.2;.841667;
2020-02-14;61;959.25;18.695833;28.9;22.441667;18.7;80.583333;56;5.5;.5625;
2020-02-15;0;958.654167;19.0375;31.5;25.3875;21.1;69.666667;40;6.7;.9375;
2020-02-16;0;958.425;19.070833;31.4;25.775;22.3;67.416667;45;6.9;1.095833;
2020-02-17;0;959.05;18.55;28.6;25.116667;21.8;67.5;51;7.1;1.245833;
2020-02-18;0;959.816667;18.991667;30.5;25.175;21.8;69.458333;45;7.2;1.033333;
2020-02-19;0;957.95;18.075;30.8;25.0625;21.1;66.208333;44;6.1;1.041667;
2020-02-20;0;956.933333;18.295833;31.7;25.491667;21.4;65.625;45;8.2;1.291667;
2020-02-21;0;956.279167;19.266667;33.4;25.291667;22;70.416667;44;8.4;.9625;
2020-02-22;12.2;957.254167;20.3625;31.2;23.645833;20.1;82.875;56;8.2;.7;
2020-02-23;13.4;960.358333;19.416667;24.7;21.954167;20.3;85.833333;68;7;.579167;
2020-02-24;1;960.654167;18.316667;27.8;22.258333;19.4;79.25;54;5.7;.579167;
2020-02-25;0;958.945833;19.675;29.5;24.354167;21.1;75.958333;57;6.3;.579167;
2020-02-26;0;956.033333;20.404167;32.6;24.445833;21.7;79.25;50;11.8;.825;
2020-02-27;22.6;955.741667;20.958333;28.9;23.25;20.7;87.375;63;4.2;.3875;
2020-02-28;18.8;959.695833;20.175;23.2;21.679167;20.2;91.166667;85;5.1;.5125;
2020-02-29;13.2;960.258333;20.545833;25.3;22.441667;20.8;89;72;6.1;.566667;
2020-03-01;2;959.05;20.179167;28;23.0125;21.4;84.708333;60;5.5;.795833;
2020-03-02;47.4;959.2375;17.683333;20.7;19.133333;17.7;91.291667;87;6.1;.454167;
2020-03-03;19.6;958.2;19.2375;23.5;20.9;18.8;90.291667;82;6.2;.395833;
2020-03-04;5.6;957.925;20.4375;25.8;22.091667;20.5;90.375;76;5.8;.704167;
2020-03-05;9;958.195833;20.25;29.4;23.075;20.8;85;61;5.7;.55;
2020-03-06;26.6;958.95;19.1625;21.9;20.670833;20;91.083333;84;4.4;.433333;
2020-03-07;22.6;958.325;18.420833;21.4;20.004167;19.2;90.541667;83;5.2;.770833;
2020-03-08;3.6;959.4875;17.520833;25.3;20.558333;17.9;83.333333;60;5.2;.633333;
2020-03-09;2.8;960.195833;18.575;29.3;23.1;19.4;77.458333;49;5;.5375;
2020-03-10;.4;959.8625;18.6125;30.4;24.429167;20.8;71.916667;41;5.7;.854167;
2020-03-11;5.8;958.783333;19.2875;29.7;23.916667;20.5;77;46;5.2;.454167;
2020-03-12;.2;959.5375;19.2125;29.7;23.858333;20.9;76.541667;49;4.3;.408333;
2020-03-13;41.4;960.254167;19.845833;30;23.604167;20.4;80.916667;50;5.2;.366667;
2020-03-14;12.8;961;19.9125;29.5;24.004167;21.1;78.958333;48;4.7;.508333;
2020-03-15;1;960.891667;18.520833;29.7;23.9;20.3;73.666667;46;5.9;1.066667;
2020-03-16;.2;959.775;18.070833;29.8;23.704167;19.5;72.666667;43;6.8;.445833;
2020-03-17;0;958.9125;18.591667;30.4;24.195833;19.6;72.041667;48;5.3;.4875;
2020-03-18;0;958.695833;19.3;30.7;24.766667;20.6;73;48;5.5;.604167;
2020-03-19;0;956.5125;19.416667;30.2;24.908333;21.4;72.625;51;5.8;.683333;
2020-03-20;0;953.8125;20.466667;31.8;25.125;21.6;76.416667;45;9.2;.3625;
2020-03-21;3.6;954.745833;20.654167;26.6;23.258333;21.3;85.5;70;5.2;.245833;
2020-03-22;21.2;958.583333;19.283333;24.5;21.866667;20;85.541667;73;7.2;.908333;
2020-03-23;1.2;961.370833;18.279167;25;20.954167;19.3;85.375;60;5;.425;
2020-03-24;.6;961.391667;16.158333;26.8;20.858333;17;76.458333;42;5.2;.404167;
2020-03-25;1;960.2625;16.3375;26.5;20.708333;17.4;77;51;5.1;.3125;
2020-03-26;.2;959.85;17.166667;24.7;21.25;18.7;78.041667;58;4;.341667;
