Nome: OURO BRANCO
Codigo Estacao: A513
Latitude: -20.55666666
Longitude: -43.75611111
Altitude: 1048.2
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;25.6;894.795833;17.341667;29.8;22.4125;18;74.375;45;8;1.695833;
2020-01-02;20.8;894.591667;18.9;27.6;21.079167;18.1;88.25;59;11.4;3.120833;
2020-01-03;13.8;895.1125;19.266667;23.7;19.841667;18.8;96.5;76;12.8;1.479167;
2020-01-04;36.2;894.129167;19.029167;25.9;21.3;18.4;87.708333;68;11.2;2.475;
2020-01-05;15.8;893.995833;19.25;28.7;22.2;18.2;84.416667;58;11;2.470833;
2020-01-06;2.2;895.304167;19.375;28.1;22.825;18.7;81.791667;57;9.4;2.341667;
2020-01-07;0;896.716667;19.779167;29.6;22.591667;18;85.125;55;13.9;2.045833;
2020-01-08;2.8;897.475;19.604167;30.4;22.479167;20.2;84.333333;55;11;1.716667;
2020-01-09;1.8;897.3875;19.595833;31.5;23.008333;18.9;82.5;48;10.8;1.65;
2020-01-10;0;897.254167;20.0625;28.2;23.8625;20.2;80.041667;63;7;1.383333;
2020-01-11;0;896.933333;17.8375;31.9;25.3;20.2;64.291667;47;9.8;1.725;
2020-01-12;0;897.704167;19.620833;33;24.666667;20.7;76.291667;42;13.5;2.504167;
2020-01-13;48.2;898.2875;19.583333;29.4;21.633333;18.8;88.916667;64;16.6;1.916667;
2020-01-14;15;898.7;19.85;27.9;21.820833;18.9;89.416667;64;7.6;1.979167;
2020-01-15;2.6;898.120833;19.7375;28.5;21.979167;18.3;88.166667;66;7.6;2.095833;
2020-01-16;.2;898.5625;19.908333;31.3;23.316667;18.7;82.833333;49;10.4;1.695833;
2020-01-17;19;899.7875;20.5125;26.8;21.283333;19.9;95.5;73;9.1;1.666667;
2020-01-18;36.6;901.2375;17.879167;24.3;19.525;16.9;90.583333;75;9.8;2.620833;
2020-01-19;0;899.383333;19.1625;25.8;20.895833;18.6;90.208333;73;7.9;2;
2020-01-20;40.2;896.766667;19.225;23.7;19.595833;18.3;97.75;83;7.7;1.983333;
2020-01-21;15.4;894.320833;17.916667;23.4;19.358333;16.3;91.791667;77;9.6;2.191667;
2020-01-22;.2;893.858333;18.05;25.8;19.9125;16.9;89.458333;68;8.9;2.104167;
2020-01-23;35.8;892.816667;18.754167;20.8;19.1375;18.4;97.583333;87;6.9;1.620833;
2020-01-24;98.8;890.029167;19.2375;23.3;19.808333;18;96.833333;79;12.8;2.645833;
2020-01-25;30.4;893.054167;18.329167;26;20.0625;17.3;90.583333;64;8.6;1.670833;
2020-01-26;.6;895.966667;18.933333;26.8;21.720833;18.3;85.458333;61;7.6;1.345833;
2020-01-27;.2;896.679167;19.020833;29.8;22.204167;18.2;83.791667;50;7.8;1.7625;
2020-01-28;0;897.570833;19.3375;29.4;22.3875;18.3;84.208333;55;8.8;2.0875;
2020-01-29;27.8;899.441667;19.45;25.4;21.204167;18.7;90.25;72;9.5;2.266667;
2020-01-30;1.6;899.791667;19.408333;30.8;23.104167;20.1;81;51;19.8;1.995833;
2020-01-31;18;899.3375;20.104167;28.8;22.916667;17.6;85.208333;60;7.3;1.408333;
2020-02-01;.2;898.804167;19.695833;29.3;23.333333;18.9;80.833333;62;9.4;1.533333;
2020-02-02;0;898.9375;19.366667;30.6;22.033333;19.2;86.458333;52;14.9;1.908333;
2020-02-03;36;898.454167;19.695833;30;22.779167;18.5;84.583333;47;8.8;2.129167;
2020-02-04;0;898.4625;19.733333;29.4;23.320833;19.2;81.375;59;7;1.345833;
2020-02-05;0;898.604167;19.429167;26.2;21.7;19.8;87.625;60;8.3;1.854167;
2020-02-06;9.6;899.316667;18.229167;21.8;18.904167;18.2;96;85;8.4;2.033333;
2020-02-07;18.4;898.004167;17.141667;26.7;19.554167;15.3;87.458333;60;8.6;1.891667;
2020-02-08;.2;898.1625;17.483333;27.6;21.070833;16.6;81.333333;52;10;2.266667;
2020-02-09;10;899.191667;17.65;26.5;20.933333;18.1;82.416667;60;16.3;3.829167;
2020-02-10;.8;899.416667;18.608333;28.2;22.304167;19.5;80.458333;56;14.4;3.9125;
2020-02-11;9.6;898.95;19.041667;23.3;20.420833;18.7;92.125;78;15.2;2.1875;
2020-02-12;10.2;898.075;19.125;26.1;20.745833;17.9;91.083333;67;11.4;1.833333;
2020-02-13;24.2;897.920833;18.6875;23.6;19.729167;18.9;93.875;79;9;2.070833;
2020-02-14;12;898.604167;18.120833;29.3;20.716667;16.4;86.75;51;7.9;1.791667;
2020-02-15;.2;898.333333;19.054167;30.1;22.295833;19.1;83.291667;47;12.3;2.079167;
2020-02-16;9.6;898.2375;19.695833;28;22.45;19.9;85.416667;60;8.3;2.070833;
2020-02-17;1.2;898.541667;19.575;28.7;22.041667;19.3;87.625;51;7.8;1.541667;
2020-02-18;3.4;899.175;18.170833;30;22.916667;18.9;75.958333;41;7.4;2.1375;
