Nome: OURO BRANCO
Codigo Estacao: A513
Latitude: -20.55666666
Longitude: -43.75611111
Altitude: 1048.2
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.54;
2020-01-01;0100;-3.54;
2020-01-01;0200;-3.54;
2020-01-01;0300;-3.54;
2020-01-01;0400;-3.54;
2020-01-01;0500;-3.54;
2020-01-01;0600;-3.54;
2020-01-01;0700;-3.54;
2020-01-01;0800;-3.54;
2020-01-01;0900;42.624;
2020-01-01;1000;506.267;
2020-01-01;1100;1460.32;
2020-01-01;1200;1586.804;
2020-01-01;1300;2069.745;
2020-01-01;1400;2202.061;
2020-01-01;1500;2571.715;
2020-01-01;1600;3410.253;
2020-01-01;1700;2868.72;
2020-01-01;1800;2810.349;
2020-01-01;1900;1865.002;
2020-01-01;2000;1263.579;
2020-01-01;2100;291.3;
2020-01-01;2200;15.27;
2020-01-01;2300;-3.106;
2020-01-02;0000;-3.044;
2020-01-02;0100;-.819;
2020-01-02;0200;-1.855;
2020-01-02;0300;-2.45;
2020-01-02;0400;-.765;
2020-01-02;0500;-1.253;
2020-01-02;0600;-2.473;
2020-01-02;0700;-2.212;
2020-01-02;0800;-.076;
2020-01-02;0900;22.702;
2020-01-02;1000;317.875;
2020-01-02;1100;1263.338;
2020-01-02;1200;2052.828;
2020-01-02;1300;2303.168;
2020-01-02;1400;1664.169;
2020-01-02;1500;1437.896;
2020-01-02;1600;2572.977;
2020-01-02;1700;2663.578;
2020-01-02;1800;1319.86;
2020-01-02;1900;516.207;
2020-01-02;2000;618.157;
2020-01-02;2100;421.151;
2020-01-02;2200;10.833;
2020-01-02;2300;-2.559;
2020-01-03;0000;-2.782;
2020-01-03;0100;-2.603;
2020-01-03;0200;-2.622;
2020-01-03;0300;-1.005;
2020-01-03;0400;-2.512;
2020-01-03;0500;-2.042;
2020-01-03;0600;-3.151;
2020-01-03;0700;-2.485;
2020-01-03;0800;-2.15;
