Nome: VARGINHA
Codigo Estacao: A515
Latitude: -21.56638888
Longitude: -45.40416666
Altitude: 949.78
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;13.4;905.15;18.529167;29.5;22.608333;18.8;79.208333;48;6.7;1.425;
2020-01-02;0;904.891667;18.395833;25.7;20.470833;19.1;88.083333;67;7.7;1.395833;
2020-01-03;18;905.333333;18.1;27.8;21.458333;18.3;82.416667;52;10.9;1.345833;
2020-01-04;1;904.3375;18.166667;28.2;21.1;18.6;84.625;53;17.6;1.341667;
2020-01-05;23.6;903.779167;18.35;29;21.875;17.3;81.916667;53;7.3;1.754167;
2020-01-06;5.8;905.391667;18.570833;27.3;21.5375;18.1;83.833333;60;13.5;1.545833;
2020-01-07;3;906.883333;18.75;30.8;22.895833;17.1;79.5;48;11.2;1.145833;
2020-01-08;1.4;907.733333;19.975;29.3;22.879167;20.9;84.833333;56;7.5;1.279167;
2020-01-09;1.4;907.975;19.5375;29.9;22.533333;18.9;84.75;47;6.6;.8375;
2020-01-10;3.2;907.620833;19.645833;30.8;23.908333;20.1;79;49;13.6;1.033333;
2020-01-11;1.2;907.1875;19.916667;29.7;23.133333;20;83.041667;55;10;1.304167;
2020-01-12;.6;908.3125;19.695833;29.3;22.145833;19.9;87.333333;52;11.5;.825;
2020-01-13;21.6;908.920833;19.55;28;21.508333;19.2;89.291667;63;12.6;1.4375;
2020-01-14;12.6;908.904167;18.733333;29.7;22.683333;18.1;80.041667;50;5.6;1.620833;
2020-01-15;0;908.158333;18.508333;30.4;23.4125;18.7;76.166667;42;4.9;1.2625;
2020-01-16;.2;908.845833;18.779167;31.8;24.608333;18.6;71.791667;45;16.3;1.375;
2020-01-17;.2;910.420833;19.904167;25.3;22.05;19.8;87.791667;74;9.8;1.6;
2020-01-18;1;911.391667;17.391667;25.2;21.245833;17.8;79.416667;63;7.7;2;
2020-01-19;0;909.6;18.245833;26.8;21.816667;18.2;80.625;65;6.9;1.591667;
