Nome: PASSOS
Codigo Estacao: A516
Latitude: -20.745237
Longitude: -46.633916
Altitude: 781.7
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;.2;922.266667;18.708333;31.3;23.920833;19.4;74.625;43;null;null;
2020-01-02;.4;922.495833;19.345833;23.7;20.866667;18.8;91.041667;81;null;null;
2020-01-03;30.8;923;18.625;29.1;21.8875;18.2;83.25;50;null;null;
2020-01-04;20;921.75;19.25;28.8;22.458333;18.9;83.208333;57;null;null;
2020-01-05;16.2;921.404167;19.433333;29.8;23.020833;18.9;81.666667;50;null;null;
2020-01-06;.4;922.691667;19.629167;30;23.608333;18.1;79.791667;50;null;null;
2020-01-07;13.4;924.520833;20.445833;30.4;23.366667;19.3;84.833333;54;null;null;
2020-01-08;5.2;925.229167;20.754167;28.4;22.7875;20.7;88.708333;65;null;null;
2020-01-09;2;925.641667;20.3125;30.2;23.454167;19.8;83.833333;52;null;null;
2020-01-10;4.8;925.416667;20.341667;31.9;23.520833;19.8;83.666667;49;null;null;
2020-01-11;.4;924.66087;20.413043;32.1;24.273913;19.7;80.652174;49;null;null;
2020-01-12;null;925.931818;20.627273;30.3;23.740909;20.2;83.5;56;null;null;
2020-01-13;.2;926.258333;19.933333;32.1;23.879167;19.6;80.041667;48;null;null;
2020-01-14;.2;926.034783;19.556522;31.7;24.330435;18.6;76.782609;41;null;null;
2020-01-15;0;925.291667;19.4625;32.9;25.245833;20;73.083333;35;null;null;
2020-01-16;0;926.258333;19.841667;32.5;25.395833;18.4;74;40;null;null;
2020-01-17;1.2;927.429167;20.345833;30.2;23.870833;21.1;81.583333;56;null;null;
2020-01-18;1.2;928.220833;19.220833;28.8;23.75;19.7;76.625;58;null;null;
2020-01-19;.8;926.616667;20.345833;30;23.2875;20.4;84.333333;55;null;null;
2020-01-20;.6;924;20.579167;28.6;22.754167;21;88.125;59;null;null;
2020-01-21;10.2;921.458333;19.5;29.8;23.275;19.6;80.625;50;null;null;
2020-01-22;1.6;920.791667;19.333333;27.8;22.75;19.6;81.875;61;null;null;
2020-01-23;null;null;null;24.6;null;20.3;90.75;77;null;null;
2020-01-24;65.4;917.95;19.904167;25.3;21.241667;19.4;92.25;78;null;null;
2020-01-25;12.2;921.333333;18.204167;29.9;22.925;18.2;77.583333;41;null;null;
2020-01-26;0;923.858333;15.791667;30.1;22.333333;15;70.041667;34;null;null;
2020-01-27;0;924.175;15.75;31.6;23.45;15.3;65.291667;31;null;null;
2020-01-28;0;924.729167;19.658333;30.3;24.220833;19.9;76.625;53;null;null;
2020-01-29;7;926.808333;19.945833;29.4;23.495833;20.1;81.541667;55;null;null;
2020-01-30;1;927.641667;20.004167;30.9;23.783333;20.2;80.958333;51;null;null;
2020-01-31;9.4;927.595833;19.883333;31.3;23.204167;18.6;83;52;null;null;
2020-02-01;.4;927.033333;19.741667;32.7;24.075;19.7;79.333333;41;null;null;
2020-02-02;1.6;926.795833;18.9625;31.6;24.120833;18.4;75.791667;37;null;null;
2020-02-03;0;926.083333;19.945833;30.3;23.5875;20.4;81;52;null;null;
2020-02-04;6.8;926.125;20.016667;30.1;23.258333;20;83.333333;56;null;null;
2020-02-05;.6;926.304167;19.816667;28.5;22.516667;20.3;85.625;59;null;null;
2020-02-06;14.6;926.241667;20.004167;27.6;22.033333;20.2;88.666667;68;null;null;
2020-02-07;26.6;925.554167;18.058333;25.4;21.166667;18.8;83.208333;64;null;null;
2020-02-08;.2;925.620833;18.3375;26.7;21.975;19.3;81;58;null;null;
2020-02-09;2.2;926.704167;18.779167;27.4;22.358333;19.5;81.458333;57;null;null;
2020-02-10;1.6;927.279167;19.675;27.9;22.283333;19.9;85.791667;63;null;null;
