Nome: CAMPINA VERDE
Codigo Estacao: A519
Latitude: -19.53921
Longitude: -49.518133
Altitude: 559.07
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;22.8;945.766667;20.3625;33.2;25.158333;20.7;76.208333;45;8.7;1.791667;
2020-01-02;7.2;946.104167;20.925;29;23.645833;21.6;85.041667;66;11.7;1.770833;
2020-01-03;32.8;946.425;20.458333;32.1;24.35;21.2;80.083333;48;13.9;2.108333;
2020-01-04;29.6;945.558333;20.191667;31.2;23.85;20;80.958333;52;16.8;2.2875;
2020-01-05;15.4;944.754167;20.083333;32.5;24.941667;20.7;76.333333;42;10.2;2.4125;
2020-01-06;0;946.533333;20.641667;31.4;24.195833;21;81.5;54;12.8;2.733333;
2020-01-07;3.8;948.058333;21.258333;32.2;25.033333;21.8;80.958333;49;9.2;2.404167;
2020-01-08;23.4;948.8375;21.633333;30.7;24.9;22.6;82.708333;60;10.9;1.691667;
2020-01-09;11.2;949.783333;20.9125;31.8;24.029167;21.3;84.125;50;12.9;1.425;
2020-01-10;7.6;949.470833;20.85;31.6;25.391667;21.1;77.791667;51;4.8;.604167;
2020-01-11;0;948.225;21.295833;33.9;26.579167;21.8;75.125;42;14.7;.8625;
2020-01-12;0;949.2625;21.2;34.1;26.733333;22.1;73.625;41;7.4;1.258333;
2020-01-13;0;950.041667;20.816667;33.4;27.066667;21.7;70.583333;46;5.8;1.216667;
2020-01-14;30.2;949.4125;20.533333;34.4;26.820833;20.1;72.083333;34;14.3;.816667;
2020-01-15;.2;948.5375;20.495833;35.9;28.229167;22.9;65.791667;29;6.4;.995833;
2020-01-16;0;949.679167;20.441667;35.7;28.820833;22.6;63.291667;34;8.8;1.091667;
2020-01-17;0;951.229167;20.829167;32.5;25.895833;22.8;75;49;11.6;2.008333;
2020-01-18;16.8;951.520833;21.1;30.7;24.329167;21.7;83.041667;56;5.4;1.145833;
2020-01-19;4.2;949.583333;21.429167;33.3;25.791667;21.9;79.041667;43;9.5;1.429167;
2020-01-20;5;947.329167;21.991667;30.8;25.145833;21.8;83.25;57;12.4;.9625;
2020-01-21;9.8;944.7125;21.620833;32.1;24.8625;22.1;83.083333;56;10.8;1.0875;
2020-01-22;2.4;943.7625;21.279167;30.8;25.120833;21.7;80.25;56;6.9;1.716667;
2020-01-23;68.2;942.808333;20.65;30.2;23.533333;19.8;84.5;56;13.5;2.695833;
2020-01-24;22.2;942.308333;21.258333;27.8;23.158333;21.4;89.25;73;13.3;1.8875;
2020-01-25;11;945.854167;20.191667;31.3;25.325;21.6;75.625;42;6.2;.891667;
2020-01-26;.2;947.770833;18.470833;32.2;25.55;19.5;68.041667;35;6.4;.920833;
