Nome: SERRA DOS AIMORES
Codigo Estacao: A522
Latitude: -17.79888888
Longitude: -40.25
Altitude: 211.97
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.517;
2020-01-01;0100;-3.437;
2020-01-01;0200;-3.536;
2020-01-01;0300;-3.54;
2020-01-01;0400;-3.54;
2020-01-01;0500;-3.54;
2020-01-01;0600;-3.522;
2020-01-01;0700;-3.361;
2020-01-01;0800;-2.666;
2020-01-01;0900;228.414;
2020-01-01;1000;1008.112;
2020-01-01;1100;1788.993;
2020-01-01;1200;2507.327;
2020-01-01;1300;2553.236;
2020-01-01;1400;3121.872;
2020-01-01;1500;3447.818;
2020-01-01;1600;3389.685;
2020-01-01;1700;3799.128;
2020-01-01;1800;2726.428;
2020-01-01;1900;2176.471;
2020-01-01;2000;1197.814;
2020-01-01;2100;202.152;
2020-01-01;2200;7.23;
2020-01-01;2300;-3.533;
2020-01-02;0000;-3.539;
2020-01-02;0100;null;
2020-01-02;0200;-7.016;
2020-01-02;0300;-3.035;
2020-01-02;0400;-3.527;
2020-01-02;0500;-3.54;
2020-01-02;0600;-3.54;
2020-01-02;0700;-3.537;
2020-01-02;0800;-3.31;
2020-01-02;0900;106.274;
2020-01-02;1000;875.392;
2020-01-02;1100;1724.124;
2020-01-02;1200;2191.704;
2020-01-02;1300;2589.618;
2020-01-02;1400;3856.812;
2020-01-02;1500;2816.17;
2020-01-02;1600;3536.877;
2020-01-02;1700;3549.12;
2020-01-02;1800;1500.998;
2020-01-02;1900;499.24;
2020-01-02;2000;116.711;
2020-01-02;2100;9.23;
2020-01-02;2200;-.046;
2020-01-02;2300;-3.204;
2020-01-03;0000;-2.988;
2020-01-03;0100;-2.054;
2020-01-03;0200;-2.33;
2020-01-03;0300;-1.919;
2020-01-03;0400;-2.41;
2020-01-03;0500;-1.37;
2020-01-03;0600;-2.956;
2020-01-03;0700;-3.384;
2020-01-03;0800;-3.069;
2020-01-03;0900;117.102;
2020-01-03;1000;432.821;
2020-01-03;1100;1033.559;
2020-01-03;1200;2268.16;
2020-01-03;1300;2564.152;
2020-01-03;1400;3229.309;
2020-01-03;1500;3091.886;
2020-01-03;1600;2595.941;
2020-01-03;1700;3113.063;
2020-01-03;1800;2985.183;
2020-01-03;1900;2029.1;
2020-01-03;2000;56.279;
2020-01-03;2100;63.05;
2020-01-03;2200;4.168;
2020-01-03;2300;-2.823;
2020-01-04;0000;-2.411;
2020-01-04;0100;-2.596;
2020-01-04;0200;-2.479;
2020-01-04;0300;.24;
2020-01-04;0400;-.36;
2020-01-04;0500;-2.571;
2020-01-04;0600;-2.301;
2020-01-04;0700;-1.972;
2020-01-04;0800;-1.186;
2020-01-04;0900;93.863;
2020-01-04;1000;386.206;
2020-01-04;1100;787.863;
2020-01-04;1200;786.278;
2020-01-04;1300;1470.259;
2020-01-04;1400;2002.884;
2020-01-04;1500;2753.315;
2020-01-04;1600;2134.332;
2020-01-04;1700;526.025;
2020-01-04;1800;112.816;
2020-01-04;1900;41.846;
2020-01-04;2000;20.677;
2020-01-04;2100;17.805;
2020-01-04;2200;2.121;
2020-01-04;2300;-3.058;
2020-01-05;0000;-2.387;
2020-01-05;0100;-2.584;
2020-01-05;0200;-2.784;
2020-01-05;0300;-3.167;
2020-01-05;0400;-3.19;
2020-01-05;0500;-3.06;
2020-01-05;0600;-3.087;
2020-01-05;0700;-2.946;
2020-01-05;0800;-3.168;
2020-01-05;0900;133.899;
2020-01-05;1000;544.704;
2020-01-05;1100;1607.183;
2020-01-05;1200;2238.081;
2020-01-05;1300;3055.071;
2020-01-05;1400;3442.038;
2020-01-05;1500;2869.713;
2020-01-05;1600;3067.455;
2020-01-05;1700;3066.143;
