Nome: TEOFILO OTONI
Codigo Estacao: A527
Latitude: -17.89284
Longitude: -41.515423
Altitude: 467.17
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;0;957.725;17.8125;32.7;25.079167;19.6;66.708333;37;12.8;1.679167;
2020-01-02;0;957.033333;19.8375;32.2;24.175;21.1;77.875;44;24.2;1.520833;
2020-01-03;11.2;957.225;20.125;32.2;25.154167;21;76.375;41;10.7;1.420833;
2020-01-04;48.6;957.666667;20.525;28.3;23.8375;20.8;82.708333;58;9.5;1.266667;
2020-01-05;1;957.375;21.166667;28.8;24.779167;22.2;81.458333;59;9.9;1.308333;
2020-01-06;9.8;958.283333;21.120833;32.9;24.933333;21.3;81.125;43;8.8;1.05;
2020-01-07;3.2;958.7125;21.470833;33.6;27.295833;23;73.25;40;7.2;1.3875;
2020-01-08;0;959.270833;21.770833;32.8;27.595833;23.2;72.25;47;7.4;2.079167;
2020-01-09;0;959.641667;19.620833;31.9;26.583333;22.3;68.041667;34;7.7;1.595833;
2020-01-10;0;960.079167;17.641667;32.4;25.9375;20.9;63.25;35;9.8;1.55;
2020-01-11;0;959.9375;16.783333;33.4;26.483333;20.7;59.541667;30;6;1.620833;
2020-01-12;0;959.704167;16.616667;35.4;27.5125;19.5;56.583333;25;5.8;.9;
2020-01-13;0;959.2;17.529167;36;28.591667;20.7;55.083333;28;6.6;1.316667;
2020-01-14;0;960.575;19.241667;33.1;26.916667;22.6;64.458333;41;10.9;2.65;
2020-01-15;0;961.166667;18.145833;29.9;24.858333;21.6;67.125;51;7.2;1.379167;
2020-01-16;0;961.1875;19.075;34;27.695833;22.9;62.458333;34;6.5;1.483333;
2020-01-17;0;960.845833;19.933333;34;27.5875;22.6;65.541667;39;6.3;1.920833;
2020-01-18;0;962.7125;18.683333;31.6;26.904167;22.6;62.541667;40;9.7;2.075;
2020-01-19;0;961.991667;17.7875;31.5;25.633333;21.4;63.458333;42;10.9;2.316667;
2020-01-20;0;958.704167;18.829167;33.7;26.366667;22.3;66.75;34;10.1;2.420833;
2020-01-21;28.2;956.55;20.058333;29.5;24.008333;19.5;79.875;55;13.4;1.183333;
2020-01-22;86;956.1875;20.825;26.6;22.770833;20.7;89.125;67;7.4;1.166667;
2020-01-23;28.8;956.333333;21.366667;24;22.541667;21.5;93.041667;86;4.6;1.445833;
2020-01-24;22.8;955.683333;20.716667;24.5;22.45;21.4;90.125;72;9.5;1.520833;
2020-01-25;8.4;956.833333;20.679167;26;23.729167;21.8;83.291667;68;5.2;.833333;
2020-01-26;5;958.7375;20.9;28.6;23.279167;21.7;86.708333;65;9.5;1.058333;
2020-01-27;22.8;959.666667;20.929167;29.5;23.904167;21.2;84.541667;56;5.9;1.275;
2020-01-28;.4;961.0375;20.979167;28.6;24.25;21.9;83.041667;60;15;1.545833;
2020-01-29;.8;961.775;21.183333;33.5;25.820833;21.3;77.958333;40;6.9;1.129167;
2020-01-30;.8;962.516667;20.2125;31.5;26.329167;22.5;70.875;46;6.7;1.441667;
2020-01-31;0;961.879167;19.595833;31.8;26.166667;22.2;69.458333;42;5.4;1.116667;
2020-02-01;0;960.754167;18.841667;33.7;26.6625;20.4;65.708333;35;5.6;.833333;
2020-02-02;0;960.520833;19.404167;32.7;25.7125;20.2;70.708333;43;6.6;.925;
2020-02-03;0;960.970833;18.441667;32.7;26.954167;22.5;63.333333;32;7.2;1.508333;
2020-02-04;0;961.258333;20.391667;31;26.416667;22.6;70.625;48;7.6;2.016667;
2020-02-05;0;960.979167;20.425;30.5;25.975;22.8;72.583333;50;7.4;2.0875;
2020-02-06;0;961.3125;19.458333;30.5;25.754167;21.9;69.583333;49;7.1;2.620833;
2020-02-07;0;960.45;19.341667;29;24.6375;21.5;73.583333;51;7;1.541667;
2020-02-08;0;960.695833;18.879167;31.9;25.475;21.2;69.666667;38;6.1;1.629167;
2020-02-09;0;961.808333;20.375;33.2;25.133333;22.2;76.833333;44;19.1;1.170833;
2020-02-10;6.8;962.175;19.120833;34.2;26.2625;20.7;69.541667;31;7.3;1.054167;
