Nome: CALDAS
Codigo Estacao: A530
Latitude: -21.918066
Longitude: -46.382996
Altitude: 1077.34
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.268;
2020-01-01;0100;-2.261;
2020-01-01;0200;-2.594;
2020-01-01;0300;-3.501;
2020-01-01;0400;-3.54;
2020-01-01;0500;-3.297;
2020-01-01;0600;-2.602;
2020-01-01;0700;-2.883;
2020-01-01;0800;-.716;
2020-01-01;0900;16.025;
2020-01-01;1000;272.996;
2020-01-01;1100;436.272;
2020-01-01;1200;964.642;
2020-01-01;1300;2537.612;
2020-01-01;1400;3242.858;
2020-01-01;1500;2978.437;
2020-01-01;1600;1655.059;
2020-01-01;1700;3119.53;
2020-01-01;1800;2222.842;
2020-01-01;1900;1081.67;
2020-01-01;2000;1535.379;
2020-01-01;2100;393.589;
2020-01-01;2200;63.638;
2020-01-01;2300;-3.535;
2020-01-02;0000;-3.532;
2020-01-02;0100;-3.53;
2020-01-02;0200;-3.538;
2020-01-02;0300;-2.617;
2020-01-02;0400;-2.859;
2020-01-02;0500;-3.32;
2020-01-02;0600;-2.869;
2020-01-02;0700;-2.398;
2020-01-02;0800;-2.622;
2020-01-02;0900;52.121;
2020-01-02;1000;230.974;
2020-01-02;1100;634.121;
2020-01-02;1200;729.371;
2020-01-02;1300;186.175;
2020-01-02;1400;55.558;
2020-01-02;1500;725.024;
2020-01-02;1600;2182.489;
2020-01-02;1700;1693.428;
2020-01-02;1800;342.824;
2020-01-02;1900;402.007;
2020-01-02;2000;860.44;
2020-01-02;2100;323.206;
2020-01-02;2200;38.357;
2020-01-02;2300;-1.84;
2020-01-03;0000;-2.329;
2020-01-03;0100;-2.888;
2020-01-03;0200;-3.32;
2020-01-03;0300;-2.14;
2020-01-03;0400;-2.695;
2020-01-03;0500;-2.999;
2020-01-03;0600;-2.191;
2020-01-03;0700;-3.22;
2020-01-03;0800;-2.278;
2020-01-03;0900;36.366;
2020-01-03;1000;339.221;
2020-01-03;1100;1067.272;
2020-01-03;1200;2132.568;
2020-01-03;1300;2918.403;
2020-01-03;1400;1983.974;
2020-01-03;1500;1220.635;
2020-01-03;1600;1390.064;
2020-01-03;1700;2306.642;
2020-01-03;1800;2407.049;
2020-01-03;1900;2283.437;
2020-01-03;2000;1701.095;
2020-01-03;2100;828.787;
2020-01-03;2200;54.999;
2020-01-03;2300;-3.195;
2020-01-04;0000;-3.488;
2020-01-04;0100;-2.963;
2020-01-04;0200;-2.93;
2020-01-04;0300;-3.463;
2020-01-04;0400;-3.13;
2020-01-04;0500;-2.327;
2020-01-04;0600;-2.036;
2020-01-04;0700;-2.885;
2020-01-04;0800;-2.099;
2020-01-04;0900;19.153;
2020-01-04;1000;170.325;
2020-01-04;1100;518.636;
2020-01-04;1200;1131.458;
2020-01-04;1300;1925.369;
2020-01-04;1400;3033.985;
2020-01-04;1500;3404.646;
2020-01-04;1600;3644.829;
2020-01-04;1700;2081.746;
2020-01-04;1800;1264.876;
2020-01-04;1900;878.695;
2020-01-04;2000;915.126;
2020-01-04;2100;196.168;
2020-01-04;2200;.895;
2020-01-04;2300;-.838;
2020-01-05;0000;-.833;
2020-01-05;0100;-2.262;
2020-01-05;0200;-2.234;
2020-01-05;0300;-.841;
2020-01-05;0400;-2.9;
2020-01-05;0500;-2.89;
2020-01-05;0600;-2.749;
2020-01-05;0700;-2.685;
2020-01-05;0800;-.116;
2020-01-05;0900;28.502;
2020-01-05;1000;224.434;
2020-01-05;1100;632.097;
2020-01-05;1200;2015.942;
2020-01-05;1300;2306.422;
2020-01-05;1400;2015.238;
2020-01-05;1500;4013.549;
2020-01-05;1600;3347.473;
2020-01-05;1700;2389.82;
2020-01-05;1800;2961.624;
2020-01-05;1900;2441.502;
2020-01-05;2000;1647.714;
2020-01-05;2100;580.305;
2020-01-05;2200;59.61;
2020-01-05;2300;-3.54;
2020-01-06;0000;-2.674;
2020-01-06;0100;-2.409;
2020-01-06;0200;-3.54;
2020-01-06;0300;-3.538;
2020-01-06;0400;-3.312;
2020-01-06;0500;-3.478;
2020-01-06;0600;-3.47;
2020-01-06;0700;-3.473;
2020-01-06;0800;-3.362;
2020-01-06;0900;36.088;
2020-01-06;1000;547.719;
2020-01-06;1100;1097.692;
2020-01-06;1200;2252.676;
2020-01-06;1300;2544.309;
2020-01-06;1400;2732.185;
2020-01-06;1500;3031.459;
2020-01-06;1600;2451.03;
2020-01-06;1700;1734.01;
2020-01-06;1800;2528.765;
2020-01-06;1900;1766.367;
2020-01-06;2000;447.083;
2020-01-06;2100;746.077;
2020-01-06;2200;72.087;
2020-01-06;2300;-3.535;
2020-01-07;0000;-3.54;
2020-01-07;0100;-3.54;
2020-01-07;0200;-3.312;
2020-01-07;0300;-3.419;
2020-01-07;0400;-3.503;
2020-01-07;0500;-3.357;
2020-01-07;0600;-3.157;
