Nome: GUANHAES
Codigo Estacao: A533
Latitude: -18.78694444
Longitude: -42.94305555
Altitude: 852.68
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;0;915.625;16.9375;32.7;22.758333;17.3;73.083333;35;21;1.883333;
2020-01-02;42.8;915.341667;18.804167;27;21.558333;17.7;85.083333;63;10.5;1.283333;
2020-01-03;3;915.45;19.65;29.2;22.341667;20;85.75;55;11.8;1.125;
2020-01-04;8;915.154167;19.108333;27.7;21.995833;18.8;84.416667;63;8.8;1.520833;
2020-01-05;1.2;915.125;19.6125;27.8;22.420833;19.9;84.625;62;9.8;1.545833;
2020-01-06;.4;916.095833;19.720833;31;23.5875;19.7;80.333333;49;11.7;1.495833;
2020-01-07;1.4;916.9625;20.195833;31.1;24.804167;19.3;77.291667;51;6.3;.95;
2020-01-08;.2;917.416667;19.929167;34.2;25.391667;20.9;74.916667;36;15.5;1.179167;
2020-01-09;1.4;917.654167;19.429167;32.9;24.25;19;76.375;44;8.1;1.245833;
2020-01-10;0;917.733333;17.891667;32.8;25.383333;19.4;66.708333;36;7.2;1.466667;
2020-01-11;0;917.758333;16.6375;33;24.820833;17;62.916667;38;6.2;1.325;
2020-01-12;0;917.9125;15.9375;34.7;26.216667;17.6;58.333333;21;7.2;1.058333;
2020-01-13;0;917.622727;17.236364;34.7;27.55;19.5;56.636364;29;6.5;1.313636;
2020-01-14;0;918.404167;19.2875;32.2;25.716667;22.3;69;41;7.3;1.866667;
2020-01-15;1.8;918.654167;18.458333;31.2;24.6;20.7;70.666667;45;11.4;2.066667;
2020-01-16;0;919.191667;18.9125;33.5;25.175;19.4;70.541667;40;6.1;1.133333;
2020-01-17;2.4;919.520833;19.933333;31.3;24.141667;20.2;78.458333;48;9.5;1.4625;
2020-01-18;3.8;920.866667;19.558333;28.9;23.508333;20.2;79;58;10.6;2.445833;
2020-01-19;.2;919.666667;18.629167;28.9;23.170833;19.6;76.625;54;5.7;1.366667;
2020-01-20;0;916.870833;18.458333;32.1;23.004167;19.9;77.416667;43;15.9;1.545833;
2020-01-21;24.4;914.391667;19.520833;27.6;21.458333;18.9;89.125;62;11.1;1.15;
2020-01-22;17.2;913.925;19.483333;24.9;21.541667;20.1;88.375;71;4.8;.7375;
2020-01-23;5.8;913.454167;19.4875;23.9;20.891667;19.8;91.833333;82;9.2;1.416667;
2020-01-24;37;912.116667;19.3;24.2;20.75;19.8;91.5;79;11.9;2.795833;
2020-01-25;48.2;914.095833;19.3875;25.6;21.295833;19.8;89.333333;71;12.6;2.966667;
2020-01-26;24.4;916.391667;19.779167;28;21.7;19.9;89.5;59;6.6;1.129167;
2020-01-27;20.8;917.4625;18.983333;27.4;22.341667;19.4;82.541667;60;7.5;1.391667;
2020-01-28;15;918.541667;19.758333;29.2;22.645833;19.5;84.708333;59;10.1;1.354167;
2020-01-29;1.8;919.895833;19.708333;29.7;23.616667;19.9;80.375;53;6.7;1.245833;
2020-01-30;0;920.304167;20.195833;32.4;25.283333;20.6;75.416667;46;6.2;1.229167;
2020-01-31;0;919.729167;19.425;32.3;25.0625;19;73.041667;45;5.5;1.075;
2020-02-01;0;918.9125;18.825;33.9;25.820833;19.3;68.958333;33;5;1.05;
2020-02-02;0;918.6375;19.8625;33.4;25.9875;20.2;71.25;39;7.4;1.170833;
2020-02-03;0;918.995833;18.6875;31.5;24.833333;20.1;70.666667;44;6.7;1.416667;
2020-02-04;0;919.1;18.775;31.3;24.195833;19.3;73.291667;45;5.8;1.395833;
2020-02-05;0;919.025;20.225;26.3;22.291667;21;88.208333;70;9;1.166667;
2020-02-06;3;919.295833;19.095833;26.8;22.229167;19.7;83.291667;62;7;1.466667;
2020-02-07;0;918.3;18.2;29.1;22.591667;19.8;77.5;53;9.6;1.845833;
2020-02-08;0;918.733333;18.008333;29;22.6625;19.3;76.208333;51;8.2;2;
2020-02-09;18;919.875;18.4625;30.4;22.316667;18.6;80.5;48;14.2;1.15;
2020-02-10;1.2;920.229167;18.641667;31.1;23.958333;19.2;74.375;42;8.8;1.620833;
2020-02-11;6.2;919.041667;20.116667;30.1;22.675;20.1;86.583333;53;12.7;1.108333;
2020-02-12;7.4;918.820833;19.5375;28.5;22.2125;19.5;85.75;59;7.6;1.0625;
2020-02-13;.6;918.741667;19.345833;26.4;21.7625;20.6;86.541667;66;10.2;1.458333;
2020-02-14;8.6;919.204167;18.525;28.6;21.825;17.9;83.041667;49;7.2;1.158333;
2020-02-15;.2;918.952174;18.973913;30.5;23.786957;19.4;76.086957;46;6.5;1.404348;
2020-02-16;0;918.675;19.183333;31;24.104167;20.1;75.583333;44;8;1.979167;
2020-02-17;0;919.183333;18.125;29.2;24.0375;19.8;70.75;50;7.6;2.295833;
2020-02-18;0;920.033333;18.083333;30.8;23.066667;19.4;75.125;45;10.8;1.979167;
2020-02-19;.2;918.216667;18.266667;29.8;22.620833;18.4;78.041667;49;7;1.475;
2020-02-20;0;917.345833;17.8375;31.1;23.520833;18.2;72.875;43;6.2;1.129167;
2020-02-21;0;917.033333;18.541667;33;23.8125;18.3;74.541667;37;10.7;1.379167;
2020-02-22;20;917.704167;19.2;30.8;22.658333;18.8;82.166667;51;14.1;1.4875;
2020-02-23;14.4;919.9625;19.075;24.8;21.1875;19.6;87.916667;72;7.3;2.279167;
2020-02-24;1;920.4625;17.9125;25.7;20.758333;17.9;84.166667;67;8.7;1.854167;
2020-02-25;0;919.320833;19.333333;30;23.395833;20.1;79.375;52;5.5;.9125;
2020-02-26;0;916.858333;19.658333;32;23.679167;19.6;79.875;48;11.3;1.033333;
