Nome: GUANHAES
Codigo Estacao: A533
Latitude: -18.78694444
Longitude: -42.94305555
Altitude: 852.68
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.54;
2020-01-01;0100;-3.54;
2020-01-01;0200;-3.54;
2020-01-01;0300;-3.54;
2020-01-01;0400;-3.54;
2020-01-01;0500;-3.54;
2020-01-01;0600;-3.54;
2020-01-01;0700;-3.54;
2020-01-01;0800;-3.54;
2020-01-01;0900;37.885;
2020-01-01;1000;284.659;
2020-01-01;1100;722.525;
2020-01-01;1200;2505.637;
2020-01-01;1300;2816.482;
2020-01-01;1400;3172.482;
2020-01-01;1500;3285.66;
2020-01-01;1600;4249.63;
2020-01-01;1700;3824.495;
2020-01-01;1800;3233.983;
2020-01-01;1900;2264.85;
2020-01-01;2000;416.26;
2020-01-01;2100;45.6;
2020-01-01;2200;8.786;
2020-01-01;2300;-2.311;
2020-01-02;0000;-.954;
2020-01-02;0100;-2.378;
2020-01-02;0200;-2.309;
2020-01-02;0300;-2.036;
2020-01-02;0400;-2.452;
2020-01-02;0500;-2.644;
2020-01-02;0600;-2.708;
2020-01-02;0700;-2.987;
2020-01-02;0800;-3.433;
2020-01-02;0900;34.607;
2020-01-02;1000;407.194;
2020-01-02;1100;618.38;
2020-01-02;1200;992.889;
2020-01-02;1300;1682.687;
2020-01-02;1400;1849.986;
2020-01-02;1500;2240.413;
2020-01-02;1600;1557.799;
2020-01-02;1700;669.243;
2020-01-02;1800;389.603;
2020-01-02;1900;1718.518;
2020-01-02;2000;855.201;
2020-01-02;2100;303.285;
2020-01-02;2200;24.961;
2020-01-02;2300;-3.539;
2020-01-03;0000;-3.483;
2020-01-03;0100;-3.535;
2020-01-03;0200;-3.526;
2020-01-03;0300;-3.193;
2020-01-03;0400;-2.729;
2020-01-03;0500;-2.839;
2020-01-03;0600;-2.577;
2020-01-03;0700;-2.997;
2020-01-03;0800;-3.039;
