Nome: FLORESTAL
Codigo Estacao: A535
Latitude: -19.88527777
Longitude: -44.41694443
Altitude: 753.5
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.54;
2020-01-01;0100;-3.54;
2020-01-01;0200;-3.54;
2020-01-01;0300;-3.54;
2020-01-01;0400;-3.54;
2020-01-01;0500;-3.54;
2020-01-01;0600;-3.54;
2020-01-01;0700;-3.54;
2020-01-01;0800;-3.54;
2020-01-01;0900;42.722;
2020-01-01;1000;225.03;
2020-01-01;1100;293.476;
2020-01-01;1200;1615.487;
2020-01-01;1300;2769.231;
2020-01-01;1400;3074.877;
2020-01-01;1500;3691.283;
2020-01-01;1600;2853.636;
2020-01-01;1700;2464.712;
2020-01-01;1800;2282.371;
2020-01-01;1900;2077.67;
2020-01-01;2000;1320.119;
2020-01-01;2100;769.525;
2020-01-01;2200;43.217;
2020-01-01;2300;-3.54;
2020-01-02;0000;-3.54;
2020-01-02;0100;-3.378;
2020-01-02;0200;-3.252;
2020-01-02;0300;-3.526;
2020-01-02;0400;-3.416;
2020-01-02;0500;-3.506;
2020-01-02;0600;-3.28;
2020-01-02;0700;-3.526;
2020-01-02;0800;-3.424;
2020-01-02;0900;29.222;
2020-01-02;1000;293.141;
2020-01-02;1100;678.767;
2020-01-02;1200;1187.765;
2020-01-02;1300;2681.165;
2020-01-02;1400;2227.737;
2020-01-02;1500;2276.675;
2020-01-02;1600;2539.613;
2020-01-02;1700;2621.969;
2020-01-02;1800;839.463;
2020-01-02;1900;95.092;
2020-01-02;2000;47.477;
2020-01-02;2100;91.416;
2020-01-02;2200;19.646;
2020-01-02;2300;-3.209;
2020-01-03;0000;-3.223;
2020-01-03;0100;-3.189;
2020-01-03;0200;-2.685;
2020-01-03;0300;-2.421;
2020-01-03;0400;-1.566;
2020-01-03;0500;-2.642;
2020-01-03;0600;-2.929;
2020-01-03;0700;-2.781;
2020-01-03;0800;-2.875;
