Nome: DORES DO INDAIA
Codigo Estacao: A536
Latitude: -19.481935
Longitude: -45.593932
Altitude: 721.09
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;0;928.383333;18.0375;32;25.4125;19.6;65.375;42;11.5;1.433333;
2020-01-02;1.6;928.804167;19.191667;28.4;22.983333;19.4;79.833333;59;10.1;1.5375;
2020-01-03;4.6;929.15;20.045833;31;23.2;20.3;83.583333;50;11.9;.925;
2020-01-04;33.2;928.179167;19.933333;29.4;23.195833;19.9;83.5;52;10;2.404167;
2020-01-05;.2;927.7625;19.408333;31.8;24.716667;20;75.041667;42;9.9;1.9375;
2020-01-06;0;929.141667;19.608333;31.9;24.845833;20.2;74.666667;45;7.9;1.908333;
2020-01-07;0;930.5625;20.041667;32.2;25.425;20.6;73.791667;49;10;1.654167;
2020-01-08;0;931.375;20.675;30.8;23.341667;21.6;85.666667;58;12.8;1.295833;
2020-01-09;9.6;931.341667;19.891667;33.6;24.258333;19.8;79.333333;43;13.6;1.379167;
2020-01-10;24.6;930.929167;19.8625;33.5;26.045833;18.7;71.166667;39;9.7;1.129167;
2020-01-11;0;930.516667;20.0125;33.7;26.916667;22.5;68.125;40;8.9;1.579167;
2020-01-12;0;931.416667;18.495833;35.4;27.495833;20.4;62.25;30;11.6;1.1875;
2020-01-13;0;931.545833;19.0625;35.1;27.095833;20.8;65.25;28;10.5;2.3125;
2020-01-14;0;931.675;19.45;34.2;26.2125;20.4;68.833333;36;13.7;1.520833;
2020-01-15;0;931.479167;20.2625;33.5;25.991667;21.3;72.166667;43;12.3;.870833;
2020-01-16;0;932.45;19.125;34.8;26.5;20.2;66.833333;38;9.5;1.483333;
2020-01-17;20.8;933.566667;20.166667;29.6;23.695833;20.6;81.5;56;10.8;1.795833;
2020-01-18;.4;934.1875;20.175;29.4;23.7625;20.8;81.083333;58;7.3;1.808333;
2020-01-19;.2;932.654167;20.4625;31.4;24.4125;21.4;80.375;48;9.4;1.116667;
2020-01-20;15;930.145833;20.625;30.3;22.866667;20.5;87.75;55;11.7;1.0125;
2020-01-21;14;927.595833;20.120833;29.3;23.404167;20.7;82.958333;58;9.1;1.2875;
2020-01-22;8.4;927.041667;20.0875;29.1;23.041667;20.5;84.166667;61;14.9;2.4375;
2020-01-23;1.8;926.025;20.5375;26.3;22.4875;21.4;89.083333;70;11.7;1.691667;
2020-01-24;44.2;924.495833;20.5625;27.2;22.375;20.4;89.916667;67;9.9;2.825;
2020-01-25;53.4;927.454167;19.6125;27.4;22.066667;19.6;86.875;63;11.7;1.291667;
2020-01-26;19.2;929.891667;18.975;29.6;23.016667;19.1;79.875;51;7;.629167;
2020-01-27;0;930.358333;19.9;31.9;25.308333;20.4;74.666667;41;8.7;1.7125;
2020-01-28;.6;931.266667;20.241667;31.5;24.691667;21.4;78.083333;48;15;2.541667;
2020-01-29;14.8;933.458333;20.179167;29.6;23.9;20.7;80.916667;54;10.7;1.2375;
2020-01-30;8.8;933.629167;20.595833;31.9;25.320833;21.4;76.208333;53;15.9;.541667;
2020-01-31;3.2;933.1875;20.445833;33.5;25.533333;18.6;75.291667;42;11.6;1.425;
2020-02-01;0;932.829167;20.504167;32.7;24.970833;21.2;77.583333;44;9.4;.65;
2020-02-02;0;932.633333;19.366667;33;24.120833;19.6;76.416667;46;13;1.579167;
2020-02-03;12.6;932.054167;19.4;32.6;25.245833;19.8;72.125;44;11.4;1.416667;
2020-02-04;0;932.141667;19.395833;32.2;25.3875;20.5;71.708333;43;8.3;2.1625;
2020-02-05;0;932.379167;19.783333;27.4;23.083333;21;82.166667;66;12.7;1.695833;
2020-02-06;3.2;932.825;19.925;25.7;21.4125;20.3;91.5;75;13.6;1.583333;
2020-02-07;44;931.958333;18.9125;24.8;20.883333;19.1;88.875;73;10.5;1.383333;
2020-02-08;31.4;932.2125;18.129167;27.7;21.925;18.3;80.875;53;14.6;2.308333;
2020-02-09;37.8;933.583333;18.545833;28.7;22.541667;19.3;80;48;14.6;3.408333;
2020-02-10;.2;933.958333;19.208333;31.2;23.8125;21;77.458333;46;18.3;2.508333;
2020-02-11;12.6;932.8875;20.379167;28.9;22.579167;20.2;88.083333;60;9.3;1.141667;
2020-02-12;42;931.904167;19.808333;28.3;22.845833;19.2;84;60;9.2;2.275;
2020-02-13;27;931.895833;19.754167;28.1;21.975;19.7;87.833333;63;12.5;2.2125;
2020-02-14;19.4;932.366667;19.491667;30.7;23.466667;19.5;80;52;5.7;1.133333;
2020-02-15;0;931.7625;20.058333;31.9;24.970833;20.7;75.666667;47;9.5;1.858333;
2020-02-16;25.8;931.716667;20.108333;30.9;24.1625;20.7;79.208333;54;8.6;1.5;
2020-02-17;63.4;932.3125;20.304167;29.4;23.295833;18.8;84.333333;58;11.2;2.366667;
2020-02-18;42.4;932.804167;19.716667;30.7;24.666667;20.4;76.416667;47;8.8;1.145833;
2020-02-19;0;930.820833;19.279167;31.9;25.091667;19.6;71.958333;40;7.9;1.125;
2020-02-20;0;930.191667;18.920833;32;25.6125;19.8;68.708333;40;9.8;1.516667;
2020-02-21;0;930.85;19.754167;30.6;23.845833;20.1;78.708333;54;10.7;1.083333;
2020-02-22;5;931.795833;19.525;31.6;23.408333;19.6;80.666667;48;12.3;.891667;
2020-02-23;4.6;933.3625;19.9625;27;22.645833;20.2;85.5;67;5.8;1.0875;
2020-02-24;1.8;933.295833;20.141667;25.7;21.625;20.3;91.291667;77;7.8;.775;
2020-02-25;34.6;932.6;20.2625;29.7;23.6125;20.4;82.666667;59;10.9;1.575;
2020-02-26;2.2;930.741667;20.975;29.7;23.075;21;88.375;61;14.9;1.091667;
2020-02-27;18.2;930.345833;20.341667;30.2;23;19.9;85.916667;57;10.9;.970833;
2020-02-28;26.2;932.8375;20.566667;25.4;22.108333;19.8;91.375;73;9.1;.75;
2020-02-29;60.8;933.9375;19.733333;25.6;21.704167;19;88.958333;72;8.8;1.8;
2020-03-01;1.6;932.633333;20.175;27.7;22.508333;20.3;87.333333;62;9.5;1.245833;
2020-03-02;57.6;932.445833;17.995833;22.1;19.5;17;91.125;78;11.8;1.95;
2020-03-03;1;931.5;19.1625;24;20.645833;18.6;91.458333;80;6.5;.745833;
2020-03-04;9.6;931.445833;19.445833;30;23.391667;19.4;80.291667;49;8.1;.504167;
2020-03-05;2.2;932.116667;19.333333;30.8;22.6875;19.5;82.708333;50;24.8;1.116667;
2020-03-06;35.4;932.3875;19.266667;26;20.916667;17.2;90.708333;72;10.7;.770833;
2020-03-07;25.2;931.204167;18.1;28.6;22.225;18.4;79.416667;48;5.8;.7625;
2020-03-08;0;931.779167;17.879167;29.1;22.804167;17.6;75.5;47;6.2;1.1875;
2020-03-09;1.4;933.370833;18.2875;29.9;23.366667;18.7;74.666667;45;9.1;.733333;
2020-03-10;0;933.2625;17.820833;30.2;23.858333;18.8;71;42;4.7;.620833;
2020-03-11;0;932.191667;18.195833;31;24.345833;19.3;70.5;41;6.5;.879167;
2020-03-12;0;932.870833;18.179167;31.5;24.383333;19.6;70.458333;41;6.5;.954167;
2020-03-13;0;933.4875;18.85;31.2;24.366667;19.2;72.875;46;12.3;1.066667;
2020-03-14;0;934.091667;19.2;30.9;23.995833;19.6;75.541667;49;8.9;.979167;
2020-03-15;0;933.7375;18.804167;30.8;24.558333;19;72;47;8.6;1.354167;
2020-03-16;0;933.141667;17.520833;30.9;24.716667;18.3;66.416667;41;6;.825;
2020-03-17;0;932.8125;18.558333;31.7;24.116667;18.3;73.041667;42;9.3;.804167;
2020-03-18;0;932.295833;19.220833;32.4;24.879167;19.7;73.458333;40;4.4;.45;
2020-03-19;0;930.154167;19.920833;32.2;24.7125;21.3;75.708333;48;12.2;.941667;
2020-03-20;.2;928.466667;20.45;31.2;23.929167;21.2;81.916667;56;14.1;1.308333;
2020-03-21;9;929.341667;20.55;29.9;23.333333;20.8;85.333333;56;7.9;.891667;
2020-03-22;12;932.120833;20.041667;26.9;22.579167;20.3;86.125;66;5.2;.7125;
2020-03-23;0;934.329167;18.441667;28;22.454167;19.2;79.25;56;5.7;1.241667;
2020-03-24;0;934.345833;16.316667;27.9;21.620833;16.3;73.916667;45;7.4;1.1;
2020-03-25;0;933.054167;15.645833;28.2;21.704167;16.5;70.291667;43;7.3;1.1625;
2020-03-26;0;932.633333;16.5125;28.1;21.783333;17.4;73.5;48;5.7;1.116667;
2020-03-27;0;932.895833;17.820833;26.7;21.3;18.3;81.375;57;6.5;.795833;
2020-03-28;1.4;934.608333;18.745833;27.3;21.95;19.2;82.75;57;4.5;.575;
2020-03-29;1;934.9375;18.9375;30;23.920833;18.8;75.25;50;3.9;.245833;
2020-03-30;0;933.583333;19.3;30.8;24.495833;19.9;74.916667;48;4.3;1.033333;
2020-03-31;.2;932.4125;18.954167;31.2;23.629167;18.8;77.416667;46;7.9;1.570833;
2020-04-01;0;932.45;19.8375;30.2;24.2375;20.5;77.583333;54;5.5;.8875;
2020-04-02;1;932.945833;20.245833;30.8;24.291667;20.9;79.125;51;9.3;1.070833;
2020-04-03;2;929.1125;20.141667;32.3;24.6875;19.9;77.041667;49;14.2;2.054167;
