Nome: DORES DO INDAIA
Codigo Estacao: A536
Latitude: -19.481935
Longitude: -45.593932
Altitude: 721.09
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.54;
2020-01-01;0100;-3.54;
2020-01-01;0200;-3.54;
2020-01-01;0300;-3.54;
2020-01-01;0400;-3.54;
2020-01-01;0500;-3.54;
2020-01-01;0600;-2.99;
2020-01-01;0700;-3.522;
2020-01-01;0800;-3.54;
2020-01-01;0900;34.441;
2020-01-01;1000;629.933;
2020-01-01;1100;1482.382;
2020-01-01;1200;2257.9;
2020-01-01;1300;2957.259;
2020-01-01;1400;3589.163;
2020-01-01;1500;3515.914;
2020-01-01;1600;3301.691;
2020-01-01;1700;1381.356;
2020-01-01;1800;3289.61;
2020-01-01;1900;1873.434;
2020-01-01;2000;1168.571;
2020-01-01;2100;347.448;
2020-01-01;2200;45.933;
2020-01-01;2300;-3.526;
2020-01-02;0000;-3.244;
2020-01-02;0100;-3.524;
2020-01-02;0200;-3.468;
2020-01-02;0300;-3.477;
2020-01-02;0400;-3.466;
2020-01-02;0500;-3.54;
2020-01-02;0600;-3.54;
2020-01-02;0700;-3.54;
2020-01-02;0800;-3.54;
2020-01-02;0900;59.507;
2020-01-02;1000;396.381;
2020-01-02;1100;611.031;
2020-01-02;1200;2090.985;
2020-01-02;1300;2302.749;
2020-01-02;1400;2281.903;
2020-01-02;1500;1599.574;
2020-01-02;1600;502.651;
2020-01-02;1700;127.235;
2020-01-02;1800;330.828;
2020-01-02;1900;1437.442;
2020-01-02;2000;1399.81;
2020-01-02;2100;524.602;
2020-01-02;2200;44.94;
2020-01-02;2300;-3.318;
2020-01-03;0000;-3.382;
2020-01-03;0100;-3.023;
2020-01-03;0200;-2.857;
2020-01-03;0300;-2.453;
2020-01-03;0400;-2.663;
2020-01-03;0500;-3.094;
2020-01-03;0600;-3.498;
2020-01-03;0700;-2.9;
2020-01-03;0800;-2.65;
