Nome: CURVELO
Codigo Estacao: A538
Latitude: -18.747711
Longitude: -44.453785
Altitude: 669.48
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;0;934.85;17.3;33.1;25.7375;19.6;61.166667;36;10.6;1.3125;
2020-01-02;0;935.575;19.2875;27.6;23.729167;21.1;76.541667;60;9.5;1.570833;
2020-01-03;.6;935.8875;19.933333;29.1;22.791667;21.4;84.291667;56;13;1.516667;
2020-01-04;33.4;935.183333;19.945833;28.5;22.766667;19.8;84.75;61;8;1.65;
2020-01-05;0;934.9;20.3875;29.1;23.608333;20.5;82.75;56;7.6;2.166667;
2020-01-06;3.2;936.1625;19.775;30.8;24.675;21.1;75.625;50;6.2;1.5125;
2020-01-07;0;937.166667;20.658333;31.8;25.9;21.7;74.125;49;6.2;1.379167;
2020-01-08;0;937.220833;20.75;33.8;26.670833;22.6;72.166667;41;9;1.383333;
2020-01-09;0;937.075;19.6625;34.6;26.633333;21.8;68.25;36;10;1.491667;
2020-01-10;0;937.058333;19.445833;34.7;27.3375;21.7;64.5;36;7.8;1.329167;
2020-01-11;0;937.095833;17.104167;33.4;27.708333;20.8;55.208333;33;7.3;1.2875;
2020-01-12;0;937.6;16.591667;35.2;27.904167;21;55.5;21;6;1.004167;
2020-01-13;0;937.183333;17.745833;35.1;28.029167;20.9;56.958333;28;5.7;1.733333;
2020-01-14;0;937.570833;18.7125;34.3;28.070833;23.6;58.583333;34;8.1;2.270833;
2020-01-15;0;937.616667;19.541667;33.8;26.316667;23.2;67.541667;38;17.3;2.179167;
2020-01-16;.4;938.825;19.875;33.8;25.833333;20;72.125;42;10.8;1.4;
2020-01-17;19.8;939.6125;20.329167;30.4;25.029167;21;76.458333;47;8.7;2;
2020-01-18;0;940.1375;19.670833;29.7;25.6125;22.4;70.958333;52;6.9;2.15;
2020-01-19;0;938.7625;19.7875;32.7;25.691667;21.6;71.458333;42;12;1.795833;
2020-01-20;6;936.15;19.9;32;25.345833;21.2;73.791667;42;10.3;1.720833;
2020-01-21;35.4;934.2375;20.329167;28.9;23.004167;20.3;85.541667;58;14.4;1.554167;
2020-01-22;20;933.791667;20.470833;25.6;22.5;21.3;88.5;76;9.1;1.366667;
2020-01-23;37.2;933.15;20.641667;22.9;21.8875;19.8;92.625;88;9.2;1.2625;
2020-01-24;32.8;931.933333;20.754167;25.5;22.25;20.7;91.291667;82;11.4;2.9125;
2020-01-25;74.4;934.1375;20.733333;25;21.904167;21.1;93.125;82;10.4;2.329167;
2020-01-26;46.2;936.445833;20.533333;27.7;23.366667;20.7;84.958333;58;7;.945833;
2020-01-27;1.6;937.441667;20.2125;26.6;22.295833;20.3;88.291667;71;8.7;1.55;
2020-01-28;1.4;938.216667;20.179167;31.2;24.4625;20.6;78.416667;49;9.6;1.616667;
2020-01-29;.4;940.075;20.141667;30.5;24.529167;20.7;78.125;52;5.2;1.045833;
2020-01-30;0;939.7875;20.879167;33.2;27.054167;22.2;71.541667;43;6.3;1.170833;
2020-01-31;0;939.183333;20.841667;33.5;27.116667;21.9;70.708333;43;5.2;1.016667;
2020-02-01;0;938.725;20.079167;33.4;27.229167;22;67.708333;35;5.1;1.308333;
2020-02-02;0;938.2625;19.5125;34.1;27.5;21.2;64.875;34;5.5;1.708333;
2020-02-03;0;938.291667;18.283333;33.5;26.9125;21.7;62.5;30;7.3;1.9125;
2020-02-04;0;938.475;18.608333;32;26.104167;20.1;64.75;43;6.3;1.416667;
2020-02-05;0;939.033333;20.2375;26;22.679167;21.2;86.291667;71;6.3;1.245833;
2020-02-06;34;939.2625;19.908333;26.2;21.545833;19.9;90.583333;70;11.8;1.208333;
2020-02-07;11;938.154167;18.983333;26.8;21.275;19.5;87.625;61;8.7;1.616667;
2020-02-08;17.8;938.804167;18.525;28.5;22.5375;18.9;79.791667;50;7.7;1.204167;
2020-02-09;0;940.391667;18.141667;28.7;23.120833;19.6;74.791667;46;11.3;1.575;
2020-02-10;.6;940.604167;19.15;31.9;25.029167;21.1;72.166667;43;8.2;1.6875;
2020-02-11;0;939.554167;20.45;25.7;23.004167;20.9;85.833333;69;7.5;1;
2020-02-12;3.4;938.5;20.375;29.7;23.304167;21.1;84.666667;57;9.2;1.429167;
2020-02-13;3.6;938.65;19.504167;27.4;22.4875;20.4;84.083333;59;9.5;1.45;
2020-02-14;3.8;938.629167;19.225;31.1;24.175;19.2;76.583333;46;4.6;.725;
2020-02-15;0;938.179167;19.4625;32.2;25.908333;20.1;69.708333;43;6.4;1.441667;
2020-02-16;0;938.05;20.125;31.4;25.908333;21.4;71.791667;47;6.6;1.1875;
2020-02-17;23.4;938.658333;20.3625;28.4;24.154167;21.4;80.208333;59;6.5;1.695833;
2020-02-18;0;939.1;19.095833;31.8;24.983333;19.9;72.333333;37;8.9;1.683333;
2020-02-19;.2;937.204167;18.8125;31.1;25.5125;19.3;68.25;43;7.3;1.454167;
2020-02-20;0;936.691667;18.825;32.4;25.654167;19.3;68.291667;40;6.2;1.116667;
2020-02-21;0;937.033333;19.570833;32.2;25.454167;20.2;71.625;45;10.5;1.541667;
2020-02-22;0;937.85;19.55;32.2;25.0625;20.3;73.458333;45;11;1.808333;
2020-02-23;4;939.545833;20.145833;28.3;23.708333;20.3;81.291667;61;7.1;1.525;
2020-02-24;3.6;939.441667;20.145833;29.4;23.191667;20.9;84;58;9.4;1.825;
2020-02-25;24.8;939.066667;20.695833;29.2;23.579167;20.8;84.833333;58;7.3;1.066667;
2020-02-26;2.4;936.991667;21.275;31.4;24.166667;21.4;84.458333;51;10.3;1.116667;
2020-02-27;5.6;936.5;21.191667;30.9;24.1625;20.8;84.583333;54;12.8;1.466667;
2020-02-28;33;939.166667;20.695833;29.1;23.395833;20.5;85.625;60;10.3;1.370833;
2020-02-29;9.4;940.35;20.320833;28.5;22.320833;19.9;89.041667;61;8.9;1.65;
2020-03-01;7.4;939.054167;20.541667;27.1;22.604167;20.6;88.5;68;4.7;.866667;
2020-03-02;54.4;938.304167;18.604167;22.9;19.933333;17.9;92.166667;86;9.3;2.358333;
2020-03-03;11.4;937.591667;19.7375;27.7;22.1875;18;86.708333;68;7.8;1.583333;
2020-03-04;44.8;938.004167;19.7375;29.9;22.966667;19.4;83.541667;53;10.3;1.533333;
2020-03-05;6.8;938.4125;19.9875;29.8;24.241667;19.8;78.416667;52;5.7;1.1875;
2020-03-06;8;938.841667;19.479167;24.7;21.245833;19.6;89.916667;73;6.5;1.479167;
2020-03-07;10.4;937.7125;18.479167;25.7;21;18.7;86.041667;64;6.5;1.645833;
2020-03-08;.4;938.1625;17.633333;28.8;22.7;17.6;74.75;47;6;1.825;
2020-03-09;0;939.604167;17.541667;30.3;23.5;17.3;71.583333;44;5.6;1.358333;
2020-03-10;0;939.45;17.583333;30.5;23.770833;17.3;70.791667;40;5.5;.979167;
2020-03-11;0;938.370833;18.375;31.1;24.0875;18.4;72.583333;43;6.4;1.454167;
2020-03-12;0;938.9875;18.704167;29.6;24.4;19.7;72.041667;51;8.4;2.079167;
2020-03-13;.2;939.65;18.8625;30.6;24.620833;19.4;72.041667;45;7.9;1.45;
2020-03-14;0;940.254167;18.545833;30.8;24.679167;19.5;70.833333;44;8.7;1.854167;
2020-03-15;0;940.120833;17.3;31.3;24.6625;19;66.666667;32;7.6;1.645833;
2020-03-16;0;939.495833;17.058333;32.3;24.708333;17.4;65.333333;35;4.8;.8625;
2020-03-17;0;938.983333;18.025;32.6;25.645833;19.4;65.958333;36;5.6;.870833;
2020-03-18;0;938.4625;18.9;32.3;25.329167;19.8;69.291667;41;6.1;1.295833;
2020-03-19;0;936.458333;18.975;32.7;25.391667;19;69.833333;38;5.1;1.15;
2020-03-20;15;935.141667;20.779167;30.2;24.583333;21.1;80.75;53;7.2;1.445833;
2020-03-21;16.2;935.795833;20.979167;28.2;23.758333;21.3;85.083333;63;11.5;.933333;
2020-03-22;28.6;938.35;20.416667;24.8;22.458333;20.3;88.5;73;4.6;1.145833;
2020-03-23;4;940.3125;18.1625;26.5;22.745833;20.1;76.083333;59;7.2;2.454167;
2020-03-24;0;940.5125;16.633333;27.4;21.708333;16.8;74.625;49;6.6;1.975;
2020-03-25;0;939.408333;16.108333;28.4;21.616667;15.4;72.875;45;5.2;1.220833;
2020-03-26;0;939.004167;16.920833;27.5;21.804167;16.9;75;52;6.8;1.658333;
2020-03-27;0;939.075;17.291667;27.6;23.120833;19.3;70.375;55;7.8;2.141667;
2020-03-28;0;940.554167;17.2625;29;23.708333;19.4;68.083333;49;5.1;1.433333;
2020-03-29;0;941.041667;17.945833;31.7;24.454167;18.3;69.583333;40;5.1;1.033333;
2020-03-30;0;939.666667;17.466667;31.3;24.708333;18;67.041667;37;5;.983333;
2020-03-31;0;938.479167;18.241667;31.7;24.841667;18.8;69.333333;38;5.4;1.054167;
2020-04-01;0;938.5875;18.658333;32.1;24.75;18.8;71.75;39;7;1.05;
2020-04-02;0;939.208333;19.641667;31.7;25.641667;21.1;70.875;45;7;1.245833;
2020-04-03;0;935.879167;19.508333;32.9;24.525;20.2;76.333333;41;14;1.908333;
2020-04-04;17.4;935.975;20.116667;31.1;24.466667;19.2;78.916667;48;7.1;1.241667;
2020-04-05;1.2;938.3;20.758333;32;25.629167;20.9;76.541667;48;5.8;1.141667;
2020-04-06;0;939.858333;19.704167;31.4;25.2;20.1;73.291667;48;5.8;1.375;
2020-04-07;0;938.841667;20.704167;28;23.3875;21.4;85.291667;66;6.5;1.020833;
2020-04-08;15.8;937.75;20.4;29.1;23.195833;20.7;85.125;60;5.6;.733333;
2020-04-09;6.6;937.241667;19.8;29.7;23.6625;19.7;80.375;53;6.7;1.383333;
2020-04-10;0;937.6875;19.270833;30.5;23.708333;18.6;78;51;8.4;.954167;
2020-04-11;0;937.941667;19.629167;30.1;24.129167;20.7;76.958333;54;8.1;1.275;
2020-04-12;2.4;939.033333;19.75;30.6;23.995833;19.8;78.625;48;9.3;1.195833;
2020-04-13;0;939.6;17.691667;29.4;23.054167;17.8;73.75;45;6.2;1.695833;
2020-04-14;0;937.966667;17.0375;28.5;22.816667;16.6;71.333333;49;7.7;1.366667;
2020-04-15;0;938.975;18.704167;28.8;22.120833;19.4;81.916667;55;6.9;1.341667;
2020-04-16;12.2;942.145833;19.454167;23.1;21.129167;20.1;90.416667;77;4.7;1.325;
2020-04-17;3.4;942.254167;19.004167;29.1;23.533333;20.2;77.291667;52;6.4;1.754167;
2020-04-18;0;942.3125;18.641667;27.2;23.2375;20.6;76;59;5.5;1.533333;
2020-04-19;0;942.804167;17.308333;26.9;21.925;18.1;75.916667;55;6.8;1.995833;
2020-04-20;0;942.129167;16.879167;26.4;21.154167;17.3;77.791667;53;5.2;.908333;
2020-04-21;0;940.929167;16.8375;27.9;21.583333;16.7;76.458333;48;4.5;.870833;
2020-04-22;0;939.958333;16.758333;28.9;22.1;17.3;74.083333;43;4.5;.7875;
2020-04-23;0;939.766667;16.795833;28.5;22.4875;18;72.208333;44;5.5;1.2625;
2020-04-24;0;941.691667;15.7125;27.2;21.3375;15.9;72.375;48;8.1;1.7875;
2020-04-25;0;943.008333;14.233333;27.5;20.875;14.2;68.916667;38;9;1.816667;
2020-04-26;0;943.516667;15.216667;28.6;22.266667;15.8;67.041667;40;7.1;1.65;
2020-04-27;0;943.991667;13.925;27.4;20.675;14.9;67.875;39;8.1;1.733333;
2020-04-28;0;944.083333;11.8;27;19.208333;12.8;66.291667;31;7.5;1.341667;
2020-04-29;0;943.9125;12.483333;26.5;19.220833;12.8;68.166667;36;6.1;1.1875;
2020-04-30;0;942.729167;12.708333;27.6;20.158333;13.9;65.333333;35;6;.979167;
2020-05-01;0;942.85;12.420833;28.5;19.566667;11.9;67.958333;32;5.8;.616667;
2020-05-02;0;941.266667;13.529167;28.8;20.0625;12.5;69.041667;37;6.7;.895833;
2020-05-03;0;939.770833;13.345833;29.6;20.216667;12.5;69.25;32;5.5;.5375;
2020-05-04;0;939.541667;14.704167;28.7;20.804167;14.4;70.708333;41;5.9;.979167;
2020-05-05;0;939.558333;15.716667;29.2;21.454167;14.7;72.166667;41;6.8;1.029167;
2020-05-06;0;939.35;15.475;29.2;21.35;15.7;72.458333;35;6.6;.7875;
2020-05-07;0;939.854167;16.870833;23.3;20.570833;18.3;79.666667;66;6.4;.883333;
2020-05-08;0;943.270833;14.0875;26.3;19.504167;15.2;72.708333;47;7.7;2.016667;
2020-05-09;0;944.920833;11.941667;25.7;18.766667;12.4;67.833333;34;8.2;1.608333;
2020-05-10;0;945.008333;10.7625;24.5;17.2875;10.5;68.708333;39;7.1;1.308333;
2020-05-11;0;944.55;10.3125;25.5;17.275;10.2;67.541667;33;5.6;.783333;
2020-05-12;0;942.3625;12.2125;28.3;18.7;11.3;69.166667;35;6.8;.695833;
2020-05-13;0;940.645833;14.695833;28;20.1375;13.2;73.458333;46;6.1;.745833;
2020-05-14;0;939.9625;16.675;29.6;20.6875;14.7;79.875;42;7.1;.983333;
2020-05-15;1.4;940.641667;18;26.9;21.404167;18.5;82.041667;59;7.3;1.254167;
2020-05-16;25.2;940.404167;18.520833;23.4;20.1125;19;90.666667;79;7.6;1.3;
2020-05-17;11.4;941.704167;15.929167;26.8;19.658333;14.5;81.083333;51;6.1;1.004167;
2020-05-18;0;943.325;13.5375;27.6;19.670833;13.8;72.25;31;5.2;1.016667;
2020-05-19;0;944.808333;13.941667;26.6;20.175;15.2;69.416667;43;9;2.35;
2020-05-20;0;945.404167;13.658333;24.9;18.8625;13.7;73.833333;47;8;1.670833;
2020-05-21;0;944.4125;14.825;26.7;20.2375;14.4;72.791667;48;8;1.795833;
2020-05-22;0;943.133333;14.7125;28;19.954167;13.4;74.333333;43;6;.866667;
