Nome: CAPELINHA
Codigo Estacao: A541
Latitude: -17.70555555
Longitude: -42.38916666
Altitude: 932.06
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.54;
2020-01-01;0100;-3.54;
2020-01-01;0200;-3.54;
2020-01-01;0300;-3.54;
2020-01-01;0400;-3.54;
2020-01-01;0500;-3.54;
2020-01-01;0600;-3.54;
2020-01-01;0700;-3.54;
2020-01-01;0800;-3.54;
2020-01-01;0900;51.829;
2020-01-01;1000;718.494;
2020-01-01;1100;1653.624;
2020-01-01;1200;2400.891;
2020-01-01;1300;2834.457;
2020-01-01;1400;3158.766;
2020-01-01;1500;3258.524;
2020-01-01;1600;4014.281;
2020-01-01;1700;3316.769;
2020-01-01;1800;1313.465;
2020-01-01;1900;1931.043;
2020-01-01;2000;822.972;
2020-01-01;2100;168.844;
2020-01-01;2200;8.833;
2020-01-01;2300;-3.538;
2020-01-02;0000;-3.271;
2020-01-02;0100;-3.493;
2020-01-02;0200;-3.396;
2020-01-02;0300;-3.54;
2020-01-02;0400;-3.538;
2020-01-02;0500;-3.184;
2020-01-02;0600;-3.338;
2020-01-02;0700;-3.281;
2020-01-02;0800;-2.965;
2020-01-02;0900;50.999;
2020-01-02;1000;635.425;
2020-01-02;1100;1292.164;
2020-01-02;1200;1842.261;
2020-01-02;1300;2507.445;
2020-01-02;1400;2757.468;
2020-01-02;1500;3059.757;
2020-01-02;1600;1522.657;
2020-01-02;1700;2791.798;
2020-01-02;1800;2626.571;
2020-01-02;1900;1333.337;
2020-01-02;2000;1476.166;
2020-01-02;2100;459.524;
2020-01-02;2200;25.509;
2020-01-02;2300;-3.54;
2020-01-03;0000;-3.54;
2020-01-03;0100;-3.218;
2020-01-03;0200;-2.821;
2020-01-03;0300;-3.263;
2020-01-03;0400;-3.033;
2020-01-03;0500;-3.138;
2020-01-03;0600;-3.51;
2020-01-03;0700;-3.103;
2020-01-03;0800;-3.097;
