Nome: UNAI
Codigo Estacao: A542
Latitude: -16.55416666
Longitude: -46.88194443
Altitude: 640.85
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.598;
2020-01-01;0100;-3.6;
2020-01-01;0200;-3.6;
2020-01-01;0300;-3.6;
2020-01-01;0400;-3.59;
2020-01-01;0500;-3.557;
2020-01-01;0600;-3.572;
2020-01-01;0700;-3.599;
2020-01-01;0800;-3.599;
2020-01-01;0900;8.18;
2020-01-01;1000;129.547;
2020-01-01;1100;623.998;
2020-01-01;1200;1051.514;
2020-01-01;1300;1066.217;
2020-01-01;1400;2401.426;
2020-01-01;1500;3603.808;
2020-01-01;1600;1739.27;
2020-01-01;1700;2697.518;
2020-01-01;1800;2992.788;
2020-01-01;1900;2192.3;
2020-01-01;2000;654.126;
2020-01-01;2100;247.451;
2020-01-01;2200;44.176;
2020-01-01;2300;-3.6;
2020-01-02;0000;-3.6;
2020-01-02;0100;-3.511;
2020-01-02;0200;-3.567;
2020-01-02;0300;-3.573;
2020-01-02;0400;-3.591;
2020-01-02;0500;-3.569;
2020-01-02;0600;-3.6;
2020-01-02;0700;-3.591;
2020-01-02;0800;-3.398;
2020-01-02;0900;-.131;
2020-01-02;1000;92.638;
2020-01-02;1100;515.69;
2020-01-02;1200;921.182;
2020-01-02;1300;1535.452;
2020-01-02;1400;1821.289;
2020-01-02;1500;2962.146;
2020-01-02;1600;1792.033;
2020-01-02;1700;205.278;
2020-01-02;1800;100.467;
2020-01-02;1900;179.755;
2020-01-02;2000;343.822;
2020-01-02;2100;105.841;
2020-01-02;2200;11.13;
2020-01-02;2300;-2.927;
2020-01-03;0000;-2.545;
2020-01-03;0100;-3.012;
2020-01-03;0200;-2.196;
2020-01-03;0300;-2.77;
2020-01-03;0400;-2.504;
2020-01-03;0500;-2.911;
2020-01-03;0600;-3.352;
2020-01-03;0700;-2.401;
2020-01-03;0800;-3.209;
2020-01-03;0900;7.954;
2020-01-03;1000;290.291;
2020-01-03;1100;725.657;
2020-01-03;1200;1203.228;
2020-01-03;1300;1662.608;
2020-01-03;1400;3348.39;
2020-01-03;1500;2528.304;
2020-01-03;1600;2481.141;
2020-01-03;1700;917.352;
2020-01-03;1800;2913.176;
2020-01-03;1900;1488.047;
2020-01-03;2000;957.775;
2020-01-03;2100;425.357;
2020-01-03;2200;49.307;
2020-01-03;2300;-3.279;
2020-01-04;0000;-2.723;
2020-01-04;0100;-2.864;
2020-01-04;0200;-.582;
2020-01-04;0300;.414;
2020-01-04;0400;-.506;
2020-01-04;0500;.794;
2020-01-04;0600;.064;
2020-01-04;0700;-.406;
2020-01-04;0800;-.65;
2020-01-04;0900;12.664;
2020-01-04;1000;239.785;
2020-01-04;1100;1008.595;
2020-01-04;1200;1599.133;
2020-01-04;1300;1649.988;
2020-01-04;1400;1800.121;
2020-01-04;1500;2040.342;
2020-01-04;1600;2965.654;
2020-01-04;1700;2580.973;
2020-01-04;1800;1057.058;
2020-01-04;1900;148.358;
2020-01-04;2000;28.761;
2020-01-04;2100;28.927;
2020-01-04;2200;15.589;
2020-01-04;2300;-2.631;
2020-01-05;0000;-3.058;
2020-01-05;0100;-3.285;
2020-01-05;0200;-1.877;
2020-01-05;0300;-3.023;
2020-01-05;0400;-1.871;
2020-01-05;0500;-1.878;
2020-01-05;0600;-2.078;
2020-01-05;0700;-2.101;
2020-01-05;0800;-2.546;
2020-01-05;0900;10.74;
2020-01-05;1000;116.915;
2020-01-05;1100;315.524;
2020-01-05;1200;860.839;
2020-01-05;1300;997.109;
2020-01-05;1400;1226.672;
2020-01-05;1500;3814.63;
2020-01-05;1600;1848.324;
2020-01-05;1700;1725.398;
2020-01-05;1800;1066.609;
2020-01-05;1900;616.873;
2020-01-05;2000;325.333;
2020-01-05;2100;168.69;
2020-01-05;2200;69.1;
2020-01-05;2300;-3.6;
2020-01-06;0000;-3.6;
2020-01-06;0100;-3.6;
2020-01-06;0200;-3.6;
2020-01-06;0300;-3.6;
2020-01-06;0400;-3.6;
2020-01-06;0500;-3.6;
2020-01-06;0600;-3.597;
2020-01-06;0700;-3.527;
2020-01-06;0800;-3.598;
2020-01-06;0900;15.255;
2020-01-06;1000;348.031;
2020-01-06;1100;776.186;
2020-01-06;1200;1538.008;
2020-01-06;1300;1178.742;
2020-01-06;1400;1119.443;
2020-01-06;1500;3244.063;
2020-01-06;1600;3099.042;
2020-01-06;1700;2656.702;
2020-01-06;1800;1926.744;
2020-01-06;1900;1412.086;
2020-01-06;2000;1076.934;
2020-01-06;2100;826.846;
2020-01-06;2200;44.012;
2020-01-06;2300;-3.379;
2020-01-07;0000;-2.599;
2020-01-07;0100;-3.228;
2020-01-07;0200;-3.6;
2020-01-07;0300;-2.557;
2020-01-07;0400;-3.073;
2020-01-07;0500;-3.266;
2020-01-07;0600;-2.872;
2020-01-07;0700;-2.033;
2020-01-07;0800;-3.018;
2020-01-07;0900;-.382;
2020-01-07;1000;22.67;
2020-01-07;1100;184.848;
2020-01-07;1200;937.263;
2020-01-07;1300;1656.081;
2020-01-07;1400;2748.442;
2020-01-07;1500;3656.982;
2020-01-07;1600;3888.741;
2020-01-07;1700;3194.194;
2020-01-07;1800;3360.274;
2020-01-07;1900;1249.641;
2020-01-07;2000;1055.195;
2020-01-07;2100;761.652;
2020-01-07;2200;104.645;
