Nome: PIRAPORA
Codigo Estacao: A545
Latitude: -17.258064
Longitude: -44.835556
Altitude: 505.32
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.6;
2020-01-01;0100;-3.6;
2020-01-01;0200;-3.6;
2020-01-01;0300;-3.6;
2020-01-01;0400;-3.6;
2020-01-01;0500;-3.6;
2020-01-01;0600;-3.6;
2020-01-01;0700;-3.6;
2020-01-01;0800;-3.6;
2020-01-01;0900;63.1;
2020-01-01;1000;798.474;
2020-01-01;1100;1571.734;
2020-01-01;1200;2230.852;
2020-01-01;1300;3257.507;
2020-01-01;1400;3438.853;
2020-01-01;1500;3722.432;
2020-01-01;1600;3280.921;
2020-01-01;1700;1311.539;
2020-01-01;1800;2373.453;
2020-01-01;1900;1416.526;
2020-01-01;2000;1175.557;
2020-01-01;2100;621.928;
2020-01-01;2200;39.228;
2020-01-01;2300;-3.6;
2020-01-02;0000;-3.6;
2020-01-02;0100;-3.6;
2020-01-02;0200;-3.6;
2020-01-02;0300;-3.6;
2020-01-02;0400;-3.599;
2020-01-02;0500;-3.6;
2020-01-02;0600;-3.599;
2020-01-02;0700;-3.591;
2020-01-02;0800;-3.594;
2020-01-02;0900;1.345;
2020-01-02;1000;64.132;
2020-01-02;1100;516.51;
2020-01-02;1200;1195.616;
2020-01-02;1300;1050.36;
2020-01-02;1400;522.972;
2020-01-02;1500;827.22;
2020-01-02;1600;975.811;
2020-01-02;1700;1528.066;
2020-01-02;1800;1747.014;
2020-01-02;1900;1185.236;
2020-01-02;2000;708.686;
2020-01-02;2100;361.128;
2020-01-02;2200;29.544;
2020-01-02;2300;-3.6;
2020-01-03;0000;-3.6;
2020-01-03;0100;-3.596;
2020-01-03;0200;-3.6;
2020-01-03;0300;-3.587;
2020-01-03;0400;-3.584;
2020-01-03;0500;-3.597;
2020-01-03;0600;-3.461;
2020-01-03;0700;-3.262;
2020-01-03;0800;-1.464;
2020-01-03;0900;16.909;
2020-01-03;1000;252.565;
2020-01-03;1100;911.325;
2020-01-03;1200;1505.203;
2020-01-03;1300;2356.776;
2020-01-03;1400;3353.775;
2020-01-03;1500;3219.009;
2020-01-03;1600;973.222;
2020-01-03;1700;2856.586;
2020-01-03;1800;2820.364;
2020-01-03;1900;1501.01;
2020-01-03;2000;700.839;
2020-01-03;2100;648.38;
2020-01-03;2200;37.741;
2020-01-03;2300;-3.099;
2020-01-04;0000;-3.546;
2020-01-04;0100;-3.597;
2020-01-04;0200;-3.323;
2020-01-04;0300;-3.326;
2020-01-04;0400;-3.029;
2020-01-04;0500;-2.472;
2020-01-04;0600;-1.618;
2020-01-04;0700;-2.176;
2020-01-04;0800;-2.471;
2020-01-04;0900;13.972;
2020-01-04;1000;210.64;
