Nome: RIO PARDO DE MINAS
Codigo Estacao: A551
Latitude: -15.72305554
Longitude: -42.43583333
Altitude: 850.06
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-1.054;
2020-01-01;0100;-2.304;
2020-01-01;0200;-2.039;
2020-01-01;0300;-.924;
2020-01-01;0400;-3.204;
2020-01-01;0500;-3.54;
2020-01-01;0600;-3.54;
2020-01-01;0700;-3.54;
2020-01-01;0800;-2.83;
2020-01-01;0900;153.709;
2020-01-01;1000;766.431;
2020-01-01;1100;1500.657;
2020-01-01;1200;2488.436;
2020-01-01;1300;3413.753;
2020-01-01;1400;3378.543;
2020-01-01;1500;3826.12;
2020-01-01;1600;2685.94;
2020-01-01;1700;2218.589;
2020-01-01;1800;1149.076;
2020-01-01;1900;871.882;
2020-01-01;2000;618.61;
2020-01-01;2100;227.885;
2020-01-01;2200;-.354;
2020-01-01;2300;-3.54;
2020-01-02;0000;-3.527;
2020-01-02;0100;-3.401;
2020-01-02;0200;-3.438;
2020-01-02;0300;-3.067;
2020-01-02;0400;-2.984;
2020-01-02;0500;-2.878;
2020-01-02;0600;-3.004;
2020-01-02;0700;-2.498;
2020-01-02;0800;-3.322;
2020-01-02;0900;187.738;
2020-01-02;1000;463.11;
2020-01-02;1100;970.884;
2020-01-02;1200;1039.554;
2020-01-02;1300;2343.199;
2020-01-02;1400;3386.857;
2020-01-02;1500;2554.925;
2020-01-02;1600;3136.352;
2020-01-02;1700;2232.449;
2020-01-02;1800;2462.567;
2020-01-02;1900;1115.103;
2020-01-02;2000;762.947;
2020-01-02;2100;231.155;
2020-01-02;2200;.482;
2020-01-02;2300;-3.421;
2020-01-03;0000;-3.54;
2020-01-03;0100;-3.54;
2020-01-03;0200;-3.515;
2020-01-03;0300;-3.517;
2020-01-03;0400;-2.601;
2020-01-03;0500;-3.218;
2020-01-03;0600;-3.069;
2020-01-03;0700;-2.41;
2020-01-03;0800;-2.319;
2020-01-03;0900;32.548;
2020-01-03;1000;216.295;
2020-01-03;1100;932.055;
2020-01-03;1200;1889.142;
2020-01-03;1300;2904.983;
2020-01-03;1400;3223.095;
2020-01-03;1500;2383.253;
2020-01-03;1600;2937.374;
2020-01-03;1700;3278.875;
2020-01-03;1800;2366.012;
2020-01-03;1900;1313.026;
2020-01-03;2000;1037.392;
2020-01-03;2100;129.222;
