Nome: JOAO PINHEIRO
Codigo Estacao: A553
Latitude: -17.78444444
Longitude: -46.11944443
Altitude: 877.05
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.533;
2020-01-01;0100;-3.54;
2020-01-01;0200;-3.42;
2020-01-01;0300;-3.54;
2020-01-01;0400;-3.535;
2020-01-01;0500;-3.089;
2020-01-01;0600;-3.505;
2020-01-01;0700;-3.325;
2020-01-01;0800;-3.413;
2020-01-01;0900;27.92;
2020-01-01;1000;434.612;
2020-01-01;1100;851.389;
2020-01-01;1200;927.738;
2020-01-01;1300;1981.077;
2020-01-01;1400;3200.855;
2020-01-01;1500;2587.543;
2020-01-01;1600;2534.03;
2020-01-01;1700;2788.135;
2020-01-01;1800;2184.095;
2020-01-01;1900;1827.034;
2020-01-01;2000;918.01;
2020-01-01;2100;389.142;
2020-01-01;2200;83.997;
2020-01-01;2300;-3.54;
2020-01-02;0000;-1.004;
2020-01-02;0100;-2.972;
2020-01-02;0200;-1.724;
2020-01-02;0300;-2.855;
2020-01-02;0400;-2.393;
2020-01-02;0500;-1.171;
2020-01-02;0600;-1.707;
2020-01-02;0700;-2.527;
2020-01-02;0800;-2.455;
2020-01-02;0900;29.787;
2020-01-02;1000;94.855;
2020-01-02;1100;291.938;
2020-01-02;1200;989.811;
2020-01-02;1300;1523.041;
2020-01-02;1400;1744.122;
2020-01-02;1500;1494.255;
2020-01-02;1600;850.927;
2020-01-02;1700;1129.11;
2020-01-02;1800;721.818;
2020-01-02;1900;1125.075;
2020-01-02;2000;1176.415;
2020-01-02;2100;514.972;
2020-01-02;2200;77.314;
2020-01-02;2300;-2.601;
2020-01-03;0000;-1.131;
2020-01-03;0100;-2.363;
2020-01-03;0200;-2.541;
2020-01-03;0300;-2.474;
2020-01-03;0400;-2.161;
2020-01-03;0500;-1.631;
2020-01-03;0600;-2.448;
2020-01-03;0700;-3.04;
2020-01-03;0800;-1.473;
2020-01-03;0900;22.544;
2020-01-03;1000;441.568;
2020-01-03;1100;667.233;
2020-01-03;1200;1726.699;
2020-01-03;1300;1972.099;
2020-01-03;1400;2060.346;
2020-01-03;1500;1520.228;
2020-01-03;1600;3066.577;
2020-01-03;1700;2104.72;
2020-01-03;1800;2121.526;
2020-01-03;1900;862.345;
2020-01-03;2000;1100.433;
2020-01-03;2100;671.776;
2020-01-03;2200;46.999;
2020-01-03;2300;-3.54;
2020-01-04;0000;-3.538;
2020-01-04;0100;-3.259;
2020-01-04;0200;-3.372;
2020-01-04;0300;-2.523;
2020-01-04;0400;-.99;
2020-01-04;0500;-.973;
2020-01-04;0600;-.669;
2020-01-04;0700;-.435;
2020-01-04;0800;-.839;
2020-01-04;0900;12.142;
2020-01-04;1000;105.901;
2020-01-04;1100;75.583;
2020-01-04;1200;292.03;
2020-01-04;1300;118.552;
2020-01-04;1400;852.501;
2020-01-04;1500;2230.38;
2020-01-04;1600;2716.942;
2020-01-04;1700;3071.762;
2020-01-04;1800;2372.149;
2020-01-04;1900;2179.73;
2020-01-04;2000;1226.441;
2020-01-04;2100;457.812;
2020-01-04;2200;47.772;
2020-01-04;2300;-3.54;
2020-01-05;0000;-3.508;
2020-01-05;0100;-1.804;
2020-01-05;0200;-1.298;
2020-01-05;0300;-2.772;
2020-01-05;0400;-1.78;
2020-01-05;0500;-1.151;
2020-01-05;0600;-.086;
2020-01-05;0700;-.386;
2020-01-05;0800;.032;
2020-01-05;0900;12.05;
2020-01-05;1000;201.672;
2020-01-05;1100;719.783;
2020-01-05;1200;2338.974;
2020-01-05;1300;2672.217;
2020-01-05;1400;2357.093;
2020-01-05;1500;1556.066;
2020-01-05;1600;3426.739;
2020-01-05;1700;1776.714;
2020-01-05;1800;1481.256;
2020-01-05;1900;1499.813;
2020-01-05;2000;276.66;
2020-01-05;2100;335.95;
2020-01-05;2200;80.865;
2020-01-05;2300;1.136;
2020-01-06;0000;1.034;
2020-01-06;0100;2.019;
2020-01-06;0200;-1.723;
2020-01-06;0300;-2.116;
2020-01-06;0400;-1.156;
2020-01-06;0500;-1.798;
2020-01-06;0600;-2.578;
2020-01-06;0700;-1.616;
2020-01-06;0800;-2.528;
2020-01-06;0900;16.631;
2020-01-06;1000;153.667;
2020-01-06;1100;395.539;
2020-01-06;1200;860.054;
2020-01-06;1300;1557.141;
2020-01-06;1400;1774.9;
2020-01-06;1500;2160.488;
2020-01-06;1600;3380.101;
2020-01-06;1700;3093.705;
2020-01-06;1800;2112.318;
2020-01-06;1900;2548.355;
2020-01-06;2000;850.282;
2020-01-06;2100;516.316;
2020-01-06;2200;25.311;
2020-01-06;2300;-3.54;
2020-01-07;0000;-3.54;
2020-01-07;0100;-2.432;
2020-01-07;0200;-3.144;
2020-01-07;0300;-3.54;
2020-01-07;0400;-3.54;
2020-01-07;0500;-3.167;
2020-01-07;0600;-1.287;
2020-01-07;0700;-.102;
2020-01-07;0800;-1.749;
2020-01-07;0900;18.46;
2020-01-07;1000;285.16;
2020-01-07;1100;984.399;
2020-01-07;1200;2200.574;
2020-01-07;1300;1901.467;
2020-01-07;1400;3220.711;
2020-01-07;1500;3508.657;
2020-01-07;1600;2628.788;
2020-01-07;1700;2746.568;
2020-01-07;1800;3356.766;
2020-01-07;1900;2076.224;
2020-01-07;2000;1354.276;
2020-01-07;2100;536.569;
2020-01-07;2200;56.972;
2020-01-07;2300;-3.54;
2020-01-08;0000;-3.54;
2020-01-08;0100;-3.538;
2020-01-08;0200;-3.54;
2020-01-08;0300;-3.54;
2020-01-08;0400;-3.54;
2020-01-08;0500;-3.54;
2020-01-08;0600;-3.54;
2020-01-08;0700;-3.54;
2020-01-08;0800;-3.54;
2020-01-08;0900;8.97;
2020-01-08;1000;349.349;
2020-01-08;1100;1084.099;
2020-01-08;1200;1762.75;
2020-01-08;1300;2030.46;
2020-01-08;1400;2823.682;
2020-01-08;1500;3443.767;
2020-01-08;1600;3291.379;
2020-01-08;1700;3675.756;
2020-01-08;1800;3186.881;
2020-01-08;1900;1941.645;
2020-01-08;2000;733.006;
2020-01-08;2100;717.974;
2020-01-08;2200;87.383;
2020-01-08;2300;-3.54;
2020-01-09;0000;-3.54;
2020-01-09;0100;-3.54;
2020-01-09;0200;-3.54;
2020-01-09;0300;-3.54;
2020-01-09;0400;-3.54;
2020-01-09;0500;-3.54;
2020-01-09;0600;-3.54;
2020-01-09;0700;-3.54;
2020-01-09;0800;-3.54;
2020-01-09;0900;11.308;
2020-01-09;1000;461.397;
2020-01-09;1100;1463.357;
2020-01-09;1200;2260.657;
2020-01-09;1300;3010.545;
2020-01-09;1400;2750.469;
2020-01-09;1500;2868.242;
2020-01-09;1600;1939.983;
2020-01-09;1700;2367.244;
2020-01-09;1800;1898.057;
2020-01-09;1900;1096.214;
2020-01-09;2000;1689.611;
2020-01-09;2100;967.955;
2020-01-09;2200;106.927;
2020-01-09;2300;-3.54;
2020-01-10;0000;-3.54;
2020-01-10;0100;-3.54;
2020-01-10;0200;-3.54;
2020-01-10;0300;-3.54;
2020-01-10;0400;-3.54;
2020-01-10;0500;-3.54;
2020-01-10;0600;-3.54;
2020-01-10;0700;-3.51;
2020-01-10;0800;-3.393;
2020-01-10;0900;29.056;
2020-01-10;1000;354.151;
2020-01-10;1100;1253.744;
2020-01-10;1200;2134.679;
2020-01-10;1300;2957.666;
2020-01-10;1400;3492.694;
2020-01-10;1500;3814.837;
2020-01-10;1600;3530.97;
2020-01-10;1700;3049.399;
2020-01-10;1800;3520.45;
2020-01-10;1900;1114.118;
2020-01-10;2000;802.594;
2020-01-10;2100;425.242;
2020-01-10;2200;76.422;
2020-01-10;2300;-3.54;
2020-01-11;0000;-3.54;
2020-01-11;0100;-3.54;
2020-01-11;0200;-3.54;
2020-01-11;0300;-3.54;
2020-01-11;0400;-3.54;
2020-01-11;0500;-3.54;
2020-01-11;0600;-3.54;
2020-01-11;0700;-3.54;
2020-01-11;0800;-3.54;
2020-01-11;0900;27.521;
2020-01-11;1000;559.448;
2020-01-11;1100;1446.511;
2020-01-11;1200;2298.898;
2020-01-11;1300;3022.633;
2020-01-11;1400;3535.488;
2020-01-11;1500;3804.08;
2020-01-11;1600;3900.307;
2020-01-11;1700;3728.514;
2020-01-11;1800;3271.201;
2020-01-11;1900;2633.339;
2020-01-11;2000;1256.052;
2020-01-11;2100;867.155;
2020-01-11;2200;112.343;
2020-01-11;2300;-3.54;
2020-01-12;0000;-3.54;
2020-01-12;0100;-3.54;
2020-01-12;0200;-3.54;
2020-01-12;0300;-3.54;
2020-01-12;0400;-3.54;
2020-01-12;0500;-3.54;
2020-01-12;0600;-3.54;
2020-01-12;0700;-3.54;
2020-01-12;0800;-3.54;
2020-01-12;0900;32.717;
2020-01-12;1000;659.276;
2020-01-12;1100;1437.271;
2020-01-12;1200;2360.785;
2020-01-12;1300;3086.063;
2020-01-12;1400;3502.327;
2020-01-12;1500;3867.357;
2020-01-12;1600;3921.513;
2020-01-12;1700;3753.539;
2020-01-12;1800;3308.074;
2020-01-12;1900;2655.581;
2020-01-12;2000;1827.15;
2020-01-12;2100;897.485;
2020-01-12;2200;130.233;
2020-01-12;2300;-3.54;
2020-01-13;0000;-3.54;
2020-01-13;0100;-3.54;
2020-01-13;0200;-3.54;
2020-01-13;0300;-3.54;
2020-01-13;0400;-3.54;
2020-01-13;0500;-3.54;
2020-01-13;0600;-3.54;
2020-01-13;0700;-3.54;
2020-01-13;0800;-3.54;
2020-01-13;0900;17.571;
2020-01-13;1000;536.464;
2020-01-13;1100;1444.413;
2020-01-13;1200;2303.204;
2020-01-13;1300;3022.198;
2020-01-13;1400;3606.091;
2020-01-13;1500;3134.807;
2020-01-13;1600;3195.775;
2020-01-13;1700;2514.312;
2020-01-13;1800;2730.767;
2020-01-13;1900;2706.077;
2020-01-13;2000;2034.382;
2020-01-13;2100;793.638;
2020-01-13;2200;154.103;
2020-01-13;2300;-3.54;
2020-01-14;0000;-3.54;
2020-01-14;0100;-3.54;
2020-01-14;0200;-3.54;
2020-01-14;0300;-3.54;
2020-01-14;0400;-3.394;
2020-01-14;0500;-3.54;
2020-01-14;0600;-3.54;
2020-01-14;0700;-3.54;
2020-01-14;0800;-3.538;
2020-01-14;0900;27.319;
2020-01-14;1000;385.109;
2020-01-14;1100;1376.71;
2020-01-14;1200;2259.059;
2020-01-14;1300;2961.218;
2020-01-14;1400;3518.51;
2020-01-14;1500;3493.466;
2020-01-14;1600;3946.44;
2020-01-14;1700;3934.979;
2020-01-14;1800;3340.368;
2020-01-14;1900;2664.338;
2020-01-14;2000;809.928;
2020-01-14;2100;475.506;
2020-01-14;2200;33.146;
2020-01-14;2300;-3.54;
2020-01-15;0000;-3.54;
2020-01-15;0100;-3.54;
2020-01-15;0200;-3.54;
2020-01-15;0300;-3.54;
2020-01-15;0400;-3.522;
2020-01-15;0500;-3.54;
2020-01-15;0600;-3.54;
2020-01-15;0700;-3.54;
2020-01-15;0800;-3.54;
2020-01-15;0900;10.733;
2020-01-15;1000;439.648;
2020-01-15;1100;1196.241;
2020-01-15;1200;2068.641;
2020-01-15;1300;2672.112;
2020-01-15;1400;3015.512;
2020-01-15;1500;2737.912;
2020-01-15;1600;3434.673;
2020-01-15;1700;4087.297;
2020-01-15;1800;1408.129;
2020-01-15;1900;393.715;
2020-01-15;2000;755.454;
2020-01-15;2100;293.984;
2020-01-15;2200;45.565;
2020-01-15;2300;-3.54;
2020-01-16;0000;-3.54;
2020-01-16;0100;-3.54;
2020-01-16;0200;-3.54;
2020-01-16;0300;-3.54;
2020-01-16;0400;-3.528;
2020-01-16;0500;-3.54;
2020-01-16;0600;-3.54;
2020-01-16;0700;-3.54;
2020-01-16;0800;-3.54;
2020-01-16;0900;4.992;
2020-01-16;1000;414.164;
2020-01-16;1100;1133.874;
2020-01-16;1200;1498.377;
2020-01-16;1300;2292.298;
2020-01-16;1400;2664.314;
2020-01-16;1500;2953.596;
2020-01-16;1600;3668.916;
2020-01-16;1700;3352.822;
2020-01-16;1800;2422.512;
2020-01-16;1900;1533.849;
2020-01-16;2000;994.553;
2020-01-16;2100;558.004;
2020-01-16;2200;81.843;
2020-01-16;2300;-3.54;
2020-01-17;0000;-3.54;
2020-01-17;0100;-3.54;
2020-01-17;0200;-3.54;
2020-01-17;0300;-3.54;
2020-01-17;0400;-3.54;
2020-01-17;0500;-3.54;
2020-01-17;0600;-3.54;
2020-01-17;0700;-3.54;
2020-01-17;0800;-3.482;
2020-01-17;0900;4.982;
2020-01-17;1000;413.09;
2020-01-17;1100;804.162;
2020-01-17;1200;1478.964;
2020-01-17;1300;1891.884;
2020-01-17;1400;2311.928;
2020-01-17;1500;2426.396;
2020-01-17;1600;2556.861;
2020-01-17;1700;1436.083;
2020-01-17;1800;1434.736;
2020-01-17;1900;1090.726;
2020-01-17;2000;1047.816;
2020-01-17;2100;491.213;
2020-01-17;2200;52.951;
2020-01-17;2300;-3.54;
2020-01-18;0000;-3.54;
2020-01-18;0100;-3.54;
2020-01-18;0200;-3.496;
2020-01-18;0300;-3.54;
2020-01-18;0400;-3.54;
2020-01-18;0500;-3.54;
2020-01-18;0600;-3.54;
2020-01-18;0700;-3.54;
2020-01-18;0800;-3.54;
2020-01-18;0900;4.698;
2020-01-18;1000;224.707;
2020-01-18;1100;1132.284;
2020-01-18;1200;1892.286;
2020-01-18;1300;1426.587;
2020-01-18;1400;2313.258;
2020-01-18;1500;2515.016;
2020-01-18;1600;2986.958;
2020-01-18;1700;3555.244;
2020-01-18;1800;2756.146;
2020-01-18;1900;2910.243;
2020-01-18;2000;1916.804;
2020-01-18;2100;703.943;
