Nome: CORONEL PACHECO
Codigo Estacao: A557
Latitude: -21.54666666
Longitude: -43.26111111
Altitude: 411.14
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;0;961.108333;21.229167;34.9;27.170833;21.8;72.791667;40;7.7;1.491667;
2020-01-02;.4;960.8;22.445833;34;25.616667;23.4;83.958333;45;12.3;1.1625;
2020-01-03;17.2;961.845833;22.5625;30;25.170833;23.2;86.041667;61;5.2;1.25;
2020-01-04;10.4;960.8625;22.7;30;25.758333;23.3;83.833333;60;3.9;.995833;
2020-01-05;10.2;960.304167;23.166667;32.6;26.341667;23.5;83.583333;57;10.2;1.3125;
2020-01-06;9.8;961.4625;23.4625;33.4;27.308333;24.4;80.791667;54;8.5;1.308333;
2020-01-07;8.6;962.6625;23.595833;35.7;27.175;23.8;82.375;47;14.2;1.191667;
2020-01-08;17.8;963.641667;23.808333;34.6;26.729167;24.6;84.875;47;10.9;1.075;
2020-01-09;7.6;963.695833;22.8;33.2;26.816667;23.6;79.833333;52;7.1;1.075;
2020-01-10;0;963.204167;23.8;36.4;29.191667;24.8;74.875;43;7.1;1.483333;
2020-01-11;.4;962.804167;22.566667;36.4;28.845833;23.9;71.875;42;6.4;1.183333;
2020-01-12;0;963.679167;23.641667;36;28.079167;24.6;77.958333;48;9.2;1.175;
2020-01-13;.2;964.995833;23.545833;35;28.883333;25.5;74.916667;45;8.3;1.45;
2020-01-14;2.6;966.383333;22.9875;29.4;26.3375;25.2;82.208333;64;6.3;1.525;
2020-01-15;0;965.720833;20.583333;32.3;26.8;23.2;69.916667;46;7.5;1.4125;
2020-01-16;0;965.108333;23.166667;35.8;27.066667;22.7;81.041667;50;12;1.016667;
2020-01-17;11.6;966.741667;22.7;30.8;26.658333;24.6;79.791667;59;7.9;1.304167;
2020-01-18;.2;969.391667;20.7375;30.1;25.779167;22.8;74.75;54;4.7;.9875;
2020-01-19;1.8;967.3625;21.383333;31.2;26.05;22.8;76.875;51;4.9;1.2125;
2020-01-20;7.4;964.654167;22.225;26.9;24.429167;23.6;87.541667;73;5.8;.9875;
2020-01-21;3.8;962.141667;21.304167;26.9;24.229167;22.5;84.125;67;4.4;.95;
2020-01-22;0;961.2;20.7125;31.8;25.825;21.8;75.708333;44;5.4;.845833;
2020-01-23;.2;960.275;22.104167;25.6;24.533333;23.8;86.458333;78;3.5;.958333;
2020-01-24;32.8;956.6625;22.6875;26.3;24.391667;23.5;90.458333;79;4.3;.841667;
2020-01-25;27.8;959.8625;20.854167;31.9;25.345833;20.8;78.333333;50;6.4;1.395833;
2020-01-26;1.2;963.333333;21.441667;31;25.870833;23.2;77.458333;56;6.3;1.458333;
2020-01-27;0;963.820833;22.125;33.9;26.6875;23;78.208333;47;11.8;1.491667;
2020-01-28;49.6;964.095833;22.395833;35.3;27.483333;22.6;75.833333;44;5.9;1.516667;
2020-01-29;17.4;965.958333;22.616667;33.7;26.183333;23;81.916667;50;13.1;1.395833;
2020-01-30;10.2;965.991667;23.958333;35.5;27.341667;23.8;82.958333;50;12.3;.966667;
2020-01-31;8.4;965.483333;23.454167;36.7;27.716667;24.8;79.958333;42;15.3;1.420833;
2020-02-01;4.4;965.033333;23.354167;34.9;26.7375;23.8;82.75;49;18.3;1.104167;
2020-02-02;21.8;965.6375;22.666667;34.8;27.191667;23.1;78.125;42;12.5;1.333333;
2020-02-03;2.2;965.566667;23.583333;33.1;26.9;23.8;83.041667;56;5;1.1375;
2020-02-04;1;965.15;23.85;32.8;28.2375;25;78.458333;54;5.1;1.375;
2020-02-05;31;965.504167;23.5125;30.5;26.383333;23.7;84.666667;65;11.6;1.475;
2020-02-06;11;967.104167;21.829167;27.7;24.125;21.7;87.333333;72;7.6;1.1375;
2020-02-07;7;965.679167;21.5125;32.1;25.620833;22.5;79.75;48;11.5;1.441667;
2020-02-08;.2;965.145833;21.683333;33.6;27.341667;23.7;74;40;7.2;1.329167;
2020-02-09;0;965.229167;21.679167;34;27.795833;23.6;72.083333;39;14;1.6875;
2020-02-10;0;965.495833;22.729167;34.8;27.029167;23.9;79.458333;40;10.2;1.2375;
2020-02-11;16.2;966.095833;22.5625;26.2;24.891667;24;87.208333;75;8.5;.8625;
2020-02-12;7.8;965.979167;21.933333;26.1;24.1625;22.6;87.5;76;4.3;1.15;
2020-02-13;72.2;965.616667;21.816667;26.1;23.825;22.6;88.541667;73;8.9;1.0875;
2020-02-14;1.4;965.833333;21.708333;32.9;26.525;23;76.875;48;6;1.045833;
2020-02-15;12.6;965.420833;22.8125;33.6;27.2375;23.8;78.166667;51;7.7;1.391667;
2020-02-16;1;964.866667;23.029167;33.5;26.7625;23.1;81.333333;49;7.8;1.058333;
2020-02-17;2;965.254167;22.679167;33.6;27.866667;24.5;75.541667;48;8.6;1.604167;
2020-02-18;.2;965.995833;21.995833;34.6;27.991667;22.8;72.791667;41;7.6;1.458333;
2020-02-19;.2;963.941667;21.95;33.7;27.291667;22.5;75.375;45;6.6;1.520833;
2020-02-20;0;962.829167;21.945833;35.1;27.933333;22.2;72.458333;43;7;1.5125;
2020-02-21;0;963.120833;22.658333;33.9;26.404167;23.8;81.208333;51;11.4;1.366667;
2020-02-22;17.6;964.383333;22.233333;30.9;26.266667;23.9;79.458333;57;9;1.158333;
2020-02-23;2.8;968.554167;19.929167;26.7;24.329167;22.1;76.833333;59;4.7;1.25;
2020-02-24;.2;968.220833;19.975;26.2;23.85;22.1;79.416667;61;4.8;1.241667;
2020-02-25;5.8;965.608333;23.066667;31.6;25.833333;23.5;85.291667;59;6.8;.966667;
2020-02-26;9.8;961.854167;23.875;35;27.6375;24.6;81.833333;43;14.6;1.154167;
2020-02-27;9.4;962.6125;21.975;31.6;26.566667;24.1;77.416667;49;8.8;1.666667;
2020-02-28;45.2;967.716667;21.395833;24.8;23.216667;21.9;89.75;82;7.3;.945833;
2020-02-29;15.4;967.5625;22.370833;27.1;24.658333;23.2;87.333333;74;5.4;1.095833;
2020-03-01;23.2;966.270833;22.429167;29.5;25.458333;24;84.041667;57;11.2;1.2625;
2020-03-02;24;967.55;20.8625;23.9;22.4625;21.3;90.625;81;11.6;1.125;
2020-03-03;20.4;965.141667;21.779167;26.1;23.708333;21.9;89.125;75;9.2;1.3;
2020-03-04;53.8;964.795833;22.483333;30.8;25.375;23.1;84.541667;60;6.5;1.079167;
2020-03-05;5.2;966.095833;20.15;30.9;25.620833;22.4;73.166667;50;7.1;1.304167;
2020-03-06;0;966.470833;18.2375;30.9;24.454167;19.7;70.666667;44;6;1.420833;
2020-03-07;.2;965.404167;19.475;29.9;25.183333;22;71.75;47;5.8;1.3625;
2020-03-08;0;966.1625;19.683333;31.4;25.529167;22.2;71.958333;45;5.5;1.145833;
2020-03-09;18.2;967.645833;20.9;31.7;25.370833;21.7;77.958333;45;6.5;1.266667;
2020-03-10;0;967.675;20.383333;32.4;25.925;21.8;74;42;4.6;1.066667;
2020-03-11;0;966.908333;20.458333;31.5;25.983333;23.2;73.541667;46;5;1.320833;
2020-03-12;0;967.6125;20.3875;33;26.095833;21.1;72.625;44;6.3;1.4375;
2020-03-13;0;967.704167;21.95;32.6;26.920833;23.1;76.125;48;7;1.166667;
2020-03-14;.2;968.070833;22.679167;33.3;27.554167;24.7;76.5;45;6;1.095833;
2020-03-15;0;967.295833;22.1625;33.2;27.1125;23.8;76.458333;45;5.3;1.029167;
2020-03-16;.2;965.870833;21.291667;34.2;26.916667;21;73.833333;45;6.3;1.5625;
2020-03-17;0;965.870833;21.9125;34.1;26.216667;22.2;78.916667;45;12.5;1.283333;
2020-03-18;1.4;965.9375;22.129167;32.4;26.558333;22.5;78.208333;52;5.3;1.441667;
2020-03-19;0;963.025;22.741667;34.4;27.108333;24;79.083333;48;12.5;1.304167;
2020-03-20;21.6;960.145833;23.225;33.8;26.429167;23.8;83.708333;52;12.2;1.145833;
2020-03-21;32;962.175;22.620833;29;25.720833;24.5;83.458333;63;6.8;.904167;
2020-03-22;.2;966.804167;20.958333;28.9;24.945833;22.3;79.541667;56;4.3;.920833;
2020-03-23;.2;969.304167;19.266667;30.1;24.6375;21.7;74.083333;44;5.9;1.2875;
2020-03-24;.4;969.191667;17.983333;29.8;24.1375;19.3;72.291667;33;6.3;1.283333;
2020-03-25;18.8;967.733333;18.441667;30.4;24.0375;20.7;73.875;37;5;1.258333;
2020-03-26;0;967.395833;17.758333;30.6;23.370833;19.3;74.291667;33;5.7;1.358333;
2020-03-27;.2;967.6125;18.616667;30;23.641667;19.1;75.958333;44;6.1;1.241667;
2020-03-28;0;968.616667;19.820833;30.1;24.6125;20.5;76.416667;51;4.4;1.183333;
2020-03-29;0;968.770833;21.1625;31.8;25.5;21;78.666667;50;4.2;1.120833;
2020-03-30;0;967.208333;22.920833;31.6;26.6375;23.8;81.166667;52;4.4;.858333;
2020-03-31;5.2;965.695833;22.995833;32.1;26.316667;24.1;83.041667;51;8.4;1.245833;
2020-04-01;25.8;966.404167;22.758333;29.4;25.729167;24;84.25;63;6.4;1.125;
