Nome: PATOS DE MINAS
Codigo Estacao: A562
Latitude: -18.52055554
Longitude: -46.44055555
Altitude: 950
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;22.4;905.1375;18.95;29.4;23.616667;19;76.333333;49;7.8;1.5125;
2020-01-02;.6;905.454167;18.85;27.2;21.4;19.3;86.125;60;10.3;2.429167;
2020-01-03;27;905.795833;19.666667;27.9;22.033333;19.9;87;61;12;1.958333;
2020-01-04;9.8;904.908333;19.35;26.3;21.8625;19.4;86.208333;67;10.2;2.65;
2020-01-05;.4;904.8125;19.329167;28.3;22.004167;19.2;85.5;59;8.3;2.470833;
2020-01-06;.6;905.95;19.625;29.1;22.9375;19.5;82.625;56;7.3;2.295833;
2020-01-07;.2;907.3125;20.254167;30.2;24.025;20.3;80.5;53;8.3;1.745833;
2020-01-08;0;907.616667;20.4125;28.7;24.345833;20.5;79.5;59;7.8;1.4875;
2020-01-09;0;907.8;19.983333;31.3;24.120833;20.1;79.166667;51;9.8;1.266667;
2020-01-10;0;907.475;19.575;32.4;24.9375;20.1;74;41;8.3;1.608333;
2020-01-11;0;907.258333;18.729167;32.6;25.683333;20.5;67.791667;40;9;1.5375;
2020-01-12;0;908.1375;15.295833;33;26.233333;20.1;54.333333;24;6.9;1.116667;
2020-01-13;0;907.895833;15.095833;33.6;26.508333;19.2;52.25;25;5.9;1.220833;
2020-01-14;0;907.858333;18.1875;32.8;26.133333;20;63.333333;37;8.9;1.508333;
2020-01-15;.2;907.966667;19.8625;29.5;24.079167;20.5;77.791667;57;8.4;1.0125;
2020-01-16;0;909.204167;19.329167;31.7;24.354167;20.4;74.958333;49;9.8;1.341667;
2020-01-17;0;909.6375;19.1;27.3;22.825;20;79.75;63;9.5;1.475;
2020-01-18;.2;909.9375;19.929167;30.5;24.475;20.3;77;53;11.1;1.975;
2020-01-19;0;908.6875;19.525;30.7;23.870833;19.7;78.333333;49;8.4;1.504167;
2020-01-20;0;906.45;19.791667;29;23.433333;19.9;81.291667;59;7.7;1.766667;
2020-01-21;1.6;903.804167;19.3625;30.5;22.6625;19.2;82.833333;50;9.2;1.575;
2020-01-22;10;903.229167;19.1625;28.9;22.266667;19.2;83.625;55;7.9;1.620833;
2020-01-23;36.6;902.683333;19.791667;24.2;20.766667;19.1;94.25;82;7.9;2.225;
2020-01-24;49.4;901.758333;20.045833;24.8;21.533333;19.9;91.375;79;11.5;3.970833;
2020-01-25;33.6;904.391667;19.275;22.9;20.629167;18.6;92;80;14.2;1.975;
2020-01-26;4.2;906.295833;18.966667;29.2;23.283333;20;79;45;4.9;1.3375;
2020-01-27;.2;906.775;19.545833;31.4;24.25;20.1;77.791667;40;11.9;1.833333;
2020-01-28;5.8;907.816667;19.654167;29.5;23.1625;20.2;81.875;54;11.5;2.533333;
2020-01-29;.2;909.8375;19.541667;27.9;21.745833;19.3;87.875;62;10;1.55;
2020-01-30;17.8;910.141667;20.079167;30.8;23.954167;19.8;80.5;50;6.7;.941667;
2020-01-31;.4;909.7875;20.083333;31.5;23.525;19.4;82.041667;52;12.8;1.025;
2020-02-01;56;909.520833;20.008333;29.9;23.354167;19.2;82.375;54;9.2;1.1;
2020-02-02;1;908.975;19.070833;31.9;23.679167;18.8;76.708333;46;16.9;1.1;
2020-02-03;4.4;908.308333;19.520833;31.3;24.370833;18.8;75.958333;47;10.1;1.758333;
2020-02-04;.8;908.558333;19.754167;29.6;22.85;19.1;83.666667;55;10.7;1.4625;
2020-02-05;28.8;908.566667;18.891667;28.6;21.641667;18.5;85.125;55;10.7;1.254167;
2020-02-06;0;908.795833;18.875;26;20.5375;19.6;90.541667;67;11.1;1.670833;
2020-02-07;34.4;907.479167;18.641667;23.3;20.308333;17.6;90.375;76;12.8;2.3625;
2020-02-08;14.4;908.120833;17.741667;24.4;19.683333;17.8;88.791667;72;13.7;3.9875;
2020-02-09;12.2;909.795833;17.841667;25.8;20.645833;17.8;84.833333;60;13.8;4.283333;
2020-02-10;2.4;910.616667;18.854167;27.7;21.375;18.3;86.083333;59;12.5;2.604167;
2020-02-11;1;909.220833;19.2625;28.9;22.883333;19.3;80.958333;55;7.7;1.4625;
2020-02-12;13;908.25;19.029167;27.9;22.341667;19;82.791667;56;8.3;1.929167;
2020-02-13;17.6;908.3125;18.641667;27.9;21.975;18.9;82.458333;58;12.9;2.554167;
2020-02-14;5.2;908.241667;19.5125;31.3;23.2625;18.9;81.625;47;6.7;1.466667;
2020-02-15;9.2;908.2375;19.895833;29.3;23.0875;19.8;83.25;56;9.6;1.945833;
2020-02-16;2.4;908.058333;20.145833;29.1;23.329167;20.7;82.708333;58;8.6;1.554167;
2020-02-17;4.2;908.325;19.654167;28.5;22.829167;20.4;83.041667;59;9.4;2.325;
2020-02-18;.6;908.954167;19.029167;29.4;23.083333;19.8;79.833333;51;8.8;1.620833;
2020-02-19;2.6;907.116667;18.495833;30.5;23.8625;19.3;74.041667;43;7.6;1.983333;
2020-02-20;0;906.654167;17.8625;30.6;24.370833;20.4;68.125;47;8.5;2.233333;
2020-02-21;0;907.408333;19.0875;30.4;23.8;20.3;76;47;9.4;1.933333;
2020-02-22;4.8;908.329167;19.579167;28.8;21.933333;19;87.333333;56;12;1.508333;
2020-02-23;28.8;909.25;19.516667;28.4;22.266667;19.7;85.166667;60;8.8;1.120833;
2020-02-24;10.2;909.104167;19.9;27.1;21.8125;19.4;89.458333;67;9.3;2.104167;
2020-02-25;35.8;908.825;19.6375;27.9;22.466667;19.3;84.958333;64;9;2.020833;
2020-02-26;1;907.295833;20.066667;29;23.229167;20.4;83.083333;58;8.6;1.733333;
2020-02-27;0;906.85;19.4625;29.8;22.716667;18.8;82.833333;54;8.3;1.529167;
2020-02-28;3.2;908.958333;20.3125;28.8;22.345833;20.5;89;54;8.5;.9375;
2020-02-29;11.4;910.066667;19.5;24.7;21.341667;19.4;89.541667;73;8;1.55;
2020-03-01;1.4;908.741667;19.179167;28.8;21.820833;19.1;85.875;53;9.5;1.6625;
2020-03-02;61.8;907.6625;18.079167;23.2;19.570833;18;91.125;76;8.8;1.5125;
2020-03-03;.8;907.204167;18.495833;27.4;21.6625;18;83.166667;59;8.6;1.879167;
2020-03-04;10.4;907.620833;18.904167;30.2;23.2875;18.8;78.416667;47;7;1.483333;
2020-03-05;null;null;null;null;null;null;null;65;3;null;
2020-03-06;null;null;null;null;null;null;null;null;null;null;
2020-03-07;null;null;null;null;null;null;null;null;null;null;
2020-03-08;null;null;null;null;null;null;null;null;null;null;
2020-03-09;null;null;null;null;null;null;null;null;null;null;
2020-03-10;null;null;null;null;null;null;null;null;null;null;
2020-03-11;null;null;null;null;null;null;null;null;null;null;
2020-03-12;null;null;null;null;null;null;null;null;null;null;
2020-03-13;null;null;null;null;null;null;null;null;null;null;
2020-03-14;null;null;null;null;null;null;null;null;null;null;
2020-03-15;null;null;null;null;null;null;null;null;null;null;
2020-03-16;null;null;null;null;null;null;null;null;null;null;
2020-03-17;null;null;null;null;null;null;null;null;null;null;
2020-03-18;null;null;null;null;null;null;null;null;null;null;
2020-03-19;null;null;null;null;null;null;null;null;null;null;
2020-03-20;null;null;null;null;null;null;null;null;null;null;
2020-03-21;null;null;null;null;null;null;null;null;null;null;
2020-03-22;null;null;null;null;null;null;null;null;null;null;
2020-03-23;null;null;null;null;null;null;null;null;null;null;
2020-03-24;null;null;null;null;null;null;null;null;null;null;
2020-03-25;null;null;null;null;null;null;null;null;null;null;
2020-03-26;null;null;null;null;null;null;null;null;null;null;
2020-03-27;null;null;null;null;null;null;null;null;null;null;
2020-03-28;null;null;null;null;null;null;null;null;null;null;
2020-03-29;null;null;null;null;null;null;null;null;null;null;
2020-03-30;null;null;null;null;null;null;null;null;null;null;
2020-03-31;null;null;null;null;null;null;null;null;null;null;
2020-04-01;null;null;null;null;null;null;null;null;null;null;
2020-04-02;null;null;null;null;null;null;null;null;null;null;
2020-04-03;null;null;null;null;null;null;null;null;null;null;
2020-04-04;null;null;null;null;null;null;null;null;null;null;
2020-04-05;null;null;null;null;null;null;null;null;null;null;
2020-04-06;null;null;null;null;null;null;null;null;null;null;
2020-04-07;null;null;null;null;null;null;null;null;null;null;
2020-04-08;null;null;null;null;null;null;null;null;null;null;
2020-04-09;null;null;null;null;null;null;null;null;null;null;
2020-04-10;null;null;null;null;null;null;null;null;null;null;
2020-04-11;null;null;null;null;null;null;null;null;null;null;
2020-04-12;null;null;null;null;null;null;null;null;null;null;
2020-04-13;null;null;null;null;null;null;null;null;null;null;
2020-04-14;null;null;null;null;null;null;null;null;null;null;
2020-04-15;null;null;null;null;null;null;null;null;null;null;
2020-04-16;null;null;null;null;null;null;null;null;null;null;
2020-04-17;null;null;null;null;null;null;null;null;null;null;
2020-04-18;null;null;null;null;null;null;null;null;null;null;
2020-04-19;null;null;null;null;null;null;null;null;null;null;
2020-04-20;null;null;null;null;null;null;null;null;null;null;
2020-04-21;null;null;null;null;null;null;null;null;null;null;
2020-04-22;null;null;null;null;null;null;null;null;null;null;
