Nome: ARACUAI
Codigo Estacao: A566
Latitude: -16.84888888
Longitude: -42.03527777
Altitude: 308
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.6;
2020-01-01;0100;-3.6;
2020-01-01;0200;-3.6;
2020-01-01;0300;-3.6;
2020-01-01;0400;-3.6;
2020-01-01;0500;-3.6;
2020-01-01;0600;-3.553;
2020-01-01;0700;-3.6;
2020-01-01;0800;-3.6;
2020-01-01;0900;68.395;
2020-01-01;1000;623.588;
2020-01-01;1100;1784.52;
2020-01-01;1200;2766.025;
2020-01-01;1300;2688.097;
2020-01-01;1400;3122.731;
2020-01-01;1500;3762.905;
2020-01-01;1600;4085.359;
2020-01-01;1700;2813.52;
2020-01-01;1800;2985.48;
2020-01-01;1900;2489.202;
2020-01-01;2000;1326.868;
2020-01-01;2100;135.357;
2020-01-01;2200;-2.16;
2020-01-01;2300;-3.391;
2020-01-02;0000;-3.049;
2020-01-02;0100;-3.327;
2020-01-02;0200;-3.483;
2020-01-02;0300;-3.591;
2020-01-02;0400;-3.428;
2020-01-02;0500;-3.241;
2020-01-02;0600;-2.419;
2020-01-02;0700;-3.527;
2020-01-02;0800;-3.583;
2020-01-02;0900;34.014;
2020-01-02;1000;634.845;
2020-01-02;1100;1839.447;
2020-01-02;1200;1999.893;
2020-01-02;1300;1747.316;
2020-01-02;1400;2482.244;
2020-01-02;1500;1898.76;
2020-01-02;1600;2502.198;
2020-01-02;1700;2856.11;
2020-01-02;1800;1257.713;
2020-01-02;1900;1310.536;
2020-01-02;2000;965.523;
2020-01-02;2100;452.383;
2020-01-02;2200;21.693;
2020-01-02;2300;-3.6;
2020-01-03;0000;-3.6;
2020-01-03;0100;-3.6;
2020-01-03;0200;-3.6;
2020-01-03;0300;-3.6;
2020-01-03;0400;-1.641;
2020-01-03;0500;-2.293;
2020-01-03;0600;-1.49;
2020-01-03;0700;-1.795;
2020-01-03;0800;-1.556;
2020-01-03;0900;21.275;
2020-01-03;1000;238.457;
2020-01-03;1100;614.709;
2020-01-03;1200;1394.665;
2020-01-03;1300;2698.981;
2020-01-03;1400;3342.37;
2020-01-03;1500;3081.981;
2020-01-03;1600;2884.875;
2020-01-03;1700;497.193;
2020-01-03;1800;451.022;
2020-01-03;1900;1020.906;
2020-01-03;2000;489.943;
2020-01-03;2100;321.137;
2020-01-03;2200;18.719;
2020-01-03;2300;.646;
2020-01-04;0000;-1.209;
2020-01-04;0100;-.86;
2020-01-04;0200;.23;
2020-01-04;0300;-1.771;
2020-01-04;0400;-1.602;
2020-01-04;0500;-2.087;
2020-01-04;0600;-2.116;
2020-01-04;0700;-2.66;
2020-01-04;0800;-2.559;
2020-01-04;0900;128.389;
2020-01-04;1000;452.155;
