Nome: UBERABA
Codigo Estacao: A568
Latitude: -19.71
Longitude: -47.96194444
Altitude: 778
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;.2;922.616667;20.416667;32.4;24.8375;20.9;77.666667;46;10.5;2.075;
2020-01-02;25;922.745833;20.375;29.7;22.7625;19.8;87.375;59;12.1;1.891667;
2020-01-03;15.8;923.4125;20.920833;28.9;22.516667;20.2;91.583333;59;18.6;2.116667;
2020-01-04;13.8;922.108333;20.675;30.1;23.129167;20;87.458333;56;13.7;2.241667;
2020-01-05;0;921.8375;20.491667;28.6;22.533333;19.4;88.583333;62;7.8;1.941667;
2020-01-06;12.4;923.241667;20.620833;30.3;23.6;19.3;84.916667;54;9.5;2.225;
2020-01-07;0;924.779167;21.570833;31.3;24.9375;21.8;83.166667;52;8.1;1.95;
2020-01-08;16.6;925.504167;21.279167;30.1;22.9875;20.5;90.875;59;9.2;1.775;
2020-01-09;4.6;926.179167;21.8375;30;23.208333;20.7;92.791667;62;8.5;1.341667;
2020-01-10;23.2;925.908333;21.391667;30.5;23.308333;20.5;90.208333;58;12.5;1.475;
2020-01-11;17.8;925.05;21.75;31.6;24.616667;20.7;85.75;49;7.6;1.395833;
2020-01-12;0;926.045833;21.3375;32.3;26.0125;21.5;78.625;45;6.8;1.55;
2020-01-13;0;926.391667;21.1625;32.6;24.866667;20.4;81.666667;46;7.7;1.2625;
2020-01-14;4.2;925.966667;19.829167;33.5;25.995833;19.5;73.125;37;7.3;1.629167;
2020-01-15;.2;925.370833;20.95;32.8;26.433333;21.8;73.583333;43;8;1.954167;
2020-01-16;0;926.658333;21.2125;33.9;26.3875;22.2;75.291667;41;11.4;1.9375;
2020-01-17;38.4;927.570833;21.479167;29.8;24.529167;21.7;84.416667;52;10;2.341667;
2020-01-18;56.6;928.0625;21.208333;30.6;23.216667;20.5;90.166667;55;13.7;2.454167;
2020-01-19;37.8;926.370833;21.0625;31.2;23.708333;20.4;86.666667;52;12;2.433333;
2020-01-20;1.6;924.0375;21.441667;28.5;23.0875;20.4;90.708333;70;11.2;1.929167;
2020-01-21;21.6;921.3875;20.791667;31;24.191667;19.3;83.25;52;7.5;1.7625;
2020-01-22;2.8;920.575;20.933333;29.1;22.1875;19.5;93.333333;62;12;1.675;
2020-01-23;71;919.691667;21.225;27.7;22.291667;19.8;94.333333;66;8.2;1.5125;
2020-01-24;79;918.6125;21.329167;25.9;21.775;19.7;97.541667;82;14.6;2.65;
2020-01-25;63;922.158333;19.908333;29.5;23.433333;19.8;83;50;8.3;1.5875;
2020-01-26;0;924.3;18.070833;30.1;23.583333;17.6;75.25;39;7.5;1.454167;
2020-01-27;0;924.4625;19.491667;31;23.945833;18.4;78;47;7.5;1.941667;
2020-01-28;0;924.970833;20.495833;30.3;24.7375;20.5;78.958333;55;9.7;2.3125;
2020-01-29;.2;926.933333;20.820833;28.9;23.566667;19.3;85.5;60;10.8;2.145833;
2020-01-30;2.8;927.8875;21.041667;31.1;24.279167;21.5;83.125;54;8.7;1.7375;
2020-01-31;1.8;928.170833;21.0875;30.2;24.354167;20.7;83.5;56;10.4;1.4375;
2020-02-01;.2;927.604167;20.783333;31.6;23.775;20.6;85.583333;49;19.4;1.795833;
2020-02-02;23.4;927.091667;20.3;31.8;25.033333;19.5;77.708333;49;8.6;1.725;
2020-02-03;0;926.258333;21.426087;32.1;24.691667;20.8;85;46;11.3;1.854167;
2020-02-04;9.4;926.091667;21.175;31.4;23.741667;20.1;86.958333;53;10.4;1.754167;
2020-02-05;70;926.370833;20.916667;30.1;22.658333;20.1;91.083333;58;8.7;1.933333;
2020-02-06;5.8;926.033333;20.591667;30.6;23.275;20.5;86.958333;50;8.2;2.1375;
2020-02-07;47.4;924.620833;19.679167;25.6;21.85;19.6;88.166667;70;10.8;3.620833;
2020-02-08;0;924.75;18.929167;25.9;22.2875;19.9;81.875;68;12.1;4.595833;
2020-02-09;0;926.3875;20.070833;27;22.3625;20.8;87.291667;67;11.8;3.4875;
2020-02-10;2.2;927.570833;20.741667;26.5;22.829167;20.8;88.375;71;10.5;2.333333;
2020-02-11;8.2;927.020833;21.4875;27.4;22.675;20.5;93.25;71;8.3;1.725;
2020-02-12;6.6;925.7;21.2125;28.1;22.7;19.4;92;67;9.3;1.570833;
2020-02-13;5.4;925.9125;21.0875;29.4;23.783333;20.1;86.125;60;8.2;1.979167;
