Nome: UBERABA
Codigo Estacao: A568
Latitude: -19.71
Longitude: -47.96194444
Altitude: 778
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.6;
2020-01-01;0100;-3.191;
2020-01-01;0200;-3.336;
2020-01-01;0300;-3.15;
2020-01-01;0400;-3.139;
2020-01-01;0500;-3.221;
2020-01-01;0600;-2.996;
2020-01-01;0700;-3.427;
2020-01-01;0800;-3.393;
2020-01-01;0900;33.944;
2020-01-01;1000;349.124;
2020-01-01;1100;726.5;
2020-01-01;1200;2145.537;
2020-01-01;1300;2979.042;
2020-01-01;1400;3395.937;
2020-01-01;1500;3267.862;
2020-01-01;1600;3973.813;
2020-01-01;1700;3234.505;
2020-01-01;1800;3042.087;
2020-01-01;1900;1389.143;
2020-01-01;2000;614.559;
2020-01-01;2100;343.384;
2020-01-01;2200;34.369;
2020-01-01;2300;-2.806;
2020-01-02;0000;-3.286;
2020-01-02;0100;-3.049;
2020-01-02;0200;-3.551;
2020-01-02;0300;-3.316;
2020-01-02;0400;-3.103;
2020-01-02;0500;-3.581;
2020-01-02;0600;-3.6;
2020-01-02;0700;-3.6;
2020-01-02;0800;-3.591;
2020-01-02;0900;3.552;
2020-01-02;1000;95.679;
2020-01-02;1100;336.04;
2020-01-02;1200;666.967;
2020-01-02;1300;1095.595;
2020-01-02;1400;2055.96;
2020-01-02;1500;2928.826;
2020-01-02;1600;3084.368;
2020-01-02;1700;3439.283;
2020-01-02;1800;3044.837;
2020-01-02;1900;2043.555;
2020-01-02;2000;742.644;
2020-01-02;2100;157.359;
2020-01-02;2200;101.056;
2020-01-02;2300;-1.324;
2020-01-03;0000;-2.546;
2020-01-03;0100;-2.88;
2020-01-03;0200;-3.104;
2020-01-03;0300;-3.076;
2020-01-03;0400;-2.738;
2020-01-03;0500;-2.994;
2020-01-03;0600;-1.74;
2020-01-03;0700;-.831;
2020-01-03;0800;-1.23;
2020-01-03;0900;28.701;
2020-01-03;1000;297.069;
2020-01-03;1100;868.225;
2020-01-03;1200;1009.446;
2020-01-03;1300;2272.69;
2020-01-03;1400;2296.417;
2020-01-03;1500;3393.964;
2020-01-03;1600;3539.488;
2020-01-03;1700;3028.675;
2020-01-03;1800;1915.852;
2020-01-03;1900;41.372;
2020-01-03;2000;68.008;
2020-01-03;2100;375.303;
2020-01-03;2200;101.436;
2020-01-03;2300;-2.786;
2020-01-04;0000;-2.313;
2020-01-04;0100;-1.958;
2020-01-04;0200;-.813;
2020-01-04;0300;-1.862;
2020-01-04;0400;-2.472;
2020-01-04;0500;-1.956;
2020-01-04;0600;-2.828;
2020-01-04;0700;-3.265;
2020-01-04;0800;-3.097;
2020-01-04;0900;5.296;
2020-01-04;1000;147.695;
2020-01-04;1100;760.916;
2020-01-04;1200;877.236;
2020-01-04;1300;2317.06;
2020-01-04;1400;2627.981;
2020-01-04;1500;3343.672;
2020-01-04;1600;3152.513;
2020-01-04;1700;2953.1;
2020-01-04;1800;2113.764;
2020-01-04;1900;1829.167;
2020-01-04;2000;1299.396;
2020-01-04;2100;327.544;
2020-01-04;2200;69.578;
2020-01-04;2300;-3.52;
2020-01-05;0000;-3.581;
2020-01-05;0100;-3.596;
2020-01-05;0200;-3.524;
2020-01-05;0300;-3.578;
2020-01-05;0400;-3.471;
2020-01-05;0500;-3.6;
2020-01-05;0600;-3.6;
2020-01-05;0700;-3.6;
2020-01-05;0800;-3.6;
2020-01-05;0900;16.659;
2020-01-05;1000;411.239;
2020-01-05;1100;865.488;
2020-01-05;1200;603.439;
2020-01-05;1300;1843.213;
2020-01-05;1400;1643.607;
2020-01-05;1500;3009.369;
2020-01-05;1600;4053.128;
2020-01-05;1700;707.175;
2020-01-05;1800;614.919;
2020-01-05;1900;2050.527;
2020-01-05;2000;1808.725;
2020-01-05;2100;843.327;
2020-01-05;2200;46.201;
2020-01-05;2300;-2.382;
2020-01-06;0000;-1.741;
2020-01-06;0100;-1.757;
2020-01-06;0200;-1.858;
2020-01-06;0300;-2.666;
2020-01-06;0400;-2.02;
2020-01-06;0500;-2.37;
2020-01-06;0600;-2.619;
2020-01-06;0700;-3.369;
2020-01-06;0800;-3.564;
2020-01-06;0900;19.208;
2020-01-06;1000;401.707;
2020-01-06;1100;895.377;
2020-01-06;1200;1311.779;
2020-01-06;1300;1252.092;
2020-01-06;1400;2690.821;
2020-01-06;1500;3198.368;
2020-01-06;1600;3250.634;
2020-01-06;1700;3579.435;
2020-01-06;1800;2872.195;
2020-01-06;1900;1266.213;
2020-01-06;2000;430.062;
2020-01-06;2100;265.185;
2020-01-06;2200;30.633;
2020-01-06;2300;-3.39;
2020-01-07;0000;-3.505;
2020-01-07;0100;-2.86;
2020-01-07;0200;-3.293;
2020-01-07;0300;-3.6;
2020-01-07;0400;-3.529;
2020-01-07;0500;-3.212;
2020-01-07;0600;-2.658;
2020-01-07;0700;-2.413;
2020-01-07;0800;-2.52;
2020-01-07;0900;7.333;
2020-01-07;1000;198.74;
2020-01-07;1100;868.819;
2020-01-07;1200;1822.773;
2020-01-07;1300;2685.92;
2020-01-07;1400;3293.305;
2020-01-07;1500;2865.863;
