Nome: PARACATU
Codigo Estacao: A571
Latitude: -17.24444444
Longitude: -46.88166666
Altitude: 705
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;0;929.591667;18.395833;31.1;25.5625;21.9;65.708333;42;13.1;1.995833;
2020-01-02;17.8;930.433333;19.55;28.3;22.4625;20.3;84.041667;59;9.3;2.15;
2020-01-03;41.8;930.520833;20.083333;28;22.9125;20.6;84.458333;62;15.1;1.841667;
2020-01-04;82;930.0375;19.416667;25.9;21.870833;19.4;86.375;70;7.9;2.233333;
2020-01-05;6.2;929.8375;19.920833;26.9;22.6125;19.8;85.041667;67;8.3;2.154167;
2020-01-06;2.4;930.616667;19.741667;30.8;23.7875;19.6;79.458333;50;9.6;1.845833;
2020-01-07;24.4;932.091667;20.708333;30.6;25.0625;21.3;78.083333;53;7.4;2.016667;
2020-01-08;.2;932.320833;20.204167;28.7;24.470833;21.3;77.5;58;9.2;2.0625;
2020-01-09;4;932.329167;19.870833;32.7;25.4625;21.5;72.708333;40;15.9;1.379167;
2020-01-10;0;931.954167;19.708333;32.9;26.275;21.2;69.25;41;8.6;1.808333;
2020-01-11;0;931.5;18.2875;33.1;27.9625;21.4;58.708333;32;8.5;2.008333;
2020-01-12;0;932.4625;14.6;33.8;27.358333;19.8;49.083333;24;6.3;1.3875;
2020-01-13;0;932.216667;14.070833;34.2;27.604167;21;45.791667;18;6.2;1.3625;
2020-01-14;0;931.875;16.854167;33.7;28.033333;22.4;51.875;31;6.6;1.5;
2020-01-15;0;931.85;18.466667;33.1;27.879167;22.7;57.958333;37;9.2;2.079167;
2020-01-16;0;933.478261;19.069565;33;27.169565;22.8;62.347826;39;14.3;1.613043;
2020-01-17;0;933.933333;19.4625;30.7;26.033333;21.7;67.708333;54;8.7;2.116667;
2020-01-18;0;934.454167;19.3625;30.3;25.020833;20.8;71.875;52;10.5;2.645833;
2020-01-19;0;932.866667;18.966667;32.6;26.825;21.3;64.166667;38;9.9;2.1625;
2020-01-20;0;930.85;19.495833;31.1;25.733333;22.2;69.458333;46;8.8;1.966667;
2020-01-21;0;928.4375;20.070833;30.6;24.5;22.2;77.291667;53;9.2;2.120833;
2020-01-22;45;928.183333;19.925;27.9;22.316667;20.1;86.875;63;9;2.604167;
2020-01-23;87.4;927.466667;20.508333;28.3;22.979167;20.7;86.416667;61;16.3;2.775;
2020-01-24;49.6;927.166667;20.308333;28.8;23.65;21.4;82.416667;56;6;null;
2020-01-25;10.8;929.591667;20.216667;25.9;23.1125;21.9;84.083333;69;null;null;
2020-01-26;7.2;931.179167;19.666667;28.3;23.9125;20.8;78.166667;52;null;null;
2020-01-27;.2;931.595833;20.204167;29.7;24.15;21.3;79.416667;57;null;null;
2020-01-28;.6;932.729167;19.670833;30.4;23.904167;20.1;78.541667;49;null;null;
2020-01-29;1;934.495833;19.695833;28.6;23.55;20.9;79.833333;56;null;null;
2020-01-30;.2;934.5125;19.520833;32.6;26.804167;21.3;66.875;37;null;null;
2020-01-31;0;934.058333;19.908333;32.8;27.5;22.9;65.125;40;null;null;
2020-02-01;0;933.779167;20.441667;31.5;26.333333;22.9;70.75;44;null;null;
2020-02-02;.6;933.275;19.741667;32.3;26.3875;21.8;68.083333;42;null;null;
2020-02-03;0;932.691667;18.7625;32.7;27.104167;21.1;62.125;36;null;null;
2020-02-04;0;933.15;19.391667;30.2;24.6;23.3;73.458333;52;null;null;
2020-02-05;7.6;933.229167;19.883333;27.4;22.945833;20.4;83.416667;62;null;null;
2020-02-06;6.2;933.470833;19.733333;26.7;22.329167;21.3;85.5;65;null;null;
2020-02-07;18.4;931.9375;19.116667;25.5;22.020833;19.5;84.25;63;null;null;
2020-02-08;17.4;932.7875;18.154167;25.7;21.216667;18.5;83.208333;64;null;null;
2020-02-09;8.2;934.683333;18.570833;25.8;22.170833;19.2;80.791667;62;null;null;
2020-02-10;2.8;935.3625;19.241667;31.3;24.066667;20.6;76.25;43;null;null;
2020-02-11;31.4;933.9125;20.304167;30.7;23.866667;20.8;81.75;53;null;null;
2020-02-12;5.6;932.925;19.8;29.5;23.883333;20.5;79.041667;54;null;null;
2020-02-13;62.4;933.004167;19.320833;30.4;23.883333;19.9;77.083333;43;null;null;
2020-02-14;2.2;932.9625;19.870833;30.2;24.508333;20.4;76.583333;54;null;null;
2020-02-15;.2;932.525;19.958333;31.7;25.645833;20.9;72.291667;46;null;null;
