Nome: DUQUE DE CAXIAS - XEREM
Codigo Estacao: A603
Latitude: -22.58972221
Longitude: -43.28222221
Altitude: 22
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;0;1004.245833;18.191667;37.1;27.5625;20.8;62.291667;26;13.5;1.3125;
2020-01-02;0;1004.208333;20.5875;32.9;26.3;21.4;72.791667;46;8.5;.766667;
2020-01-03;6.2;1007.470833;20.458333;29.2;23.870833;21.7;81.791667;55;5.1;.583333;
2020-01-04;8.6;1006.316667;19.933333;29.4;24.679167;21.4;76.041667;52;5.6;.5625;
2020-01-05;34;1005.354167;21.120833;30.9;25.1875;22;79.375;56;7.1;.854167;
2020-01-06;13.4;1005.733333;20.958333;36;25.833333;21.2;76.875;33;11;.7125;
2020-01-07;16;1006.258333;20.679167;37.1;27.654167;21.3;69.916667;29;10;.945833;
2020-01-08;8.2;1007.691667;22.008333;35.3;26.1;23;79.958333;48;16;.625;
2020-01-09;26.6;1008.2;21.3375;35.6;27.1125;22.6;73.25;36;6.3;.525;
2020-01-10;0;1007.683333;22.079167;34.7;28.1875;23.3;71.416667;47;10.1;.829167;
2020-01-11;0;1005.954167;20.629167;38.9;30.125;24.5;62.208333;27;11.2;.75;
