Nome: VITORIA
Codigo Estacao: A612
Latitude: -20.27083332
Longitude: -40.30583333
Altitude: 9
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;0;
2020-01-01;0100;0;
2020-01-01;0200;0;
2020-01-01;0300;0;
2020-01-01;0400;0;
2020-01-01;0500;0;
2020-01-01;0600;0;
2020-01-01;0700;0;
2020-01-01;0800;4.857;
2020-01-01;0900;337.295;
2020-01-01;1000;1177.949;
2020-01-01;1100;2045.591;
2020-01-01;1200;2346.113;
2020-01-01;1300;3379.869;
2020-01-01;1400;3737.415;
2020-01-01;1500;3661.091;
2020-01-01;1600;3738.167;
2020-01-01;1700;3418.322;
2020-01-01;1800;2640.632;
2020-01-01;1900;1823.256;
2020-01-01;2000;1082.168;
2020-01-01;2100;104.034;
2020-01-01;2200;1.075;
2020-01-01;2300;0;
2020-01-02;0000;0;
2020-01-02;0100;0;
2020-01-02;0200;0;
2020-01-02;0300;0;
2020-01-02;0400;0;
2020-01-02;0500;0;
2020-01-02;0600;0;
2020-01-02;0700;0;
2020-01-02;0800;7.806;
2020-01-02;0900;237.589;
2020-01-02;1000;812.445;
2020-01-02;1100;2011.579;
2020-01-02;1200;2563.011;
2020-01-02;1300;3535.494;
2020-01-02;1400;2899.126;
2020-01-02;1500;3093.958;
2020-01-02;1600;1677.544;
2020-01-02;1700;2097.334;
2020-01-02;1800;1556.205;
2020-01-02;1900;1537.333;
2020-01-02;2000;355.875;
2020-01-02;2100;96.065;
2020-01-02;2200;.171;
2020-01-02;2300;0;
2020-01-03;0000;0;
2020-01-03;0100;0;
2020-01-03;0200;0;
2020-01-03;0300;0;
2020-01-03;0400;0;
2020-01-03;0500;.051;
2020-01-03;0600;.004;
2020-01-03;0700;0;
2020-01-03;0800;3.576;
2020-01-03;0900;197.874;
2020-01-03;1000;414.433;
2020-01-03;1100;867.475;
2020-01-03;1200;1699.232;
2020-01-03;1300;3101.004;
2020-01-03;1400;2726.831;
2020-01-03;1500;2722.562;
2020-01-03;1600;2567.584;
2020-01-03;1700;2883.101;
2020-01-03;1800;191.868;
2020-01-03;1900;138.525;
2020-01-03;2000;229.413;
2020-01-03;2100;36.271;
2020-01-03;2200;.019;
2020-01-03;2300;.004;
2020-01-04;0000;.28;
2020-01-04;0100;.175;
2020-01-04;0200;.004;
2020-01-04;0300;0;
2020-01-04;0400;0;
2020-01-04;0500;.008;
2020-01-04;0600;0;
2020-01-04;0700;0;
2020-01-04;0800;5.617;
2020-01-04;0900;394.646;
2020-01-04;1000;741.364;
2020-01-04;1100;1048.164;
2020-01-04;1200;1365.793;
2020-01-04;1300;1582.644;
2020-01-04;1400;2401.077;
2020-01-04;1500;2889.696;
2020-01-04;1600;1328.946;
2020-01-04;1700;2263.49;
2020-01-04;1800;1335.941;
2020-01-04;1900;748.792;
2020-01-04;2000;374.84;
2020-01-04;2100;51.279;
2020-01-04;2200;.46;
2020-01-04;2300;0;
2020-01-05;0000;0;
2020-01-05;0100;0;
2020-01-05;0200;0;
2020-01-05;0300;.004;
2020-01-05;0400;.008;
2020-01-05;0500;.023;
2020-01-05;0600;.004;
2020-01-05;0700;0;
2020-01-05;0800;4.807;
2020-01-05;0900;154.335;
2020-01-05;1000;547.311;
2020-01-05;1100;1362.817;
2020-01-05;1200;2034.124;
2020-01-05;1300;2252.896;
2020-01-05;1400;3317.303;
2020-01-05;1500;3512.571;
2020-01-05;1600;4047.48;
2020-01-05;1700;2288.146;
2020-01-05;1800;1196.322;
2020-01-05;1900;980.721;
2020-01-05;2000;197.01;
2020-01-05;2100;152.411;
2020-01-05;2200;3.034;
2020-01-05;2300;.004;
2020-01-06;0000;0;
2020-01-06;0100;0;
2020-01-06;0200;0;
2020-01-06;0300;0;
2020-01-06;0400;0;
2020-01-06;0500;0;
2020-01-06;0600;0;
2020-01-06;0700;0;
2020-01-06;0800;4.347;
2020-01-06;0900;96.653;
2020-01-06;1000;289.428;
2020-01-06;1100;662.488;
2020-01-06;1200;1611.129;
2020-01-06;1300;2039.694;
2020-01-06;1400;3612.001;
2020-01-06;1500;3831.758;
2020-01-06;1600;3029.983;
2020-01-06;1700;1028.105;
2020-01-06;1800;1467.751;
2020-01-06;1900;1893.383;
2020-01-06;2000;1029.371;
2020-01-06;2100;171.318;
2020-01-06;2200;1.694;
2020-01-06;2300;0;
2020-01-07;0000;0;
2020-01-07;0100;null;
2020-01-07;0200;0;
2020-01-07;0300;0;
2020-01-07;0400;0;
2020-01-07;0500;0;
2020-01-07;0600;0;
2020-01-07;0700;0;
2020-01-07;0800;3.673;
2020-01-07;0900;197.446;
2020-01-07;1000;726.831;
2020-01-07;1100;1753.109;
2020-01-07;1200;2208.098;
2020-01-07;1300;3370.599;
2020-01-07;1400;3818.172;
2020-01-07;1500;3538.431;
2020-01-07;1600;3701.771;
2020-01-07;1700;3599.996;
2020-01-07;1800;2915.22;
2020-01-07;1900;2044.068;
2020-01-07;2000;1144.49;
2020-01-07;2100;97.603;
2020-01-07;2200;.783;
2020-01-07;2300;0;
2020-01-08;0000;0;
2020-01-08;0100;0;
2020-01-08;0200;0;
2020-01-08;0300;0;
2020-01-08;0400;0;
2020-01-08;0500;0;
2020-01-08;0600;0;
2020-01-08;0700;0;
2020-01-08;0800;4.008;
2020-01-08;0900;293.199;
2020-01-08;1000;1138.78;
2020-01-08;1100;1930.745;
2020-01-08;1200;1491.85;
2020-01-08;1300;2996.815;
2020-01-08;1400;3040.712;
2020-01-08;1500;3788.316;
2020-01-08;1600;3803.935;
2020-01-08;1700;3459.446;
2020-01-08;1800;2883.503;
2020-01-08;1900;2091.401;
2020-01-08;2000;1181.376;
2020-01-08;2100;71.039;
2020-01-08;2200;.362;
2020-01-08;2300;0;
2020-01-09;0000;0;
2020-01-09;0100;0;
2020-01-09;0200;0;
2020-01-09;0300;0;
2020-01-09;0400;0;
2020-01-09;0500;0;
2020-01-09;0600;0;
2020-01-09;0700;0;
2020-01-09;0800;3.194;
2020-01-09;0900;296.623;
2020-01-09;1000;1100.604;
2020-01-09;1100;1793.042;
2020-01-09;1200;2838.405;
2020-01-09;1300;3472.631;
2020-01-09;1400;3847.26;
2020-01-09;1500;4047.086;
2020-01-09;1600;3079.983;
2020-01-09;1700;2835.001;
2020-01-09;1800;2421.935;
2020-01-09;1900;1894.205;
2020-01-09;2000;1192.766;
2020-01-09;2100;94.3;
2020-01-09;2200;1.215;
2020-01-09;2300;0;
2020-01-10;0000;0;
2020-01-10;0100;0;
2020-01-10;0200;0;
2020-01-10;0300;0;
2020-01-10;0400;0;
2020-01-10;0500;0;
