Nome: ALEGRE
Codigo Estacao: A617
Latitude: -20.75055555
Longitude: -41.48888888
Altitude: 138
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.54;
2020-01-01;0100;-3.54;
2020-01-01;0200;-3.54;
2020-01-01;0300;-3.54;
2020-01-01;0400;-3.54;
2020-01-01;0500;-3.54;
2020-01-01;0600;-3.54;
2020-01-01;0700;-3.54;
2020-01-01;0800;-3.511;
2020-01-01;0900;110.041;
2020-01-01;1000;888.185;
2020-01-01;1100;1726.11;
2020-01-01;1200;2573.457;
2020-01-01;1300;3193.967;
2020-01-01;1400;3664.164;
2020-01-01;1500;3995.362;
2020-01-01;1600;3992.035;
2020-01-01;1700;3678.181;
2020-01-01;1800;2938.644;
2020-01-01;1900;2387.595;
2020-01-01;2000;1422.253;
2020-01-01;2100;309.424;
2020-01-01;2200;11.669;
2020-01-01;2300;-3.54;
2020-01-02;0000;-3.54;
2020-01-02;0100;-3.54;
2020-01-02;0200;-3.538;
2020-01-02;0300;-3.489;
2020-01-02;0400;-3.437;
2020-01-02;0500;-2.803;
2020-01-02;0600;-3.194;
2020-01-02;0700;-3.339;
2020-01-02;0800;-3.32;
2020-01-02;0900;95.435;
2020-01-02;1000;578.83;
2020-01-02;1100;894.41;
2020-01-02;1200;1496.735;
2020-01-02;1300;1081.293;
2020-01-02;1400;1030.421;
2020-01-02;1500;2152.811;
2020-01-02;1600;2748.033;
2020-01-02;1700;2541.691;
2020-01-02;1800;1398.958;
2020-01-02;1900;435.137;
2020-01-02;2000;223.963;
2020-01-02;2100;234.383;
2020-01-02;2200;5.249;
2020-01-02;2300;-.86;
2020-01-03;0000;-1.782;
2020-01-03;0100;-1.589;
2020-01-03;0200;-2.117;
2020-01-03;0300;-2.626;
2020-01-03;0400;-2.18;
2020-01-03;0500;-2.325;
2020-01-03;0600;-1.795;
2020-01-03;0700;-1.584;
2020-01-03;0800;-1.582;
