Nome: NOVA FRIBURGO - SALINAS
Codigo Estacao: A624
Latitude: -22.33472221
Longitude: -42.67694443
Altitude: 1070
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;0;893.879167;15.975;28;20.729167;16.1;76.041667;43;9;2.183333;
2020-01-02;1.8;893.35;16.3125;26.4;19.8375;16.2;81.041667;56;14.7;1.891667;
2020-01-03;26.2;894.204167;16.5;23;18.733333;16.3;87.291667;65;8.1;2.004167;
2020-01-04;22.8;893.275;17.104167;23.9;19.704167;17.4;85.5;64;7.5;1.7625;
2020-01-05;29.6;892.945833;17.2875;26.3;20.2875;17.3;84;54;10.5;2.270833;
2020-01-06;6;894.295833;17.595833;28.4;21.533333;17.6;79.541667;47;10.4;2.041667;
2020-01-07;16.8;895.5;16.666667;29.5;22.954167;17;70.5;36;11.1;2.3625;
2020-01-08;0;896.508333;18.270833;29.3;21.995833;18.9;80.541667;50;12;1.9875;
2020-01-09;6.4;896.525;17.004167;28.6;21.35;16.3;77.958333;45;8.1;1.413636;
2020-01-10;0;896.470833;18.745833;28.3;21.6125;18.1;84.416667;57;8.3;1.8125;
2020-01-11;14.2;895.720833;18.3875;29.4;24.141667;19.8;72.125;45;9.8;2.216667;
2020-01-12;0;896.8375;18.666667;26.9;22.045833;19.2;81.791667;57;8;2.045833;
2020-01-13;13.6;898.2;17.595833;21.6;19.8625;19.5;86.833333;79;23.8;2.833333;
2020-01-14;1;898.733333;15.9;21.5;18.658333;17.1;84.208333;70;8.1;2.45;
2020-01-15;0;897.7125;16.016667;24.9;19.808333;16.7;79.583333;62;9.5;2.477273;
2020-01-16;.2;897.554167;17.708333;28.2;22.733333;17.5;74.208333;51;10.1;2.670833;
2020-01-17;4.8;899.4875;17.616667;23.8;19.925;20;86.625;69;22.9;4.043478;
2020-01-18;9;901.395833;14.658333;20.5;16.979167;14.7;86.291667;72;22.7;3.086364;
2020-01-19;.2;899.479167;15.220833;21.3;18.041667;15.8;83.833333;68;22.1;2.872222;
2020-01-20;0;896.7875;14.5875;19;16.908333;16;86.291667;75;10.9;3.052632;
2020-01-21;.2;894.308333;13.504167;22.7;16.4375;12.6;83.458333;56;14.1;2.13;
2020-01-22;.4;893.7375;13.4125;24.6;17.270833;10.4;79.583333;45;8.7;2.366667;
2020-01-23;.4;892.679167;14.9125;22;17.408333;13.7;85.625;64;8;2.18;
2020-01-24;23.2;889.320833;16.483333;20.3;18.295833;17.3;89.166667;82;8.8;2.155556;
2020-01-25;13;892.670833;14.916667;20.2;17.4875;16.2;84.958333;72;13.4;null;
2020-01-26;1.2;895.6;15.104167;25.7;18.441667;12.7;82.041667;55;10.6;2.05;
2020-01-27;0;896.258333;16.4125;26.5;20.516667;15.9;78.583333;49;10.4;2.195833;
2020-01-28;.2;896.829167;16.366667;29.6;21.254167;15.8;75.416667;37;10.6;2.583333;
2020-01-29;0;898.070833;16.954167;28.5;21.608333;16.1;76.458333;49;12.8;2.416667;
2020-01-30;9.6;898.691667;17.583333;28.9;22.575;17.7;74.916667;47;10.1;2.083333;
2020-01-31;5.6;898.3875;18.3125;29.9;22.6125;19;78.333333;40;20.5;2.321739;
2020-02-01;.2;897.933333;18.608333;30.1;22.654167;19.1;79.166667;41;15.1;2.591667;
2020-02-02;6;898.475;17.941667;26.8;20.8;17.7;84.041667;58;19.3;2.190909;
2020-02-03;29.4;898.0625;17.558333;26.7;21.1875;16.2;80.666667;59;8.9;2.438095;
2020-02-04;12.4;897.95;17.979167;25.8;21.683333;18.7;80.166667;56;9.5;2.130435;
2020-02-05;2.6;898.175;17.466667;23;19.783333;19.1;86.625;77;9.2;1.779167;
2020-02-06;20.6;898.9625;15.591667;21.8;19.1375;15.2;80.416667;60;10.1;1.858333;
2020-02-07;1.8;898.004167;15.829167;26.5;20.720833;17.3;74.208333;49;10.7;1.625;
2020-02-08;6;897.504167;15.895833;25.5;20.358333;16.8;76.75;54;10.4;2.054545;
2020-02-09;.2;897.395833;16.208333;26.7;21.683333;17.3;72.375;51;15.6;3.4375;
2020-02-10;0;897.729167;16.55;27;21.383333;18.9;74.583333;48;9.2;2.477273;
2020-02-11;27.6;898.091667;16.383333;19.7;18.2625;17.5;88.791667;83;9.9;2.761905;
2020-02-12;20.8;897.920833;15.85;20.4;17.7125;16.6;88.791667;83;6.3;1.813636;
2020-02-13;91.6;897.4375;16.0125;20.4;17.920833;16.1;88.541667;78;5;null;
2020-02-14;2.6;898.0875;16.466667;25.6;19.441667;17.3;83.708333;57;null;null;
2020-02-15;.2;897.891667;17.208333;27.1;21.479167;18.2;77.666667;54;16;null;
2020-02-16;0;897.491667;17.616667;26.7;21.975;18.5;77.458333;53;17.2;4.168421;
2020-02-17;12.6;898.016667;16.954167;26.5;20.441667;16.4;81.125;55;16;null;
2020-02-18;.6;898.595833;16.645833;26.6;21.625;16.7;74.5;48;18;null;
2020-02-19;0;896.616667;16.933333;26.7;21.558333;17.8;76.291667;54;20.3;null;
2020-02-20;.2;895.7125;16.6;28.1;20.904167;15.9;78.125;49;24.7;null;
2020-02-21;0;895.725;17.433333;28;20.929167;17.3;81.75;48;19.6;null;
2020-02-22;.8;896.8375;16.3875;22.5;18.6;16.6;87.125;68;12.9;null;
2020-02-23;34;900.270833;13.6875;18.7;16.233333;14.8;85.041667;71;11.9;2.93;
2020-02-24;.2;899.670833;14.095833;19.8;16.6375;13;85.25;69;13.9;null;
2020-02-25;7.6;897.7;17.116667;25.1;20.304167;17.4;82.458333;63;20.5;null;
2020-02-26;37.8;894.325;18.075;26.3;22.129167;19.9;78.583333;58;17;3.884211;
2020-02-27;3;895.433333;16.508333;22.2;18.779167;18.8;86.75;76;14;null;
2020-02-28;13.8;899.329167;15.425;20;17.416667;15.9;88.125;80;10.7;null;
2020-02-29;11.6;899.416667;16.6125;22.8;19.225;17.3;85.125;69;5.4;null;
2020-03-01;21.8;898.4875;16.129167;22.6;18.645833;17.6;85.541667;63;11.9;null;
2020-03-02;16.6;898.891667;14.5;19.7;16.4625;14.8;88.291667;66;6.1;null;
2020-03-03;18.6;896.941667;16.029167;20.3;17.783333;16.2;89.541667;85;6.6;1.708333;
