Nome: NOVA FRIBURGO - SALINAS
Codigo Estacao: A624
Latitude: -22.33472221
Longitude: -42.67694443
Altitude: 1070
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.54;
2020-01-01;0100;-3.538;
2020-01-01;0200;-3.54;
2020-01-01;0300;-3.536;
2020-01-01;0400;-3.382;
2020-01-01;0500;-3.447;
2020-01-01;0600;-1.953;
2020-01-01;0700;-2.677;
2020-01-01;0800;-3.322;
2020-01-01;0900;75.521;
2020-01-01;1000;735.155;
2020-01-01;1100;1473.932;
2020-01-01;1200;2654.372;
2020-01-01;1300;3314.124;
2020-01-01;1400;3728.731;
2020-01-01;1500;3341.096;
2020-01-01;1600;2343.901;
2020-01-01;1700;1883.849;
2020-01-01;1800;1418.452;
2020-01-01;1900;745.157;
2020-01-01;2000;534.748;
2020-01-01;2100;175.289;
2020-01-01;2200;17.115;
2020-01-01;2300;-3.396;
2020-01-02;0000;-3.521;
2020-01-02;0100;-3.53;
2020-01-02;0200;-3.519;
2020-01-02;0300;-3.233;
2020-01-02;0400;-3.435;
2020-01-02;0500;-3.391;
2020-01-02;0600;-2.332;
2020-01-02;0700;-1.293;
2020-01-02;0800;-.957;
2020-01-02;0900;112.358;
2020-01-02;1000;622.075;
2020-01-02;1100;1297.99;
2020-01-02;1200;1744.708;
2020-01-02;1300;1870.99;
2020-01-02;1400;1479.956;
2020-01-02;1500;1627.127;
2020-01-02;1600;1624.242;
2020-01-02;1700;1929.974;
2020-01-02;1800;368.91;
2020-01-02;1900;188.65;
2020-01-02;2000;33.361;
2020-01-02;2100;5.668;
2020-01-02;2200;1.301;
2020-01-02;2300;-1.5;
2020-01-03;0000;-1.953;
2020-01-03;0100;-2.399;
2020-01-03;0200;-2.085;
2020-01-03;0300;-2.596;
2020-01-03;0400;-2.241;
2020-01-03;0500;-2.086;
2020-01-03;0600;-1.929;
2020-01-03;0700;-.201;
2020-01-03;0800;.009;
2020-01-03;0900;81.099;
2020-01-03;1000;503.504;
2020-01-03;1100;1072.573;
2020-01-03;1200;1993.403;
2020-01-03;1300;1967.412;
2020-01-03;1400;1236.433;
2020-01-03;1500;2485.413;
2020-01-03;1600;1759.883;
2020-01-03;1700;2620.269;
2020-01-03;1800;337.353;
2020-01-03;1900;145.014;
2020-01-03;2000;149.267;
2020-01-03;2100;174.732;
2020-01-03;2200;32.191;
2020-01-03;2300;-.019;
2020-01-04;0000;.362;
2020-01-04;0100;.068;
2020-01-04;0200;-.604;
2020-01-04;0300;-1.622;
2020-01-04;0400;-.963;
2020-01-04;0500;.189;
2020-01-04;0600;-.638;
2020-01-04;0700;-.136;
2020-01-04;0800;-.662;
2020-01-04;0900;107.854;
2020-01-04;1000;297.148;
2020-01-04;1100;1361.886;
2020-01-04;1200;2532.544;
2020-01-04;1300;3017.521;
2020-01-04;1400;2425.619;
2020-01-04;1500;1413.521;
2020-01-04;1600;1771.627;
2020-01-04;1700;1759.993;
2020-01-04;1800;1210.043;
2020-01-04;1900;883.45;
2020-01-04;2000;486.355;
2020-01-04;2100;160.656;
2020-01-04;2200;15.082;
2020-01-04;2300;-2.618;
2020-01-05;0000;-1.474;
2020-01-05;0100;-1.098;
2020-01-05;0200;-.576;
2020-01-05;0300;-1.659;
2020-01-05;0400;-1.798;
2020-01-05;0500;-2.191;
2020-01-05;0600;-2.137;
2020-01-05;0700;-2.024;
