Nome: RIO CLARO
Codigo Estacao: A626
Latitude: -22.653579
Longitude: -44.040916
Altitude: 516
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.6;
2020-01-01;0100;-3.597;
2020-01-01;0200;-3.598;
2020-01-01;0300;-3.579;
2020-01-01;0400;-3.596;
2020-01-01;0500;-3.567;
2020-01-01;0600;-3.548;
2020-01-01;0700;-3.525;
2020-01-01;0800;-3.479;
2020-01-01;0900;106.095;
2020-01-01;1000;629.072;
2020-01-01;1100;1575.068;
2020-01-01;1200;2453.866;
2020-01-01;1300;3120.177;
2020-01-01;1400;3631.09;
2020-01-01;1500;3869.469;
2020-01-01;1600;3781.929;
2020-01-01;1700;2649.254;
2020-01-01;1800;878.127;
2020-01-01;1900;2363.693;
2020-01-01;2000;1627.052;
2020-01-01;2100;590.63;
2020-01-01;2200;31.872;
2020-01-01;2300;-3.6;
2020-01-02;0000;-3.6;
2020-01-02;0100;-3.6;
2020-01-02;0200;-3.49;
2020-01-02;0300;-3.6;
2020-01-02;0400;-3.6;
2020-01-02;0500;-3.534;
2020-01-02;0600;-3.519;
2020-01-02;0700;-3.596;
2020-01-02;0800;-3.273;
2020-01-02;0900;41.299;
2020-01-02;1000;180.97;
2020-01-02;1100;307.971;
2020-01-02;1200;635.955;
2020-01-02;1300;698.943;
2020-01-02;1400;989.356;
2020-01-02;1500;1644.022;
2020-01-02;1600;2332.296;
2020-01-02;1700;1309.055;
2020-01-02;1800;1087.582;
2020-01-02;1900;204.824;
2020-01-02;2000;180.937;
2020-01-02;2100;260.128;
2020-01-02;2200;83.785;
2020-01-02;2300;-2.068;
2020-01-03;0000;-1.87;
2020-01-03;0100;-2.726;
2020-01-03;0200;-3.34;
2020-01-03;0300;-3.439;
2020-01-03;0400;-3.503;
2020-01-03;0500;-1.898;
2020-01-03;0600;-1.728;
2020-01-03;0700;-1.163;
2020-01-03;0800;-.464;
2020-01-03;0900;27.616;
2020-01-03;1000;164.442;
2020-01-03;1100;402.195;
2020-01-03;1200;428.709;
2020-01-03;1300;699.753;
2020-01-03;1400;1770.778;
2020-01-03;1500;2231.818;
2020-01-03;1600;754.396;
2020-01-03;1700;null;
2020-01-03;1800;690.559;
2020-01-03;1900;477.176;
2020-01-03;2000;296.305;
2020-01-03;2100;155.851;
2020-01-03;2200;16.213;
2020-01-03;2300;-.594;
2020-01-04;0000;-2.892;
2020-01-04;0100;-2.609;
2020-01-04;0200;-2.77;
2020-01-04;0300;-2.952;
2020-01-04;0400;-2.227;
2020-01-04;0500;-2.731;
2020-01-04;0600;-2.01;
2020-01-04;0700;-2.526;
2020-01-04;0800;-2.306;
2020-01-04;0900;40.81;
2020-01-04;1000;363.806;
2020-01-04;1100;1053.545;
2020-01-04;1200;1389.047;
2020-01-04;1300;1220.774;
2020-01-04;1400;1934.888;
2020-01-04;1500;1949.531;
2020-01-04;1600;2539.805;
2020-01-04;1700;2329.088;
2020-01-04;1800;1479.276;
2020-01-04;1900;1229.851;
2020-01-04;2000;514.719;
2020-01-04;2100;46.258;
2020-01-04;2200;15.057;
2020-01-04;2300;-1.697;
2020-01-05;0000;-1.321;
2020-01-05;0100;-1.596;
2020-01-05;0200;-.973;
2020-01-05;0300;-.813;
2020-01-05;0400;-1.029;
2020-01-05;0500;-1.181;
2020-01-05;0600;-2.618;
2020-01-05;0700;-2.49;
2020-01-05;0800;-.335;
2020-01-05;0900;37.54;
2020-01-05;1000;329.31;
2020-01-05;1100;954.977;
2020-01-05;1200;1325.564;
2020-01-05;1300;2578.513;
2020-01-05;1400;2207.301;
2020-01-05;1500;2935.945;
2020-01-05;1600;2356.454;
2020-01-05;1700;2587.4;
2020-01-05;1800;1973.116;
2020-01-05;1900;465.772;
2020-01-05;2000;117.397;
2020-01-05;2100;151.123;
2020-01-05;2200;18.861;
2020-01-05;2300;-1.504;
2020-01-06;0000;-1.083;
2020-01-06;0100;-.817;
2020-01-06;0200;-1.51;
2020-01-06;0300;-1.446;
2020-01-06;0400;-1.037;
2020-01-06;0500;-1.057;
2020-01-06;0600;-2.159;
2020-01-06;0700;-3.445;
2020-01-06;0800;-3.051;
2020-01-06;0900;62.057;
2020-01-06;1000;330.669;
2020-01-06;1100;920.351;
2020-01-06;1200;2025.974;
2020-01-06;1300;3058.227;
2020-01-06;1400;3574.864;
2020-01-06;1500;3898.946;
2020-01-06;1600;3644.469;
2020-01-06;1700;1984.429;
2020-01-06;1800;3047.657;
2020-01-06;1900;1855.629;
2020-01-06;2000;298.12;
2020-01-06;2100;668.227;
2020-01-06;2200;33.32;
2020-01-06;2300;-2.255;
2020-01-07;0000;-2.216;
2020-01-07;0100;-3.034;
2020-01-07;0200;-2.726;
2020-01-07;0300;-2.65;
2020-01-07;0400;-3.474;
2020-01-07;0500;-3.536;
2020-01-07;0600;-3.549;
2020-01-07;0700;-3.5;
2020-01-07;0800;-3.42;
2020-01-07;0900;34.378;
2020-01-07;1000;259.008;
2020-01-07;1100;1293.902;
2020-01-07;1200;2447.278;
2020-01-07;1300;3106.497;
2020-01-07;1400;3623.789;
2020-01-07;1500;3880.884;
2020-01-07;1600;3873.796;
2020-01-07;1700;3598.417;
2020-01-07;1800;3235.893;
2020-01-07;1900;2332.043;
2020-01-07;2000;1579.497;
2020-01-07;2100;724.681;
2020-01-07;2200;47.177;
2020-01-07;2300;-3.597;
2020-01-08;0000;-2.498;
2020-01-08;0100;-2.663;
2020-01-08;0200;-2.284;
2020-01-08;0300;-2.279;
2020-01-08;0400;-2.165;
2020-01-08;0500;-2.386;
2020-01-08;0600;-2.499;
2020-01-08;0700;-2.173;
2020-01-08;0800;-1.984;
2020-01-08;0900;32.009;
2020-01-08;1000;256.461;
2020-01-08;1100;1462.1;
2020-01-08;1200;2469.037;
2020-01-08;1300;1542.997;
2020-01-08;1400;2623.36;
2020-01-08;1500;1457.299;
2020-01-08;1600;2062.57;
2020-01-08;1700;2978.128;
2020-01-08;1800;799.905;
2020-01-08;1900;80.247;
2020-01-08;2000;8.592;
2020-01-08;2100;18.991;
2020-01-08;2200;4.096;
2020-01-08;2300;-1.474;
2020-01-09;0000;-1.561;
2020-01-09;0100;-1.442;
2020-01-09;0200;-1.811;
2020-01-09;0300;-1.792;
2020-01-09;0400;-2.434;
2020-01-09;0500;-1.533;
2020-01-09;0600;-.915;
2020-01-09;0700;-1.322;
2020-01-09;0800;-.868;
2020-01-09;0900;35.787;
2020-01-09;1000;323.786;
2020-01-09;1100;1007.478;
2020-01-09;1200;2261.06;
2020-01-09;1300;2333.815;
2020-01-09;1400;1488.885;
2020-01-09;1500;2215.424;
2020-01-09;1600;3474.628;
2020-01-09;1700;3276.628;
2020-01-09;1800;2230.64;
2020-01-09;1900;767.215;
2020-01-09;2000;778.942;
2020-01-09;2100;423.327;
2020-01-09;2200;49.516;
2020-01-09;2300;-3.261;
2020-01-10;0000;-2.244;
2020-01-10;0100;-3.161;
2020-01-10;0200;-2.453;
2020-01-10;0300;-2.701;
2020-01-10;0400;-3.281;
2020-01-10;0500;-2.905;
2020-01-10;0600;-3.241;
2020-01-10;0700;-2.566;
2020-01-10;0800;-1.542;
2020-01-10;0900;50.618;
2020-01-10;1000;545.007;
2020-01-10;1100;1389.571;
2020-01-10;1200;null;
2020-01-10;1300;2893.454;
2020-01-10;1400;3220.124;
2020-01-10;1500;3681.772;
2020-01-10;1600;3521.045;
2020-01-10;1700;2687.282;
2020-01-10;1800;2548.67;
2020-01-10;1900;1928.435;
2020-01-10;2000;213.764;
2020-01-10;2100;174.564;
2020-01-10;2200;69.061;
2020-01-10;2300;-3.475;
2020-01-11;0000;-3.585;
2020-01-11;0100;-3.206;
2020-01-11;0200;-3.291;
2020-01-11;0300;-2.673;
2020-01-11;0400;-2.188;
2020-01-11;0500;-2.593;
2020-01-11;0600;-2.28;
2020-01-11;0700;-1.243;
2020-01-11;0800;-2.519;
2020-01-11;0900;31.131;
2020-01-11;1000;368.309;
2020-01-11;1100;898.803;
2020-01-11;1200;1640.398;
2020-01-11;1300;2564.419;
2020-01-11;1400;2726.465;
2020-01-11;1500;2794.351;
2020-01-11;1600;2952.014;
2020-01-11;1700;2999.333;
2020-01-11;1800;2349.932;
2020-01-11;1900;1724.238;
2020-01-11;2000;243.707;
2020-01-11;2100;18.678;
2020-01-11;2200;.758;
2020-01-11;2300;-1.181;
2020-01-12;0000;-.95;
2020-01-12;0100;-2.201;
2020-01-12;0200;-2.488;
2020-01-12;0300;-2.585;
2020-01-12;0400;-2.845;
2020-01-12;0500;-2.786;
2020-01-12;0600;-2.364;
2020-01-12;0700;-2.315;
2020-01-12;0800;-2.759;
2020-01-12;0900;46.478;
2020-01-12;1000;615.465;
2020-01-12;1100;1582.773;
2020-01-12;1200;1680.404;
2020-01-12;1300;1542.161;
2020-01-12;1400;1338.545;
2020-01-12;1500;2959.351;
2020-01-12;1600;2960.935;
2020-01-12;1700;899.648;
2020-01-12;1800;717.077;
2020-01-12;1900;535.854;
2020-01-12;2000;516.718;
2020-01-12;2100;106.479;
2020-01-12;2200;4.266;
2020-01-12;2300;-.304;
2020-01-13;0000;-.558;
2020-01-13;0100;-.905;
2020-01-13;0200;-.405;
2020-01-13;0300;-.752;
2020-01-13;0400;-.702;
2020-01-13;0500;-.184;
2020-01-13;0600;-1.036;
2020-01-13;0700;-1.354;
2020-01-13;0800;-.29;
2020-01-13;0900;41.67;
2020-01-13;1000;225.494;
2020-01-13;1100;306.108;
2020-01-13;1200;348.815;
2020-01-13;1300;820.045;
2020-01-13;1400;1087.158;
2020-01-13;1500;809.048;
2020-01-13;1600;848.814;
2020-01-13;1700;579.452;
2020-01-13;1800;349.492;
