Nome: CARMO
Codigo Estacao: A629
Latitude: -21.938745
Longitude: -42.600936
Altitude: 293
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;0;976.166667;20.1875;33.4;25.958333;20;72.75;47;8.5;1.066667;
2020-01-02;0;975.416667;20.845833;33.1;25.1875;21.3;78.666667;50;8.7;.970833;
2020-01-03;3;976.679167;21.1875;32.3;24.041667;21.5;85.333333;51;12.2;.945833;
2020-01-04;10.2;975.795833;21.85;29.4;24.658333;22.3;85.291667;62;4.6;.858333;
2020-01-05;25.8;975.358333;21.2625;32.1;24.279167;20.6;84.458333;56;8.4;1.291667;
2020-01-06;2.4;976.1625;22.645833;33.3;26.125;22.2;82.666667;54;10.2;.891667;
2020-01-07;12.6;977.475;21.879167;35.3;26.55;20.5;77.5;47;7.6;.983333;
2020-01-08;.2;978.125;22.691667;34.7;26.204167;22.4;82.458333;52;9.5;1.045833;
2020-01-09;2.4;978.4;22.258333;33.3;26.016667;21.8;81.5;55;9.7;.845833;
2020-01-10;0;978.058333;23.4875;34;27.2875;22.4;81.291667;55;6;.795833;
2020-01-11;0;977.333333;22.516667;35;28.3625;22.6;73.416667;46;5;.995833;
2020-01-12;0;978.166667;22.9875;35.4;26.895833;23.4;80.75;49;9.1;1;
2020-01-13;4.2;980.0375;23.208333;31.1;25.516667;22.9;87.666667;63;5.1;.808333;
2020-01-14;43.4;981.6625;21.758333;25.9;23.641667;22.6;89.416667;77;5.8;.9875;
2020-01-15;.2;980.945833;19.483333;30.3;24.566667;19.8;74.958333;48;4.6;.9875;
2020-01-16;0;979.9625;21.716667;33.6;25.6375;20.2;80.375;55;9.3;1.133333;
2020-01-17;3.8;981.145833;23.554167;30.5;25.354167;23.5;90.083333;69;7.8;.766667;
2020-01-18;9.6;984.4625;19.945833;27.1;23.583333;20.4;80.75;65;5.6;.7875;
2020-01-19;0;982.5;20.1;30.1;24.354167;21.2;78.083333;56;6.3;.920833;
2020-01-20;1.8;979.804167;20.65;24.8;22.333333;21.6;90.375;77;3.8;.779167;
2020-01-21;6.4;977.15;19.704167;27.6;22.483333;18.2;85.083333;63;4.5;.883333;
2020-01-22;.4;976.254167;18.629167;31.1;23.679167;17;75.833333;45;5.7;.904167;
2020-01-23;0;975.320833;20.0375;26.2;22.641667;20;85.791667;66;3.5;.6875;
2020-01-24;39.4;971.675;21.491667;25.4;22.470833;21.3;94.25;81;3.8;.758333;
2020-01-25;27.6;974.616667;20.7875;31.3;24.058333;20.1;83.708333;51;6.1;1.120833;
