Nome: ECOPORANGA
Codigo Estacao: A631
Latitude: -18.29138888
Longitude: -40.73638888
Altitude: 224
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-2.775;
2020-01-01;0100;-1.003;
2020-01-01;0200;-2.461;
2020-01-01;0300;-2.567;
2020-01-01;0400;-3.558;
2020-01-01;0500;-3.6;
2020-01-01;0600;-3.6;
2020-01-01;0700;-3.6;
2020-01-01;0800;-3.554;
2020-01-01;0900;110.996;
2020-01-01;1000;857.631;
2020-01-01;1100;1801.128;
2020-01-01;1200;2575.113;
2020-01-01;1300;3207.663;
2020-01-01;1400;3769.353;
2020-01-01;1500;3708.215;
2020-01-01;1600;3503.113;
2020-01-01;1700;3461.806;
2020-01-01;1800;2263.756;
2020-01-01;1900;836.41;
2020-01-01;2000;1379.031;
2020-01-01;2100;293.195;
2020-01-01;2200;8.088;
2020-01-01;2300;-3.337;
2020-01-02;0000;-3.111;
2020-01-02;0100;-2.323;
2020-01-02;0200;-2.733;
2020-01-02;0300;-3.196;
2020-01-02;0400;-.215;
2020-01-02;0500;-.26;
2020-01-02;0600;-3.041;
2020-01-02;0700;-3.599;
2020-01-02;0800;-3.428;
2020-01-02;0900;175.056;
2020-01-02;1000;776.88;
2020-01-02;1100;1425.645;
2020-01-02;1200;2049.319;
2020-01-02;1300;1865.692;
2020-01-02;1400;2280.749;
2020-01-02;1500;2961.445;
2020-01-02;1600;2892.086;
2020-01-02;1700;2434.682;
2020-01-02;1800;2520.52;
2020-01-02;1900;152.964;
2020-01-02;2000;113.794;
2020-01-02;2100;63.788;
2020-01-02;2200;2.116;
2020-01-02;2300;-.812;
2020-01-03;0000;-1.297;
2020-01-03;0100;-1.696;
2020-01-03;0200;-1.947;
2020-01-03;0300;-1.507;
2020-01-03;0400;-1.888;
2020-01-03;0500;-2.599;
2020-01-03;0600;-.687;
2020-01-03;0700;-.956;
2020-01-03;0800;-1.554;
2020-01-03;0900;75.063;
2020-01-03;1000;369.534;
2020-01-03;1100;913.668;
2020-01-03;1200;2103.952;
2020-01-03;1300;2673.963;
2020-01-03;1400;2982.085;
2020-01-03;1500;3590.685;
2020-01-03;1600;2891.572;
2020-01-03;1700;3508.73;
2020-01-03;1800;2796.167;
2020-01-03;1900;2090.235;
