Nome: MARILANDIA
Codigo Estacao: A632
Latitude: -19.40722222
Longitude: -40.53972221
Altitude: 95
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.6;
2020-01-01;0100;-3.591;
2020-01-01;0200;-2.732;
2020-01-01;0300;-3.436;
2020-01-01;0400;-3.576;
2020-01-01;0500;-3.582;
2020-01-01;0600;-2.75;
2020-01-01;0700;-1.835;
2020-01-01;0800;-.744;
2020-01-01;0900;105.76;
2020-01-01;1000;558.587;
2020-01-01;1100;1767.894;
2020-01-01;1200;2365.916;
2020-01-01;1300;2895.88;
2020-01-01;1400;3308.401;
2020-01-01;1500;3310.474;
2020-01-01;1600;4083.896;
2020-01-01;1700;2785.603;
2020-01-01;1800;2308.434;
2020-01-01;1900;2405.302;
2020-01-01;2000;589.596;
2020-01-01;2100;202.211;
2020-01-01;2200;11.735;
2020-01-01;2300;-3.6;
2020-01-02;0000;-3.6;
2020-01-02;0100;-3.242;
2020-01-02;0200;-1.603;
2020-01-02;0300;-1.765;
2020-01-02;0400;-2.9;
2020-01-02;0500;-3.584;
2020-01-02;0600;-2.452;
2020-01-02;0700;-2.336;
2020-01-02;0800;-1.095;
2020-01-02;0900;76.577;
2020-01-02;1000;450.065;
2020-01-02;1100;1426.171;
2020-01-02;1200;2396.861;
2020-01-02;1300;2853.47;
2020-01-02;1400;3309.821;
2020-01-02;1500;3395.629;
2020-01-02;1600;968.056;
2020-01-02;1700;2277.646;
2020-01-02;1800;3109.795;
2020-01-02;1900;1476.125;
2020-01-02;2000;214.275;
2020-01-02;2100;113.178;
2020-01-02;2200;2.332;
2020-01-02;2300;-2.264;
2020-01-03;0000;-1.703;
2020-01-03;0100;-1.813;
2020-01-03;0200;-2.031;
2020-01-03;0300;-1.879;
2020-01-03;0400;-1.406;
2020-01-03;0500;-.776;
2020-01-03;0600;-.907;
2020-01-03;0700;-1.131;
2020-01-03;0800;-2.061;
2020-01-03;0900;94.822;
2020-01-03;1000;496.152;
2020-01-03;1100;871.764;
2020-01-03;1200;1802.821;
2020-01-03;1300;2586.275;
2020-01-03;1400;3257.414;
2020-01-03;1500;3399.559;
2020-01-03;1600;2918.721;
2020-01-03;1700;1745.728;
2020-01-03;1800;2660.852;
2020-01-03;1900;1545.322;
2020-01-03;2000;628.247;
2020-01-03;2100;72.209;
2020-01-03;2200;6.251;
2020-01-03;2300;-.277;
2020-01-04;0000;2.733;
2020-01-04;0100;.163;
2020-01-04;0200;-.842;
2020-01-04;0300;-1.467;
2020-01-04;0400;-1.861;
2020-01-04;0500;-1.652;
2020-01-04;0600;-1.286;
2020-01-04;0700;-1.164;
2020-01-04;0800;-2.096;
2020-01-04;0900;90.44;
2020-01-04;1000;365.739;
2020-01-04;1100;841.721;
2020-01-04;1200;1084.488;
2020-01-04;1300;1732.032;
2020-01-04;1400;1739.717;
2020-01-04;1500;1804.59;
2020-01-04;1600;2077.659;
2020-01-04;1700;3166.295;
2020-01-04;1800;1422.865;
2020-01-04;1900;1294.526;
2020-01-04;2000;1431.594;
2020-01-04;2100;508.66;
2020-01-04;2200;33.641;
2020-01-04;2300;-3.394;
2020-01-05;0000;-3.576;
2020-01-05;0100;-2.643;
2020-01-05;0200;-2.404;
2020-01-05;0300;-2.522;
2020-01-05;0400;-3.123;
2020-01-05;0500;-2.982;
2020-01-05;0600;-3.505;
2020-01-05;0700;-3.444;
2020-01-05;0800;-3.393;
2020-01-05;0900;43.961;
2020-01-05;1000;315.33;
2020-01-05;1100;1228.972;
2020-01-05;1200;2118.858;
2020-01-05;1300;2761.482;
2020-01-05;1400;2592.547;
2020-01-05;1500;2966.25;
2020-01-05;1600;2817.401;
