Nome: ITATIAIA - AGULHAS NEGRAS
Codigo Estacao: A635
Latitude: -22.37388888
Longitude: -44.70305555
Altitude: 2450
Situacao: Desativada
Data Inicial: 2020-01-01
Data Final: 2022-11-07
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;.2;766.325;11.529167;20;13.979167;9.9;86.208333;60;8.9;2.716667;
2020-01-02;3.8;757.070833;11.5375;14.9;12.625;10.3;93.25;80;10.2;2.041667;
2020-01-03;18.4;757.029167;11.225;13.9;11.670833;9.9;97.083333;87;7.1;1.645833;
2020-01-04;24;762.3875;11.470833;18.2;12.908333;9.7;91.333333;68;8.1;2.458333;
2020-01-05;18.4;760.05;11.804167;18.2;12.845833;10.4;93.625;72;12.9;3.87;
2020-01-06;65.6;758.645833;12.054167;17.4;12.8125;10.1;95.041667;75;null;null;
2020-01-07;.8;766.295833;10.8125;20.3;15.158333;8.8;76.458333;42;null;null;
2020-01-08;0;762.2;13.270833;20.6;14.733333;13.3;91.291667;70;12;null;
2020-01-09;8.2;764.979167;12.245833;19.3;15.141667;12.1;83.291667;65;10;2.379167;
2020-01-10;1.2;764.458333;13.566667;20.2;15.558333;12.4;88.333333;64;9.1;1.9375;
2020-01-11;0;762.3375;13.879167;21.1;15.220833;13.9;92.166667;65;11.7;3.4375;
2020-01-12;14.4;760.5375;13.166667;20.1;14.4625;12.4;92.208333;72;8;2.2625;
