Nome: RIO DE JANEIRO - FORTE DE COPACABANA
Codigo Estacao: A652
Latitude: -22.98833333
Longitude: -43.19055555
Altitude: 25.59
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.396;
2020-01-01;0100;-3.113;
2020-01-01;0200;-3.168;
2020-01-01;0300;-3.415;
2020-01-01;0400;-3.326;
2020-01-01;0500;-3.301;
2020-01-01;0600;-3.412;
2020-01-01;0700;-3.45;
2020-01-01;0800;-3.075;
2020-01-01;0900;147.997;
2020-01-01;1000;668.187;
2020-01-01;1100;1573.699;
2020-01-01;1200;2528.785;
2020-01-01;1300;3252.956;
2020-01-01;1400;3711.89;
2020-01-01;1500;3843.515;
2020-01-01;1600;3641.318;
2020-01-01;1700;3624.792;
2020-01-01;1800;3096.011;
2020-01-01;1900;2393.525;
2020-01-01;2000;1281.283;
2020-01-01;2100;197.948;
2020-01-01;2200;50.824;
2020-01-01;2300;-2.892;
2020-01-02;0000;-3.403;
2020-01-02;0100;-3.463;
2020-01-02;0200;-2.933;
2020-01-02;0300;-2.886;
2020-01-02;0400;-1.046;
2020-01-02;0500;-3.057;
2020-01-02;0600;-3.305;
2020-01-02;0700;-3.442;
2020-01-02;0800;-3.094;
2020-01-02;0900;61.932;
2020-01-02;1000;456.67;
2020-01-02;1100;877.931;
2020-01-02;1200;695.02;
2020-01-02;1300;1036.492;
2020-01-02;1400;1109.544;
2020-01-02;1500;1578.559;
2020-01-02;1600;1424.163;
2020-01-02;1700;873.224;
2020-01-02;1800;1347.809;
2020-01-02;1900;1127.06;
2020-01-02;2000;212.742;
2020-01-02;2100;61.502;
2020-01-02;2200;18.703;
2020-01-02;2300;-2.556;
2020-01-03;0000;-.295;
2020-01-03;0100;1.571;
2020-01-03;0200;-1.924;
2020-01-03;0300;-3.384;
2020-01-03;0400;-3.301;
2020-01-03;0500;-3.062;
2020-01-03;0600;.314;
2020-01-03;0700;1.161;
2020-01-03;0800;0;
2020-01-03;0900;96.262;
2020-01-03;1000;555.864;
2020-01-03;1100;1387.268;
2020-01-03;1200;1515.806;
2020-01-03;1300;2146.039;
2020-01-03;1400;702.717;
2020-01-03;1500;293.863;
2020-01-03;1600;632.325;
2020-01-03;1700;842.583;
2020-01-03;1800;688.414;
2020-01-03;1900;702.395;
2020-01-03;2000;598.172;
2020-01-03;2100;93.375;
2020-01-03;2200;15.456;
2020-01-03;2300;1.705;
2020-01-04;0000;1.195;
2020-01-04;0100;-1.138;
2020-01-04;0200;-1.489;
2020-01-04;0300;.094;
2020-01-04;0400;-.938;
2020-01-04;0500;-2.278;
2020-01-04;0600;-1.576;
2020-01-04;0700;.596;
2020-01-04;0800;1.981;
2020-01-04;0900;37.467;
2020-01-04;1000;488.425;
2020-01-04;1100;1425.43;
2020-01-04;1200;2407.64;
2020-01-04;1300;2521.349;
2020-01-04;1400;2432.116;
2020-01-04;1500;1323.007;
2020-01-04;1600;1186.531;
2020-01-04;1700;1581.315;
2020-01-04;1800;2478.569;
2020-01-04;1900;2036.073;
2020-01-04;2000;806.514;
2020-01-04;2100;445.948;
2020-01-04;2200;62.891;
2020-01-04;2300;-.354;
2020-01-05;0000;1.525;
2020-01-05;0100;1.129;
2020-01-05;0200;.872;
2020-01-05;0300;.404;
2020-01-05;0400;.576;
2020-01-05;0500;-.022;
2020-01-05;0600;-1.517;
2020-01-05;0700;-.528;
2020-01-05;0800;1.283;
2020-01-05;0900;54.55;
2020-01-05;1000;842.495;
2020-01-05;1100;1324.408;
2020-01-05;1200;2072.967;
2020-01-05;1300;2236.4;
2020-01-05;1400;1327.587;
2020-01-05;1500;2307.041;
2020-01-05;1600;3250.476;
