Nome: SILVA JARDIM
Codigo Estacao: A659
Latitude: -22.64583333
Longitude: -42.41555555
Altitude: 19
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;0;1005.170833;20.991667;35.6;27.229167;20.3;72.208333;35;8.1;1.4;
2020-01-02;0;1005.158333;21.520833;35.4;25.554167;21.7;81.541667;39;11.5;1.15;
2020-01-03;55.6;1007.729167;22.0125;31.9;25.104167;21.6;84.333333;52;6.5;1.0875;
2020-01-04;1.4;1006.666667;22.016667;30.6;24.783333;22;85.75;56;6.7;.904167;
2020-01-05;42.8;1006.2;22.391667;30.5;24.883333;22.3;86.791667;63;6.1;.983333;
2020-01-06;4.4;1006.504167;22.741667;35.5;26.375;22.8;82.333333;49;9.6;1.420833;
2020-01-07;14.2;1007.020833;23.279167;37.3;27.929167;22.4;78.375;43;23.6;1.170833;
2020-01-08;21.8;1008.3;23.1375;34.5;26.6375;23.6;82.5;56;8.9;1.05;
2020-01-09;6.2;1008.933333;23.229167;35.2;27.245833;22.4;80.416667;49;8.3;1.2;
2020-01-10;0;1008.25;23.891667;35.1;28.741667;23.7;76.958333;52;9.3;1.154167;
2020-01-11;0;1006.791667;23.583333;37.9;29.479167;24.2;73.416667;42;9.4;1.15;
2020-01-12;0;1009.4375;24.141667;33.6;27.479167;24.1;83.166667;57;7.9;1.258333;
2020-01-13;118.6;1012.479167;23.079167;26.4;24.4;23.2;92.333333;82;6.5;.975;
2020-01-14;9.4;1013.691667;20.420833;30.5;24.7;22.6;78.875;46;6.5;.958333;
2020-01-15;0;1011.391667;20.120833;31.1;25.016667;19.5;76.291667;50;8.9;1.720833;
2020-01-16;0;1009.270833;22.816667;37.5;28.566667;21.1;73.458333;40;5.5;.925;
2020-01-17;8.8;1014.675;22.545833;28.7;24.470833;25;89.333333;68;8;1.725;
2020-01-18;12.8;1017.491667;19.833333;27;22.620833;20.6;84.875;65;4.9;.841667;
2020-01-19;.2;1014.716667;19.345833;29.5;23.891667;19.5;77.333333;49;6.2;1.2375;
2020-01-20;0;1011.404167;19.829167;28.7;23.416667;20.6;81.416667;56;6.1;.970833;
2020-01-21;0;1008.745833;19.825;29.1;23.6;19.2;80.708333;56;4.4;.791667;
2020-01-22;0;1007.7375;20.05;31.1;24.491667;18.9;78.333333;47;8.5;1.233333;
2020-01-23;0;1006.1;20.445833;27.3;22.820833;20.2;87.208333;62;2.5;.554167;
2020-01-24;30.4;1003.133333;21.291667;28.2;22.745833;21;91.791667;68;4.8;.845833;
2020-01-25;19.6;1007.233333;20.120833;29.3;24.058333;20.6;80;55;8.5;1.654167;
2020-01-26;0;1009.904167;19.75;31.8;24.741667;18.8;76.333333;46;7;1.295833;
2020-01-27;0;1009.458333;21.979167;32.4;25.970833;20.6;80.25;55;7.3;1.279167;
2020-01-28;0;1009.183333;22.358333;36.1;26.866667;22.3;79.041667;39;7.7;1.020833;
2020-01-29;0;1010.325;23.7375;35;27.0875;22.6;83.458333;51;7.1;1.154167;
