Nome: SAQUAREMA - SAMPAIO CORREIA
Codigo Estacao: A667
Latitude: -22.8711111
Longitude: -42.60888888
Altitude: 26
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.54;
2020-01-01;0100;-3.54;
2020-01-01;0200;-3.54;
2020-01-01;0300;-3.54;
2020-01-01;0400;-3.54;
2020-01-01;0500;-3.54;
2020-01-01;0600;-3.54;
2020-01-01;0700;-3.54;
2020-01-01;0800;-3.485;
2020-01-01;0900;168.654;
2020-01-01;1000;709.031;
2020-01-01;1100;1549.117;
2020-01-01;1200;2452.662;
2020-01-01;1300;3117.78;
2020-01-01;1400;3565.292;
2020-01-01;1500;3772.541;
2020-01-01;1600;3750.807;
2020-01-01;1700;2960;
2020-01-01;1800;2907.123;
2020-01-01;1900;2357.948;
2020-01-01;2000;1568.092;
2020-01-01;2100;715.362;
2020-01-01;2200;53.509;
2020-01-01;2300;-3.54;
2020-01-02;0000;-3.54;
2020-01-02;0100;-3.54;
2020-01-02;0200;-3.54;
2020-01-02;0300;-3.538;
2020-01-02;0400;-3.536;
2020-01-02;0500;-3.475;
2020-01-02;0600;-3.444;
2020-01-02;0700;-3.515;
2020-01-02;0800;-3.475;
2020-01-02;0900;105.635;
2020-01-02;1000;654.991;
2020-01-02;1100;1291.68;
2020-01-02;1200;2198.745;
2020-01-02;1300;1878.773;
2020-01-02;1400;1660.511;
2020-01-02;1500;1643.948;
2020-01-02;1600;3212.133;
2020-01-02;1700;1779.122;
2020-01-02;1800;2540.943;
2020-01-02;1900;1037.416;
2020-01-02;2000;333.345;
2020-01-02;2100;30.426;
2020-01-02;2200;-.905;
2020-01-02;2300;-3.123;
2020-01-03;0000;-2.197;
2020-01-03;0100;-2.569;
2020-01-03;0200;-3.154;
2020-01-03;0300;-3.344;
2020-01-03;0400;-2.596;
2020-01-03;0500;-3.444;
2020-01-03;0600;-2;
2020-01-03;0700;-1.592;
