Nome: SAO PAULO - MIRANTE
Codigo Estacao: A701
Latitude: -23.49638888
Longitude: -46.61999999
Altitude: 785.64
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;RADIACAO GLOBAL(Kj/m²);
2020-01-01;0000;-3.54;
2020-01-01;0100;-3.54;
2020-01-01;0200;-3.54;
2020-01-01;0300;-3.54;
2020-01-01;0400;-3.54;
2020-01-01;0500;-3.54;
2020-01-01;0600;-3.54;
2020-01-01;0700;-3.54;
2020-01-01;0800;-3.524;
2020-01-01;0900;147.012;
2020-01-01;1000;966.964;
2020-01-01;1100;2010.015;
2020-01-01;1200;2966.956;
2020-01-01;1300;3696.015;
2020-01-01;1400;null;
2020-01-01;1500;3648.325;
2020-01-01;1600;3368.549;
2020-01-01;1700;3111.507;
2020-01-01;1800;3066.395;
2020-01-01;1900;2296.799;
2020-01-01;2000;541.39;
2020-01-01;2100;89.802;
2020-01-01;2200;-1.775;
2020-01-01;2300;-1.86;
2020-01-02;0000;-1.945;
2020-01-02;0100;-2.501;
2020-01-02;0200;-2.372;
2020-01-02;0300;-3.225;
2020-01-02;0400;-3.497;
2020-01-02;0500;-2.962;
2020-01-02;0600;-2.739;
2020-01-02;0700;-2.663;
2020-01-02;0800;-1.929;
2020-01-02;0900;59.337;
2020-01-02;1000;229.659;
2020-01-02;1100;350.457;
2020-01-02;1200;1499.964;
2020-01-02;1300;2049.274;
2020-01-02;1400;2432.492;
2020-01-02;1500;2532.668;
2020-01-02;1600;3256.761;
2020-01-02;1700;1819.539;
2020-01-02;1800;1282.624;
2020-01-02;1900;168.571;
2020-01-02;2000;21.959;
2020-01-02;2100;4.283;
2020-01-02;2200;3.542;
2020-01-02;2300;-.811;
2020-01-03;0000;-2.384;
2020-01-03;0100;-2.696;
2020-01-03;0200;-1.454;
2020-01-03;0300;-.474;
2020-01-03;0400;-.965;
2020-01-03;0500;-1.027;
2020-01-03;0600;-1.356;
2020-01-03;0700;-1.56;
2020-01-03;0800;3.079;
