Nome: PONTA PORA
Codigo Estacao: A703
Latitude: -22.5525
Longitude: -55.71638888
Altitude: 668
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2023-03-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2020-01-01;12.2;934.3875;20.116667;30.6;25.345833;21.4;73.166667;54;null;null;
2020-01-02;.2;934.345833;18.891667;29.8;25.208333;21.7;69.041667;49;null;null;
2020-01-03;0;935.05;19.658333;30.9;24.733333;20.8;74.541667;49;null;null;
2020-01-04;.2;934.070833;19.575;29.9;23.066667;21;81.833333;56;null;null;
2020-01-05;23.6;931.720833;18.975;32.1;25.116667;18.6;71.5;38;null;null;
2020-01-06;0;931.529167;19.325;31.5;26.2;20.5;67.5;44;null;null;
2020-01-07;55.8;933.458333;19.575;27.8;21.945833;18.9;86.833333;62;null;null;
2020-01-08;4;934.641667;20.145833;29.1;23.179167;18.8;83.833333;65;null;null;
2020-01-09;0;935.529167;21.104167;30.8;25.416667;22.4;78.041667;52;null;null;
2020-01-10;2;935.7;21.208333;32.4;26.620833;22.5;73.625;51;null;null;
2020-01-11;.4;935.654167;21.654167;32;27.445833;24.8;71.166667;56;null;null;
2020-01-12;3.8;937.15;22.220833;31.7;25.629167;22.3;82.416667;60;null;null;
2020-01-13;2.4;937.5625;20.904167;31;25.279167;21;78;52;null;null;
2020-01-14;.2;937.125;21.65;30.5;25.170833;21.8;81.708333;58;null;null;
2020-01-15;0;935.75;20.983333;33.2;27.033333;21.8;72.416667;43;null;null;
2020-01-16;0;938.125;21.225;33.7;28.179167;24.9;66.958333;46;null;null;
2020-01-17;1.4;939.720833;21.416667;30.8;25.854167;21.9;77.291667;58;null;null;
2020-01-18;0;939.8;21.733333;29.7;25.0375;22;82.416667;64;null;null;
2020-01-19;0;938.445833;20.304167;31.9;25.829167;20.7;73.375;45;null;null;
2020-01-20;0;936.058333;19.270833;33.1;26.304167;20.5;67.458333;37;null;null;
2020-01-21;0;932.85;20.008333;33.7;26.525;20.6;68.958333;42;null;null;
2020-01-22;68.6;930.695833;20.645833;28.5;23.091667;19.9;86.791667;64;null;null;
2020-01-23;3.4;930.5625;20.645833;24.3;22.154167;21.2;91.125;82;null;null;
2020-01-24;1.2;933.304167;18.783333;29.3;23.041667;19.2;78.875;52;null;null;
2020-01-25;0;935.129167;16.391667;30.5;25.066667;19.2;60.958333;35;null;null;
2020-01-26;0;935.858333;17.245833;32.1;26.358333;20;58.625;34;null;null;
2020-01-27;0;936.1125;18.395833;32.6;26.375;21.9;62.625;41;null;null;
2020-01-28;4.4;935.25;18.9;33.2;26.8375;21.3;63.25;39;null;null;
2020-01-29;.4;935.491667;20.458333;29.1;25.041667;23.3;76.125;60;null;null;
2020-01-30;2;936.6625;19.8;24.6;21.495833;20.9;90.25;78;null;null;
2020-01-31;18.6;938.854167;19.7375;27.5;22.704167;18.4;84.125;62;null;null;
2020-02-01;.2;938.054167;21.175;30;24.720833;21.6;81.833333;58;null;null;
2020-02-02;1.2;937.779167;21.404167;30;24.416667;21.6;84.125;62;null;null;
2020-02-03;8.4;937.566667;20.225;30.1;24.05;19.4;80.375;55;null;null;
2020-02-04;.2;936.8375;21.008333;29.9;23.4625;20.1;86.75;62;null;null;
2020-02-05;10.8;936.208333;20.841667;30;22.85;20;89;62;null;null;
2020-02-06;23;936.979167;20.566667;32;25.2625;20.3;77.458333;50;null;null;
2020-02-07;3.4;935.6875;20.95;32;25.395833;22.3;77.666667;43;null;null;
2020-02-08;3;934.420833;20.8;32;25.125;21.6;78;48;null;null;
2020-02-09;1.8;934.820833;21.129167;32.3;25.3375;21;78.875;54;null;null;
2020-02-10;4.8;936.65;21.945833;32.6;25.883333;22.3;79.916667;46;null;null;
2020-02-11;5.4;937.658333;21.333333;29.4;23.595833;21.4;87.833333;62;null;null;
2020-02-12;4.6;937.3375;20.541667;28.7;23.6875;21;83.625;59;null;null;
2020-02-13;0;937.004167;19.625;30.5;24.25;19.4;77;54;null;null;
2020-02-14;0;936.991667;19.675;31.1;24.833333;19.4;74.041667;55;null;null;
2020-02-15;0;936.395833;21.425;33.5;27.133333;22.2;72.791667;47;null;null;
2020-02-16;0;935.416667;21.508333;33.2;27.3625;22.4;72.291667;46;null;null;
2020-02-17;0;934.754167;21.295833;33.3;27.6875;22.7;70.25;45;null;null;
2020-02-18;0;935.9125;20.875;33.2;27.9;24.6;66.583333;44;null;null;
2020-02-19;0;935.3375;21.9;31.4;25.433333;23;81.458333;60;null;null;
2020-02-20;9.2;935.741667;22.145833;30.5;24.7375;21.8;86.208333;57;null;null;
2020-02-21;48.8;937.383333;19.554167;29.3;24.266667;20.4;76.458333;54;null;null;
2020-02-22;0;940.175;10.895833;25.8;19.820833;14;59.125;29;null;null;
2020-02-23;0;938.604167;11.320833;30.4;22.504167;15.9;50.916667;32;null;null;
2020-02-24;0;936.025;17.958333;31.8;25.733333;21.1;63.333333;46;null;null;
2020-02-25;0;935.175;20.2875;30.4;25.895833;22.2;72.583333;51;null;null;
2020-02-26;25.4;935.358333;19.391667;27.7;23.158333;19.5;80.458333;55;null;null;
2020-02-27;.2;937.520833;14.583333;28.8;22.766667;17.5;62.541667;34;null;null;
2020-02-28;0;938.75;13.204167;30.1;24.416667;19;50.291667;35;null;null;
2020-02-29;0;940.225;15.408333;30.7;25.1625;20.1;56.833333;29;null;null;
2020-03-01;0;940.275;16.658333;30.1;24.108333;21.3;63.583333;40;null;null;
2020-03-02;13.6;939.583333;16.045833;30.1;23.591667;18;64.833333;36;null;null;
2020-03-03;0;938.8;15.95;30.2;23.025;16.8;66.666667;38;null;null;
2020-03-04;0;938.708333;14.683333;31.1;24.783333;18.7;56.5;31;null;null;
2020-03-05;0;939.041667;13.270833;32.3;25.983333;19.7;47.708333;24;null;null;
2020-03-06;0;938.258333;13.241667;33.1;26.5375;20.3;45.583333;24;null;null;
2020-03-07;0;936.258333;13.8875;33.2;26.129167;20.1;50.041667;24;null;null;
2020-03-08;0;936.425;14.908333;33.4;25.170833;18.4;55.416667;28;null;null;
2020-03-09;0;938.845833;14.325;34.3;26.466667;20.1;50.541667;26;null;null;
2020-03-10;0;938.908333;13.154167;34;26.6625;21;46;24;null;null;
